BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	genotype	source_name	tissue	treatment	group
SAMN09697986	SRR7547629	2019-06-07T16:19:41Z	2018-07-20T16:30:40Z	56239744	11247948800	56239744	200	4515		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547629/SRR7547629.1	SRX4413870		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567195	simple	9606	Homo sapiens	GSM3294958							no					GEO	SRA743317		public	A1222AA010232315C088AE87FE90B3A3	9B6C0518425FAC51A046E7162A657DE6	9697986	BT245-KO-C2P6	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567195	GSM3294958	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09697987	SRR7547628	2019-06-07T16:19:41Z	2018-07-20T16:40:58Z	58265131	11653026200	58265131	200	4587		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547628/SRR7547628.1	SRX4413869		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567193	simple	9606	Homo sapiens	GSM3294957							no					GEO	SRA743317		public	4D24A6ACD167FD091D75B367FB97C366	9540A7F1E01A226BACEE2ECA5C74B51D	9697987	DIPGXIII-NKO-C8	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567193	GSM3294957	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697989	SRR7547627	2019-06-07T16:19:41Z	2018-07-20T16:35:16Z	50027701	10005540200	50027701	200	3992		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547627/SRR7547627.1	SRX4413868		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567200	simple	9606	Homo sapiens	GSM3294956							no					GEO	SRA743317		public	26DDEF4FD40DE371F151DFF9CB6D500F	CDD2E210297DCDF98FA862F2186C5BAF	9697989	DIPGXIII-NKO-C12	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567200	GSM3294956	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697991	SRR7547626	2019-06-07T16:19:41Z	2018-07-20T16:07:54Z	58859439	11771887800	58859439	200	4733		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547626/SRR7547626.1	SRX4413867		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567202	simple	9606	Homo sapiens	GSM3294955							no					GEO	SRA743317		public	DA2304C227EE97E4E6EAB72804B8F3B7	75C486815BC009173925BF158DEFDF1F	9697991	DIPGXIII-KO-C5	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567202	GSM3294955	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09697993	SRR7547625	2019-06-07T16:19:41Z	2018-07-20T16:06:38Z	52188860	10437772000	52188860	200	4181		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547625/SRR7547625.1	SRX4413866		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567189	simple	9606	Homo sapiens	GSM3294954							no					GEO	SRA743317		public	9322756171C7461E6BFBD15517137D61	E883BC820CF01312C813B3E62014F6B3	9697993	DIPGXIII-KO-C10	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567189	GSM3294954	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09697994	SRR7547624	2019-06-07T16:19:41Z	2018-07-20T16:32:23Z	45581739	9116347800	45581739	200	3712		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547624/SRR7547624.1	SRX4413865		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS3567188	simple	9606	Homo sapiens	GSM3294953							no					GEO	SRA743317		public	984C34D350CB34986C9AE41D73D66EB4	5EDC142BD11D6CDFD719A9B22D32D0D8	9697994	DIPGXIII	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567188	GSM3294953	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697996	SRR7547623	2019-06-07T16:19:41Z	2018-07-20T16:20:55Z	49765649	9953129800	49765649	200	3674		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547623/SRR7547623.1	SRX4413864		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS3567187	simple	9606	Homo sapiens	GSM3294952							no					GEO	SRA743317		public	9F7F67BBBE18779D4CDB149AFECB92C5	9AB7054F9888BBE0C7B8EB6D4A7095E8	9697996	HSJ-050-C5	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567187	GSM3294952	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697997	SRR7547622	2019-06-07T16:19:40Z	2018-07-20T16:04:17Z	23549277	4709855400	23549277	200	1886		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547622/SRR7547622.1	SRX4413863		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS3567214	simple	9606	Homo sapiens	GSM3294951							no					GEO	SRA743317		public	7A2ABF18AC36B156B150672E4D0FB6E5	AA8D14135A47FC771E2F811887A941EC	9697997	HSJ019-C7	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567214	GSM3294951	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697998	SRR7547621	2019-06-07T16:19:40Z	2018-07-20T16:14:06Z	50537175	10107435000	50537175	200	4037		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547621/SRR7547621.1	SRX4413862		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS3567191	simple	9606	Homo sapiens	GSM3294950							no					GEO	SRA743317		public	F675A86A5486D327DC104B7E098AE832	B17BE4F2144539DBB80907F25DCFBFA6	9697998	HSJ019-C4	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567191	GSM3294950	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09698000	SRR7547620	2019-06-07T16:19:40Z	2018-07-20T16:40:26Z	51578878	10315775600	51578878	200	4216		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547620/SRR7547620.1	SRX4413861		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS3567190	simple	9606	Homo sapiens	GSM3294949							no					GEO	SRA743317		public	4F2EDF0ACB7411433A22A00B524E72BF	7D1EA6064FE51800808F04E66B1E832C	9698000	DIPGXIII-C14	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567190	GSM3294949	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09698001	SRR7547619	2019-06-07T16:19:40Z	2018-07-20T16:24:34Z	63086888	12617377600	63086888	200	5180		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547619/SRR7547619.1	SRX4413860		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS3567186	simple	9606	Homo sapiens	GSM3294948							no					GEO	SRA743317		public	8C95262D31551D26FAF1C6F36720DC0E	4A21582D9296C6E3D40C2C131121A19C	9698001	DIPGVI-C30	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567186	GSM3294948	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09698003	SRR7547618	2019-06-07T16:19:40Z	2018-07-20T16:28:19Z	85243724	17048744800	85243724	200	7171		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547618/SRR7547618.1	SRX4413859		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS3567192	simple	9606	Homo sapiens	GSM3294947							no					GEO	SRA743317		public	BA832F0514A59B4E08697DFFD617E9FC	1B85C9A93C9F428F79E8A983FC6A9798	9698003	BT245-C19	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567192	GSM3294947	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09698005	SRR7547617	2019-06-07T16:19:40Z	2018-07-20T16:20:55Z	47181377	9436275400	47181377	200	3857		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547617/SRR7547617.1	SRX4413858		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567184	simple	9606	Homo sapiens	GSM3294946							no					GEO	SRA743317		public	EE2599449744E06F9E94F62B19175304	038D5BF619FA707D07CD5A9427DC5C2F	9698005	G477	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567184	GSM3294946	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None	H3.3K27WT.None
SAMN09698006	SRR7547616	2019-06-07T16:19:40Z	2018-07-20T16:06:16Z	41561377	8312275400	41561377	200	3058		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547616/SRR7547616.1	SRX4413857		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567183	simple	9606	Homo sapiens	GSM3294945							no					GEO	SRA743317		public	1EB0815D3DE04B3FB1B75ADE602A0690	B8A1A4BDDF1725DD383164A13DB8B31A	9698006	HSJ-030-C8	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567183	GSM3294945	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None	H3.3K27WT.None
SAMN09698008	SRR7547615	2019-06-07T16:19:40Z	2018-07-20T17:43:25Z	50762095	12690523750	50762095	250	4251		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547615/SRR7547615.1	SRX4413856		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP154573	PRJNA482128	3	482128	SRS3567182	simple	9606	Homo sapiens	GSM3294944							no					GEO	SRA743317		public	B87ACFB8E4C9E650457C018687A6CA4C	C8AEA6FFF1BA974A848A3F1E91DB6E50	9698008	SJG5-C16	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567182	GSM3294944	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None	H3.3K27WT.None
SAMN09698009	SRR7547614	2019-06-07T16:19:40Z	2018-07-20T16:15:17Z	48690393	12172598250	48690393	250	4113		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547614/SRR7547614.1	SRX4413855		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP154573	PRJNA482128	3	482128	SRS3567181	simple	9606	Homo sapiens	GSM3294943							no					GEO	SRA743317		public	66A735D2F17D6F3294AD332DFBE037AF	7D28CCDAF8116C4D1912EDED0D6B59F5	9698009	pCGBM2-C7	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567181	GSM3294943	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None	H3.3K27WT.None
SAMN09698010	SRR7547613	2019-06-07T16:19:40Z	2018-07-20T16:47:00Z	48824446	12206111500	48824446	250	4112		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547613/SRR7547613.1	SRX4413854		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP154573	PRJNA482128	3	482128	SRS3567180	simple	9606	Homo sapiens	GSM3294942							no					GEO	SRA743317		public	853D6F17F4D8105F107D7223A82C4AAD	64C524419136622AD2936E4A2CF2303A	9698010	G477-C6	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567180	GSM3294942	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None	H3.3K27WT.None
SAMN09698011	SRR7547612	2019-06-07T16:19:40Z	2018-07-20T15:56:26Z	25872662	5174532400	25872662	200	2121		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547612/SRR7547612.1	SRX4413853		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS3567185	simple	9606	Homo sapiens	GSM3294941							no					GEO	SRA743317		public	98D3DA982A9F53EFAB5A71586DDD29C8	529D499E4782CDD3FE4CADCA9CBE00FE	9698011	SJG5-C23	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567185	GSM3294941	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None	H3.3K27WT.None
SAMN09698012	SRR7547666	2019-06-07T16:19:46Z	2018-07-20T16:18:37Z	59676556	11935311200	59676556	200	5691		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547666/SRR7547666.1	SRX4413907		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567230	simple	9606	Homo sapiens	GSM3294995							no					GEO	SRA743317		public	BD9195B3050A9C99FBD0F0883FF309D7	8A4C130BA0D373F492B6607A12AA6989	9698012	BT245-COMBO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567230	GSM3294995	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine	H3.3K27M.Panobinostat_5azacytidine
SAMN09698013	SRR7547665	2019-06-07T16:19:46Z	2018-07-20T16:40:50Z	59604478	11920895600	59604478	200	5396		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547665/SRR7547665.1	SRX4413906		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567222	simple	9606	Homo sapiens	GSM3294994							no					GEO	SRA743317		public	CB0B04E13910E58DDB43B9B257E361B9	0385DD6F209F3DACD6ED47C347B40D07	9698013	BT245-5AZA-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567222	GSM3294994	H3.3K27M	Tumor-derived cell-line	glioma tumor	5-azacytidine	H3.3K27M.5azacytidine
SAMN09698014	SRR7547664	2019-06-07T16:19:45Z	2018-07-20T16:23:56Z	50997750	10199550000	50997750	200	4319		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547664/SRR7547664.1	SRX4413905		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567221	simple	9606	Homo sapiens	GSM3294993							no					GEO	SRA743317		public	36DB0C63123F76218D724ED757562B00	9A3475214DD61AEBDE6C03C12D1D93B4	9698014	BT245-5AZA-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567221	GSM3294993	H3.3K27M	Tumor-derived cell-line	glioma tumor	5-azacytidine	H3.3K27M.5azacytidine
SAMN09698015	SRR7547663	2019-06-07T16:19:45Z	2018-07-20T16:37:32Z	69760640	13952128000	69760640	200	5936		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547663/SRR7547663.1	SRX4413904		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567257	simple	9606	Homo sapiens	GSM3294992							no					GEO	SRA743317		public	D61AEAB9086ABC172EBC152C96373353	E02E4E8A74D8C6C0BCB98395D78125C2	9698015	BT245-PANO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567257	GSM3294992	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat	H3.3K27M.Panobinostat
SAMN09698016	SRR7547662	2019-06-07T16:19:45Z	2018-07-20T16:22:27Z	72768662	14553732400	72768662	200	6265		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547662/SRR7547662.1	SRX4413903		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567220	simple	9606	Homo sapiens	GSM3294991							no					GEO	SRA743317		public	53E4FC7176E4F7047C9D2361AFBDD88A	2F3D6B80C7890BD8DC40E51C6E1BB41C	9698016	BT245-PANO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567220	GSM3294991	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat	H3.3K27M.Panobinostat
SAMN09698017	SRR7547661	2019-06-07T16:19:45Z	2018-07-20T16:19:25Z	62551480	12510296000	62551480	200	5328		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547661/SRR7547661.1	SRX4413902		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567263	simple	9606	Homo sapiens	GSM3294990							no					GEO	SRA743317		public	B67BC546A9ED715687F2AA4A6BFE23FD	C4C98B8152BF1AF485E24C584E8289C6	9698017	DIPGXIII-KO-COMBO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567263	GSM3294990	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine	H3.3K27M_KO.Panobinostat_5azacytidine
