BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	gender	grade	source_name	treatment	group
SAMN04160991	SRR2637663	2017-01-03T09:55:11Z	2015-10-13T14:29:36Z	41081862	2054093100	0	50	1249		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637663/SRR2637663.1	SRX1331679		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112780	simple	9606	Homo sapiens	GSM1906846							no					GEO	SRA304459		public	B3F46FB0D79930083C752284E263A007	48B333400F7A84D6B550E9C113EC28D2	4160991	Cntrl_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112780	GSM1906846	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	Cntrl	dmso
SAMN04160992	SRR2637664	2017-01-03T09:55:11Z	2015-10-13T14:31:21Z	46788165	2339408250	0	50	1419		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637664/SRR2637664.1	SRX1331680		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112779	simple	9606	Homo sapiens	GSM1906847							no					GEO	SRA304459		public	407F93540249700B4B551258DD5B1985	B20EEA1034809612B80222C7250AE7E5	4160992	DAC_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112779	GSM1906847	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC	dac
SAMN04160993	SRR2637665	2017-01-03T09:55:11Z	2015-10-13T14:31:24Z	37449264	1872463200	0	50	1073		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637665/SRR2637665.1	SRX1331681		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112778	simple	9606	Homo sapiens	GSM1906848							no					GEO	SRA304459		public	397DB2915E806415E86BCBFB1999EEFA	F48A0CD781BADCE717C2B5B6F3BD6734	4160993	S2101_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112778	GSM1906848	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	S2101	s2101
SAMN04160994	SRR2637666	2017-01-03T09:55:11Z	2015-10-13T14:28:11Z	31902875	1595143750	0	50	920		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637666/SRR2637666.1	SRX1331682		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112777	simple	9606	Homo sapiens	GSM1906849							no					GEO	SRA304459		public	362D07323C9594EA67D38937A59828EE	C82A865D202014772A13A9A0D70F7628	4160994	DAC+S2101_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112777	GSM1906849	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+S2101	dac_s2101
SAMN04160995	SRR2637667	2017-01-03T09:55:11Z	2015-10-13T14:34:57Z	85486686	4274334300	0	50	2822		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637667/SRR2637667.1	SRX1331683		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112776	simple	9606	Homo sapiens	GSM1906850							no					GEO	SRA304459		public	36B1069CDAFA0AADBE4841CBA1E72273	F553878438DC81F18A461CCA3A5F7ADD	4160995	UNC0638_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112776	GSM1906850	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	UNC0638	unc0638
SAMN04160996	SRR2637668	2017-01-03T09:55:11Z	2015-10-13T14:30:22Z	49751231	2487561550	0	50	1663		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637668/SRR2637668.1	SRX1331684		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112775	simple	9606	Homo sapiens	GSM1906851							no					GEO	SRA304459		public	65C8406898C772110DA9B0BE36D4EE67	9D7896740E561CE8D1321CC6DCC06748	4160996	DAC+UNC0638_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112775	GSM1906851	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+UNC0638	dac_unc0638
SAMN04160997	SRR2637669	2017-01-03T09:55:11Z	2015-10-13T14:32:07Z	62384898	3119244900	0	50	1946		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637669/SRR2637669.1	SRX1331685		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112810	simple	9606	Homo sapiens	GSM1906852							no					GEO	SRA304459		public	00E5F5982816059D461F92A9C22C4A59	9299960989829E75B6B3DA8B7F416C22	4160997	GSK343_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112810	GSM1906852	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	GSK343	gsk343
SAMN04160998	SRR2637670	2017-01-03T09:55:11Z	2015-10-13T14:29:26Z	35427624	1771381200	0	50	1019		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637670/SRR2637670.1	SRX1331686		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112809	simple	9606	Homo sapiens	GSM1906853							no					GEO	SRA304459		public	5A7B9E4C69A8E2D6BDCFD154AFFF0FDA	9BD7EDFEF1BA4D801D191AC423415E32	4160998	DAC+GSK343_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112809	GSM1906853	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+GSK343	dac_gsk343
SAMN04160999	SRR2637671	2017-01-03T09:55:11Z	2015-10-13T14:30:55Z	54593689	2729684450	0	50	1799		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637671/SRR2637671.1	SRX1331687		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112808	simple	9606	Homo sapiens	GSM1906854							no					GEO	SRA304459		public	12E2CA09692EDECCA3CB489995D527D2	2C94A3073B249521B6413E6F95D679B6	4160999	Depsi_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112808	GSM1906854	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	Depsi	depsi
SAMN04161000	SRR2637672	2017-01-03T09:55:11Z	2015-10-13T14:34:03Z	40512576	2025628800	0	50	1343		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637672/SRR2637672.1	SRX1331688		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112807	simple	9606	Homo sapiens	GSM1906855							no					GEO	SRA304459		public	FD05EC73E56261E53EC2BB72370E10FE	B5B5236349EC72AF6E710488A1922EBA	4161000	DAC+Depsi_2 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112807	GSM1906855	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+Depsi	dac_depsi
SAMN04161001	SRR2637673	2017-01-03T09:55:11Z	2015-10-13T14:32:57Z	37627007	1881350350	0	50	1077		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637673/SRR2637673.1	SRX1331689		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112806	simple	9606	Homo sapiens	GSM1906856							no					GEO	SRA304459		public	2A1BC67685718F7EED95A6EDC4A1FEF7	C6BF351D4906B63241D8CDDCD95900B1	4161001	Cntrl_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112806	GSM1906856	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	Cntrl	dmso
SAMN04161002	SRR2637674	2017-01-03T09:55:11Z	2015-10-13T14:29:55Z	47241988	2362099400	0	50	1474		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637674/SRR2637674.1	SRX1331690		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112805	simple	9606	Homo sapiens	GSM1906857							no					GEO	SRA304459		public	A4B7DC6FBA582DD85CB99CA9D840C6D8	C01C959A71F45883F12E9964B9CC0E04	4161002	DAC_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112805	GSM1906857	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC	dac
SAMN04160977	SRR2637675	2017-01-03T09:55:11Z	2015-10-13T14:31:16Z	56952063	2847603150	0	50	1774		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637675/SRR2637675.1	SRX1331691		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112804	simple	9606	Homo sapiens	GSM1906858							no					GEO	SRA304459		public	5B5ACACA20C6C537F2EC30ABBA29675A	F1381DE115BCABF2EB278CFCB79CDB16	4160977	S2101_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112804	GSM1906858	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	S2101	s2101
SAMN04160978	SRR2637676	2017-01-03T09:55:11Z	2015-10-13T14:28:51Z	38512843	1925642150	0	50	1203		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637676/SRR2637676.1	SRX1331692		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112803	simple	9606	Homo sapiens	GSM1906859							no					GEO	SRA304459		public	914FF6910B637BE1F8F3286057A7D335	7C06DA4606C74024F36B97DDEADFF1ED	4160978	DAC+S2101_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112803	GSM1906859	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+S2101	dac_s2101
SAMN04160979	SRR2637677	2017-01-03T09:55:11Z	2015-10-13T14:33:06Z	73979856	3698992800	0	50	2295		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637677/SRR2637677.1	SRX1331693		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112802	simple	9606	Homo sapiens	GSM1906860							no					GEO	SRA304459		public	82768B87C7753D20E0B5CEF1AFECA9BC	FA96F8233EB66DD89918869DADC95D53	4160979	UNC0638_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112802	GSM1906860	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	UNC0638	unc0638
SAMN04160980	SRR2637678	2017-01-03T09:55:11Z	2015-10-13T14:32:48Z	66132985	3306649250	0	50	2057		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637678/SRR2637678.1	SRX1331694		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112801	simple	9606	Homo sapiens	GSM1906861							no					GEO	SRA304459		public	4BEFC9516E6690C11766A62F5271BA73	360453F9E60197B3DC84980981096443	4160980	DAC+UNC0638_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112801	GSM1906861	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+UNC0638	dac_unc0638
SAMN04160973	SRR2637679	2017-01-03T09:55:11Z	2015-10-13T14:35:21Z	78006475	3900323750	0	50	2504		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637679/SRR2637679.1	SRX1331695		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112800	simple	9606	Homo sapiens	GSM1906862							no					GEO	SRA304459		public	D1BEBE184E7F0647F5C39259A1A9D1DF	398608417A1F1A3BE08161A72694BB01	4160973	GSK343_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112800	GSM1906862	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	GSK343	gsk343
SAMN04160974	SRR2637680	2017-01-03T09:55:11Z	2015-10-13T14:31:47Z	69423820	3471191000	0	50	2249		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637680/SRR2637680.1	SRX1331696		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112799	simple	9606	Homo sapiens	GSM1906863							no					GEO	SRA304459		public	11D0449B554B1210B27629745C96CDD5	F78953089D3A19ADC3ED5338744AF362	4160974	DAC+GSK343_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112799	GSM1906863	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+GSK343	dac_gsk343
SAMN04160975	SRR2637681	2017-01-03T09:55:11Z	2015-10-13T14:32:18Z	65799937	3289996850	0	50	2052		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637681/SRR2637681.1	SRX1331697		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112798	simple	9606	Homo sapiens	GSM1906864							no					GEO	SRA304459		public	96DA17DD56CAD094E744C23F6CB22B1E	BEEB5405C942B33C29E1DD94EBEDDF09	4160975	Depsi_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112798	GSM1906864	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	Depsi	depsi
SAMN04160976	SRR2637682	2017-01-03T09:55:11Z	2015-10-13T14:33:52Z	72099575	3604978750	0	50	2314		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2637682/SRR2637682.1	SRX1331698		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064747	PRJNA298594	2	298594	SRS1112797	simple	9606	Homo sapiens	GSM1906865							no					GEO	SRA304459		public	0CD8379D140B6F3287E50504E00FB783	31F92F54EBA30FDAB8F8F46D08C04A44	4160976	DAC+Depsi_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112797	GSM1906865	YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+Depsi	dac_depsi
