accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment
SAMN10141900	10141900	697_Etoposide_1	Nejentsev, medicine, University cambridge	9606	SRS3855040	GSM3405810	697	acute lymphoblastic leukemia (ALL)	pre-B cell line	Etoposide
SAMN10141901	10141901	697_Control_3	Nejentsev, medicine, University cambridge	9606	SRS3855039	GSM3405809	697	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control
SAMN10141902	10141902	697_Control_2	Nejentsev, medicine, University cambridge	9606	SRS3855038	GSM3405808	697	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control
SAMN10141903	10141903	697_Control_1	Nejentsev, medicine, University cambridge	9606	SRS3855037	GSM3405807	697	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control
SAMN10141904	10141904	NALM6_Etoposide_3	Nejentsev, medicine, University cambridge	9606	SRS3855036	GSM3405806	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Etoposide
SAMN10141905	10141905	NALM6_Etoposide_2	Nejentsev, medicine, University cambridge	9606	SRS3855035	GSM3405805	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Etoposide
SAMN10141906	10141906	NALM6_Etoposide_1	Nejentsev, medicine, University cambridge	9606	SRS3855034	GSM3405804	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Etoposide
SAMN10141907	10141907	NALM6_Control_3	Nejentsev, medicine, University cambridge	9606	SRS3855032	GSM3405803	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control
SAMN10141908	10141908	NALM6_Control_2	Nejentsev, medicine, University cambridge	9606	SRS3855031	GSM3405802	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control
SAMN10141909	10141909	NALM6_Control_1	Nejentsev, medicine, University cambridge	9606	SRS3855033	GSM3405801	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control
SAMN10141910	10141910	U937_Etoposide_3	Nejentsev, medicine, University cambridge	9606	SRS3855064	GSM3405834	U937	histiocytic leukemia	monocyte cell line	Etoposide
SAMN10141911	10141911	U937_Etoposide_2	Nejentsev, medicine, University cambridge	9606	SRS3855063	GSM3405833	U937	histiocytic leukemia	monocyte cell line	Etoposide
SAMN10141912	10141912	U937_Etoposide_1	Nejentsev, medicine, University cambridge	9606	SRS3855062	GSM3405832	U937	histiocytic leukemia	monocyte cell line	Etoposide
