BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment	group
SAMN10141889	SRR7939368	2018-10-01T17:38:19Z	2018-09-28T09:45:08Z	33528681	1676434050	0	50	509		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939368/SRR7939368.sralite.1	SRX4774533		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855051	simple	9606	Homo sapiens	GSM3405821							no					GEO	SRA786481		public	F70AD203183CB58EF14FBFC6F747D85A	2DE6C03733F3EEF3671C8FC20DD37966	10141889	JURKAT_Etoposide_1	Nejentsev, medicine, University cambridge	9606	SRS3855051	GSM3405821	JURKAT	acute T cell leukemia	T lymphocyte cell line	Etoposide	JURKAT.Etoposide.10uM.4hr
SAMN10141890	SRR7939367	2018-10-01T17:38:19Z	2018-09-28T09:43:17Z	25831928	1291596400	0	50	389		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939367/SRR7939367.sralite.1	SRX4774532		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855050	simple	9606	Homo sapiens	GSM3405820							no					GEO	SRA786481		public	880E58B51DEB16A3C8CCC40DCC61CAE1	F9816E0CC8CF99C6DD6718FD60FCB077	10141890	JURKAT_Control_3	Nejentsev, medicine, University cambridge	9606	SRS3855050	GSM3405820	JURKAT	acute T cell leukemia	T lymphocyte cell line	Control	JURKAT.Control.4hr
SAMN10141891	SRR7939366	2018-10-01T17:38:19Z	2018-09-28T09:41:42Z	18903541	945177050	0	50	281		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939366/SRR7939366.sralite.1	SRX4774531		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855049	simple	9606	Homo sapiens	GSM3405819							no					GEO	SRA786481		public	51361BE2B698D87FD88036DED97445F1	BE055D6B3B2396B67C0B8DA0833A4791	10141891	JURKAT_Control_2	Nejentsev, medicine, University cambridge	9606	SRS3855049	GSM3405819	JURKAT	acute T cell leukemia	T lymphocyte cell line	Control	JURKAT.Control.4hr
SAMN10141892	SRR7939365	2018-10-01T17:38:19Z	2018-09-28T09:40:21Z	15612238	780611900	0	50	234		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939365/SRR7939365.sralite.1	SRX4774530		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855048	simple	9606	Homo sapiens	GSM3405818							no					GEO	SRA786481		public	82DD9A73D5ACCA7F05CF1AFEBA683CDC	3B19B6477DA2EB6C1205F2D633996D01	10141892	JURKAT_Control_1	Nejentsev, medicine, University cambridge	9606	SRS3855048	GSM3405818	JURKAT	acute T cell leukemia	T lymphocyte cell line	Control	JURKAT.Control.4hr
SAMN10141893	SRR7939364	2018-10-01T17:38:19Z	2018-09-28T09:43:05Z	22687813	1134390650	0	50	349		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939364/SRR7939364.sralite.1	SRX4774529		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855047	simple	9606	Homo sapiens	GSM3405817							no					GEO	SRA786481		public	2D3D4A45D5C37EBB873B0C8C0B072303	F47C7CF107715B6CD25398E4E2379D6F	10141893	RAMOS_Etoposide_3	Nejentsev, medicine, University cambridge	9606	SRS3855047	GSM3405817	RAMOS	Burkitt's lymphoma (American)	B lymphocyte cell line	Etoposide	RAMOS.Etoposide.10uM.4hr
SAMN10141894	SRR7939363	2018-10-01T17:38:19Z	2018-09-28T09:43:20Z	24455584	1222779200	0	50	374		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939363/SRR7939363.sralite.1	SRX4774528		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855046	simple	9606	Homo sapiens	GSM3405816							no					GEO	SRA786481		public	FEA6872946756E995E296C1711FB38CF	2E80B9E87B81495FA4EF14B60EACA2CB	10141894	RAMOS_Etoposide_2	Nejentsev, medicine, University cambridge	9606	SRS3855046	GSM3405816	RAMOS	Burkitt's lymphoma (American)	B lymphocyte cell line	Etoposide	RAMOS.Etoposide.10uM.4hr
SAMN10141895	SRR7939362	2018-10-01T17:38:19Z	2018-09-28T09:45:16Z	37569830	1878491500	0	50	577		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939362/SRR7939362.sralite.1	SRX4774527		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855045	simple	9606	Homo sapiens	GSM3405815							no					GEO	SRA786481		public	5D3620211BF40FE0D9148F3E9830CD46	09216E0D979A484C10883A3B4D08B81D	10141895	RAMOS_Etoposide_1	Nejentsev, medicine, University cambridge	9606	SRS3855045	GSM3405815	RAMOS	Burkitt's lymphoma (American)	B lymphocyte cell line	Etoposide	RAMOS.Etoposide.10uM.4hr
SAMN10141896	SRR7939361	2018-10-01T17:38:19Z	2018-09-28T09:44:51Z	36287209	1814360450	0	50	555		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939361/SRR7939361.sralite.1	SRX4774526		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855044	simple	9606	Homo sapiens	GSM3405814							no					GEO	SRA786481		public	44A4020F452FE0A9EF977A1B65006BE7	9CA07E01E47527D47F9273918C88D68C	10141896	RAMOS_Control_3	Nejentsev, medicine, University cambridge	9606	SRS3855044	GSM3405814	RAMOS	Burkitt's lymphoma (American)	B lymphocyte cell line	Control	RAMOS.Control.4hr
SAMN10141897	SRR7939360	2018-10-01T17:38:19Z	2018-09-28T09:46:05Z	38060967	1903048350	0	50	590		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939360/SRR7939360.sralite.1	SRX4774525		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855043	simple	9606	Homo sapiens	GSM3405813							no					GEO	SRA786481		public	B6F0951932D946B1AF78E576326E5742	6C4860AFB769ABA93859020FF9E167A2	10141897	RAMOS_Control_2	Nejentsev, medicine, University cambridge	9606	SRS3855043	GSM3405813	RAMOS	Burkitt's lymphoma (American)	B lymphocyte cell line	Control	RAMOS.Control.4hr
SAMN10141898	SRR7939359	2018-10-01T17:38:19Z	2018-09-28T09:40:32Z	13963651	698182550	0	50	214		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939359/SRR7939359.sralite.1	SRX4774524		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855042	simple	9606	Homo sapiens	GSM3405812							no					GEO	SRA786481		public	D455024718754E343AF0DF2E88DB4AB5	A05C9AFB76CE744F1972E4755FA8FFDE	10141898	RAMOS_Control_1	Nejentsev, medicine, University cambridge	9606	SRS3855042	GSM3405812	RAMOS	Burkitt's lymphoma (American)	B lymphocyte cell line	Control	RAMOS.Control.4hr
SAMN10141899	SRR7939358	2018-10-01T17:38:19Z	2018-09-28T09:43:21Z	24609607	1230480350	0	50	371		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939358/SRR7939358.sralite.1	SRX4774523		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855041	simple	9606	Homo sapiens	GSM3405811							no					GEO	SRA786481		public	FEE91977BF64BA14420B3C5E4C94CA08	F0814260498F7748B6A8D806C8A28790	10141899	697_Etoposide_2	Nejentsev, medicine, University cambridge	9606	SRS3855041	GSM3405811	697	acute lymphoblastic leukemia (ALL)	pre-B cell line	Etoposide	X697.Etoposide.10uM.4hr
SAMN10141900	SRR7939357	2018-10-01T17:38:19Z	2018-09-28T09:46:15Z	37693663	1884683150	0	50	560		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939357/SRR7939357.sralite.1	SRX4774522		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855040	simple	9606	Homo sapiens	GSM3405810							no					GEO	SRA786481		public	72BDFE1212F15B12DC45AFAEC26874AA	2FAA644F1CFA33EA2689AD4F535F7DE3	10141900	697_Etoposide_1	Nejentsev, medicine, University cambridge	9606	SRS3855040	GSM3405810	697	acute lymphoblastic leukemia (ALL)	pre-B cell line	Etoposide	X697.Etoposide.10uM.4hr
SAMN10141901	SRR7939356	2018-10-01T17:38:19Z	2018-09-28T09:45:29Z	32170977	1608548850	0	50	540		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939356/SRR7939356.sralite.1	SRX4774521		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855039	simple	9606	Homo sapiens	GSM3405809							no					GEO	SRA786481		public	3A13F72056D10617FEA43E34A515ABBC	847586EE48F8F913C8508893460EB709	10141901	697_Control_3	Nejentsev, medicine, University cambridge	9606	SRS3855039	GSM3405809	697	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control	X697.Control.4hr
SAMN10141902	SRR7939355	2018-10-01T17:38:19Z	2018-09-28T09:42:43Z	22951700	1147585000	0	50	374		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939355/SRR7939355.sralite.1	SRX4774520		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855038	simple	9606	Homo sapiens	GSM3405808							no					GEO	SRA786481		public	2A9676F1CFCE477140EB5BF2A2A903D0	E0002DAE9CFAE3D49AE5F7467AFE5061	10141902	697_Control_2	Nejentsev, medicine, University cambridge	9606	SRS3855038	GSM3405808	697	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control	X697.Control.4hr
SAMN10141903	SRR7939354	2018-10-01T17:38:19Z	2018-09-28T09:43:36Z	29732006	1486600300	0	50	507		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939354/SRR7939354.sralite.1	SRX4774519		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855037	simple	9606	Homo sapiens	GSM3405807							no					GEO	SRA786481		public	87AD006FDD975045C80B259FF420D81C	0EE9CA497882BBDA383F3E9CB6FAD1BE	10141903	697_Control_1	Nejentsev, medicine, University cambridge	9606	SRS3855037	GSM3405807	697	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control	X697.Control.4hr
SAMN10141904	SRR7939353	2018-10-01T17:38:19Z	2018-09-28T09:41:21Z	20275950	1013797500	0	50	303		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939353/SRR7939353.sralite.1	SRX4774518		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855036	simple	9606	Homo sapiens	GSM3405806							no					GEO	SRA786481		public	DD905F1E7E8AC81BCC6DA5415CF32752	847B299701B1E89DE91700C99A7500D2	10141904	NALM6_Etoposide_3	Nejentsev, medicine, University cambridge	9606	SRS3855036	GSM3405806	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Etoposide	NALM6.Etoposide.10uM.4hr
SAMN10141905	SRR7939352	2018-10-01T17:38:19Z	2018-09-28T09:41:10Z	24234666	1211733300	0	50	365		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939352/SRR7939352.sralite.1	SRX4774517		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855035	simple	9606	Homo sapiens	GSM3405805							no					GEO	SRA786481		public	7C7D493C8FC1950592E9E26B7921CA23	7A4AFC844E3EB6028949F619B064139D	10141905	NALM6_Etoposide_2	Nejentsev, medicine, University cambridge	9606	SRS3855035	GSM3405805	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Etoposide	NALM6.Etoposide.10uM.4hr
SAMN10141906	SRR7939351	2018-10-01T17:38:19Z	2018-09-28T09:42:17Z	24387347	1219367350	0	50	367		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939351/SRR7939351.sralite.1	SRX4774516		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855034	simple	9606	Homo sapiens	GSM3405804							no					GEO	SRA786481		public	0A9877CB7C726C891ED8397BE2576A3D	9FCFFCB0019A8561FCFFDD8079AB357E	10141906	NALM6_Etoposide_1	Nejentsev, medicine, University cambridge	9606	SRS3855034	GSM3405804	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Etoposide	NALM6.Etoposide.10uM.4hr
SAMN10141907	SRR7939350	2018-10-01T17:38:19Z	2018-09-28T09:41:08Z	20737570	1036878500	0	50	342		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939350/SRR7939350.sralite.1	SRX4774515		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855032	simple	9606	Homo sapiens	GSM3405803							no					GEO	SRA786481		public	87FE13BBA0ADC19810C9B7F63878F2A9	C0479B914549053FC97BA9E9789B2293	10141907	NALM6_Control_3	Nejentsev, medicine, University cambridge	9606	SRS3855032	GSM3405803	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control	NALM6.Control.4hr
SAMN10141908	SRR7939349	2018-10-01T17:38:19Z	2018-09-28T09:46:24Z	47022379	2351118950	0	50	790		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939349/SRR7939349.sralite.1	SRX4774514		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855031	simple	9606	Homo sapiens	GSM3405802							no					GEO	SRA786481		public	6213B80715212D629D0DF98E7172D38F	52CE8737A7931303FB40C0B6D76F61EA	10141908	NALM6_Control_2	Nejentsev, medicine, University cambridge	9606	SRS3855031	GSM3405802	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control	NALM6.Control.4hr
SAMN10141909	SRR7939348	2018-10-01T17:38:19Z	2018-09-28T09:39:56Z	15537668	776883400	0	50	257		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939348/SRR7939348.sralite.1	SRX4774513		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855033	simple	9606	Homo sapiens	GSM3405801							no					GEO	SRA786481		public	A3174CBBE851FEA94801653AB9B5BAC7	CD340EF287C11D9E8B39EBCA2F391F05	10141909	NALM6_Control_1	Nejentsev, medicine, University cambridge	9606	SRS3855033	GSM3405801	NALM6	acute lymphoblastic leukemia (ALL)	pre-B cell line	Control	NALM6.Control.4hr
SAMN10141910	SRR7939381	2018-10-01T17:38:19Z	2018-09-28T09:49:56Z	54648433	2732421650	0	50	873		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939381/SRR7939381.sralite.1	SRX4774546		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855064	simple	9606	Homo sapiens	GSM3405834							no					GEO	SRA786481		public	88C9426D02134540718D7CE5180A09CD	76FE407E4EDAA973BDDD368DF551A7C7	10141910	U937_Etoposide_3	Nejentsev, medicine, University cambridge	9606	SRS3855064	GSM3405834	U937	histiocytic leukemia	monocyte cell line	Etoposide	U937.Etoposide.10uM.4hr
SAMN10141911	SRR7939380	2018-10-01T17:38:19Z	2018-09-28T09:48:43Z	50382355	2519117750	0	50	799		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939380/SRR7939380.sralite.1	SRX4774545		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855063	simple	9606	Homo sapiens	GSM3405833							no					GEO	SRA786481		public	0F8206ADCF128A7DEF88C758DFBD307F	B635E88841EE6866650F6BB2FFA213DD	10141911	U937_Etoposide_2	Nejentsev, medicine, University cambridge	9606	SRS3855063	GSM3405833	U937	histiocytic leukemia	monocyte cell line	Etoposide	U937.Etoposide.10uM.4hr
