BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	time	tissue	treatment
SAMN08537904	SRR6728276	2019-09-18T15:35:12Z	2018-02-15T08:48:58Z	40341160	4044967139	0	100	1363		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728276/SRR6728276.1	SRX3701196		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960625	simple	9606	Homo sapiens	GSM3004845							no					GEO	SRA659722		public	155649170661D35D2C835DCFBFB0E5A1	B6817EB8FAEB9866C87CF3516DFFCD69	8537904	mtHKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960625	GSM3004845	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 30 mins post stimulation with TGF-alpha	30 mins	Colon	TGF-alpha
SAMN08537905	SRR6728275	2019-09-18T15:35:12Z	2018-02-15T08:53:01Z	44303412	4431327699	0	100	1534		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728275/SRR6728275.1	SRX3701195		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960624	simple	9606	Homo sapiens	GSM3004844							no					GEO	SRA659722		public	4FD0EFD12E9E9C4C792A67E1EC3B7F60	3A322EE38F938202CD725E3E285267D7	8537905	mtHKE3 cells 15 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960624	GSM3004844	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 15 mins post stimulation with TGF-alpha	15 mins	Colon	TGF-alpha
SAMN08537906	SRR6728274	2019-09-18T15:35:12Z	2018-02-15T08:50:49Z	53461926	5372255467	0	100	1836		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728274/SRR6728274.1	SRX3701194		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960623	simple	9606	Homo sapiens	GSM3004843							no					GEO	SRA659722		public	0177C31A6E2CB25F3ADA4FBFEB4B1DE3	17C6E446309917913C9A5DEB9200B447	8537906	mtHKE3 cells 15 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960623	GSM3004843	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 15 mins post stimulation with TGF-alpha	15 mins	Colon	TGF-alpha
SAMN08537907	SRR6728273	2019-09-18T15:35:12Z	2018-02-15T08:47:47Z	31486671	3162207290	0	100	1084		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728273/SRR6728273.1	SRX3701193		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960622	simple	9606	Homo sapiens	GSM3004842							no					GEO	SRA659722		public	E2EFC1065106040027ED77B55EBA970A	5B3FAE9055D031093984DABC9F5668B1	8537907	mtHKE3 cells 15 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960622	GSM3004842	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 15 mins post stimulation with TGF-alpha	15 mins	Colon	TGF-alpha
SAMN08537908	SRR6728272	2019-09-18T15:35:11Z	2018-02-15T08:45:37Z	44468283	4464474704	0	100	1534		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728272/SRR6728272.1	SRX3701192		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960621	simple	9606	Homo sapiens	GSM3004841							no					GEO	SRA659722		public	FD62AB4D9B688F36C52748736432301B	3272239AC431111C2421C5C411548AA1	8537908	Unstimulated mtHKE3 cells (time 0 mins) - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960621	GSM3004841	mtHKE3 colorectal cancer cells	mutant-KRAS	Unstimulated mtHKE3 cells (time 0 mins)	0 mins	Colon	Unstimulated
SAMN08537909	SRR6728271	2019-09-18T15:35:11Z	2018-02-15T08:42:04Z	42126661	4230075794	0	100	1483		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728271/SRR6728271.1	SRX3701191		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960620	simple	9606	Homo sapiens	GSM3004840							no					GEO	SRA659722		public	E435353DCAE1B927DEA8635CA07061AA	D2CA72468EBEE30315AB410E0C193583	8537909	Unstimulated mtHKE3 cells (time 0 mins) - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960620	GSM3004840	mtHKE3 colorectal cancer cells	mutant-KRAS	Unstimulated mtHKE3 cells (time 0 mins)	0 mins	Colon	Unstimulated
SAMN08537910	SRR6728270	2019-09-18T15:35:11Z	2018-02-15T08:42:45Z	44555305	4473424426	0	100	1549		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728270/SRR6728270.1	SRX3701190		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960618	simple	9606	Homo sapiens	GSM3004839							no					GEO	SRA659722		public	8B00FEF0194DEC4A0163ADFC3F3EC186	E62E09FB68391B09E8BE52CE862383D2	8537910	Unstimulated mtHKE3 cells (time 0 mins) - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960618	GSM3004839	mtHKE3 colorectal cancer cells	mutant-KRAS	Unstimulated mtHKE3 cells (time 0 mins)	0 mins	Colon	Unstimulated
SAMN08537911	SRR6728269	2019-09-18T15:35:11Z	2018-02-15T08:48:28Z	39354610	3953268428	0	100	1365		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728269/SRR6728269.1	SRX3701189		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960619	simple	9606	Homo sapiens	GSM3004838							no					GEO	SRA659722		public	8B685EC066F5296A0020B8ABB76740B1	F77A311A47817C24E7DF86A5C90FE86B	8537911	wtHKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960619	GSM3004838	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 120 mins post stimulation with TGF-alpha	120 mins	Colon	TGF-alpha
SAMN08537912	SRR6728268	2019-09-18T15:35:11Z	2018-02-15T08:58:45Z	58044645	5827073209	0	100	2034		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728268/SRR6728268.1	SRX3701188		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960616	simple	9606	Homo sapiens	GSM3004837							no					GEO	SRA659722		public	43FD9684FE42E57D67E6E149DAEB79B8	1E374FA284AB201A76D1F35771E4AEC5	8537912	wtHKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960616	GSM3004837	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 120 mins post stimulation with TGF-alpha	120 mins	Colon	TGF-alpha
SAMN08537913	SRR6728267	2019-09-18T15:35:11Z	2018-02-15T08:49:59Z	43241008	4341270604	0	100	1497		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728267/SRR6728267.1	SRX3701187		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960617	simple	9606	Homo sapiens	GSM3004836							no					GEO	SRA659722		public	99ACBFB7BA01EB5FB0DD4F3CDFF794E3	85D04DF5C132C027B417A1AB506F0ACE	8537913	wtHKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960617	GSM3004836	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 120 mins post stimulation with TGF-alpha	120 mins	Colon	TGF-alpha
SAMN08537914	SRR6728266	2019-09-18T15:35:11Z	2018-08-10T12:01:53Z	46812417	4700864738	0	100	1621		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR6728266/SRR6728266.2	SRX3701186		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960615	simple	9606	Homo sapiens	GSM3004835							no					GEO	SRA659722		public	3293A110870031C852050EF145522666	4B23B005FF8A5FCF696D2A80D7A6DAD0	8537914	wtHKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960615	GSM3004835	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 90 mins post stimulation with TGF-alpha	90 mins	Colon	TGF-alpha
SAMN08537915	SRR6728265	2019-09-18T15:35:11Z	2018-02-15T08:52:45Z	48424158	4861773596	0	100	1691		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728265/SRR6728265.1	SRX3701185		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960614	simple	9606	Homo sapiens	GSM3004834							no					GEO	SRA659722		public	42175DFD8AB12747821E03DE5B244194	731414D11E008702AC06D08B72BE1EA5	8537915	wtHKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960614	GSM3004834	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 90 mins post stimulation with TGF-alpha	90 mins	Colon	TGF-alpha
SAMN08537916	SRR6728264	2019-09-18T15:35:11Z	2018-02-15T08:51:56Z	44639318	4467459535	0	100	1562		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728264/SRR6728264.1	SRX3701184		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960613	simple	9606	Homo sapiens	GSM3004833							no					GEO	SRA659722		public	82B68453BECB50A191FB2B50DA14C3FF	21CFC10BECA8A8009C28316848CACFDA	8537916	wtHKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960613	GSM3004833	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 90 mins post stimulation with TGF-alpha	90 mins	Colon	TGF-alpha
SAMN08537917	SRR6728263	2019-09-18T15:35:11Z	2018-08-10T11:58:03Z	43640591	4369423832	0	100	1479		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR6728263/SRR6728263.2	SRX3701183		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960612	simple	9606	Homo sapiens	GSM3004832							no					GEO	SRA659722		public	8898CB6ADDCB3309805CCC3B4F3ABFF3	038B07ED4A65A9CFFAA18D3290A400FC	8537917	wtHKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960612	GSM3004832	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 60 mins post stimulation with TGF-alpha	60 mins	Colon	TGF-alpha
SAMN08537918	SRR6728262	2019-09-18T15:35:11Z	2018-02-15T08:51:30Z	43541635	4328810217	0	99	1422		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728262/SRR6728262.1	SRX3701182		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960610	simple	9606	Homo sapiens	GSM3004831							no					GEO	SRA659722		public	CCD9CAADA19E21DB7A526793AEF91F10	A55546933F6E460684D3C9414A6F673B	8537918	wtHKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960610	GSM3004831	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 60 mins post stimulation with TGF-alpha	60 mins	Colon	TGF-alpha
SAMN08537919	SRR6728261	2019-09-18T15:35:11Z	2018-02-15T09:00:09Z	44553782	4447300103	0	99	1513		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728261/SRR6728261.1	SRX3701181		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960611	simple	9606	Homo sapiens	GSM3004830							no					GEO	SRA659722		public	9DC3E1A2E52847FB7A337D09AE326C81	DDBF45BD175141D513AD5CBD5ED494AB	8537919	wtHKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960611	GSM3004830	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 60 mins post stimulation with TGF-alpha	60 mins	Colon	TGF-alpha
SAMN08537920	SRR6728260	2019-09-18T15:35:11Z	2018-02-15T08:46:25Z	40660200	4072405233	0	100	1379		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728260/SRR6728260.1	SRX3701180		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960609	simple	9606	Homo sapiens	GSM3004829							no					GEO	SRA659722		public	CD047FE7C70159D219E0A6A91AF67004	F1C2045C48AD136825110B22926D64AF	8537920	wtHKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960609	GSM3004829	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 30 mins post stimulation with TGF-alpha	30 mins	Colon	TGF-alpha
SAMN08537921	SRR6728259	2019-09-18T15:35:11Z	2018-02-15T08:49:37Z	39593899	3922550255	0	99	1336		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728259/SRR6728259.1	SRX3701179		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960608	simple	9606	Homo sapiens	GSM3004828							no					GEO	SRA659722		public	4122FBE534813EAA173B743E68BC3790	45DB85E7A47E7DA60B91C5D4FC6BFF56	8537921	wtHKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960608	GSM3004828	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 30 mins post stimulation with TGF-alpha	30 mins	Colon	TGF-alpha
SAMN08537922	SRR6728258	2019-09-18T15:35:11Z	2018-08-10T11:54:04Z	40871115	4084025533	0	99	1415		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR6728258/SRR6728258.2	SRX3701178		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960606	simple	9606	Homo sapiens	GSM3004827							no					GEO	SRA659722		public	18EDB507C5C1BAA7A98BEC8CBA86F888	C5615055D46BB913CAED449CB722C661	8537922	wtHKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960606	GSM3004827	wtHKE3 colorectal cancer cells	wildtype-KRAS	wtHKE3 cells 30 mins post stimulation with TGF-alpha	30 mins	Colon	TGF-alpha
