BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype	replicate	source_name	treatment	group
SAMN22513028	SRR16541093	2022-07-19T14:36:25Z	2021-10-22T17:02:46Z	20161522	1516758289	0	75	600		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541093/SRR16541093.lite.1	SRX12743665	GSM5651638	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691878	simple	9606	Homo sapiens	GSM5651638							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	BE0A59AB9A49AF19439D31F31FB9A26B	55187DB074DC426CF93B8520B2E1F72A	22513028	ATRX WT cells, untreated, replicate 2	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691878	GSM5651638	U87 glioblastoma cells	WT	2	U87 glioblastoma cells	control	WT.control
SAMN22513029	SRR16541094	2022-07-19T14:36:25Z	2021-10-22T17:00:45Z	22051728	1658177579	0	75	656		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541094/SRR16541094.lite.1	SRX12743664	GSM5651637	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691879	simple	9606	Homo sapiens	GSM5651637							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	A9DD7B281033E262CBBFD83B184B1159	515006443A13E8C7F6DC8C0B49E0C0BA	22513029	ATRX WT cells, untreated, replicate 1	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691879	GSM5651637	U87 glioblastoma cells	WT	1	U87 glioblastoma cells	control	WT.control
SAMN22513030	SRR16541095	2022-07-19T14:36:25Z	2021-10-22T16:58:50Z	13527726	1018612820	0	75	384		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541095/SRR16541095.lite.1	SRX12743663	GSM5651636	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691877	simple	9606	Homo sapiens	GSM5651636							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	2BBCC99CC9C72C3AAAF130D2EF2E0753	9AA24EF1825D534F5A0BFA17E08D9C33	22513030	DAXX KO cells, Etoposide treated, replicate 3	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691877	GSM5651636	U87 glioblastoma cells	ATRX KO	3	U87 glioblastoma cells	etoposide	ATRX.KO.etoposide
SAMN22513031	SRR16541096	2022-07-19T14:36:25Z	2021-10-22T17:00:21Z	14664440	1104608738	0	75	419		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541096/SRR16541096.lite.1	SRX12743662	GSM5651635	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691876	simple	9606	Homo sapiens	GSM5651635							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	8F9FF6E4CEEA7A1FF739F2D9B340070D	05042DC8969DFE4B0EA63993125DCBDC	22513031	DAXX KO cells, Etoposide treated, replicate 2	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691876	GSM5651635	U87 glioblastoma cells	ATRX KO	2	U87 glioblastoma cells	etoposide	ATRX.KO.etoposide
SAMN22513032	SRR16541097	2022-07-19T14:36:25Z	2021-10-22T16:59:30Z	12412949	934844478	0	75	353		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541097/SRR16541097.lite.1	SRX12743661	GSM5651634	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691875	simple	9606	Homo sapiens	GSM5651634							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	57588E548F0E5F8ACD74032169C88E94	555088078EF5AE5A50E46F64AA38A1CB	22513032	DAXX KO cells, Etoposide treated, replicate 1	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691875	GSM5651634	U87 glioblastoma cells	ATRX KO	1	U87 glioblastoma cells	etoposide	ATRX.KO.etoposide
SAMN22513033	SRR16541098	2022-07-19T14:36:25Z	2021-10-22T16:59:23Z	11930366	898431580	0	75	338		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541098/SRR16541098.lite.1	SRX12743660	GSM5651633	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691874	simple	9606	Homo sapiens	GSM5651633							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	762B52B9C794142F33AAEE5805703ACC	1C8DE0089C2DEA25E0F1994E7709AD32	22513033	DAXX KO cells, untreated, replicate 3	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691874	GSM5651633	U87 glioblastoma cells	ATRX KO	3	U87 glioblastoma cells	control	ATRX.KO.control
SAMN22513034	SRR16541099	2022-07-19T14:36:25Z	2021-10-22T16:59:48Z	10708537	806350549	0	75	302		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16541/SRR16541099/SRR16541099.lite.1	SRX12743659	GSM5651632	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691873	simple	9606	Homo sapiens	GSM5651632							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	D43AD6804D328A8EC74497F1CD5481CA	72533B96F769BF51ABBB22ED1B495E94	22513034	DAXX KO cells, untreated, replicate 2	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691873	GSM5651632	U87 glioblastoma cells	ATRX KO	2	U87 glioblastoma cells	control	ATRX.KO.control
SAMN22513035	SRR16541100	2022-07-19T14:36:25Z	2021-10-22T17:00:12Z	11378388	856789557	0	75	322		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR016/16541/SRR16541100/SRR16541100.lite.1	SRX12743658	GSM5651631	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691872	simple	9606	Homo sapiens	GSM5651631							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	2281827C86D06A8AF84D86450D2D19CE	1D1606F41554D07363D2485F33662BE8	22513035	DAXX KO cells, untreated, replicate 1	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691872	GSM5651631	U87 glioblastoma cells	ATRX KO	1	U87 glioblastoma cells	control	ATRX.KO.control
SAMN22513036	SRR16541101	2022-07-19T14:36:25Z	2021-10-22T16:58:44Z	11941617	898634709	0	75	340		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541101/SRR16541101.lite.1	SRX12743657	GSM5651630	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691871	simple	9606	Homo sapiens	GSM5651630							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	0D7603862024122F928408658D64BA3E	D912A06C6BFC031DEBA64C2902275C32	22513036	DAXX WT cells, Etoposide treated, replicate 3	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691871	GSM5651630	U87 glioblastoma cells	WT	3	U87 glioblastoma cells	etoposide	WT.etoposide
SAMN22513037	SRR16541102	2022-07-19T14:36:25Z	2021-10-22T16:58:41Z	13212329	994424131	0	75	377		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR016/16541/SRR16541102/SRR16541102.lite.1	SRX12743656	GSM5651629	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691870	simple	9606	Homo sapiens	GSM5651629							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	5B9B04E6C0D1D70751E7E74B1A338F67	2FDE9991F73074EB6AF625A5D43190E1	22513037	DAXX WT cells, Etoposide treated, replicate 2	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691870	GSM5651629	U87 glioblastoma cells	WT	2	U87 glioblastoma cells	etoposide	WT.etoposide
SAMN22513038	SRR16541103	2022-07-19T14:36:25Z	2021-10-22T16:58:53Z	12609921	949192597	0	75	361		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541103/SRR16541103.lite.1	SRX12743655	GSM5651628	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691869	simple	9606	Homo sapiens	GSM5651628							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	677BEF6C25727D4BA6CC67398FF50637	7C686C470FB35497F2CBF56F7697EE49	22513038	DAXX WT cells, Etoposide treated, replicate 1	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691869	GSM5651628	U87 glioblastoma cells	WT	1	U87 glioblastoma cells	etoposide	WT.etoposide
SAMN22513039	SRR16541104	2022-07-19T14:36:25Z	2021-10-22T16:58:47Z	13086998	985686593	0	75	372		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16541/SRR16541104/SRR16541104.lite.1	SRX12743654	GSM5651627	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691868	simple	9606	Homo sapiens	GSM5651627							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	456EE4710813D0CD0860770CC4F38B29	E9E8CBF1DD56479A72D67B85578D9629	22513039	DAXX WT cells, untreated, replicate 3	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691868	GSM5651627	U87 glioblastoma cells	WT	3	U87 glioblastoma cells	control	WT.control
SAMN22513040	SRR16541105	2022-07-19T14:36:25Z	2021-10-22T17:00:11Z	13512726	1017664516	0	75	382		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541105/SRR16541105.lite.1	SRX12743653	GSM5651626	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691867	simple	9606	Homo sapiens	GSM5651626							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	7514EDC4F9A8A1191DA37F03F39F33BC	1BAEA25920E7A77FFE541C784D08DCE2	22513040	DAXX WT cells, untreated, replicate 2	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691867	GSM5651626	U87 glioblastoma cells	WT	2	U87 glioblastoma cells	control	WT.control
SAMN22513041	SRR16541106	2022-07-19T14:36:24Z	2021-10-22T17:00:16Z	15518651	1168478299	0	75	440		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16541/SRR16541106/SRR16541106.lite.1	SRX12743652	GSM5651625	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP342748	PRJNA773796	3	773796	SRS10691866	simple	9606	Homo sapiens	GSM5651625							no					GENOMICS, BIOINFORMATICS, THE WISTAR INSTITUTE	SRA1315817		public	24C8250935B5B252E5F01DEB0FE865B2	A34E31F0F524AABD1AD780457C046B2A	22513041	DAXX WT cells, untreated, replicate 1	Genomics, Bioinformatics, The Wistar Institute	9606	SRS10691866	GSM5651625	U87 glioblastoma cells	WT	1	U87 glioblastoma cells	control	WT.control
