BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	compound	genotype	source_name	time course	group
SAMN20169166	SRR15100686	2021-07-17T08:28:40Z	2021-07-12T10:59:23Z	6355811	317790550	0	50	115		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100686/SRR15100686.lite.1	SRX11410493		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454128	simple	9606	Homo sapiens	GSM5436577							no					GEO	SRA1257618		public	321C3C07CCA2DAF4C90C7AAF02477867	3914CBEC69A69168EAA914B677AD762A	20169166	SLFN11_KO1_100nM_Gem_24h_35	AstraZeneca	9606	SRS9454128	GSM5436577	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169166	SRR15100687	2021-07-17T08:28:40Z	2021-07-12T11:12:26Z	9311376	465568800	0	50	167		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100687/SRR15100687.lite.1	SRX11410493		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454128	simple	9606	Homo sapiens	GSM5436577							no					GEO	SRA1257618		public	608D3335D8D901FF992849E782DD9D07	83E6FECA30CDB5C72A4EE8BE7ADF11AF	20169166	SLFN11_KO1_100nM_Gem_24h_35	AstraZeneca	9606	SRS9454128	GSM5436577	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169166	SRR15100688	2021-07-17T08:28:40Z	2021-07-12T11:04:21Z	6176338	308816900	0	50	112		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100688/SRR15100688.lite.1	SRX11410493		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454128	simple	9606	Homo sapiens	GSM5436577							no					GEO	SRA1257618		public	24D0ABCC7B5822A0212ECCCF83ACE597	08DFAA1AA9DF25E167986330C1DEC11F	20169166	SLFN11_KO1_100nM_Gem_24h_35	AstraZeneca	9606	SRS9454128	GSM5436577	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169166	SRR15100689	2021-07-17T08:28:40Z	2021-07-12T10:54:13Z	6812487	340624350	0	50	123		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100689/SRR15100689.lite.1	SRX11410493		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454128	simple	9606	Homo sapiens	GSM5436577							no					GEO	SRA1257618		public	E8D4418F278432E61F3D8AD5A27EFFBF	B43F8966977E94371CD42749B3D597A7	20169166	SLFN11_KO1_100nM_Gem_24h_35	AstraZeneca	9606	SRS9454128	GSM5436577	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169166	SRR15100690	2021-07-17T08:28:40Z	2021-07-12T11:04:58Z	6501918	325095900	0	50	119		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100690/SRR15100690.lite.1	SRX11410493		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454128	simple	9606	Homo sapiens	GSM5436577							no					GEO	SRA1257618		public	3A9B1C2A909FA2BFB7A8D96E2FA187F1	48AB3A4FA48DC4E93BA59EF9FCE7467A	20169166	SLFN11_KO1_100nM_Gem_24h_35	AstraZeneca	9606	SRS9454128	GSM5436577	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169167	SRR15100681	2021-07-17T08:28:40Z	2021-07-12T11:04:55Z	5603951	280197550	0	50	101		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100681/SRR15100681.lite.1	SRX11410492		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454127	simple	9606	Homo sapiens	GSM5436576							no					GEO	SRA1257618		public	6AAE33FE420C7BAE3D07716C0EEB86E3	DBEFB55960A552D5DD33F3CAF52F8A52	20169167	SLFN11_KO1_100nM_Gem_24h_23	AstraZeneca	9606	SRS9454127	GSM5436576	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169167	SRR15100682	2021-07-17T08:28:40Z	2021-07-12T10:57:25Z	6050578	302528900	0	50	109		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100682/SRR15100682.lite.1	SRX11410492		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454127	simple	9606	Homo sapiens	GSM5436576							no					GEO	SRA1257618		public	8BDE57F66E463EE9ABB98F6EF1C824BB	E6A692A0C8CA9C4786481F00212EF436	20169167	SLFN11_KO1_100nM_Gem_24h_23	AstraZeneca	9606	SRS9454127	GSM5436576	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169167	SRR15100683	2021-07-17T08:28:40Z	2021-07-12T11:06:15Z	5752501	287625050	0	50	104		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100683/SRR15100683.lite.1	SRX11410492		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454127	simple	9606	Homo sapiens	GSM5436576							no					GEO	SRA1257618		public	508E409D2A9A8B9CEFDFC3007B99D951	69B90B7948512BDD8B936BA4B603DC57	20169167	SLFN11_KO1_100nM_Gem_24h_23	AstraZeneca	9606	SRS9454127	GSM5436576	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169167	SRR15100684	2021-07-17T08:28:40Z	2021-07-12T10:55:26Z	5591332	279566600	0	50	101		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100684/SRR15100684.lite.1	SRX11410492		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454127	simple	9606	Homo sapiens	GSM5436576							no					GEO	SRA1257618		public	1DAB5422877498A6F365737CA2C46969	CB5F7D4A783C1472B7A1D90BCA8048D7	20169167	SLFN11_KO1_100nM_Gem_24h_23	AstraZeneca	9606	SRS9454127	GSM5436576	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169167	SRR15100685	2021-07-17T08:28:40Z	2021-07-12T10:59:58Z	8461194	423059700	0	50	151		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100685/SRR15100685.lite.1	SRX11410492		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454127	simple	9606	Homo sapiens	GSM5436576							no					GEO	SRA1257618		public	001DA0CA44DCA6732BD4AEF1E3614483	F49AB95EC4E31902BDD4F6407BA7C692	20169167	SLFN11_KO1_100nM_Gem_24h_23	AstraZeneca	9606	SRS9454127	GSM5436576	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169168	SRR15100676	2021-07-17T08:28:40Z	2021-07-12T10:58:27Z	6678100	333905000	0	50	121		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100676/SRR15100676.lite.1	SRX11410491		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454126	simple	9606	Homo sapiens	GSM5436575							no					GEO	SRA1257618		public	E2606AAA00EAE9E9291077C71AB08A18	5EEE71A0C36D80C0A1A02E449E1D6B45	20169168	SLFN11_KO1_100nM_Gem_24h_11	AstraZeneca	9606	SRS9454126	GSM5436575	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169168	SRR15100677	2021-07-17T08:28:40Z	2021-07-12T11:21:18Z	10088010	504400500	0	50	180		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100677/SRR15100677.lite.1	SRX11410491		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454126	simple	9606	Homo sapiens	GSM5436575							no					GEO	SRA1257618		public	461802326BD3FB5146A0DF93498882EE	2AF6307E092D44D53443FFC9B9845999	20169168	SLFN11_KO1_100nM_Gem_24h_11	AstraZeneca	9606	SRS9454126	GSM5436575	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169168	SRR15100678	2021-07-17T08:28:40Z	2021-07-12T11:09:39Z	7224499	361224950	0	50	130		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100678/SRR15100678.lite.1	SRX11410491		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454126	simple	9606	Homo sapiens	GSM5436575							no					GEO	SRA1257618		public	3FFFD9409CB2893C4C4564456CFF8A98	1363865B24E18235FE1D0500C742F6D3	20169168	SLFN11_KO1_100nM_Gem_24h_11	AstraZeneca	9606	SRS9454126	GSM5436575	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169168	SRR15100679	2021-07-17T08:28:40Z	2021-07-12T11:07:05Z	6647285	332364250	0	50	119		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100679/SRR15100679.lite.1	SRX11410491		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454126	simple	9606	Homo sapiens	GSM5436575							no					GEO	SRA1257618		public	2C5D6E17B7510D6E6458D84408222AFF	F47B20CCB2E602DBAA1A5F7A6EAEB953	20169168	SLFN11_KO1_100nM_Gem_24h_11	AstraZeneca	9606	SRS9454126	GSM5436575	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169168	SRR15100680	2021-07-17T08:28:40Z	2021-07-12T11:00:33Z	6841223	342061150	0	50	124		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100680/SRR15100680.lite.1	SRX11410491		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454126	simple	9606	Homo sapiens	GSM5436575							no					GEO	SRA1257618		public	56CC216C4F07AE39CC1C2D35069CA991	035DD588B3FF4291A773F7347A91FADB	20169168	SLFN11_KO1_100nM_Gem_24h_11	AstraZeneca	9606	SRS9454126	GSM5436575	Gem	KO 1	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.1.Gem.100nM.24h
SAMN20169184	SRR15100781	2021-07-17T08:28:42Z	2021-07-12T11:45:09Z	5358963	267948150	0	50	96		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100781/SRR15100781.lite.1	SRX11410512		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454147	simple	9606	Homo sapiens	GSM5436596							no					GEO	SRA1257618		public	CDE835C08942EF0F80B3BA935CE5BDC7	3FDFE156509E9351556B68FA508ED515	20169184	SLFN11_KO2_cntrl_6h_15	AstraZeneca	9606	SRS9454147	GSM5436596	cntrl	KO 2	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.2.cntrl.6h
SAMN20169184	SRR15100782	2021-07-17T08:28:42Z	2021-07-12T11:37:19Z	5827924	291396200	0	50	105		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100782/SRR15100782.lite.1	SRX11410512		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454147	simple	9606	Homo sapiens	GSM5436596							no					GEO	SRA1257618		public	4ACD06A4D3C363820A89785D0A65428C	08FD25893504D6F9E483D4C82FEF24C9	20169184	SLFN11_KO2_cntrl_6h_15	AstraZeneca	9606	SRS9454147	GSM5436596	cntrl	KO 2	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.2.cntrl.6h
SAMN20169184	SRR15100783	2021-07-17T08:28:42Z	2021-07-12T11:45:00Z	5534009	276700450	0	50	100		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100783/SRR15100783.lite.1	SRX11410512		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454147	simple	9606	Homo sapiens	GSM5436596							no					GEO	SRA1257618		public	FEFEBE40FADC3841EB95477E3B4FA645	86BDD792572632E938488D5EB81271D5	20169184	SLFN11_KO2_cntrl_6h_15	AstraZeneca	9606	SRS9454147	GSM5436596	cntrl	KO 2	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.2.cntrl.6h
SAMN20169184	SRR15100784	2021-07-17T08:28:42Z	2021-07-12T11:39:15Z	5383253	269162650	0	50	97		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100784/SRR15100784.lite.1	SRX11410512		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454147	simple	9606	Homo sapiens	GSM5436596							no					GEO	SRA1257618		public	D1B5CF19B55169B171E2AD49443C3888	47096F7743DB2425F5D9872914033E4F	20169184	SLFN11_KO2_cntrl_6h_15	AstraZeneca	9606	SRS9454147	GSM5436596	cntrl	KO 2	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.2.cntrl.6h
SAMN20169184	SRR15100785	2021-07-17T08:28:42Z	2021-07-13T05:06:44Z	8069478	403473900	0	50	144		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100785/SRR15100785.lite.1	SRX11410512		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454147	simple	9606	Homo sapiens	GSM5436596							no					GEO	SRA1257618		public	A069113629F048407537FCCAD280CBC5	BF3E3283FD76F1914FC739712887D546	20169184	SLFN11_KO2_cntrl_6h_15	AstraZeneca	9606	SRS9454147	GSM5436596	cntrl	KO 2	DU145 SLFN11 knockout	6h	DU145.SLFN11.KO.2.cntrl.6h
SAMN20169185	SRR15100776	2021-07-17T08:28:42Z	2021-07-13T05:12:58Z	8697417	434870850	0	50	155		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100776/SRR15100776.lite.1	SRX11410511		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454146	simple	9606	Homo sapiens	GSM5436595							no					GEO	SRA1257618		public	ADEC39BEC40FE5FC7F4F737E702FAEB8	1407774EAA5344372C562190EC8859F4	20169185	SLFN11_KO2_cntrl_24h_9	AstraZeneca	9606	SRS9454146	GSM5436595	cntrl	KO 2	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.2.cntrl.24h
SAMN20169185	SRR15100777	2021-07-17T08:28:42Z	2021-07-12T11:46:20Z	5867335	293366750	0	50	106		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15100/SRR15100777/SRR15100777.lite.1	SRX11410511		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP327912	PRJNA745556	3	745556	SRS9454146	simple	9606	Homo sapiens	GSM5436595							no					GEO	SRA1257618		public	86CF39870B50A2E69508C7470141F596	B86E8AA7236A0823FE881B85CE4896E7	20169185	SLFN11_KO2_cntrl_24h_9	AstraZeneca	9606	SRS9454146	GSM5436595	cntrl	KO 2	DU145 SLFN11 knockout	24h	DU145.SLFN11.KO.2.cntrl.24h
