BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype/variation	source_name	treatment	group
SAMN11810134	SRR9104873	2019-08-30T16:32:09Z	2019-05-22T04:36:10Z	4776323	358224225	0	75	95	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104873/SRR9104873.1	SRX5879824		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802587	simple	9606	Homo sapiens	GSM3790438							no					GEO	SRA889226		public	B77262C70D3A9E17274CDB61F751150F	C864FD067FDFBDB536B51150F8833AB8	11810134	K562 DMSO R248Q_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802587	GSM3790438	K562	R248Q	Acute myeloid leukemia cell line	DMSO	K562.R248Q.DMSO
SAMN11810133	SRR9104874	2019-08-30T16:32:09Z	2019-05-22T04:36:36Z	6098551	457391325	0	75	122	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9104874/SRR9104874.1	SRX5879825		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802588	simple	9606	Homo sapiens	GSM3790439							no					GEO	SRA889226		public	21C90BF5B7DD55775EE227F4B3EB1055	58D44E141D32942C2688C4D20AF1C8C4	11810133	K562 DMSO R248Q_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802588	GSM3790439	K562	R248Q	Acute myeloid leukemia cell line	DMSO	K562.R248Q.DMSO
SAMN11810132	SRR9104875	2019-08-30T16:32:09Z	2019-05-22T04:27:53Z	4333634	325022550	0	75	86	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104875/SRR9104875.1	SRX5879826		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802589	simple	9606	Homo sapiens	GSM3790440							no					GEO	SRA889226		public	CA855D26FE41C6AA7C3C3E7486F1E730	A1428FFD97B7455D95410D30044951A7	11810132	K562 DMSO R273H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802589	GSM3790440	K562	R273H	Acute myeloid leukemia cell line	DMSO	K562.R273H.DMSO
SAMN11810131	SRR9104876	2019-08-30T16:32:09Z	2019-05-22T04:36:04Z	5053060	378979500	0	75	105	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104876/SRR9104876.1	SRX5879827		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802590	simple	9606	Homo sapiens	GSM3790441							no					GEO	SRA889226		public	D0BB2F65BF99F06892EE2EC84AE51636	72BC8B3414E0B53F71621AB486147A1A	11810131	K562 DMSO R273H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802590	GSM3790441	K562	R273H	Acute myeloid leukemia cell line	DMSO	K562.R273H.DMSO
SAMN11810130	SRR9104877	2019-08-30T16:32:09Z	2019-05-22T04:36:23Z	6018441	451383075	0	75	119	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104877/SRR9104877.1	SRX5879828		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802591	simple	9606	Homo sapiens	GSM3790442							no					GEO	SRA889226		public	26C76B314EBB7FD9B21CBF52BC76E69C	76637F33BE49F57059E73A41DFCDAD45	11810130	K562 DMSO R273H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802591	GSM3790442	K562	R273H	Acute myeloid leukemia cell line	DMSO	K562.R273H.DMSO
SAMN11810129	SRR9104878	2019-08-30T16:32:09Z	2019-05-22T04:40:32Z	17858531	1339389825	0	75	354	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9104878/SRR9104878.1	SRX5879829		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802592	simple	9606	Homo sapiens	GSM3790443							no					GEO	SRA889226		public	60F9159BB758FC0CF6302F348707EB9D	7FCBA874810D0E809519E4BBAE005F55	11810129	K562 DMSO R282W_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802592	GSM3790443	K562	R282W	Acute myeloid leukemia cell line	DMSO	K562.R282W.DMSO
SAMN11810128	SRR9104879	2019-08-30T16:32:09Z	2019-05-22T04:37:12Z	9913554	743516550	0	75	198	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9104879/SRR9104879.1	SRX5879830		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802593	simple	9606	Homo sapiens	GSM3790444							no					GEO	SRA889226		public	B674F568762B83367CD40009F0AFB771	246FBC885DC95EE490D07CD260236DB9	11810128	K562 DMSO R282W_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802593	GSM3790444	K562	R282W	Acute myeloid leukemia cell line	DMSO	K562.R282W.DMSO
SAMN11810127	SRR9104880	2019-08-30T16:32:09Z	2019-05-22T04:39:50Z	20173259	1512994425	0	75	392	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9104880/SRR9104880.1	SRX5879831		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802594	simple	9606	Homo sapiens	GSM3790445							no					GEO	SRA889226		public	66A569717907AA83BE8A9F2F08AC6D1C	ADAF311C1D4773A6266B177D2C83CB15	11810127	K562 DMSO R282W_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802594	GSM3790445	K562	R282W	Acute myeloid leukemia cell line	DMSO	K562.R282W.DMSO
SAMN11810126	SRR9104881	2019-08-30T16:32:09Z	2019-05-22T04:26:13Z	4439025	332926875	0	75	89	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9104881/SRR9104881.1	SRX5879832		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802595	simple	9606	Homo sapiens	GSM3790446							no					GEO	SRA889226		public	13CDBBCA4CBA379CAB72C93C60413755	24225DA92841C82410E468092FD2BA27	11810126	K562 DMSO KO_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802595	GSM3790446	K562	KO	Acute myeloid leukemia cell line	DMSO	K562.KO.DMSO
SAMN11810125	SRR9104882	2019-08-30T16:32:09Z	2019-05-22T04:36:01Z	5014660	376099500	0	75	99	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9104882/SRR9104882.1	SRX5879833		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802596	simple	9606	Homo sapiens	GSM3790447							no					GEO	SRA889226		public	F77607C53286A5B741B41AA053064A8C	7115539966B833A589A39375759DF6DA	11810125	K562 DMSO KO_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802596	GSM3790447	K562	KO	Acute myeloid leukemia cell line	DMSO	K562.KO.DMSO
SAMN11810124	SRR9104883	2019-08-30T16:32:09Z	2019-05-22T04:35:28Z	5941071	445580325	0	75	123	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9104883/SRR9104883.1	SRX5879834		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802597	simple	9606	Homo sapiens	GSM3790448							no					GEO	SRA889226		public	8A555674E6C78D14AA615C387BCEFCEA	26B408C2EC2B4AD34F0E1AB6E6DFEFD5	11810124	K562 DMSO KO_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802597	GSM3790448	K562	KO	Acute myeloid leukemia cell line	DMSO	K562.KO.DMSO
SAMN11810123	SRR9104884	2019-08-30T16:32:09Z	2019-05-22T04:28:02Z	4247097	318532275	0	75	85	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9104884/SRR9104884.1	SRX5879835		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802598	simple	9606	Homo sapiens	GSM3790449							no					GEO	SRA889226		public	9B24015E0A030618461E3351E80489C6	66FF056E8E1A65FB5A4843FB5FD07C98	11810123	K562 DMSO WT_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802598	GSM3790449	K562	WT	Acute myeloid leukemia cell line	DMSO	K562.WT.DMSO
SAMN11810186	SRR9104885	2019-08-30T16:32:09Z	2019-05-22T04:36:36Z	5125556	384416700	0	75	104	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9104885/SRR9104885.1	SRX5879836		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802599	simple	9606	Homo sapiens	GSM3790450							no					GEO	SRA889226		public	D1D34495797EBC9081A1F9E5C9DE48C9	686D22F16F665C686BC2D9D620880A34	11810186	K562 DMSO WT_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802599	GSM3790450	K562	WT	Acute myeloid leukemia cell line	DMSO	K562.WT.DMSO
SAMN11810185	SRR9104886	2019-08-30T16:32:09Z	2019-05-22T04:36:29Z	5796207	434715525	0	75	116	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104886/SRR9104886.1	SRX5879837		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802600	simple	9606	Homo sapiens	GSM3790451							no					GEO	SRA889226		public	CF1D03C29BE363F1EDCC61455A26A32F	0E5E7846D53BEB94CEF6E6AF8C564148	11810185	K562 DMSO WT_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802600	GSM3790451	K562	WT	Acute myeloid leukemia cell line	DMSO	K562.WT.DMSO
SAMN11810217	SRR9104887	2019-08-30T16:32:09Z	2019-05-22T04:26:48Z	6505339	487900425	0	75	123	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104887/SRR9104887.1	SRX5879838		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802601	simple	9606	Homo sapiens	GSM3790452							no					GEO	SRA889226		public	478A85E0F59448950909BE79DF2554C3	6F31A1544404BA077620106D93E43776	11810217	K562 Daunorubicin R175H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802601	GSM3790452	K562	R175H	Acute myeloid leukemia cell line	Daunorubicin	K562.R175H.Daunorubicin
SAMN11810216	SRR9104888	2019-08-30T16:32:09Z	2019-05-22T04:36:55Z	7557504	566812800	0	75	143	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9104888/SRR9104888.1	SRX5879839		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802602	simple	9606	Homo sapiens	GSM3790453							no					GEO	SRA889226		public	E2DB89B49DC7CF49B8F22AA0F3F23A58	A6CF62336167C966F9D004A45BD7D5CD	11810216	K562 Daunorubicin R175H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802602	GSM3790453	K562	R175H	Acute myeloid leukemia cell line	Daunorubicin	K562.R175H.Daunorubicin
SAMN11810215	SRR9104889	2019-08-30T16:32:09Z	2019-05-22T04:36:19Z	4824656	361849200	0	75	97	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104889/SRR9104889.1	SRX5879840		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802603	simple	9606	Homo sapiens	GSM3790454							no					GEO	SRA889226		public	E333DD7C03EBB9D02668D6DC1F2D01AE	22BD1A5AEC5EFBE38027888E06718C93	11810215	K562 Daunorubicin R175H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802603	GSM3790454	K562	R175H	Acute myeloid leukemia cell line	Daunorubicin	K562.R175H.Daunorubicin
SAMN11810214	SRR9104890	2019-08-30T16:32:09Z	2019-05-22T04:30:56Z	17335351	1300151325	0	75	334	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9104890/SRR9104890.1	SRX5879841		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802604	simple	9606	Homo sapiens	GSM3790455							no					GEO	SRA889226		public	99315A9851C70B169B2C69FE24CA663E	5CDCA43B14BDB413024E11471FB7E84B	11810214	K562 Daunorubicin Y220C_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802604	GSM3790455	K562	Y220C	Acute myeloid leukemia cell line	Daunorubicin	K562.Y220C.Daunorubicin
SAMN11810213	SRR9104891	2019-08-30T16:32:09Z	2019-05-22T04:36:51Z	7293935	547045125	0	75	137	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9104891/SRR9104891.1	SRX5879842		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802605	simple	9606	Homo sapiens	GSM3790456							no					GEO	SRA889226		public	8D5C48687F6F074089251415D145A97B	1B1F558BBC4B27ACC2D3FC044246DCE0	11810213	K562 Daunorubicin Y220C_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802605	GSM3790456	K562	Y220C	Acute myeloid leukemia cell line	Daunorubicin	K562.Y220C.Daunorubicin
SAMN11810212	SRR9104892	2019-08-30T16:32:09Z	2019-05-22T04:36:04Z	4777370	358302750	0	75	92	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104892/SRR9104892.1	SRX5879843		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802606	simple	9606	Homo sapiens	GSM3790457							no					GEO	SRA889226		public	62F03E9E642E275F495A84B6E041B7A0	4B4FCDB639F561A399DDE5D417D8E077	11810212	K562 Daunorubicin Y220C_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802606	GSM3790457	K562	Y220C	Acute myeloid leukemia cell line	Daunorubicin	K562.Y220C.Daunorubicin
SAMN11810211	SRR9104893	2019-08-30T16:32:09Z	2019-05-22T04:26:22Z	5347790	401084250	0	75	104	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9104893/SRR9104893.1	SRX5879844		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802607	simple	9606	Homo sapiens	GSM3790458							no					GEO	SRA889226		public	AC5FF642EDFC112CCAB99C5DD739BFAD	F749C8064087630695181B5142784AAD	11810211	K562 Daunorubicin M237I_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802607	GSM3790458	K562	M237I	Acute myeloid leukemia cell line	Daunorubicin	K562.M237I.Daunorubicin
SAMN11810210	SRR9104894	2019-08-30T16:32:10Z	2019-05-22T04:35:48Z	6378496	478387200	0	75	124	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9104894/SRR9104894.1	SRX5879845		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP199122	PRJNA544103	3	544103	SRS4802608	simple	9606	Homo sapiens	GSM3790459							no					GEO	SRA889226		public	34F52A88EA56740C47132EB65F1F24E8	A2069305E9DE81E327B3811ADEEC77E2	11810210	K562 Daunorubicin M237I_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802608	GSM3790459	K562	M237I	Acute myeloid leukemia cell line	Daunorubicin	K562.M237I.Daunorubicin
