accession	uid	title	organization	taxonomy	sra	geo	cell line	genotype/variation	source_name	treatment
SAMN11810133	11810133	K562 DMSO R248Q_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802588	GSM3790439	K562	R248Q	Acute myeloid leukemia cell line	DMSO
SAMN11810134	11810134	K562 DMSO R248Q_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802587	GSM3790438	K562	R248Q	Acute myeloid leukemia cell line	DMSO
SAMN11810135	11810135	K562 DMSO R248Q_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802586	GSM3790437	K562	R248Q	Acute myeloid leukemia cell line	DMSO
SAMN11810136	11810136	K562 DMSO M237I_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802585	GSM3790436	K562	M237I	Acute myeloid leukemia cell line	DMSO
SAMN11810137	11810137	K562 DMSO M237I_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802584	GSM3790435	K562	M237I	Acute myeloid leukemia cell line	DMSO
SAMN11810138	11810138	K562 DMSO M237I_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802583	GSM3790434	K562	M237I	Acute myeloid leukemia cell line	DMSO
SAMN11810139	11810139	K562 DMSO Y220C_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802582	GSM3790433	K562	Y220C	Acute myeloid leukemia cell line	DMSO
SAMN11810140	11810140	K562 DMSO Y220C_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802581	GSM3790432	K562	Y220C	Acute myeloid leukemia cell line	DMSO
SAMN11810141	11810141	K562 DMSO Y220C_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802580	GSM3790431	K562	Y220C	Acute myeloid leukemia cell line	DMSO
SAMN11810142	11810142	K562 DMSO R175H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802579	GSM3790430	K562	R175H	Acute myeloid leukemia cell line	DMSO
SAMN11810143	11810143	K562 DMSO R175H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802578	GSM3790429	K562	R175H	Acute myeloid leukemia cell line	DMSO
SAMN11810144	11810144	K562 DMSO R175H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802577	GSM3790428	K562	R175H	Acute myeloid leukemia cell line	DMSO
SAMN11810152	11810152	MOLM13 Daunorubicin WT_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802672	GSM3790523	MOLM13	WT	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810153	11810153	MOLM13 Daunorubicin WT_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802671	GSM3790522	MOLM13	WT	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810154	11810154	MOLM13 Daunorubicin WT_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802670	GSM3790521	MOLM13	WT	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810155	11810155	MOLM13 Daunorubicin KO_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802668	GSM3790520	MOLM13	KO	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810156	11810156	MOLM13 Daunorubicin KO_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802669	GSM3790519	MOLM13	KO	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810157	11810157	MOLM13 Daunorubicin KO_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802667	GSM3790518	MOLM13	KO	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810158	11810158	MOLM13 Daunorubicin R282W_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802666	GSM3790517	MOLM13	R282W	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810159	11810159	MOLM13 Daunorubicin R282W_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802665	GSM3790516	MOLM13	R282W	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810160	11810160	MOLM13 Daunorubicin R282W_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802664	GSM3790515	MOLM13	R282W	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810161	11810161	MOLM13 Daunorubicin R273H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802663	GSM3790514	MOLM13	R273H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810162	11810162	MOLM13 Daunorubicin R273H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802662	GSM3790513	MOLM13	R273H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810163	11810163	MOLM13 Daunorubicin R273H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802661	GSM3790512	MOLM13	R273H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810164	11810164	MOLM13 DMSO R282W_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802642	GSM3790493	MOLM13	R282W	Acute myeloid leukemia cell line	DMSO
SAMN11810165	11810165	MOLM13 DMSO R282W_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802641	GSM3790492	MOLM13	R282W	Acute myeloid leukemia cell line	DMSO
SAMN11810166	11810166	MOLM13 DMSO R282W_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802640	GSM3790491	MOLM13	R282W	Acute myeloid leukemia cell line	DMSO
SAMN11810167	11810167	MOLM13 DMSO R273H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802639	GSM3790490	MOLM13	R273H	Acute myeloid leukemia cell line	DMSO
SAMN11810168	11810168	MOLM13 DMSO R273H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802638	GSM3790489	MOLM13	R273H	Acute myeloid leukemia cell line	DMSO
SAMN11810169	11810169	MOLM13 DMSO R273H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802637	GSM3790488	MOLM13	R273H	Acute myeloid leukemia cell line	DMSO
SAMN11810170	11810170	MOLM13 DMSO R248Q_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802636	GSM3790487	MOLM13	R248Q	Acute myeloid leukemia cell line	DMSO
SAMN11810171	11810171	MOLM13 DMSO Y220C_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802629	GSM3790480	MOLM13	Y220C	Acute myeloid leukemia cell line	DMSO
SAMN11810172	11810172	MOLM13 DMSO Y220C_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802628	GSM3790479	MOLM13	Y220C	Acute myeloid leukemia cell line	DMSO
SAMN11810173	11810173	MOLM13 DMSO R248Q_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802635	GSM3790486	MOLM13	R248Q	Acute myeloid leukemia cell line	DMSO
SAMN11810174	11810174	MOLM13 DMSO R248Q_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802634	GSM3790485	MOLM13	R248Q	Acute myeloid leukemia cell line	DMSO
SAMN11810175	11810175	MOLM13 DMSO M237I_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802633	GSM3790484	MOLM13	M237I	Acute myeloid leukemia cell line	DMSO
SAMN11810176	11810176	MOLM13 DMSO M237I_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802632	GSM3790483	MOLM13	M237I	Acute myeloid leukemia cell line	DMSO
SAMN11810185	11810185	K562 DMSO WT_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802600	GSM3790451	K562	WT	Acute myeloid leukemia cell line	DMSO
SAMN11810186	11810186	K562 DMSO WT_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802599	GSM3790450	K562	WT	Acute myeloid leukemia cell line	DMSO
SAMN11810187	11810187	MOLM13 Daunorubicin R248Q_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802659	GSM3790510	MOLM13	R248Q	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810188	11810188	MOLM13 Daunorubicin R248Q_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802658	GSM3790509	MOLM13	R248Q	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810189	11810189	MOLM13 Daunorubicin M237I_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802657	GSM3790508	MOLM13	M237I	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810190	11810190	MOLM13 Daunorubicin M237I_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802656	GSM3790507	MOLM13	M237I	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810191	11810191	MOLM13 Daunorubicin M237I_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802655	GSM3790506	MOLM13	M237I	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810192	11810192	MOLM13 Daunorubicin Y220C_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802654	GSM3790505	MOLM13	Y220C	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810193	11810193	MOLM13 Daunorubicin Y220C_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802653	GSM3790504	MOLM13	Y220C	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810194	11810194	MOLM13 Daunorubicin Y220C_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802651	GSM3790503	MOLM13	Y220C	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810195	11810195	MOLM13 Daunorubicin R175H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802652	GSM3790502	MOLM13	R175H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810196	11810196	MOLM13 DMSO KO_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802643	GSM3790494	MOLM13	KO	Acute myeloid leukemia cell line	DMSO
SAMN11810197	11810197	MOLM13 Daunorubicin R175H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802650	GSM3790501	MOLM13	R175H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810198	11810198	MOLM13 Daunorubicin R175H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802649	GSM3790500	MOLM13	R175H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810199	11810199	MOLM13 DMSO WT_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802648	GSM3790499	MOLM13	WT	Acute myeloid leukemia cell line	DMSO
SAMN11810200	11810200	MOLM13 DMSO WT_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802647	GSM3790498	MOLM13	WT	Acute myeloid leukemia cell line	DMSO
SAMN11810201	11810201	MOLM13 DMSO WT_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802646	GSM3790497	MOLM13	WT	Acute myeloid leukemia cell line	DMSO
SAMN11810202	11810202	MOLM13 DMSO KO_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802645	GSM3790496	MOLM13	KO	Acute myeloid leukemia cell line	DMSO
SAMN11810203	11810203	MOLM13 DMSO KO_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802644	GSM3790495	MOLM13	KO	Acute myeloid leukemia cell line	DMSO
SAMN11810204	11810204	K562 Daunorubicin R273H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802614	GSM3790465	K562	R273H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810205	11810205	K562 Daunorubicin R273H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802613	GSM3790464	K562	R273H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810206	11810206	K562 Daunorubicin R248Q_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802612	GSM3790463	K562	R248Q	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810207	11810207	K562 Daunorubicin R248Q_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802611	GSM3790462	K562	R248Q	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810208	11810208	K562 Daunorubicin R248Q_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802610	GSM3790461	K562	R248Q	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810209	11810209	K562 Daunorubicin M237I_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802609	GSM3790460	K562	M237I	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810210	11810210	K562 Daunorubicin M237I_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802608	GSM3790459	K562	M237I	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810211	11810211	K562 Daunorubicin M237I_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802607	GSM3790458	K562	M237I	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810212	11810212	K562 Daunorubicin Y220C_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802606	GSM3790457	K562	Y220C	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810213	11810213	K562 Daunorubicin Y220C_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802605	GSM3790456	K562	Y220C	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810214	11810214	K562 Daunorubicin Y220C_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802604	GSM3790455	K562	Y220C	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810215	11810215	K562 Daunorubicin R175H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802603	GSM3790454	K562	R175H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810216	11810216	K562 Daunorubicin R175H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802602	GSM3790453	K562	R175H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810217	11810217	K562 Daunorubicin R175H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802601	GSM3790452	K562	R175H	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810218	11810218	MOLM13 DMSO M237I_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802631	GSM3790482	MOLM13	M237I	Acute myeloid leukemia cell line	DMSO
SAMN11810219	11810219	MOLM13 DMSO Y220C_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802630	GSM3790481	MOLM13	Y220C	Acute myeloid leukemia cell line	DMSO
SAMN11810220	11810220	MOLM13 DMSO R175H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802627	GSM3790478	MOLM13	R175H	Acute myeloid leukemia cell line	DMSO
SAMN11810221	11810221	MOLM13 DMSO R175H_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802626	GSM3790477	MOLM13	R175H	Acute myeloid leukemia cell line	DMSO
SAMN11810222	11810222	MOLM13 DMSO R175H_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802625	GSM3790476	MOLM13	R175H	Acute myeloid leukemia cell line	DMSO
SAMN11810223	11810223	K562 Daunorubicin WT_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802624	GSM3790475	K562	WT	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810224	11810224	K562 Daunorubicin WT_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802623	GSM3790474	K562	WT	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810225	11810225	K562 Daunorubicin WT_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802622	GSM3790473	K562	WT	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810226	11810226	K562 Daunorubicin KO_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802621	GSM3790472	K562	KO	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810227	11810227	K562 Daunorubicin KO_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802620	GSM3790471	K562	KO	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810228	11810228	K562 Daunorubicin KO_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802619	GSM3790470	K562	KO	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810229	11810229	K562 Daunorubicin R282W_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802618	GSM3790469	K562	R282W	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810230	11810230	K562 Daunorubicin R282W_rep2	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802617	GSM3790468	K562	R282W	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810231	11810231	K562 Daunorubicin R282W_rep1	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802616	GSM3790467	K562	R282W	Acute myeloid leukemia cell line	Daunorubicin
SAMN11810232	11810232	K562 Daunorubicin R273H_rep3	Ebert lab, Medical Oncology, DANA-FARBER CANCER INSTITUTE	9606	SRS4802615	GSM3790466	K562	R273H	Acute myeloid leukemia cell line	Daunorubicin
