accession	uid	title	organization	taxonomy	sra	geo	internal id	method	replicate	source_name	treatment
SAMN07555380	7555380	DMSO_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464733	GSM2753281	J2749	RNA-seq	rep1	MV-4-11-B cells	DMSO, 24h
SAMN07555381	7555381	DMSO_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464738	GSM2753286	J2740	RNA-seq	rep3	MV-4-11-B cells	DMSO, 4h
SAMN07555382	7555382	BI00894999_35nM_4h_Volasertib_20nM_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464732	GSM2753280	J2744	RNA-seq	rep3	MV-4-11-B cells	BI00894999, 35nM, 4h and Volasertib, 20nM, 4h
SAMN07555383	7555383	BI00894999_35nM_4h_Volasertib_20nM_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464731	GSM2753279	J2735	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 4h and Volasertib, 20nM, 4h
SAMN07555384	7555384	BI00894999_35nM_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464728	GSM2753276	J2734	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 4h
SAMN07555385	7555385	BI00894999_35nM_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464729	GSM2753277	J2743	RNA-seq	rep3	MV-4-11-B cells	BI00894999, 35nM, 4h
SAMN07555386	7555386	BI00894999_35nM_4h_Volasertib_20nM_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464730	GSM2753278	J2726	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 4h and Volasertib, 20nM, 4h
SAMN07555387	7555387	BI00894999_35nM_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464727	GSM2753275	J2725	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 4h
SAMN07555388	7555388	BI00894999_35nM_24h_Volasertib_20nM_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464726	GSM2753274	J2883	RNA-seq	rep3	MV-4-11-B cells	BI00894999, 35nM, 24h and Volasertib, 20nM, 24h
SAMN07555389	7555389	BI00894999_35nM_24h_Volasertib_20nM_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464725	GSM2753273	J2761	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 24h and Volasertib, 20nM, 24h
SAMN07555390	7555390	BI00894999_35nM_24h_Volasertib_20nM_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464724	GSM2753272	J2753	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 24h and Volasertib, 20nM, 24h
SAMN07555391	7555391	BI00894999_35nM_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464723	GSM2753271	J2768	RNA-seq	rep3	MV-4-11-B cells	BI00894999, 35nM, 24h
