BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell_line	source_name	time point	tissue	treatment	group
SAMN07283797	SRR5761891	2017-06-30T12:47:10Z	2017-06-27T16:11:03Z	9085093	463339743	0	51	203		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761891/SRR5761891.1	SRX2961640		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318418	simple	9606	Homo sapiens	GSM2687190							no					GEO	SRA581930		public	F37643591F1E72F434539EC50C6915C7	1F521E2BED26402D6DE0B1D11878E047	7283797	CHP212_C0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318418	GSM2687190	CHP212	Neuroblastoma	EP	Tumor	DMSO (CTRL)	CHP212.DMSO.EP
SAMN07283796	SRR5761892	2017-06-30T12:47:10Z	2017-06-27T16:11:37Z	9350082	476854182	0	51	210		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761892/SRR5761892.1	SRX2961641		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318419	simple	9606	Homo sapiens	GSM2687191							no					GEO	SRA581930		public	2C0E394E6A44A0A2EB82667723F7FF6A	786A39E1E6C6D8B40DEA124CD621E925	7283796	CHP212_C1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318419	GSM2687191	CHP212	Neuroblastoma	EP	Tumor	DMSO (CTRL)	CHP212.DMSO.EP
SAMN07283795	SRR5761893	2017-06-30T12:47:10Z	2017-06-27T16:11:15Z	10115528	515891928	0	51	226		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761893/SRR5761893.1	SRX2961642		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318420	simple	9606	Homo sapiens	GSM2687192							no					GEO	SRA581930		public	430134E6BA9DC8801688FD5332FDCB3C	328E67DA0473D32DFF9023E34B0D53FC	7283795	CHP212_C2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318420	GSM2687192	CHP212	Neuroblastoma	EP	Tumor	DMSO (CTRL)	CHP212.DMSO.EP
SAMN07283794	SRR5761894	2017-06-30T12:47:10Z	2017-06-27T16:11:16Z	7733780	394422780	0	51	173		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761894/SRR5761894.1	SRX2961643		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318421	simple	9606	Homo sapiens	GSM2687193							no					GEO	SRA581930		public	BD45D21D7FE4DFE128B4534DE53A8BAB	E78767808F4683C719ADEE179FEF1381	7283794	CHP212_C3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318421	GSM2687193	CHP212	Neuroblastoma	EP	Tumor	DMSO (CTRL)	CHP212.DMSO.EP
SAMN07283793	SRR5761895	2017-06-30T12:47:10Z	2017-06-27T16:13:21Z	19038734	970975434	0	51	426		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761895/SRR5761895.1	SRX2961644		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318422	simple	9606	Homo sapiens	GSM2687194							no					GEO	SRA581930		public	55316197E2C6FBC609F0FF57FA0214E9	B514CDFB7EC9AB9778FFBD66BBBA4944	7283793	CHP212_C4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318422	GSM2687194	CHP212	Neuroblastoma	EP	Tumor	DMSO (CTRL)	CHP212.DMSO.EP
SAMN07283789	SRR5761896	2017-06-30T12:47:10Z	2017-06-27T16:11:41Z	10400450	530422950	0	51	233		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761896/SRR5761896.1	SRX2961645		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318423	simple	9606	Homo sapiens	GSM2687195							no					GEO	SRA581930		public	019A707210EEE11FD2AAC43915BA3DB5	9D8F9EEF28A8F60F828B2784269EC0EC	7283789	CHP212_R0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318423	GSM2687195	CHP212	Neuroblastoma	EP	Tumor	RA	CHP212.RA.EP
SAMN07283788	SRR5761897	2017-06-30T12:47:10Z	2017-06-27T16:11:26Z	9344731	476581281	0	51	210		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761897/SRR5761897.1	SRX2961646		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318424	simple	9606	Homo sapiens	GSM2687196							no					GEO	SRA581930		public	8AFC4EDBDB909BDC58B5BE2817D51F6F	23BC09F61800D61758F1548B0AD16C67	7283788	CHP212_R1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318424	GSM2687196	CHP212	Neuroblastoma	EP	Tumor	RA	CHP212.RA.EP
SAMN07283787	SRR5761898	2017-06-30T12:47:10Z	2017-06-27T16:10:33Z	6765811	345056361	0	51	152		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761898/SRR5761898.1	SRX2961647		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318425	simple	9606	Homo sapiens	GSM2687197							no					GEO	SRA581930		public	55F6AB901023CB6F9EB338D6F9ACEF97	52F523CF449C6E1DA5CDA7806E2CFE2D	7283787	CHP212_R2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318425	GSM2687197	CHP212	Neuroblastoma	EP	Tumor	RA	CHP212.RA.EP
SAMN07283851	SRR5761899	2017-06-30T12:47:10Z	2017-06-27T16:11:38Z	9894079	504598029	0	51	221		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761899/SRR5761899.1	SRX2961648		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318426	simple	9606	Homo sapiens	GSM2687198							no					GEO	SRA581930		public	11DDFF69795D208EEEDD1182228C24C7	31F5190E35265FE38C5BD613EFEB0BC9	7283851	CHP212_R3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318426	GSM2687198	CHP212	Neuroblastoma	EP	Tumor	RA	CHP212.RA.EP
SAMN07283792	SRR5761900	2017-06-30T12:47:10Z	2017-06-27T16:12:11Z	11649590	594129090	0	51	260		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761900/SRR5761900.1	SRX2961649		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318427	simple	9606	Homo sapiens	GSM2687199							no					GEO	SRA581930		public	007A01BE722C5F18E7BF7CC678021647	D0446CC0A4152DD3084F8C46EF92A070	7283792	CHP212_R4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318427	GSM2687199	CHP212	Neuroblastoma	EP	Tumor	RA	CHP212.RA.EP
SAMN07283791	SRR5761901	2017-06-30T12:47:10Z	2017-06-27T16:11:38Z	11179443	570151593	0	51	251		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761901/SRR5761901.1	SRX2961650		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318428	simple	9606	Homo sapiens	GSM2687200							no					GEO	SRA581930		public	B6D3931049F45C7CAEAB280B66688B24	C0D1E2AED7E4941BB3C346E30E71E354	7283791	Lan1_A0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318428	GSM2687200	LAN-1	Neuroblastoma	EP	Tumor	AZA	LAN1.AZA.EP
SAMN07283790	SRR5761902	2017-06-30T12:47:10Z	2017-06-27T16:13:16Z	11258048	574160448	0	51	252		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761902/SRR5761902.1	SRX2961651		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318429	simple	9606	Homo sapiens	GSM2687201							no					GEO	SRA581930		public	BDA495A996C550906E7CC5EBA859BC44	F098985075C2755EDBEC07B97FEE08E3	7283790	Lan1_A2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318429	GSM2687201	LAN-1	Neuroblastoma	EP	Tumor	AZA	LAN1.AZA.EP
SAMN07283850	SRR5761903	2017-06-30T12:47:10Z	2017-06-27T16:11:39Z	8834084	450538284	0	51	200		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761903/SRR5761903.1	SRX2961652		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318430	simple	9606	Homo sapiens	GSM2687202							no					GEO	SRA581930		public	B5BE87E19F718BF9A6D1EBFDD6909774	93215BD6C7DBEFCEEBFD54E33701159E	7283850	Lan1_A4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318430	GSM2687202	LAN-1	Neuroblastoma	EP	Tumor	AZA	LAN1.AZA.EP
SAMN07283849	SRR5761904	2017-06-30T12:47:10Z	2017-06-27T16:11:28Z	9275591	473055141	0	51	209		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761904/SRR5761904.1	SRX2961653		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318431	simple	9606	Homo sapiens	GSM2687203							no					GEO	SRA581930		public	02D2424AD837B336EAA68EE033C81C2C	F8FCB365F91BA51597336D19BB3247C7	7283849	Lan1_AR0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318431	GSM2687203	LAN-1	Neuroblastoma	EP	Tumor	AZA + RA	LAN1.AZA_RA.EP
SAMN07283848	SRR5761905	2017-06-30T12:47:10Z	2017-06-27T16:10:14Z	4906711	250242261	0	51	110		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761905/SRR5761905.1	SRX2961654		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318432	simple	9606	Homo sapiens	GSM2687204							no					GEO	SRA581930		public	8BBC90DB295BBA62C6E8B43D686694A3	EF08BE6C8ED05DC096BC8DCC8592F6F8	7283848	Lan1_AR1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318432	GSM2687204	LAN-1	Neuroblastoma	EP	Tumor	AZA + RA	LAN1.AZA_RA.EP
SAMN07283847	SRR5761906	2017-06-30T12:47:10Z	2017-06-27T16:10:37Z	4941846	252034146	0	51	112		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761906/SRR5761906.1	SRX2961655		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318433	simple	9606	Homo sapiens	GSM2687205							no					GEO	SRA581930		public	CF551F9918530A8ED1FFFB6D5F21B297	0326B284D78D6B2E29608E5D55F7461C	7283847	Lan1_AR3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318433	GSM2687205	LAN-1	Neuroblastoma	EP	Tumor	AZA + RA	LAN1.AZA_RA.EP
SAMN07283846	SRR5761907	2017-06-30T12:47:10Z	2017-06-27T16:10:56Z	6918403	352838553	0	51	157		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761907/SRR5761907.1	SRX2961656		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318434	simple	9606	Homo sapiens	GSM2687206							no					GEO	SRA581930		public	3AF19B1C476F5E2BB7897E5C76733E87	2B9EC8A81D57AD9FAE16A6572BF1333A	7283846	Lan1_AR4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318434	GSM2687206	LAN-1	Neuroblastoma	EP	Tumor	AZA + RA	LAN1.AZA_RA.EP
SAMN07283845	SRR5761908	2017-06-30T12:47:10Z	2017-06-27T16:10:16Z	4796699	244631649	0	51	108		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761908/SRR5761908.1	SRX2961657		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318435	simple	9606	Homo sapiens	GSM2687207							no					GEO	SRA581930		public	2E8E5644F03475E259102DB010C208EE	2C1B0593FBD44C40C55BFFBD8E818CE1	7283845	Lan1_C0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318435	GSM2687207	LAN-1	Neuroblastoma	EP	Tumor	DMSO (CTRL)	LAN1.DMSO.EP
SAMN07283844	SRR5761909	2017-06-30T12:47:10Z	2017-06-27T16:11:12Z	7707452	393080052	0	51	173		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761909/SRR5761909.1	SRX2961658		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318436	simple	9606	Homo sapiens	GSM2687208							no					GEO	SRA581930		public	53D29782CC66A12E000F157BAFEA6203	CEDBE62EE556260C9FB2A0C5CA9870C5	7283844	Lan1_C1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318436	GSM2687208	LAN-1	Neuroblastoma	EP	Tumor	DMSO (CTRL)	LAN1.DMSO.EP
SAMN07283993	SRR5761910	2017-06-30T12:47:10Z	2017-06-27T16:11:56Z	9479350	483446850	0	51	212		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761910/SRR5761910.1	SRX2961659		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318437	simple	9606	Homo sapiens	GSM2687209							no					GEO	SRA581930		public	E5074032FFC284B81AAF186ECAFB7C73	FC3AAEA5C2718898A265BE696A4A1F91	7283993	Lan1_C2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318437	GSM2687209	LAN-1	Neuroblastoma	EP	Tumor	DMSO (CTRL)	LAN1.DMSO.EP
SAMN07283836	SRR5761911	2017-06-30T12:47:10Z	2017-06-27T16:11:27Z	9217834	470109534	0	51	207		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761911/SRR5761911.1	SRX2961660		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318438	simple	9606	Homo sapiens	GSM2687210							no					GEO	SRA581930		public	1FA31786902D3006E9C86B1AA1A2899F	9A45FE91C7ED75D2249882506C1139AF	7283836	Lan1_C4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318438	GSM2687210	LAN-1	Neuroblastoma	EP	Tumor	DMSO (CTRL)	LAN1.DMSO.EP
SAMN07283835	SRR5761912	2017-06-30T12:47:10Z	2017-06-27T16:12:11Z	10756990	548606490	0	51	234		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761912/SRR5761912.1	SRX2961661		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318439	simple	9606	Homo sapiens	GSM2687211							no					GEO	SRA581930		public	18424889FBF54DD3D7C3FD35922893F3	F7CC27A66D0056B2F0B34D97A5EF8ACA	7283835	LAN1_D10_CTRL_B1_3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318439	GSM2687211	LAN-1	Neuroblastoma	day10	Tumor	DMSO (CTRL)	LAN1.DMSO.day10
SAMN07283834	SRR5761913	2017-06-30T12:47:10Z	2017-06-27T16:12:02Z	9635916	491431716	0	51	212		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761913/SRR5761913.1	SRX2961662		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318440	simple	9606	Homo sapiens	GSM2687212							no					GEO	SRA581930		public	BB1CB8A13D7B0BAE60CA00B3202F2E5E	2FFF2B51AD0BBD8952071E17D5D466E4	7283834	LAN1_D10_CTRL_B2_0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318440	GSM2687212	LAN-1	Neuroblastoma	day10	Tumor	DMSO (CTRL)	LAN1.DMSO.day10
