BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	agent	antibody	cell line	source_name	treated with	group
SAMN07260266	SRR5724785	2018-06-21T12:28:08Z	2017-06-21T11:01:41Z	2831569	210867867	0	74	74		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724785/SRR5724785.1	SRX2940771		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301892	simple	9606	Homo sapiens	GSM2677397							no					GEO	SRA578435		public	BE5E59162B13AA287C2055786249E399	15F016B22B71765072E6F4788F01F357	7260266	UACC257_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301892	GSM2677397			UACC62	UACC62	none (untreated)	UACC62.control
SAMN07260265	SRR5724786	2018-06-21T12:28:08Z	2017-06-21T11:03:36Z	5389310	401407796	0	74	142		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724786/SRR5724786.1	SRX2940772		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301893	simple	9606	Homo sapiens	GSM2677398							no					GEO	SRA578435		public	DED65DD709D6F340BF2801F8BCA6B940	DF53716E225C2423B746D49EFB60E6D5	7260265	UACC62_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301893	GSM2677398			UACC257	UACC257	none (untreated)	UACC257.control
SAMN07260264	SRR5724787	2018-06-21T12:28:08Z	2017-06-21T11:03:55Z	4801308	357735716	0	74	127		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724787/SRR5724787.1	SRX2940773		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301894	simple	9606	Homo sapiens	GSM2677399							no					GEO	SRA578435		public	36690BEE7483A4F0A58DB54C62E7C739	0E58BB97FBC7446681E64BA8047C11A3	7260264	MCF7_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301894	GSM2677399			MCF7	MCF7	4Gy for 3hrs	MCF7.4GY_3hr
SAMN07260263	SRR5724788	2018-06-21T12:28:08Z	2017-06-21T11:04:14Z	8488174	632468072	0	74	224		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724788/SRR5724788.1	SRX2940774		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301895	simple	9606	Homo sapiens	GSM2677400							no					GEO	SRA578435		public	53541A3F7AF439D094E51717FDFB37E7	3E45D79FF810F755A3DAA7B9FC11BA90	7260263	LOXIMVI_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301895	GSM2677400			LOXIMVI	LOXIMVI	4Gy for 3hrs	LOXIMVI.4GY_3hr
SAMN07260262	SRR5724789	2018-06-21T12:28:08Z	2017-06-21T11:06:21Z	14220064	1059204952	0	74	373		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5724789/SRR5724789.1	SRX2940775		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301896	simple	9606	Homo sapiens	GSM2677401							no					GEO	SRA578435		public	37E623C678AE56C88F2F25A079E6E7F6	3EFB88E9EBF2A42CABA7ECC0B460CE93	7260262	UO31_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301896	GSM2677401			UO31	UO31	4Gy for 3hrs	UO31.4GY_3hr
SAMN07260261	SRR5724790	2018-06-21T12:28:08Z	2017-06-21T11:04:50Z	8955302	666931669	0	74	233		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724790/SRR5724790.1	SRX2940776		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301897	simple	9606	Homo sapiens	GSM2677402							no					GEO	SRA578435		public	90826A71B0F0A603E45883A73BCFA991	1EDF873E7A35C9903C692AF40C5F1FFE	7260261	A498_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301897	GSM2677402			A498	A498	4Gy for 3hrs	A498.4GY_3hr
SAMN07260260	SRR5724791	2018-06-21T12:28:08Z	2017-06-21T11:06:16Z	13342592	994189027	0	74	351		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724791/SRR5724791.1	SRX2940777		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301898	simple	9606	Homo sapiens	GSM2677403							no					GEO	SRA578435		public	2A51A15B151EBD5684C7CD193073D9D4	13E6611C66342E1AF8BE6672076DD1AA	7260260	U2OS_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301898	GSM2677403			U2OS	U2OS	4Gy for 3hrs	U2OS.4GY_3hr
SAMN07260259	SRR5724792	2018-06-21T12:28:08Z	2017-06-21T11:06:35Z	12016534	895122149	0	74	315		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724792/SRR5724792.1	SRX2940778		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301899	simple	9606	Homo sapiens	GSM2677404							no					GEO	SRA578435		public	4F47CBBDAE00029FC5B4EC7855E2DEE5	5F762C942B9B16859713FF27A3933529	7260259	SKMEL5_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301899	GSM2677404			SKMEL5	SKMEL5	4Gy for 3hrs	SKMEL5.4GY_3hr
SAMN07260258	SRR5724793	2018-06-21T12:28:08Z	2017-06-21T11:04:01Z	3590994	267536130	0	74	94		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724793/SRR5724793.1	SRX2940779		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301900	simple	9606	Homo sapiens	GSM2677405							no					GEO	SRA578435		public	F7C4988FDF04A4EB835C025B7D11B205	3D815111464B39BDC5BF3C0E24654B00	7260258	MALME3_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301900	GSM2677405			MALME3	MALME3	4Gy for 3hrs	MALME3.4GY_3hr
SAMN07260257	SRR5724794	2018-06-21T12:28:08Z	2017-06-21T11:06:08Z	3555275	264624107	0	74	95		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724794/SRR5724794.1	SRX2940780		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301901	simple	9606	Homo sapiens	GSM2677406							no					GEO	SRA578435		public	4FC0397CC179A0EF2228E7F7780F15CE	A514DA3C64200913CC45E4AAEFC5F78A	7260257	H460_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301901	GSM2677406			H460	H460	4Gy for 3hrs	H460.4GY_3hr
SAMN07260256	SRR5724795	2018-06-21T12:28:08Z	2017-06-21T11:08:13Z	7264943	541275520	0	74	188		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724795/SRR5724795.1	SRX2940781		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301902	simple	9606	Homo sapiens	GSM2677407							no					GEO	SRA578435		public	8EAF16B765FDD0D0FBA1ABE3E045F005	462FC3D3E09BD2306973A966B7EABE65	7260256	A549_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301902	GSM2677407			A549	A549	4Gy for 3hrs	A549.4GY_3hr
SAMN07260255	SRR5724796	2018-06-21T12:28:08Z	2017-06-21T11:06:55Z	3483339	259568619	0	74	92		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724796/SRR5724796.1	SRX2940782		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301903	simple	9606	Homo sapiens	GSM2677408							no					GEO	SRA578435		public	A3CF89655ED616F0E8C1F419ADA35954	ABED04354FFB92D1C267F17841D27BC4	7260255	HCT116_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301903	GSM2677408			HCT116	HCT116	4Gy for 3hrs	HCT116.4GY_3hr
SAMN07260254	SRR5724797	2018-06-21T12:28:08Z	2017-06-21T11:07:52Z	6752736	503292004	0	74	177		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724797/SRR5724797.1	SRX2940783		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301904	simple	9606	Homo sapiens	GSM2677409							no					GEO	SRA578435		public	649229C6AFC38D3B4189595368574B6B	AC0E210B3B4E5671BA85001FC449BEBF	7260254	UACC257_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301904	GSM2677409			UACC62	UACC62	4Gy for 3hrs	UACC62.4GY_3hr
SAMN07260253	SRR5724798	2018-06-21T12:28:08Z	2017-06-21T11:06:52Z	3757371	279922271	0	74	99		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724798/SRR5724798.1	SRX2940784		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301905	simple	9606	Homo sapiens	GSM2677410							no					GEO	SRA578435		public	D71918A76ADAE988A9670E8B483991F9	FD9BA17085C9ABDB4F26B8DF40D2E133	7260253	UACC62_mRNA, 3hrs 4Gy	Lahav, systems biology, Harvard Medical School	9606	SRS2301905	GSM2677410			UACC257	UACC257	4Gy for 3hrs	UACC257.4GY_3hr
SAMN11663537	SRR9074406	2019-10-24T09:43:07Z	2019-05-16T16:45:03Z	5978891	448416825	0	75	157		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9074406/SRR9074406.1	SRX5849930		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774775	simple	9606	Homo sapiens	GSM3771336							no					GEO	SRA578435		public	848720441FDA3FD92073E9916A473C4F	807178F6ADE28CDE952C431D81DF2734	11663537	A549_NT_RNAseq_r1	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774775	GSM3771336	none		A549	A549		A549.control
SAMN11663536	SRR9074407	2019-10-24T09:43:07Z	2019-05-16T16:47:13Z	13420168	1006512600	0	75	353		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9074407/SRR9074407.1	SRX5849931		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774776	simple	9606	Homo sapiens	GSM3771337							no					GEO	SRA578435		public	6DC1DEBAE99780F8D089E31EF1076854	4BBA47D0DBE3A3F50413C18855DE738A	11663536	A549_NT_RNAseq_r2	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774776	GSM3771337	none		A549	A549		A549.control
SAMN11663535	SRR9074408	2019-10-24T09:43:07Z	2019-05-16T16:45:20Z	7201241	540093075	0	75	189		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9074408/SRR9074408.1	SRX5849932		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774777	simple	9606	Homo sapiens	GSM3771338							no					GEO	SRA578435		public	559F877967ED4A7052C5FAE4381541D6	D94CCFB7964BBBA2877C8F81CC21F840	11663535	A549_NT_RNAseq_r3	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774777	GSM3771338	none		A549	A549		A549.control
SAMN11663534	SRR9074409	2019-10-24T09:43:07Z	2019-05-16T16:45:11Z	6189387	464204025	0	75	163		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9074409/SRR9074409.1	SRX5849933		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774778	simple	9606	Homo sapiens	GSM3771339							no					GEO	SRA578435		public	D8074C52B25B9862ADEACE72BAD20838	357F17D55B8345C20A0BB08FE7A753DF	11663534	A549_NUT_RNAseq_r1	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774778	GSM3771339	NUT		A549	A549		A549.NUT
SAMN11663533	SRR9074410	2019-10-24T09:43:07Z	2019-05-16T16:46:01Z	9858145	739360875	0	75	259		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9074410/SRR9074410.1	SRX5849934		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774779	simple	9606	Homo sapiens	GSM3771340							no					GEO	SRA578435		public	A5DAC1A63CCF0A3D20FA1CBDE8951381	D3CCB33682BC913E88A5E7362353EF9F	11663533	A549_NUT_RNAseq_r2	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774779	GSM3771340		NUT	A549	A549		A549.NUT
SAMN11663532	SRR9074411	2019-10-24T09:43:08Z	2019-05-16T16:47:58Z	18031344	1352350800	0	75	476		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9074411/SRR9074411.1	SRX5849935		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774780	simple	9606	Homo sapiens	GSM3771341							no					GEO	SRA578435		public	DFD0D6D7243658B679E9ABF9B2DFCE26	CC3317FF75858892CE859C13FF82F16A	11663532	A549_NUT_RNAseq_r3	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774780	GSM3771341	NUT		A549	A549		A549.NUT
SAMN11663531	SRR9074412	2019-10-24T09:43:08Z	2019-05-16T16:44:55Z	4696489	352236675	0	75	124		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9074412/SRR9074412.1	SRX5849936		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774781	simple	9606	Homo sapiens	GSM3771342							no					GEO	SRA578435		public	6568C92A0C2F20761A67E6CE1679443E	68098D08CE99A472696C4E9FE545CA6F	11663531	A549_TGFB_RNAseq_r1	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774781	GSM3771342	TGFB		A549	A549		A549.TGFB
SAMN11663530	SRR9074413	2019-10-24T09:43:08Z	2019-05-16T16:45:42Z	7823054	586729050	0	75	205		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9074413/SRR9074413.1	SRX5849937		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774782	simple	9606	Homo sapiens	GSM3771343							no					GEO	SRA578435		public	B9E4B3FC8CFD13F3ACAC530917BCEA75	DF68AF6A671C1FCA3C3E571CE2881714	11663530	A549_TGFB_RNAseq_r2	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774782	GSM3771343	TGFB		A549	A549		A549.TGFB
SAMN11663529	SRR9074414	2019-10-24T09:43:08Z	2019-05-16T16:46:36Z	12608582	945643650	0	75	334		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9074414/SRR9074414.1	SRX5849938		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774783	simple	9606	Homo sapiens	GSM3771344							no					GEO	SRA578435		public	668A70A79B95C801C29B21DA8C4FC631	F7560DED06A8030C6B19EC42807760BF	11663529	A549_TGFB_RNAseq_r3	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774783	GSM3771344	TGFB		A549	A549		A549.TGFB
SAMN11663528	SRR9074415	2019-10-24T09:43:08Z	2019-05-16T16:49:36Z	9426085	706956375	0	75	248		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9074415/SRR9074415.1	SRX5849939		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774784	simple	9606	Homo sapiens	GSM3771345							no					GEO	SRA578435		public	AB7655288E8AC5CBA5724F8A4CB79B24	D5A5064C9FDEC11BDC44D0E7B149832E	11663528	A549_TGFB_NUT_RNAseq_r1	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774784	GSM3771345	TGFB_NUT		A549	A549		A549.TGFB_NUT
SAMN11663527	SRR9074416	2019-10-24T09:43:08Z	2019-05-16T16:46:58Z	13684246	1026318450	0	75	362		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9074416/SRR9074416.1	SRX5849940		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS4774785	simple	9606	Homo sapiens	GSM3771346							no					GEO	SRA578435		public	49CF5AD355FAC9DCC9B69F61BDD337DE	C05615F724A033967B9EC1AE6CB395D8	11663527	A549_TGFB_NUT_RNAseq_r2	Stewart-Ornstein, computational and systems biology, University of Pittsburgh, School of Medicine	9606	SRS4774785	GSM3771346	TGFB_NUT		A549	A549		A549.TGFB_NUT
