accession	uid	title	organization	taxonomy	sra	geo	batch	cell line	compound	source_name	time-point
SAMN06611337	6611337	DMSO__6 [CR06B3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054217	GSM2539850	6	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611338	6611338	Ciclopirox_5_6 [CR06B12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054216	GSM2539849	6	H-STS NET	Ciclopirox	H-STS NET cell line, Ciclopirox, 6h	6h
SAMN06611339	6611339	Ciclopirox_5_6 [CR06B11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054215	GSM2539848	6	H-STS NET	Ciclopirox	H-STS NET cell line, Ciclopirox, 6h	6h
SAMN06611340	6611340	CHM-1_0.084_6 [CR06B6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054214	GSM2539847	6	H-STS NET	CHM-1	H-STS NET cell line, CHM-1, 6h	6h
SAMN06611341	6611341	CHM-1_0.084_6 [CR06B5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054213	GSM2539846	6	H-STS NET	CHM-1	H-STS NET cell line, CHM-1, 6h	6h
SAMN06611342	6611342	Cerulenin_0.68_6 [CR06A12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054212	GSM2539845	6	H-STS NET	Cerulenin	H-STS NET cell line, Cerulenin, 6h	6h
SAMN06611343	6611343	SCH-79797_0.06_6 [CR09A11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054361	GSM2539994	9	H-STS NET	SCH-79797	H-STS NET cell line, SCH-79797, 6h	6h
SAMN06611344	6611344	SCH-529074_0.48_6 [CR09A6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054360	GSM2539993	9	H-STS NET	SCH-529074	H-STS NET cell line, SCH-529074, 6h	6h
SAMN06611345	6611345	SCH-529074_0.48_6 [CR09A5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054359	GSM2539992	9	H-STS NET	SCH-529074	H-STS NET cell line, SCH-529074, 6h	6h
SAMN06611346	6611346	SB-743921_0.0004_6 [CR09B9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054357	GSM2539991	9	H-STS NET	SB-743921	H-STS NET cell line, SB-743921, 6h	6h
SAMN06611347	6611347	SB-743921_0.0004_6 [CR09B10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054355	GSM2539990	9	H-STS NET	SB-743921	H-STS NET cell line, SB-743921, 6h	6h
SAMN06611348	6611348	SB-225002_0.25_6 [CR09A9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054356	GSM2539989	9	H-STS NET	SB-225002	H-STS NET cell line, SB-225002, 6h	6h
SAMN06611349	6611349	SB-225002_0.25_6 [CR09A10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054358	GSM2539988	9	H-STS NET	SB-225002	H-STS NET cell line, SB-225002, 6h	6h
SAMN06611350	6611350	Rigosertib_0.1_6 [CR09A4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054354	GSM2539987	9	H-STS NET	Rigosertib	H-STS NET cell line, Rigosertib, 6h	6h
SAMN06611351	6611351	Rigosertib_0.1_6 [CR09A3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054353	GSM2539986	9	H-STS NET	Rigosertib	H-STS NET cell line, Rigosertib, 6h	6h
SAMN06611352	6611352	PHA-665752_2.88_6 [CR09B8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054352	GSM2539985	9	H-STS NET	PHA-665752	H-STS NET cell line, PHA-665752, 6h	6h
SAMN06611353	6611353	PHA-665752_2.88_6 [CR09B7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054351	GSM2539984	9	H-STS NET	PHA-665752	H-STS NET cell line, PHA-665752, 6h	6h
SAMN06611354	6611354	PF-3758309_0.008_6 [CR09B2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054350	GSM2539983	9	H-STS NET	PF-3758309	H-STS NET cell line, PF-3758309, 6h	6h
SAMN06611355	6611355	PF-3758309_0.008_6 [CR09B1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054349	GSM2539982	9	H-STS NET	PF-3758309	H-STS NET cell line, PF-3758309, 6h	6h
SAMN06611356	6611356	Paclitaxel_0.003_6 [CR09A8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054348	GSM2539981	9	H-STS NET	Paclitaxel	H-STS NET cell line, Paclitaxel, 6h	6h
SAMN06611357	6611357	Paclitaxel_0.003_6 [CR09A7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054347	GSM2539980	9	H-STS NET	Paclitaxel	H-STS NET cell line, Paclitaxel, 6h	6h
SAMN06611358	6611358	PAC-1_4_6 [CR09A2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054345	GSM2539979	9	H-STS NET	PAC-1	H-STS NET cell line, PAC-1, 6h	6h
SAMN06611359	6611359	PAC-1_4_6 [CR09A1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054346	GSM2539978	9	H-STS NET	PAC-1	H-STS NET cell line, PAC-1, 6h	6h
SAMN06611360	6611360	Istradefylline_20_6 [CR09B12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054344	GSM2539977	9	H-STS NET	Istradefylline	H-STS NET cell line, Istradefylline, 6h	6h
SAMN06611361	6611361	Istradefylline_20_6 [CR09B11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054343	GSM2539976	9	H-STS NET	Istradefylline	H-STS NET cell line, Istradefylline, 6h	6h
SAMN06611362	6611362	FK866_20_6 [CR09B6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054342	GSM2539975	9	H-STS NET	FK866	H-STS NET cell line, FK866, 6h	6h
SAMN06611363	6611363	FK866_20_6 [CR09B5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054341	GSM2539974	9	H-STS NET	FK866	H-STS NET cell line, FK866, 6h	6h
SAMN06611364	6611364	DMSO__6 [CR09B4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054340	GSM2539973	9	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611365	6611365	DMSO__6 [CR09B3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054339	GSM2539972	9	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611366	6611366	Nutlin-3_0.84_24 [CR08D12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054338	GSM2539971	8	H-STS NET	Nutlin-3	H-STS NET cell line, Nutlin-3, 24h	24h
SAMN06611367	6611367	Nutlin-3_0.84_24 [CR08D11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054337	GSM2539970	8	H-STS NET	Nutlin-3	H-STS NET cell line, Nutlin-3, 24h	24h
SAMN06611368	6611368	Neratinib_0.25_24 [CR08D6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054336	GSM2539969	8	H-STS NET	Neratinib	H-STS NET cell line, Neratinib, 24h	24h
SAMN06611369	6611369	Neratinib_0.25_24 [CR08D5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054334	GSM2539968	8	H-STS NET	Neratinib	H-STS NET cell line, Neratinib, 24h	24h
SAMN06611370	6611370	Necrosulfonamide_4_24 [CR08C12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054335	GSM2539967	8	H-STS NET	Necrosulfonamide	H-STS NET cell line, Necrosulfonamide, 24h	24h
SAMN06611371	6611371	Necrosulfonamide_4_24 [CR08C11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054332	GSM2539966	8	H-STS NET	Necrosulfonamide	H-STS NET cell line, Necrosulfonamide, 24h	24h
SAMN06611372	6611372	GSK461364_0.01_24 [CR10C9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054425	GSM2540058	10B	H-STS NET	GSK461364	H-STS NET cell line, GSK461364, 24h	24h
SAMN06611373	6611373	Vorinostat_0.2_6 [CR10B7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054417	GSM2540052	10B	H-STS NET	Vorinostat	H-STS NET cell line, Vorinostat, 6h	6h
SAMN06611374	6611374	TW-37_4_6 [CR10A2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054419	GSM2540051	10B	H-STS NET	TW-37	H-STS NET cell line, TW-37, 6h	6h
SAMN06611375	6611375	TW-37_4_6 [CR10A1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054418	GSM2540050	10B	H-STS NET	TW-37	H-STS NET cell line, TW-37, 6h	6h
SAMN06611376	6611376	Sorafenib_3.72_6 [CR10B2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054416	GSM2540049	10B	H-STS NET	Sorafenib	H-STS NET cell line, Sorafenib, 6h	6h
SAMN06611377	6611377	Sorafenib_3.72_6 [CR10B1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054415	GSM2540048	10B	H-STS NET	Sorafenib	H-STS NET cell line, Sorafenib, 6h	6h
SAMN06611378	6611378	Pluripotin_0.005_6 [CR10A8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054413	GSM2540047	10B	H-STS NET	Pluripotin	H-STS NET cell line, Pluripotin, 6h	6h
SAMN06611379	6611379	Pluripotin_0.005_6 [CR10A7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054412	GSM2540046	10B	H-STS NET	Pluripotin	H-STS NET cell line, Pluripotin, 6h	6h
SAMN06611380	6611380	GSK461364_0.01_6 [CR10A10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054411	GSM2540045	10B	H-STS NET	GSK461364	H-STS NET cell line, GSK461364, 6h	6h
SAMN06611381	6611381	GSK461364_0.01_6 [CR10A9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054414	GSM2540044	10B	H-STS NET	GSK461364	H-STS NET cell line, GSK461364, 6h	6h
SAMN06611382	6611382	DMSO__6 [CR10B4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054410	GSM2540043	10B	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611383	6611383	DMSO__6 [CR10B3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054409	GSM2540042	10B	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611384	6611384	Bortezomib_0.02_6 [CR10A4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054408	GSM2540041	10B	H-STS NET	Bortezomib	H-STS NET cell line, Bortezomib, 6h	6h
SAMN06611385	6611385	Bortezomib_0.02_6 [CR10A3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054406	GSM2540040	10B	H-STS NET	Bortezomib	H-STS NET cell line, Bortezomib, 6h	6h
SAMN06611386	6611386	GSK1210151A_0.88_24 [CR10C12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054405	GSM2540039	10A	H-STS NET	GSK1210151A	H-STS NET cell line, GSK1210151A, 24h	24h
SAMN06611387	6611387	GSK1210151A_0.88_24 [CR10C11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054404	GSM2540038	10A	H-STS NET	GSK1210151A	H-STS NET cell line, GSK1210151A, 24h	24h
SAMN06611388	6611388	Gemcitabine_0.05_24 [CR10D12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054407	GSM2540037	10A	H-STS NET	Gemcitabine	H-STS NET cell line, Gemcitabine, 24h	24h
SAMN06611389	6611389	Gemcitabine_0.05_24 [CR10D11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054403	GSM2540036	10A	H-STS NET	Gemcitabine	H-STS NET cell line, Gemcitabine, 24h	24h
SAMN06611390	6611390	Erastin_10_24 [CR10D6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054402	GSM2540035	10A	H-STS NET	Erastin	H-STS NET cell line, Erastin, 24h	24h
SAMN06611391	6611391	Erastin_10_24 [CR10D5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054401	GSM2540034	10A	H-STS NET	Erastin	H-STS NET cell line, Erastin, 24h	24h
SAMN06611392	6611392	DMSO__24 [CR10D10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054400	GSM2540033	10A	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611393	6611393	DMSO__24 [CR10D9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054399	GSM2540032	10A	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611394	6611394	Bortezomib_0.0088_24 [CR10C6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054397	GSM2540031	10A	H-STS NET	Bortezomib	H-STS NET cell line, Bortezomib, 24h	24h
SAMN06611395	6611395	Bortezomib_0.0088_24 [CR10C5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054398	GSM2540030	10A	H-STS NET	Bortezomib	H-STS NET cell line, Bortezomib, 24h	24h
SAMN06611396	6611396	GSK1210151A_0.88_6 [CR10A12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054396	GSM2540029	10A	H-STS NET	GSK1210151A	H-STS NET cell line, GSK1210151A, 6h	6h
SAMN06611397	6611397	GSK1210151A_0.88_6 [CR10A11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054395	GSM2540028	10A	H-STS NET	GSK1210151A	H-STS NET cell line, GSK1210151A, 6h	6h
SAMN06611398	6611398	Gemcitabine_0.05_6 [CR10B12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054394	GSM2540027	10A	H-STS NET	Gemcitabine	H-STS NET cell line, Gemcitabine, 6h	6h
SAMN06611399	6611399	Gemcitabine_0.05_6 [CR10B11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054393	GSM2540026	10A	H-STS NET	Gemcitabine	H-STS NET cell line, Gemcitabine, 6h	6h
SAMN06611400	6611400	Erastin_10_6 [CR10B6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054392	GSM2540025	10A	H-STS NET	Erastin	H-STS NET cell line, Erastin, 6h	6h
SAMN06611401	6611401	DMSO__24 [CR06D3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054242	GSM2539874	6	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611402	6611402	Ciclopirox_5_24 [CR06D12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054239	GSM2539873	6	H-STS NET	Ciclopirox	H-STS NET cell line, Ciclopirox, 24h	24h
SAMN06611403	6611403	Ciclopirox_5_24 [CR06D11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054240	GSM2539872	6	H-STS NET	Ciclopirox	H-STS NET cell line, Ciclopirox, 24h	24h
SAMN06611404	6611404	CHM-1_0.084_24 [CR06D6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054237	GSM2539871	6	H-STS NET	CHM-1	H-STS NET cell line, CHM-1, 24h	24h
SAMN06611405	6611405	CHM-1_0.084_24 [CR06D5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054238	GSM2539870	6	H-STS NET	CHM-1	H-STS NET cell line, CHM-1, 24h	24h
SAMN06611406	6611406	Cerulenin_0.68_24 [CR06C12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054236	GSM2539869	6	H-STS NET	Cerulenin	H-STS NET cell line, Cerulenin, 24h	24h
SAMN06611407	6611407	Cerulenin_0.68_24 [CR06C11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054235	GSM2539868	6	H-STS NET	Cerulenin	H-STS NET cell line, Cerulenin, 24h	24h
SAMN06611408	6611408	Brivanib_7_24 [CR06C6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054234	GSM2539867	6	H-STS NET	Brivanib	H-STS NET cell line, Brivanib, 24h	24h
SAMN06611409	6611409	Brivanib_7_24 [CR06C5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054233	GSM2539866	6	H-STS NET	Brivanib	H-STS NET cell line, Brivanib, 24h	24h
SAMN06611410	6611410	Bexarotene_20_24 [CR06D9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054232	GSM2539865	6	H-STS NET	Bexarotene	H-STS NET cell line, Bexarotene, 24h	24h
SAMN06611411	6611411	Bexarotene_20_24 [CR06D10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054231	GSM2539864	6	H-STS NET	Bexarotene	H-STS NET cell line, Bexarotene, 24h	24h
SAMN06611412	6611412	Bardoxolone methyl_0.15_24 [CR06C9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054230	GSM2539863	6	H-STS NET	Bardoxolone methyl	H-STS NET cell line, Bardoxolone methyl, 24h	24h
SAMN06611413	6611413	Bardoxolone methyl_0.15_24 [CR06C10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054229	GSM2539862	6	H-STS NET	Bardoxolone methyl	H-STS NET cell line, Bardoxolone methyl, 24h	24h
SAMN06611414	6611414	Bafetinib_3.24_24 [CR06C4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054228	GSM2539861	6	H-STS NET	Bafetinib	H-STS NET cell line, Bafetinib, 24h	24h
SAMN06611415	6611415	Bortezomib_0.0088_6 [CR10A5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054387	GSM2540020	10A	H-STS NET	Bortezomib	H-STS NET cell line, Bortezomib, 6h	6h
SAMN06611416	6611416	SCH-79797_0.06_24 [CR09C12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054386	GSM2540019	9	H-STS NET	SCH-79797	H-STS NET cell line, SCH-79797, 24h	24h
SAMN06611417	6611417	SCH-79797_0.06_24 [CR09C11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054385	GSM2540018	9	H-STS NET	SCH-79797	H-STS NET cell line, SCH-79797, 24h	24h
SAMN06611418	6611418	SCH-529074_0.48_24 [CR09C6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054383	GSM2540017	9	H-STS NET	SCH-529074	H-STS NET cell line, SCH-529074, 24h	24h
SAMN06611419	6611419	SCH-529074_0.48_24 [CR09C5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054384	GSM2540016	9	H-STS NET	SCH-529074	H-STS NET cell line, SCH-529074, 24h	24h
SAMN06611420	6611420	SB-743921_0.0004_24 [CR09D9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054382	GSM2540015	9	H-STS NET	SB-743921	H-STS NET cell line, SB-743921, 24h	24h
SAMN06611421	6611421	SB-743921_0.0004_24 [CR09D10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054381	GSM2540014	9	H-STS NET	SB-743921	H-STS NET cell line, SB-743921, 24h	24h
SAMN06611422	6611422	SB-225002_0.25_24 [CR09C9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054380	GSM2540013	9	H-STS NET	SB-225002	H-STS NET cell line, SB-225002, 24h	24h
SAMN06611423	6611423	SB-225002_0.25_24 [CR09C10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054379	GSM2540012	9	H-STS NET	SB-225002	H-STS NET cell line, SB-225002, 24h	24h
SAMN06611424	6611424	Rigosertib_0.1_24 [CR09C4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054378	GSM2540011	9	H-STS NET	Rigosertib	H-STS NET cell line, Rigosertib, 24h	24h
SAMN06611425	6611425	Rigosertib_0.1_24 [CR09C3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054377	GSM2540010	9	H-STS NET	Rigosertib	H-STS NET cell line, Rigosertib, 24h	24h
SAMN06611426	6611426	PHA-665752_2.88_24 [CR09D8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054376	GSM2540009	9	H-STS NET	PHA-665752	H-STS NET cell line, PHA-665752, 24h	24h
SAMN06611427	6611427	PHA-665752_2.88_24 [CR09D7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054375	GSM2540008	9	H-STS NET	PHA-665752	H-STS NET cell line, PHA-665752, 24h	24h
SAMN06611428	6611428	PF-3758309_0.008_24 [CR09D2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054373	GSM2540007	9	H-STS NET	PF-3758309	H-STS NET cell line, PF-3758309, 24h	24h
SAMN06611429	6611429	PF-3758309_0.008_24 [CR09D1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054374	GSM2540006	9	H-STS NET	PF-3758309	H-STS NET cell line, PF-3758309, 24h	24h
SAMN06611430	6611430	Paclitaxel_0.003_24 [CR09C8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054372	GSM2540005	9	H-STS NET	Paclitaxel	H-STS NET cell line, Paclitaxel, 24h	24h
SAMN06611431	6611431	Paclitaxel_0.003_24 [CR09C7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054371	GSM2540004	9	H-STS NET	Paclitaxel	H-STS NET cell line, Paclitaxel, 24h	24h
SAMN06611432	6611432	PAC-1_4_24 [CR09C2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054370	GSM2540003	9	H-STS NET	PAC-1	H-STS NET cell line, PAC-1, 24h	24h
SAMN06611433	6611433	DMSO__24 [CR09D4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054364	GSM2539997	9	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611434	6611434	PAC-1_4_24 [CR09C1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054368	GSM2540002	9	H-STS NET	PAC-1	H-STS NET cell line, PAC-1, 24h	24h
SAMN06611435	6611435	Istradefylline_20_24 [CR09D12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054369	GSM2540001	9	H-STS NET	Istradefylline	H-STS NET cell line, Istradefylline, 24h	24h
SAMN06611436	6611436	Istradefylline_20_24 [CR09D11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054367	GSM2540000	9	H-STS NET	Istradefylline	H-STS NET cell line, Istradefylline, 24h	24h
SAMN06611437	6611437	FK866_20_24 [CR09D6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054366	GSM2539999	9	H-STS NET	FK866	H-STS NET cell line, FK866, 24h	24h
SAMN06611438	6611438	FK866_20_24 [CR09D5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054365	GSM2539998	9	H-STS NET	FK866	H-STS NET cell line, FK866, 24h	24h
SAMN06611439	6611439	DMSO__24 [CR09D3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054362	GSM2539996	9	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611440	6611440	SCH-79797_0.06_6 [CR09A12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054363	GSM2539995	9	H-STS NET	SCH-79797	H-STS NET cell line, SCH-79797, 6h	6h
SAMN06611441	6611441	SNX-2112_0.006_6 [CR2D01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054066	GSM2539699	2	H-STS NET	SNX-2112	H-STS NET cell line, SNX-2112, 6h	6h
SAMN06611442	6611442	SNX-2112_0.066_6 [CR2C12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054065	GSM2539698	2	H-STS NET	SNX-2112	H-STS NET cell line, SNX-2112, 6h	6h
SAMN06611443	6611443	DMSO_0_6 [CR2C02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054058	GSM2539692	2	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611444	6611444	DMSO_0_6 [CR2C01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054059	GSM2539691	2	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611445	6611445	NVP-231_0.028_6 [CR2B12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054057	GSM2539690	2	H-STS NET	NVP-231	H-STS NET cell line, NVP-231, 6h	6h
