BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype/variation	source_name	treatment	group
SAMN10768532	SRR8453567	2019-08-13T16:54:25Z	2019-01-17T21:21:04Z	65623926	19687177800	65623926	300	7059		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8453567/SRR8453567.1	SRX5260270		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261318	simple	9606	Homo sapiens	GSM3568621							no					GEO	SRA823022		public	42900F40A48E5ABE4C6EE94641F4F2C7	F10732D787C6C9CF64BFC120C610A0C0	10768532	L123_K562_SRSF2_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261318	GSM3568621	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	control	K562.SRSF2.control
SAMN10768533	SRR8453566	2019-08-13T16:54:25Z	2019-01-17T21:07:22Z	65168245	19550473500	65168245	300	7027		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8453566/SRR8453566.1	SRX5260269		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261317	simple	9606	Homo sapiens	GSM3568620							no					GEO	SRA823022		public	3E1310C6704FFBE29DB86AB39F3CDD3B	501D1A6564F02AEE34D9EFDC437AD0F4	10768533	L123_K562_WT_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261317	GSM3568620	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_GSK591	K562.WT.MS023_GSK591
SAMN10768534	SRR8453565	2019-08-13T16:54:25Z	2019-01-17T21:07:34Z	64520148	19356044400	64520148	300	6973		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8453565/SRR8453565.1	SRX5260268		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261316	simple	9606	Homo sapiens	GSM3568619							no					GEO	SRA823022		public	F8DFB93E8F3E043B2A191420F4F95435	5833A2A5E0DBAE8F18CEBDAE059C35D8	10768534	L123_K562_WT_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261316	GSM3568619	K562	chronic myelogenous leukemia cells	WT	K562 cell line	GSK591_250nM	K562.WT.GSK591_250nM
SAMN10768535	SRR8453564	2019-08-13T16:54:25Z	2019-01-17T21:29:26Z	64319969	19295990700	64319969	300	6967		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8453564/SRR8453564.1	SRX5260267		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261315	simple	9606	Homo sapiens	GSM3568618							no					GEO	SRA823022		public	F437FEE89215F349A2C2C4CBB51B1DA3	19AF082229517904D6DCAAB88A2E4A4D	10768535	L123_K562_WT_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261315	GSM3568618	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_250nM	K562.WT.MS023_250nM
SAMN10768536	SRR8453563	2019-08-13T16:54:25Z	2019-01-17T21:16:01Z	69230786	20769235800	69230786	300	7467		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8453563/SRR8453563.1	SRX5260266		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261314	simple	9606	Homo sapiens	GSM3568617							no					GEO	SRA823022		public	DEA050CAA3CCEC9ED559ADA428AF0345	AB27D5ABE6F6B833D01F1062E65054C5	10768536	L123_K562_WT_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261314	GSM3568617	K562	chronic myelogenous leukemia cells	WT	K562 cell line	control	K562.WT.control
SAMN10768537	SRR8453586	2019-08-13T16:54:25Z	2019-01-17T21:46:06Z	83707016	25112104800	83707016	300	9036		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8453586/SRR8453586.1	SRX5260289		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261335	simple	9606	Homo sapiens	GSM3568640							no					GEO	SRA823022		public	6775CAE79325B21A9DC1C80B1B3E3F2E	8753560EA579605FB85D235214717BE2	10768537	L125_K562_SRSF2_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261335	GSM3568640	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_GSK591	K562.SRSF2.MS023_GSK591
SAMN10768538	SRR8453585	2019-08-13T16:54:25Z	2019-01-17T21:16:55Z	64594744	19378423200	64594744	300	6928		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8453585/SRR8453585.1	SRX5260288		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261337	simple	9606	Homo sapiens	GSM3568639							no					GEO	SRA823022		public	F97D0BBCF8EB99EAEDDC867FB6994756	6071F5AD7FEE2CDC603160F7F29681FF	10768538	L125_K562_SRSF2_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261337	GSM3568639	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	GSK591_250nM	K562.SRSF2.GSK591_250nM
SAMN10768539	SRR8453584	2019-08-13T16:54:25Z	2019-01-17T21:23:30Z	77041579	23112473700	77041579	300	8297		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8453584/SRR8453584.1	SRX5260287		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261336	simple	9606	Homo sapiens	GSM3568638							no					GEO	SRA823022		public	8E419817A04F4D38D29574BF000F5ADE	3232AB1686EE29E3BC0FB11C605EADB0	10768539	L125_K562_SRSF2_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261336	GSM3568638	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_250nM	K562.SRSF2.MS023_250nM
SAMN10768540	SRR8453583	2019-08-13T16:54:25Z	2019-01-17T21:16:00Z	70692228	21207668400	70692228	300	7632		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8453583/SRR8453583.1	SRX5260286		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261333	simple	9606	Homo sapiens	GSM3568637							no					GEO	SRA823022		public	CF84EF75B514C3D18DE836C4B55BC4FB	559E5188AFD6963CBAC73496F8687B32	10768540	L125_K562_SRSF2_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261333	GSM3568637	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	control	K562.SRSF2.control
SAMN10768541	SRR8453582	2019-08-13T16:54:25Z	2019-01-17T21:19:04Z	63176645	18952993500	63176645	300	6848		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8453582/SRR8453582.1	SRX5260285		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261332	simple	9606	Homo sapiens	GSM3568636							no					GEO	SRA823022		public	A828B94B8722A3BE005EF026CDC5AEBB	B375BD91A91BBA7DC23773151EEDAF29	10768541	L125_K562_WT_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261332	GSM3568636	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_GSK591	K562.WT.MS023_GSK591
SAMN10768542	SRR8453581	2019-08-13T16:54:25Z	2019-01-17T21:41:48Z	70319585	21095875500	70319585	300	7627		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8453581/SRR8453581.1	SRX5260284		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261334	simple	9606	Homo sapiens	GSM3568635							no					GEO	SRA823022		public	520B67C9368A929EBC631611A8C46CB6	0C73B72CE98EEB590653377B5BDA7053	10768542	L125_K562_WT_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261334	GSM3568635	K562	chronic myelogenous leukemia cells	WT	K562 cell line	GSK591_250nM	K562.WT.GSK591_250nM
SAMN10768543	SRR8453580	2019-08-13T16:54:25Z	2019-01-17T21:21:07Z	59940628	17982188400	59940628	300	6520		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8453580/SRR8453580.1	SRX5260283		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261331	simple	9606	Homo sapiens	GSM3568634							no					GEO	SRA823022		public	45A73E0989ED021CC24052662CDC7A24	1165EEC3A2F909E58B8BC27D04EDC979	10768543	L125_K562_WT_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261331	GSM3568634	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_250nM	K562.WT.MS023_250nM
SAMN10768544	SRR8453579	2019-08-13T16:54:25Z	2019-01-17T21:20:52Z	68720882	20616264600	68720882	300	7428		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8453579/SRR8453579.1	SRX5260282		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261330	simple	9606	Homo sapiens	GSM3568633							no					GEO	SRA823022		public	4318358E45107D09E77F7B24AA38BDB8	5E7E112D770008655C8EB45F2CD268E9	10768544	L125_K562_WT_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261330	GSM3568633	K562	chronic myelogenous leukemia cells	WT	K562 cell line	control	K562.WT.control
SAMN10768545	SRR8453578	2019-08-13T16:54:25Z	2019-01-17T21:00:15Z	49295833	14788749900	49295833	300	5303		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8453578/SRR8453578.1	SRX5260281		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261329	simple	9606	Homo sapiens	GSM3568632							no					GEO	SRA823022		public	26C494496B6381C85B3F41BD6CBAA48F	C514E5155CB8D7E76DF0549F4D7E693C	10768545	L124_K562_SRSF2_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261329	GSM3568632	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_GSK591	K562.SRSF2.MS023_GSK591
