accession	uid	title	organization	taxonomy	sra	geo	disease	source_name	tissue	treatment
SAMN19108157	19108157	Colorectal Cancer Cells - HCT116_NIVO+sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928064	GSM5289951	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-1 for 24h
SAMN19108158	19108158	Colorectal Cancer Cells - HCT116_sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928063	GSM5289950	Colorectal carcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108159	19108159	Melanoma Cancer Cells - PES43_NIVO+sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928033	GSM5289968	Melanoma	Melanoma Cancer Cells	Skin	NIVO+sPDL-2 for 24h
SAMN19108160	19108160	Melanoma Cancer Cells - PES43_NIVO+sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928032	GSM5289967	Melanoma	Melanoma Cancer Cells	Skin	NIVO+sPDL-1 for 24h
SAMN19108161	19108161	Melanoma Cancer Cells - PES43_sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928031	GSM5289966	Melanoma	Melanoma Cancer Cells	Skin	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108162	19108162	Melanoma Cancer Cells - PES43_sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928030	GSM5289965	Melanoma	Melanoma Cancer Cells	Skin	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108163	19108163	Melanoma Cancer Cells - PES43_NIVO_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928029	GSM5289964	Melanoma	Melanoma Cancer Cells	Skin	NIVOLUMAB (NIVO) for 24h
SAMN19108164	19108164	Melanoma Cancer Cells - PES43_NIVO_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928028	GSM5289963	Melanoma	Melanoma Cancer Cells	Skin	NIVOLUMAB (NIVO) for 24h
SAMN19108165	19108165	Melanoma Cancer Cells - PES43_ctr_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928027	GSM5289962	Melanoma	Melanoma Cancer Cells	Skin	untreated
SAMN19108166	19108166	Melanoma Cancer Cells - PES43_ctr_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928026	GSM5289961	Melanoma	Melanoma Cancer Cells	Skin	untreated
SAMN19108167	19108167	Melanoma Cancer Cells - PES43_NIVO+sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928025	GSM5289960	Melanoma	Melanoma Cancer Cells	Skin	NIVO+sPDL-2 for 6h
SAMN19108168	19108168	Colorectal Cancer Cells - HCT116_sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928054	GSM5289941	Colorectal carcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108169	19108169	Colorectal Cancer Cells - HCT116_NIVO_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928053	GSM5289940	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 6h
SAMN19108170	19108170	Colorectal Cancer Cells - HCT116_NIVO_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928052	GSM5289939	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 6h
SAMN19108171	19108171	Colorectal Cancer Cells - HCT116_ctr_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928051	GSM5289938	Colorectal carcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108172	19108172	Colorectal Cancer Cells - HCT116_ctr_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928050	GSM5289937	Colorectal carcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108173	19108173	Colorectal Cancer Cells - HT29_NIVO+sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928049	GSM5289936	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-2 for 24h
SAMN19108174	19108174	Colorectal Cancer Cells - HT29_NIVO+sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928048	GSM5289935	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-1 for 24h
SAMN19108175	19108175	Colorectal Cancer Cells - HT29_sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928047	GSM5289934	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108176	19108176	Colorectal Cancer Cells - HT29_sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928046	GSM5289933	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108177	19108177	Colorectal Cancer Cells - HT29_NIVO_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928045	GSM5289932	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 24h
SAMN19108178	19108178	Melanoma Cancer Cells - PES43_NIVO+sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928024	GSM5289959	Melanoma	Melanoma Cancer Cells	Skin	NIVO+sPDL-1 for 6h
SAMN19108179	19108179	Melanoma Cancer Cells - PES43_sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928023	GSM5289958	Melanoma	Melanoma Cancer Cells	Skin	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108180	19108180	Melanoma Cancer Cells - PES43_sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928022	GSM5289957	Melanoma	Melanoma Cancer Cells	Skin	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108181	19108181	Melanoma Cancer Cells - PES43_NIVO_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928021	GSM5289956	Melanoma	Melanoma Cancer Cells	Skin	NIVOLUMAB (NIVO) for 6h
SAMN19108182	19108182	Melanoma Cancer Cells - PES43_NIVO_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928020	GSM5289955	Melanoma	Melanoma Cancer Cells	Skin	NIVOLUMAB (NIVO) for 6h
SAMN19108183	19108183	Melanoma Cancer Cells - PES43_ctr_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928019	GSM5289954	Melanoma	Melanoma Cancer Cells	Skin	untreated
SAMN19108184	19108184	Melanoma Cancer Cells - PES43_ctr_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928066	GSM5289953	Melanoma	Melanoma Cancer Cells	Skin	untreated
SAMN19108185	19108185	Colorectal Cancer Cells - HCT116_NIVO+sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928065	GSM5289952	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-2 for 24h
