experiment,contrast,cell_line,morphology,tissue,disease,drug,target,dose,time_hr
PRJNA400080,BI00894999_Volasertib.35nM_20nM.4,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999 + Volasertib,Bromodomain and extraterminal domain protein (BET);   Polo-like kinase 1 (PLK1),35nM + 20nM,4
PRJNA395584,MV_4_11_B.BI00894999_EX00101218.35nM_5uM,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,BI 00894999_EX00101218,Bromodomain and extraterminal domain protein (BET),35nM + 5uM,
PRJNA379584,bio.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bio,Glycogen synthase kinase-3 alpha (GSK-3A),ED20 and 1/10 of it,24
PRJNA379584,bio.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bio,Glycogen synthase kinase-3 alpha (GSK-3A),ED20 and 1/10 of it,6
PRJNA379584,bkm120.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bkm120,PI3-kinase alpha (PIK3CA); PI3-kinase beta (PIK3CB); PI3-kinase delta (PIK3CD); PI3-kinase gamma (PIK3CG),ED20 and 1/10 of it,24
PRJNA379584,bkm120.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bkm120,PI3-kinase alpha (PIK3CA); PI3-kinase beta (PIK3CB); PI3-kinase delta (PIK3CD); PI3-kinase gamma (PIK3CG),ED20 and 1/10 of it,6
PRJNA379584,bms.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bms,SLAM family member 7 SLAMF7 (CS1),ED20 and 1/10 of it,6
PRJNA379584,bms_754807.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bms_754807,SLAM family member 7 SLAMF7 (CS1),ED20 and 1/10 of it,24
PRJNA379584,bms_754807.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bms_754807,SLAM family member 7 SLAMF7 (CS1),ED20 and 1/10 of it,6
PRJNA379584,bortezomib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bortezomib,Cationic trypsinogen (PRSS1); Kallikrein-related peptidase (KLK); Proteasome (PS),ED20 and 1/10 of it,24
PRJNA379584,bortezomib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,bortezomib,Cationic trypsinogen (PRSS1); Kallikrein-related peptidase (KLK); Proteasome (PS),ED20 and 1/10 of it,6
PRJNA379584,brefeldin_a.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,brefeldin_a,Antibacterial agent,ED20 and 1/10 of it,24
PRJNA379584,brefeldin_a.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,brefeldin_a,Antibacterial agent,ED20 and 1/10 of it,6
PRJNA379584,brivanib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,brivanib,Vascular endothelial growth factor receptor 2 (KDR),ED20 and 1/10 of it,24
PRJNA379584,brivanib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,brivanib,Vascular endothelial growth factor receptor 2 (KDR),ED20 and 1/10 of it,6
PRJNA533647,PCIA_Bu,HFSC,primary human cells,scalp,Normal,Busulfan,Human Deoxyribonucleic acid (hDNA),20mg/kg/day,
PRJNA533647,PCIA_BuCy,HFSC,primary human cells,scalp,Normal,Busulfan + Cyclophosphamide,Human Deoxyribonucleic acid (hDNA),20mg/kg/day + 100mg/kg/day,
PRJNA379584,byl719.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,byl719,Phosphatidylinositol-4-kinase alpha (PI4KA); PI3-kinase alpha (PIK3CA),ED20 and 1/10 of it,24
PRJNA379584,byl719.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,byl719,Phosphatidylinositol-4-kinase alpha (PI4KA); PI3-kinase alpha (PIK3CA),ED20 and 1/10 of it,6
PRJNA392914,carboplatin.50uM_72hr,PC9,epithelial,lung,Carcinoma,Carboplatin,Human Deoxyribonucleic acid (hDNA),50uM,72
PRJNA379584,cay10618_in_methanol.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,cay10618_in_methanol,NMPRTase Inhibitor,ED20 and 1/10 of it,24
PRJNA379584,cay10618_in_methanol.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,cay10618_in_methanol,NMPRTase Inhibitor,ED20 and 1/10 of it,6
PRJNA474537,CC122.24,OSU-CLL,EBV-transformed lymphoblastoid cell line,blood,Chronic lymphocytic leukemia,CC-122,Modulates cereblon E3 ligase activity,1uM,24
PRJNA474537,CC122.5,OSU-CLL,EBV-transformed lymphoblastoid cell line,blood,Chronic lymphocytic leukemia,CC-122,Modulates cereblon E3 ligase activity,0.1uM,5
PRJNA379584,cd.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,cd,Retinoic acid receptor gamma (RARG),ED20 and 1/10 of it,6
PRJNA379584,cd_437.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,cd_437,Retinoic acid receptor gamma (RARG),ED20 and 1/10 of it,24
PRJNA379584,cd_437.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,cd_437,Retinoic acid receptor gamma (RARG),ED20 and 1/10 of it,6
PRJNA379584,cerulenin.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,cerulenin,Fatty acid synthase (FASN),ED20 and 1/10 of it,24
PRJNA379584,cerulenin.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,cerulenin,Fatty acid synthase (FASN),ED20 and 1/10 of it,6
PRJNA379584,chm.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,chm,Monoamine oxidase type A (MAO-A); Stress-activated protein kinase JNK3 (JNK3),ED20 and 1/10 of it,24
PRJNA379584,chm_1.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,chm_1,Monoamine oxidase type A (MAO-A); Stress-activated protein kinase JNK3 (JNK3),ED20 and 1/10 of it,24
PRJNA379584,chm_1.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,chm_1,Monoamine oxidase type A (MAO-A); Stress-activated protein kinase JNK3 (JNK3),ED20 and 1/10 of it,6
PRJNA379584,ciclopirox.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ciclopirox,HIF-prolyl hydroxylase (HPH),ED20 and 1/10 of it,24
PRJNA379584,ciclopirox.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ciclopirox,HIF-prolyl hydroxylase (HPH),ED20 and 1/10 of it,6
PRJNA685849,CDDP_50uM_10hr,A375p,epithelial,skin,Malignant Melanoma,Cisplatin,Human Deoxyribonucleic acid (hDNA),NA,10
PRJNA685849,CDDP_50uM_20hr,A375p,epithelial,skin,Malignant Melanoma,Cisplatin,Human Deoxyribonucleic acid (hDNA),NA,20
PRJNA685849,CDDP_50uM_4hr,A375p,epithelial,skin,Malignant Melanoma,Cisplatin,Human Deoxyribonucleic acid (hDNA),NA,4
PRJNA657067,Cotyledon_orbiculata_extract,HCT116,epithelial,large intestine; colon,Carcinoma,Cotyledon_orbiculata_extract,Splice Modulator,Cotyledon orbiculata extract,
PRJNA379584,crizotinib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,crizotinib,ALK tyrosine kinase receptor (ALK); HGF/Met signaling pathway (HGF/Met pathway); Proto-oncogene c-Met (MET); Proto-oncogene c-Ros (ROS1),ED20 and 1/10 of it,24
PRJNA379584,crizotinib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,crizotinib,ALK tyrosine kinase receptor (ALK); HGF/Met signaling pathway (HGF/Met pathway); Proto-oncogene c-Met (MET); Proto-oncogene c-Ros (ROS1),ED20 and 1/10 of it,6
PRJNA340369,TF_1.Cyclocreatine,TF-1,lymphoblast,bone,Erythroleukemia,Cyclocreatine,Protein kinase (PK),3mM,24
