id,experiment,contrast
PRJNA315414.MOLT4.dBET6_vs_MOLT4.DMSO_2hr,PRJNA315414,MOLT4.dBET6_vs_MOLT4.DMSO_2hr
PRJNA315414.MOLT4.dBET6_vs_MOLT4.DMSO_6hr,PRJNA315414,MOLT4.dBET6_vs_MOLT4.DMSO_6hr
PRJNA315414.TALL_PDX.JQ1_vs_TALL_PDX.DMSO,PRJNA315414,TALL_PDX.JQ1_vs_TALL_PDX.DMSO
PRJNA315414.TALL_PDX.dBET6_vs_TALL_PDX.DMSO,PRJNA315414,TALL_PDX.dBET6_vs_TALL_PDX.DMSO
PRJNA315414.primary_T_cell.JQ1_vs_primary_T_cell.DMSO,PRJNA315414,primary_T_cell.JQ1_vs_primary_T_cell.DMSO
PRJNA315414.primary_T_cell.dBET6_vs_primary_T_cell.DMSO,PRJNA315414,primary_T_cell.dBET6_vs_primary_T_cell.DMSO
PRJNA316529.Decitabine_vs_Control,PRJNA316529,Decitabine_vs_Control
PRJNA316529.Decitabine_DeazaneplanocinA_vs_Control,PRJNA316529,Decitabine_DeazaneplanocinA_vs_Control
PRJNA316529.DeazaneplanocinA_vs_Control,PRJNA316529,DeazaneplanocinA_vs_Control
PRJNA318019.LNT229.Decitabine_vs_LNT229.Untreated,PRJNA318019,LNT229.Decitabine_vs_LNT229.Untreated
PRJNA318019.T98G.Decitabine_vs_T98G.Untreated,PRJNA318019,T98G.Decitabine_vs_T98G.Untreated
PRJNA318019.U87.Decitabine_vs_U87.Untreated,PRJNA318019,U87.Decitabine_vs_U87.Untreated
PRJNA318019.Decitabine_vs_Untreated,PRJNA318019,Decitabine_vs_Untreated
PRJNA335388.MDA.Doxorubicin_vs_MDA.DMSO,PRJNA335388,MDA.Doxorubicin_vs_MDA.DMSO
PRJNA335388.MDA.Etoposide_vs_MDA.DMSO,PRJNA335388,MDA.Etoposide_vs_MDA.DMSO
PRJNA335388.MDA.MMS_vs_MDA.DMSO,PRJNA335388,MDA.MMS_vs_MDA.DMSO
PRJNA335388.MDA.Paclitaxel_vs_MDA.DMSO,PRJNA335388,MDA.Paclitaxel_vs_MDA.DMSO
PRJNA335388.U2OS.Doxorubicin_vs_U2OS.DMSO,PRJNA335388,U2OS.Doxorubicin_vs_U2OS.DMSO
PRJNA335388.U2OS.Etoposide_vs_U2OS.DMSO,PRJNA335388,U2OS.Etoposide_vs_U2OS.DMSO
PRJNA335388.U2OS.MMS_vs_U2OS.DMSO,PRJNA335388,U2OS.MMS_vs_U2OS.DMSO
PRJNA335388.U2OS.Paclitaxel_vs_U2OS.DMSO,PRJNA335388,U2OS.Paclitaxel_vs_U2OS.DMSO
PRJNA335388.Doxorubicin_vs_DMSO,PRJNA335388,Doxorubicin_vs_DMSO
PRJNA335388.Etoposide_vs_DMSO,PRJNA335388,Etoposide_vs_DMSO
PRJNA335388.MMS_vs_DMSO,PRJNA335388,MMS_vs_DMSO
PRJNA335388.Paclitaxel_vs_DMSO,PRJNA335388,Paclitaxel_vs_DMSO
PRJNA340369.TF1.Cyclocreatine_vs_TF1.Vehicle,PRJNA340369,TF1.Cyclocreatine_vs_TF1.Vehicle
PRJNA340369.UCSD_AML1.Cyclocreatine_vs_UCSD_AML1.Vehicle,PRJNA340369,UCSD_AML1.Cyclocreatine_vs_UCSD_AML1.Vehicle
PRJNA340369.UT7.Cyclocreatine_vs_UT7.Vehicle,PRJNA340369,UT7.Cyclocreatine_vs_UT7.Vehicle
PRJNA340369.Cyclocreatine_vs_Vehicle,PRJNA340369,Cyclocreatine_vs_Vehicle
PRJNA352461.Azacitidine_vs_DMSO,PRJNA352461,Azacitidine_vs_DMSO
PRJNA352461.LSD1i_vs_DMSO,PRJNA352461,LSD1i_vs_DMSO
PRJNA352461.LSD1i_Azacitidine_vs_DMSO,PRJNA352461,LSD1i_Azacitidine_vs_DMSO
PRJNA379584.AZD8055_vs_DMSO_6hr.1,PRJNA379584,AZD8055_vs_DMSO_6hr.1
PRJNA379584.AZD8055_vs_DMSO_24hr.1,PRJNA379584,AZD8055_vs_DMSO_24hr.1
PRJNA379584.Belinostat_vs_DMSO_6hr.1,PRJNA379584,Belinostat_vs_DMSO_6hr.1
PRJNA379584.Belinostat_vs_DMSO_24hr.1,PRJNA379584,Belinostat_vs_DMSO_24hr.1
PRJNA379584.Entinostat_vs_DMSO_6hr.1,PRJNA379584,Entinostat_vs_DMSO_6hr.1
PRJNA379584.Entinostat_vs_DMSO_24hr.1,PRJNA379584,Entinostat_vs_DMSO_24hr.1
PRJNA379584.Imatinib_vs_DMSO_6hr.1,PRJNA379584,Imatinib_vs_DMSO_6hr.1
PRJNA379584.Imatinib_vs_DMSO_24hr.1,PRJNA379584,Imatinib_vs_DMSO_24hr.1
PRJNA379584.MK_2206_vs_DMSO_6hr.1,PRJNA379584,MK_2206_vs_DMSO_6hr.1
PRJNA379584.MK_2206_vs_DMSO_24hr.1,PRJNA379584,MK_2206_vs_DMSO_24hr.1
PRJNA379584.Tivantinib_vs_DMSO_6hr.1,PRJNA379584,Tivantinib_vs_DMSO_6hr.1
PRJNA379584.Tivantinib_vs_DMSO_24hr.1,PRJNA379584,Tivantinib_vs_DMSO_24hr.1
PRJNA379584.Topotecan_vs_DMSO_6hr.1,PRJNA379584,Topotecan_vs_DMSO_6hr.1
PRJNA379584.Topotecan_vs_DMSO_24hr.1,PRJNA379584,Topotecan_vs_DMSO_24hr.1
PRJNA379584.YK_4_279_vs_DMSO_6hr.1,PRJNA379584,YK_4_279_vs_DMSO_6hr.1
PRJNA379584.YK_4_279_vs_DMSO_24hr.1,PRJNA379584,YK_4_279_vs_DMSO_24hr.1
PRJNA379584.Alisertib_vs_DMSO_6hr.2,PRJNA379584,Alisertib_vs_DMSO_6hr.2
PRJNA379584.Methylstat_vs_DMSO_24hr.2,PRJNA379584,Methylstat_vs_DMSO_24hr.2
PRJNA379584.NVP_231_vs_DMSO_6hr.2,PRJNA379584,NVP_231_vs_DMSO_6hr.2
PRJNA379584.Obatoclax_vs_DMSO_6hr.2,PRJNA379584,Obatoclax_vs_DMSO_6hr.2
PRJNA379584.SNX_2112_vs_DMSO_6hr.2,PRJNA379584,SNX_2112_vs_DMSO_6hr.2
PRJNA379584.Sunitinib_vs_DMSO_6hr.2,PRJNA379584,Sunitinib_vs_DMSO_6hr.2
PRJNA379584.YM_155_vs_DMSO_6hr.2,PRJNA379584,YM_155_vs_DMSO_6hr.2
PRJNA379584.Alisertib_vs_DMSO_24hr.3,PRJNA379584,Alisertib_vs_DMSO_24hr.3
PRJNA379584.Methylstat_vs_DMSO_24hr.3,PRJNA379584,Methylstat_vs_DMSO_24hr.3
PRJNA379584.NVP_231_vs_DMSO_24hr.3,PRJNA379584,NVP_231_vs_DMSO_24hr.3
PRJNA379584.Obatoclax_vs_DMSO_24hr.3,PRJNA379584,Obatoclax_vs_DMSO_24hr.3
PRJNA379584.SNX_2112_vs_DMSO_24hr.3,PRJNA379584,SNX_2112_vs_DMSO_24hr.3
PRJNA379584.Sunitinib_vs_DMSO_24hr.3,PRJNA379584,Sunitinib_vs_DMSO_24hr.3
PRJNA379584.YM_155_vs_DMSO_24hr.3,PRJNA379584,YM_155_vs_DMSO_24hr.3
PRJNA379584.At13387_vs_DMSO_6hr.4,PRJNA379584,At13387_vs_DMSO_6hr.4
PRJNA379584.At13387_vs_DMSO_24hr.4,PRJNA379584,At13387_vs_DMSO_24hr.4
PRJNA379584.BI_2536_vs_DMSO_6hr.4,PRJNA379584,BI_2536_vs_DMSO_6hr.4
PRJNA379584.BI_2536_vs_DMSO_24hr.4,PRJNA379584,BI_2536_vs_DMSO_24hr.4
PRJNA379584.BMS_754807_vs_DMSO_6hr.4,PRJNA379584,BMS_754807_vs_DMSO_6hr.4
PRJNA379584.BMS_754807_vs_DMSO_24hr.4,PRJNA379584,BMS_754807_vs_DMSO_24hr.4
PRJNA379584.Bortezomib_vs_DMSO_6hr.4,PRJNA379584,Bortezomib_vs_DMSO_6hr.4
PRJNA379584.Brefeldin_A_vs_DMSO_6hr.4,PRJNA379584,Brefeldin_A_vs_DMSO_6hr.4
PRJNA379584.Brefeldin_A_vs_DMSO_24hr.4,PRJNA379584,Brefeldin_A_vs_DMSO_24hr.4
PRJNA379584.CD_437_vs_DMSO_6hr.4,PRJNA379584,CD_437_vs_DMSO_6hr.4
PRJNA379584.CD_437_vs_DMSO_24hr.4,PRJNA379584,CD_437_vs_DMSO_24hr.4
PRJNA379584.DBeQ_vs_DMSO_6hr.4,PRJNA379584,DBeQ_vs_DMSO_6hr.4
PRJNA379584.DBeQ_vs_DMSO_24hr.4,PRJNA379584,DBeQ_vs_DMSO_24hr.4
PRJNA379584.Fingolimod_vs_DMSO_6hr.4,PRJNA379584,Fingolimod_vs_DMSO_6hr.4
PRJNA379584.Fingolimod_vs_DMSO_24hr.4,PRJNA379584,Fingolimod_vs_DMSO_24hr.4
PRJNA379584.Flavopiridol_vs_DMSO_6hr.4,PRJNA379584,Flavopiridol_vs_DMSO_6hr.4
PRJNA379584.Flavopiridol_vs_DMSO_24hr.4,PRJNA379584,Flavopiridol_vs_DMSO_24hr.4
PRJNA379584.Fluvastatin_vs_DMSO_6hr.4,PRJNA379584,Fluvastatin_vs_DMSO_6hr.4
PRJNA379584.Fluvastatin_vs_DMSO_24hr.4,PRJNA379584,Fluvastatin_vs_DMSO_24hr.4
PRJNA379584.Parthenolide_vs_DMSO_6hr.4,PRJNA379584,Parthenolide_vs_DMSO_6hr.4
PRJNA379584.Parthenolide_vs_DMSO_24hr.4,PRJNA379584,Parthenolide_vs_DMSO_24hr.4
PRJNA379584.Foretinib_vs_DMSO_6hr.5,PRJNA379584,Foretinib_vs_DMSO_6hr.5
PRJNA379584.Foretinib_vs_DMSO_24hr.5,PRJNA379584,Foretinib_vs_DMSO_24hr.5
PRJNA379584.GDC_0941_vs_DMSO_6hr.5,PRJNA379584,GDC_0941_vs_DMSO_6hr.5
PRJNA379584.GDC_0941_vs_DMSO_24hr.5,PRJNA379584,GDC_0941_vs_DMSO_24hr.5
PRJNA379584.GSK1210151A_vs_DMSO_6hr.5,PRJNA379584,GSK1210151A_vs_DMSO_6hr.5
PRJNA379584.GSK1210151A_vs_DMSO_24hr.5,PRJNA379584,GSK1210151A_vs_DMSO_24hr.5
PRJNA379584.GSK461364_vs_DMSO_6hr.5,PRJNA379584,GSK461364_vs_DMSO_6hr.5
PRJNA379584.GSK461364_vs_DMSO_24hr.5,PRJNA379584,GSK461364_vs_DMSO_24hr.5
PRJNA379584.JNJ_26854165_vs_DMSO_6hr.5,PRJNA379584,JNJ_26854165_vs_DMSO_6hr.5
PRJNA379584.JNJ_26854165_vs_DMSO_24hr.5,PRJNA379584,JNJ_26854165_vs_DMSO_24hr.5
PRJNA379584.KHS101_vs_DMSO_6hr.5,PRJNA379584,KHS101_vs_DMSO_6hr.5
PRJNA379584.KHS101_vs_DMSO_24hr.5,PRJNA379584,KHS101_vs_DMSO_24hr.5
PRJNA379584.KW_2449_vs_DMSO_6hr.5,PRJNA379584,KW_2449_vs_DMSO_6hr.5
PRJNA379584.KW_2449_vs_DMSO_24hr.5,PRJNA379584,KW_2449_vs_DMSO_24hr.5
PRJNA379584.MST_312_vs_DMSO_6hr.5,PRJNA379584,MST_312_vs_DMSO_6hr.5
PRJNA379584.MST_312_vs_DMSO_24hr.5,PRJNA379584,MST_312_vs_DMSO_24hr.5
PRJNA379584.Panobinostat_vs_DMSO_6hr.5,PRJNA379584,Panobinostat_vs_DMSO_6hr.5
PRJNA379584.Panobinostat_vs_DMSO_24hr.5,PRJNA379584,Panobinostat_vs_DMSO_24hr.5
PRJNA379584.Piperlongumine_vs_DMSO_6hr.5,PRJNA379584,Piperlongumine_vs_DMSO_6hr.5
PRJNA379584.Piperlongumine_vs_DMSO_24hr.5,PRJNA379584,Piperlongumine_vs_DMSO_24hr.5
PRJNA379584.AZD6482_vs_DMSO_6hr.6,PRJNA379584,AZD6482_vs_DMSO_6hr.6
PRJNA379584.AZD6482_vs_DMSO_24hr.6,PRJNA379584,AZD6482_vs_DMSO_24hr.6
PRJNA379584.AZD7762_vs_DMSO_6hr.6,PRJNA379584,AZD7762_vs_DMSO_6hr.6
PRJNA379584.AZD7762_vs_DMSO_24hr.6,PRJNA379584,AZD7762_vs_DMSO_24hr.6
PRJNA379584.Afatinib_vs_DMSO_6hr.6,PRJNA379584,Afatinib_vs_DMSO_6hr.6
PRJNA379584.Afatinib_vs_DMSO_24hr.6,PRJNA379584,Afatinib_vs_DMSO_24hr.6
PRJNA379584.Bafetinib_vs_DMSO_6hr.6,PRJNA379584,Bafetinib_vs_DMSO_6hr.6
PRJNA379584.Bafetinib_vs_DMSO_24hr.6,PRJNA379584,Bafetinib_vs_DMSO_24hr.6
PRJNA379584.Bardoxolone_methyl_vs_DMSO_6hr.6,PRJNA379584,Bardoxolone_methyl_vs_DMSO_6hr.6
PRJNA379584.Bardoxolone_methyl_vs_DMSO_24hr.6,PRJNA379584,Bardoxolone_methyl_vs_DMSO_24hr.6
PRJNA379584.Bexarotene_vs_DMSO_6hr.6,PRJNA379584,Bexarotene_vs_DMSO_6hr.6
PRJNA379584.Bexarotene_vs_DMSO_24hr.6,PRJNA379584,Bexarotene_vs_DMSO_24hr.6
PRJNA379584.Brivanib_vs_DMSO_6hr.6,PRJNA379584,Brivanib_vs_DMSO_6hr.6
PRJNA379584.Brivanib_vs_DMSO_24hr.6,PRJNA379584,Brivanib_vs_DMSO_24hr.6
PRJNA379584.CHM_1_vs_DMSO_6hr.6,PRJNA379584,CHM_1_vs_DMSO_6hr.6
PRJNA379584.CHM_1_vs_DMSO_24hr.6,PRJNA379584,CHM_1_vs_DMSO_24hr.6
PRJNA379584.Cerulenin_vs_DMSO_6hr.6,PRJNA379584,Cerulenin_vs_DMSO_6hr.6
PRJNA379584.Cerulenin_vs_DMSO_24hr.6,PRJNA379584,Cerulenin_vs_DMSO_24hr.6
PRJNA379584.Ciclopirox_vs_DMSO_6hr.6,PRJNA379584,Ciclopirox_vs_DMSO_6hr.6
PRJNA379584.Ciclopirox_vs_DMSO_24hr.6,PRJNA379584,Ciclopirox_vs_DMSO_24hr.6
PRJNA379584.x5Zx_7_Oxozeanol_vs_DMSO_6hr.6,PRJNA379584,x5Zx_7_Oxozeanol_vs_DMSO_6hr.6
PRJNA379584.x5Zx_7_Oxozeanol_vs_DMSO_24hr.6,PRJNA379584,x5Zx_7_Oxozeanol_vs_DMSO_24hr.6
PRJNA379584.Crizotinib_vs_DMSO_6hr.7,PRJNA379584,Crizotinib_vs_DMSO_6hr.7
PRJNA379584.Crizotinib_vs_DMSO_24hr.7,PRJNA379584,Crizotinib_vs_DMSO_24hr.7
PRJNA379584.Dasatinib_vs_DMSO_6hr.7,PRJNA379584,Dasatinib_vs_DMSO_6hr.7
PRJNA379584.Dasatinib_vs_DMSO_24hr.7,PRJNA379584,Dasatinib_vs_DMSO_24hr.7
PRJNA379584.Dinaciclib_vs_DMSO_6hr.7,PRJNA379584,Dinaciclib_vs_DMSO_6hr.7
PRJNA379584.Dinaciclib_vs_DMSO_24hr.7,PRJNA379584,Dinaciclib_vs_DMSO_24hr.7
PRJNA379584.Docetaxel_vs_DMSO_6hr.7,PRJNA379584,Docetaxel_vs_DMSO_6hr.7
PRJNA379584.Docetaxel_vs_DMSO_24hr.7,PRJNA379584,Docetaxel_vs_DMSO_24hr.7
PRJNA379584.Doxorubicin_vs_DMSO_6hr.7,PRJNA379584,Doxorubicin_vs_DMSO_6hr.7
PRJNA379584.Doxorubicin_vs_DMSO_24hr.7,PRJNA379584,Doxorubicin_vs_DMSO_24hr.7
PRJNA379584.Erastin_vs_DMSO_6hr.7,PRJNA379584,Erastin_vs_DMSO_6hr.7
PRJNA379584.Erastin_vs_DMSO_24hr.7,PRJNA379584,Erastin_vs_DMSO_24hr.7
PRJNA379584.GW_405833_vs_DMSO_6hr.7,PRJNA379584,GW_405833_vs_DMSO_6hr.7
PRJNA379584.GW_405833_vs_DMSO_24hr.7,PRJNA379584,GW_405833_vs_DMSO_24hr.7
PRJNA379584.Gemcitabine_vs_DMSO_6hr.7,PRJNA379584,Gemcitabine_vs_DMSO_6hr.7
PRJNA379584.Gemcitabine_vs_DMSO_24hr.7,PRJNA379584,Gemcitabine_vs_DMSO_24hr.7
PRJNA379584.Gossypol_vs_DMSO_6hr.7,PRJNA379584,Gossypol_vs_DMSO_6hr.7
PRJNA379584.Gossypol_vs_DMSO_24hr.7,PRJNA379584,Gossypol_vs_DMSO_24hr.7
PRJNA379584.HMN_214_vs_DMSO_6hr.7,PRJNA379584,HMN_214_vs_DMSO_6hr.7
PRJNA379584.HMN_214_vs_DMSO_24hr.7,PRJNA379584,HMN_214_vs_DMSO_24hr.7
PRJNA379584.Ibrutinib_vs_DMSO_6hr.7,PRJNA379584,Ibrutinib_vs_DMSO_6hr.7
