experiment,contrast,cell_type,drug,dose,time_hr
PRJNA335388,os_eto,U2OS ,Etoposide,20uM,72
PRJNA335388,os_mms,U2OS ,MMS,40 ug/mL,72
PRJNA335388,os_pac,U2OS ,Paclitaxel,0.2uM,72
PRJNA335388,paclitaxel.02uM,Breast/Osteosarcoma,Paclitaxel,0.2uM,72
PRJNA387040,etoposide,IMR90,Etoposide,100uM,48
PRJNA387040,ko_eto,IMR90_shNTC,Etoposide,100uM,48
PRJNA387040,wt_eto,IMR90_shCGAS,Etoposide,100uM,48
PRJNA391270,a498_4gy,A498,4GY,,3
PRJNA391270,a549_4gy,A459,4GY,,3
PRJNA391270,a549_nut,A459,Nutlin3A,5uM,
PRJNA391270,a549_tgfb,A459,TGFB,2.5ng/ml,120
PRJNA391270,a549_tgfb_nut,A459,Nutlin3A + TGFB,5uM + 2.5ng/ml,120
PRJNA391270,gy4.3hr,Cancer,4GY,,3
PRJNA391270,h460_4gy,H460,4GY,,3
PRJNA391270,hct116_4gy,HCT116,4GY,,3
PRJNA391270,lox_4gy,LOXIMVI,4GY,,3
PRJNA391270,malme3_4gy,MALME3M,4GY,,3
PRJNA391270,mcf7_4gy,MCF7,4GY + Decitabine,2uM,3
PRJNA391270,skmel5_4gy,SKMEL5,4GY,,3
PRJNA391270,u2os_4gy,U2OS,4GY,,3
PRJNA391270,uacc257_4gy,UACC257,4GY,,3
PRJNA391270,uo31_4gy,UO31,4GY,,3
PRJNA392914,carboplatin.50uM_72hr,PC9,Carboplatin,50uM,72
PRJNA392914,dtp,PC9,,,
PRJNA392914,dtp_tsa,PC9 DTP,TSA,50nM,5
PRJNA392914,erlotinib.1uM_24hr,PC9,Erlotinib,1um,24
PRJNA392914,tsa.50nM_5hr,PC9,TSA,50nM,5
PRJNA417314,hc29_5fu,HT-29,5-FU,20uM,72
PRJNA471642,mec1_vs_gm12878,MEC1,,,
PRJNA471642,SD6.125nm.24hr,CLL,SD6,125nM,24
PRJNA471642,SD6.125nm.2hr,CLL,SD6,125nM,2
PRJNA471642,SD6.125nm.6hr,CLL,SD6,125nM,6
PRJNA477352,j4.thz1_250nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,250nM,6
PRJNA477352,j4.thz1_50nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,50nM,6
PRJNA477352,l10.thz1_250nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,250nM,6
PRJNA477352,l10.thz1_50nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,50nM,6
PRJNA477352,l20.thz1_250nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,250nM,6
PRJNA477352,l20.thz1_50nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,50nM,6
PRJNA477352,par.thz1_250nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,250nM,6
PRJNA477352,par.thz1_50nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,50nM,6
PRJNA477352,thz1_250nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,250nM,6
PRJNA477352,thz1_50nM_6hr,HBL-2 MCL ABT-199 DTP,THZ1,50nM,6
PRJNA479415,venetoclax_azacitidine_6hr,AML,Venetoclax + Azacitidine,500nM + 2.5uM,6
PRJNA497893,hpv16,NOK,,,
PRJNA497893,hpv16_e2,NOK,,,
PRJNA533647,PCIA_Bu,HFSC,Busulfan,,
PRJNA533647,PCIA_BuCy,HFSC,Busulfan + Cyclophosphamide,,
PRJNA555350,doxorubicin,HEL,Doxorubicin,3mg/kg ,120
PRJNA555350,doxorubicin_cytabine,HEL,Doxorubicin + Cytarabine,3mg/kg + 100mg/kg ,120
PRJNA555350,doxorubicin_cytabine_decitabine,HEL,Doxorubicin + Cytarabine + Decitibine,3mg/kg + 100mg/kg + 0.5mg/kg,120
PRJNA560975,tedizolid.5uM.4d,MOLM13,Tedizolid,5uM,96
PRJNA560975,venetoclax.500nM_tedizolid.5uM.4d,MOLM13,Venetoclax + Tedizolid,500nM + 5uM,96
PRJNA560975,venetoclax.500nM.4d,MOLM13,Venetoclax,500nM,96
PRJNA596778,dac,ccRCC,Decitabine,300/100nM,120
PRJNA596778,dac_100nM.786,786-0,Decitabine,100nM,120
PRJNA596778,dac_300nM.786,786-0,Decitabine,300nM,120
PRJNA596778,dac.100nM,ccRCC,Decitabine,100nM,120
PRJNA596778,dac.300nM,ccRCC,Decitabine,300nM,120
PRJNA596778,HKC.dac_100nM,HKC,Decitabine,100nM,120
PRJNA596778,HKC.dac_300nM,HKC,Decitabine,300nM,120
PRJNA603369,abbv075.100nM,AML,ABBV-075,100nM,24
PRJNA603369,abbv744.200nM,AML,ABBV-744,200nM,24
PRJNA603369,kasumi.abbv075.100nM,Kasumi-1,ABBV-075,100nM,24
PRJNA603369,kasumi.abbv744.200nM,Kasumi-1,ABBV-744,200nM,24
PRJNA603369,mv411.abbv075.100nM,MV-4-11,ABBV-075,100nM,24
PRJNA603369,mv411.abbv744.200nM,MV-4-11,ABBV-744,200nM,24
PRJNA603369,nci_h1299.abbv075.100nM,NCI-H1299,ABBV-075,100nM,24
PRJNA603369,nci_h1299.abbv744.200nM,NCI-H1299,ABBV-744,200nM,24
PRJNA603369,skm.abbv075.100nM,SKM-1,ABBV-075,100nM,24
PRJNA603369,skm.abbv744.200nM,SKM-1,ABBV-744,200nM,24
PRJNA607909,dac,LUAD,Decitabine,100nM,72
PRJNA614994,trc105_vs_igg,AML,TRC105,,
PRJNA636096,MCC,BLCA,Mitomycin C,30uM,48
PRJNA636096,MCC.5637,5637,Mitomycin C,30uM,48
PRJNA636096,MCC.CLS_439,439,Mitomycin C,30uM,48
PRJNA636096,MCC.T24,T24,Mitomycin C,30uM,48
PRJNA636096,MCC.TCC_SUP,TCC-SUP,Mitomycin C,30uM,48
PRJNA642730,dac,GSC,Decitabine,,
PRJNA642730,NCH1681.dac,NCH1681,Decitabine,,
PRJNA642730,NCH612.dac,NCH612,Decitabine,,
PRJNA642730,SU_AO3.dac,SU-AO3,Decitabine,,
PRJNA642730,TS603.dac,TS603,Decitabine,,
PRJNA649431,dac,T-ALL,Decitabine,,
PRJNA649431,PDX_TALL1.dac,T-ALL1,Decitabine,,
PRJNA649431,PDX_TALL2.dac,T-ALL2,Decitabine,,
PRJNA649432,dac,T-ALL,Decitabine,,
PRJNA649432,Loucy.dac,Loucy,Decitabine,,
PRJNA649432,MOLT_16.dac,MOLT,Decitabine,,
PRJNA649432,PEER.dac,PEER,Decitabine,,
PRJNA649432,PER_117.dac,PER,Decitabine,,
PRJNA649432,TALL_1.dac,T-ALL1,Decitabine,,
PRJNA657045,CAR.Raij,CAR,Raij coculture,,336
PRJNA657045,dCAR.dac_Raij_vs_dac,CAR,Decitabine + Raij coculture,,336
PRJNA657045,Till_CAR.dac_14d_vs_7d,CAR T,Decitabine,,336
PRJNA657045,Till_dCAR.dac_14d_vs_7d,CAR T,Decitabine,,336
PRJNA657067,Cotyledon_orbiculata_extract,HCT116,Cotyledon orbiculata extract,,48
PRJNA670855,sbi756.4hr,non-Hogkin lymphoma,SBI-756,,4
PRJNA670901,azacitidine_125nM,TCL,Azacitidine,125nM,
PRJNA670901,azacitidine_250nM,TCL,Azacitidine,250nM,
PRJNA670901,azacitidine_50nM,TCL,Azacitidine,50nM,
PRJNA670901,dac_12.5nM,TCL,Decitabine,12.5nM,
PRJNA670901,dac_25nM,TCL,Decitabine,25nM,
PRJNA670901,dac_5nM,TCL,Decitabine,5nM,
PRJNA670901,HH.azacitidine,HH,Azacitidine,50/125/250nM,
PRJNA670901,HH.azacitidine_125nM,HH,Azacitidine,125nM,
PRJNA670901,HH.azacitidine_250nM,HH,Azacitidine,250nM,
PRJNA670901,HH.azacitidine_50nM,HH,Azacitidine,50nM,
PRJNA670901,HH.dac,HH,Decitabine,5/12.5/25nM,
PRJNA670901,HH.dac_12.5nM,HH,Decitabine,12.5nM,
PRJNA670901,HH.dac_25nM,HH,Decitabine,25nM,
PRJNA670901,HH.dac_5nM,HH,Decitabine,5nM,
PRJNA670901,PF382.azacitidine,PF-382,Azacitidine,50/125/250nM,
PRJNA670901,PF382.azacitidine_125nM,PF-382,Azacitidine,125nM,
PRJNA670901,PF382.azacitidine_250nM,PF-382,Azacitidine,250nM,
PRJNA670901,PF382.azacitidine_500nM,PF-382,Azacitidine,500nM,
PRJNA670901,PF382.dac,PF-382,Decitabine,5/12.5/25nM,
PRJNA670901,PF382.dac_12.5nM,PF-382,Decitabine,12.5nM,
PRJNA670901,PF382.dac_25nM,PF-382,Decitabine,25nM,
PRJNA670901,PF382.dac_5nM,PF-382,Decitabine,5nM,
PRJNA670901,TLOm1.azacitidine,TLOm1,Azacitidine,50/125/250nM,
PRJNA670901,TLOm1.azacitidine_125nM,TLOm1,Azacitidine,125nM,
PRJNA670901,TLOm1.azacitidine_250nM,TLOm1,Azacitidine,250nM,
PRJNA670901,TLOm1.azacitidine_500nM,TLOm1,Azacitidine,500nM,
PRJNA670901,TLOm1.dac,TLOm1,Decitabine,5/12.5/25nM,
PRJNA670901,TLOm1.dac_12.5nM,TLOm1,Decitabine,12.5nM,
PRJNA670901,TLOm1.dac_25nM,TLOm1,Decitabine,25nM,
PRJNA670901,TLOm1.dac_5nM,TLOm1,Decitabine,5nM,
PRJNA685849,CDDP_50uM_10hr,A375p,Cisplatin,,10
PRJNA685849,CDDP_50uM_20hr,A375p,Cisplatin,,20
PRJNA685849,CDDP_50uM_4hr,A375p,Cisplatin,,4
PRJNA685849,Hypercin_150nM_irradiation_10hr,A375p,Hyp-PDT,,10
PRJNA685849,Hypercin_150nM_irradiation_20hr,A375p,Hyp-PDT,,20
PRJNA685849,Hypercin_150nM_irradiation_4hr,A375p,Hyp-PDT,,4
PRJNA685849,MTX_1um_10hr,A375p,Mitoxantrone,,10
PRJNA685849,MTX_1um_20hr,A375p,Mitoxantrone,,20
PRJNA685849,MTX_1um_4hr,A375p,Mitoxantrone,,4
proa,dac,YB5,Decitabine,100nM,48
proa,dac_proa,YB5,Decitabine + Proscillaridin A,100nM + 50nM,48
proa,proa,YB5,Proscillaridin A,50nM,48
tak,dac,YB5,Decitabine,100nM,96
tak,dac_depsi,YB5,Decitabine + Depsipeptide,100nM + 20nM,96
tak,dac_gsk343,YB5,Decitabine + GSK343,100nM + 1uM,96
tak,dac_s2102,YB5,Decitabine + S2101,100nM + 10uM,96
tak,dac_unc0628,YB5,Decitabine + UNC0638,100nM + 1uM,96
tak,depsi,YB5,Depsipeptide,20nM,96
tak,gsk343,YB5,GSK343,1uM,96
tak,s2102,YB5,S2101,10uM,96
tak,unc0628,YB5,UNC0628,1uM,96
toyo,toyo_10hr,YB5,Toyocamycin,,10
toyo,toyo_24hr,YB5,Toyocamycin,,24
toyo,toyo_2hr,YB5,Toyocamycin,,2
toyo,toyo_48hr,YB5,Toyocamycin,,48
toyo,toyo_72hr,YB5,Toyocamycin,,72
PRJNA379584,afatinib.24,H-STS NET,afatinib,ED20 + 0.1,24
PRJNA379584,afatinib.6,H-STS NET,afatinib,ED20 + 0.1,6
PRJNA379584,afatinib,H-STS NET,afatinib,ED20 + 0.1,
PRJNA379584,alisertib.24,H-STS NET,alisertib,ED20 + 0.1,24
PRJNA379584,alisertib.6,H-STS NET,alisertib,ED20 + 0.1,6
PRJNA379584,alisertib,H-STS NET,alisertib,ED20 + 0.1,
PRJNA379584,arachidonyl.24,H-STS NET,arachidonyl,ED20 + 0.1,24
PRJNA379584,arachidonyl.6,H-STS NET,arachidonyl,ED20 + 0.1,6
PRJNA379584,arachidonyl,H-STS NET,arachidonyl,ED20 + 0.1,
PRJNA379584,at13387.24,H-STS NET,at13387,ED20 + 0.1,24
PRJNA379584,at13387.6,H-STS NET,at13387,ED20 + 0.1,6
PRJNA379584,at13387,H-STS NET,at13387,ED20 + 0.1,
PRJNA379584,auy922.24,H-STS NET,auy922,ED20 + 0.1,24
PRJNA379584,auy922.6,H-STS NET,auy922,ED20 + 0.1,6
PRJNA379584,auy922,H-STS NET,auy922,ED20 + 0.1,
PRJNA379584,azd6482.24,H-STS NET,azd6482,ED20 + 0.1,24
PRJNA379584,azd6482.6,H-STS NET,azd6482,ED20 + 0.1,6
PRJNA379584,azd6482,H-STS NET,azd6482,ED20 + 0.1,
PRJNA379584,azd7762.24,H-STS NET,azd7762,ED20 + 0.1,24
PRJNA379584,azd7762.6,H-STS NET,azd7762,ED20 + 0.1,6
PRJNA379584,azd7762,H-STS NET,azd7762,ED20 + 0.1,
PRJNA379584,azd8055.24,H-STS NET,azd8055,ED20 + 0.1,24
PRJNA379584,azd8055.6,H-STS NET,azd8055,ED20 + 0.1,6
PRJNA379584,azd8055,H-STS NET,azd8055,ED20 + 0.1,
PRJNA379584,bafetinib.24,H-STS NET,bafetinib,ED20 + 0.1,24
PRJNA379584,bafetinib.6,H-STS NET,bafetinib,ED20 + 0.1,6
PRJNA379584,bafetinib,H-STS NET,bafetinib,ED20 + 0.1,
PRJNA379584,bardoxolone_methyl.24,H-STS NET,bardoxolone_methyl,ED20 + 0.1,24
PRJNA379584,bardoxolone_methyl.6,H-STS NET,bardoxolone_methyl,ED20 + 0.1,6
PRJNA379584,bardoxolone_methyl,H-STS NET,bardoxolone_methyl,ED20 + 0.1,
PRJNA379584,belinostat.24,H-STS NET,belinostat,ED20 + 0.1,24
PRJNA379584,belinostat.6,H-STS NET,belinostat,ED20 + 0.1,6
PRJNA379584,belinostat,H-STS NET,belinostat,ED20 + 0.1,
PRJNA379584,bexarotene.24,H-STS NET,bexarotene,ED20 + 0.1,24
PRJNA379584,bexarotene.6,H-STS NET,bexarotene,ED20 + 0.1,6
PRJNA379584,bexarotene,H-STS NET,bexarotene,ED20 + 0.1,
PRJNA379584,bgj398.24,H-STS NET,bgj398,ED20 + 0.1,24
PRJNA379584,bgj398.6,H-STS NET,bgj398,ED20 + 0.1,6
PRJNA379584,bgj398,H-STS NET,bgj398,ED20 + 0.1,
PRJNA379584,bi.6,H-STS NET,bi,ED20 + 0.1,6
PRJNA379584,bi_2536.24,H-STS NET,bi_2536,ED20 + 0.1,24
PRJNA379584,bi_2536.6,H-STS NET,bi_2536,ED20 + 0.1,6
PRJNA379584,bi_2536,H-STS NET,bi_2536,ED20 + 0.1,
PRJNA379584,bio.24,H-STS NET,bio,ED20 + 0.1,24
PRJNA379584,bio.6,H-STS NET,bio,ED20 + 0.1,6
PRJNA379584,bio,H-STS NET,bio,ED20 + 0.1,
PRJNA379584,bkm120.24,H-STS NET,bkm120,ED20 + 0.1,24
PRJNA379584,bkm120.6,H-STS NET,bkm120,ED20 + 0.1,6
PRJNA379584,bkm120,H-STS NET,bkm120,ED20 + 0.1,
PRJNA379584,bms.6,H-STS NET,bms,ED20 + 0.1,6
PRJNA379584,bms_754807.24,H-STS NET,bms_754807,ED20 + 0.1,24
PRJNA379584,bms_754807.6,H-STS NET,bms_754807,ED20 + 0.1,6
PRJNA379584,bms_754807,H-STS NET,bms_754807,ED20 + 0.1,
PRJNA379584,bortezomib.24,H-STS NET,bortezomib,ED20 + 0.1,24
PRJNA379584,bortezomib.6,H-STS NET,bortezomib,ED20 + 0.1,6
PRJNA379584,bortezomib,H-STS NET,bortezomib,ED20 + 0.1,
PRJNA379584,brefeldin_a.24,H-STS NET,brefeldin_a,ED20 + 0.1,24
PRJNA379584,brefeldin_a.6,H-STS NET,brefeldin_a,ED20 + 0.1,6
PRJNA379584,brefeldin_a,H-STS NET,brefeldin_a,ED20 + 0.1,
PRJNA379584,brivanib.24,H-STS NET,brivanib,ED20 + 0.1,24
PRJNA379584,brivanib.6,H-STS NET,brivanib,ED20 + 0.1,6
PRJNA379584,brivanib,H-STS NET,brivanib,ED20 + 0.1,
PRJNA379584,byl719.24,H-STS NET,byl719,ED20 + 0.1,24
PRJNA379584,byl719.6,H-STS NET,byl719,ED20 + 0.1,6
PRJNA379584,byl719,H-STS NET,byl719,ED20 + 0.1,
PRJNA379584,cay10618_in_methanol.24,H-STS NET,cay10618_in_methanol,ED20 + 0.1,24
PRJNA379584,cay10618_in_methanol.6,H-STS NET,cay10618_in_methanol,ED20 + 0.1,6
PRJNA379584,cay10618_in_methanol,H-STS NET,cay10618_in_methanol,ED20 + 0.1,
PRJNA379584,cd.6,H-STS NET,cd,ED20 + 0.1,6
PRJNA379584,cd_437.24,H-STS NET,cd_437,ED20 + 0.1,24
PRJNA379584,cd_437.6,H-STS NET,cd_437,ED20 + 0.1,6
PRJNA379584,cd_437,H-STS NET,cd_437,ED20 + 0.1,
PRJNA379584,cerulenin.24,H-STS NET,cerulenin,ED20 + 0.1,24
PRJNA379584,cerulenin.6,H-STS NET,cerulenin,ED20 + 0.1,6
PRJNA379584,cerulenin,H-STS NET,cerulenin,ED20 + 0.1,
PRJNA379584,chm.24,H-STS NET,chm,ED20 + 0.1,24
PRJNA379584,chm_1.24,H-STS NET,chm_1,ED20 + 0.1,24
PRJNA379584,chm_1.6,H-STS NET,chm_1,ED20 + 0.1,6
PRJNA379584,chm_1,H-STS NET,chm_1,ED20 + 0.1,
PRJNA379584,ciclopirox.24,H-STS NET,ciclopirox,ED20 + 0.1,24
PRJNA379584,ciclopirox.6,H-STS NET,ciclopirox,ED20 + 0.1,6
PRJNA379584,ciclopirox,H-STS NET,ciclopirox,ED20 + 0.1,
PRJNA379584,crizotinib.24,H-STS NET,crizotinib,ED20 + 0.1,24
PRJNA379584,crizotinib.6,H-STS NET,crizotinib,ED20 + 0.1,6
PRJNA379584,crizotinib,H-STS NET,crizotinib,ED20 + 0.1,
PRJNA379584,d_be_q.24,H-STS NET,d_be_q,ED20 + 0.1,24
PRJNA379584,d_be_q.6,H-STS NET,d_be_q,ED20 + 0.1,6
PRJNA379584,d_be_q,H-STS NET,d_be_q,ED20 + 0.1,
PRJNA379584,dasatinib.24,H-STS NET,dasatinib,ED20 + 0.1,24
PRJNA379584,dasatinib.6,H-STS NET,dasatinib,ED20 + 0.1,6
PRJNA379584,dasatinib,H-STS NET,dasatinib,ED20 + 0.1,
PRJNA379584,dinaciclib.24,H-STS NET,dinaciclib,ED20 + 0.1,24
PRJNA379584,dinaciclib.6,H-STS NET,dinaciclib,ED20 + 0.1,6
PRJNA379584,dinaciclib,H-STS NET,dinaciclib,ED20 + 0.1,
PRJNA379584,docetaxel.24,H-STS NET,docetaxel,ED20 + 0.1,24
PRJNA379584,docetaxel.6,H-STS NET,docetaxel,ED20 + 0.1,6
PRJNA379584,docetaxel,H-STS NET,docetaxel,ED20 + 0.1,
PRJNA379584,doxorubicin.24,H-STS NET,doxorubicin,ED20 + 0.1,24
PRJNA379584,doxorubicin.6,H-STS NET,doxorubicin,ED20 + 0.1,6
PRJNA379584,doxorubicin,H-STS NET,doxorubicin,ED20 + 0.1,
PRJNA379584,entinostat.24,H-STS NET,entinostat,ED20 + 0.1,24
PRJNA379584,entinostat.6,H-STS NET,entinostat,ED20 + 0.1,6
PRJNA379584,entinostat,H-STS NET,entinostat,ED20 + 0.1,
PRJNA379584,epigallocatechin_gallate.24,H-STS NET,epigallocatechin_gallate,ED20 + 0.1,24
PRJNA379584,epigallocatechin_gallate.6,H-STS NET,epigallocatechin_gallate,ED20 + 0.1,6
PRJNA379584,epigallocatechin_gallate,H-STS NET,epigallocatechin_gallate,ED20 + 0.1,
PRJNA379584,erastin.24,H-STS NET,erastin,ED20 + 0.1,24
PRJNA379584,erastin.6,H-STS NET,erastin,ED20 + 0.1,6
PRJNA379584,erastin,H-STS NET,erastin,ED20 + 0.1,
PRJNA379584,ethanol.24,H-STS NET,ethanol,ED20 + 0.1,24
PRJNA379584,ethanol.6,H-STS NET,ethanol,ED20 + 0.1,6
PRJNA379584,ethanol,H-STS NET,ethanol,ED20 + 0.1,
PRJNA379584,fingolimod.24,H-STS NET,fingolimod,ED20 + 0.1,24
PRJNA379584,fingolimod.6,H-STS NET,fingolimod,ED20 + 0.1,6
PRJNA379584,fingolimod,H-STS NET,fingolimod,ED20 + 0.1,
PRJNA379584,fk866.24,H-STS NET,fk866,ED20 + 0.1,24
PRJNA379584,fk866.6,H-STS NET,fk866,ED20 + 0.1,6
PRJNA379584,fk866,H-STS NET,fk866,ED20 + 0.1,
PRJNA379584,flavopiridol.24,H-STS NET,flavopiridol,ED20 + 0.1,24
PRJNA379584,flavopiridol.6,H-STS NET,flavopiridol,ED20 + 0.1,6
PRJNA379584,flavopiridol,H-STS NET,flavopiridol,ED20 + 0.1,
PRJNA379584,fluvastatin.24,H-STS NET,fluvastatin,ED20 + 0.1,24
PRJNA379584,fluvastatin.6,H-STS NET,fluvastatin,ED20 + 0.1,6
PRJNA379584,fluvastatin,H-STS NET,fluvastatin,ED20 + 0.1,
PRJNA379584,foretinib.24,H-STS NET,foretinib,ED20 + 0.1,24
PRJNA379584,foretinib.6,H-STS NET,foretinib,ED20 + 0.1,6
PRJNA379584,foretinib,H-STS NET,foretinib,ED20 + 0.1,
PRJNA379584,gdc.6,H-STS NET,gdc,ED20 + 0.1,6
PRJNA379584,gdc_0941.24,H-STS NET,gdc_0941,ED20 + 0.1,24
PRJNA379584,gdc_0941.6,H-STS NET,gdc_0941,ED20 + 0.1,6
PRJNA379584,gdc_0941,H-STS NET,gdc_0941,ED20 + 0.1,
PRJNA379584,gemcitabine.24,H-STS NET,gemcitabine,ED20 + 0.1,24
PRJNA379584,gemcitabine.6,H-STS NET,gemcitabine,ED20 + 0.1,6
PRJNA379584,gemcitabine,H-STS NET,gemcitabine,ED20 + 0.1,
PRJNA379584,gossypol.24,H-STS NET,gossypol,ED20 + 0.1,24
PRJNA379584,gossypol.6,H-STS NET,gossypol,ED20 + 0.1,6
PRJNA379584,gossypol,H-STS NET,gossypol,ED20 + 0.1,
PRJNA379584,gsk1210151a.24,H-STS NET,gsk1210151a,ED20 + 0.1,24
PRJNA379584,gsk1210151a.6,H-STS NET,gsk1210151a,ED20 + 0.1,6
PRJNA379584,gsk1210151a,H-STS NET,gsk1210151a,ED20 + 0.1,
PRJNA379584,gsk461364.24,H-STS NET,gsk461364,ED20 + 0.1,24
PRJNA379584,gsk461364.6,H-STS NET,gsk461364,ED20 + 0.1,6
PRJNA379584,gsk461364,H-STS NET,gsk461364,ED20 + 0.1,
PRJNA379584,gw.6,H-STS NET,gw,ED20 + 0.1,6
PRJNA379584,gw_405833.24,H-STS NET,gw_405833,ED20 + 0.1,24
PRJNA379584,gw_405833.6,H-STS NET,gw_405833,ED20 + 0.1,6
PRJNA379584,gw_405833,H-STS NET,gw_405833,ED20 + 0.1,
PRJNA379584,hmn.6,H-STS NET,hmn,ED20 + 0.1,6
PRJNA379584,hmn_214.24,H-STS NET,hmn_214,ED20 + 0.1,24
PRJNA379584,hmn_214.6,H-STS NET,hmn_214,ED20 + 0.1,6
PRJNA379584,hmn_214,H-STS NET,hmn_214,ED20 + 0.1,
PRJNA379584,ibrutinib.24,H-STS NET,ibrutinib,ED20 + 0.1,24
PRJNA379584,ibrutinib.6,H-STS NET,ibrutinib,ED20 + 0.1,6
PRJNA379584,ibrutinib,H-STS NET,ibrutinib,ED20 + 0.1,
PRJNA379584,imatinib.24,H-STS NET,imatinib,ED20 + 0.1,24
PRJNA379584,imatinib.6,H-STS NET,imatinib,ED20 + 0.1,6
PRJNA379584,imatinib,H-STS NET,imatinib,ED20 + 0.1,
PRJNA379584,inc280.24,H-STS NET,inc280,ED20 + 0.1,24
PRJNA379584,inc280.6,H-STS NET,inc280,ED20 + 0.1,6
PRJNA379584,inc280,H-STS NET,inc280,ED20 + 0.1,
PRJNA379584,istradefylline.24,H-STS NET,istradefylline,ED20 + 0.1,24
PRJNA379584,istradefylline.6,H-STS NET,istradefylline,ED20 + 0.1,6
PRJNA379584,istradefylline,H-STS NET,istradefylline,ED20 + 0.1,
PRJNA379584,jnj.6,H-STS NET,jnj,ED20 + 0.1,6
PRJNA379584,jnj_26854165.24,H-STS NET,jnj_26854165,ED20 + 0.1,24
PRJNA379584,jnj_26854165.6,H-STS NET,jnj_26854165,ED20 + 0.1,6
PRJNA379584,jnj_26854165,H-STS NET,jnj_26854165,ED20 + 0.1,
PRJNA379584,khs101.24,H-STS NET,khs101,ED20 + 0.1,24
PRJNA379584,khs101.6,H-STS NET,khs101,ED20 + 0.1,6
PRJNA379584,khs101,H-STS NET,khs101,ED20 + 0.1,
PRJNA379584,ku.6,H-STS NET,ku,ED20 + 0.1,6
PRJNA379584,ku_0063794.24,H-STS NET,ku_0063794,ED20 + 0.1,24
