accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug	experiment	source_name	timepoint
SAMN10663352	10663352	AMO-1 SRSF1mSD DMSO mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197098	GSM3535567	AMO-1		DMSO	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663353	10663353	AMO-1 SRSF1mSD DMSO mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197097	GSM3535566	AMO-1		DMSO	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663354	10663354	AMO-1 SRSF1mSD DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197096	GSM3535565	AMO-1		DMSO	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663355	10663355	AMO-1 SRSF1 WT DMSO mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197095	GSM3535564	AMO-1		DMSO	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663356	10663356	AMO-1 SRSF1 WT DMSO mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197094	GSM3535563	AMO-1		DMSO	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN13673563	13673563	MM.1S 5 nM bortezomib 24 h mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880431	GSM4231712		MM.1S	5 nM bortezomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN13673564	13673564	MM.1S 5 nM bortezomib 24 h mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880430	GSM4231711		MM.1S	5 nM bortezomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN13673565	13673565	MM.1S 5 nM bortezomib 24 h mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880429	GSM4231710		MM.1S	5 nM bortezomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN13673566	13673566	MM.1S heat shock 4 h mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880428	GSM4231709		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	4 h
SAMN13673567	13673567	MM.1S heat shock 4 h mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880427	GSM4231708		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	4 h
SAMN13673568	13673568	MM.1S heat shock 4 h mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880426	GSM4231707		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	4 h
SAMN13673569	13673569	MM.1S 0 h control mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880425	GSM4231706		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	0 h (untreated)
SAMN13673570	13673570	MM.1S 0 h control mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880424	GSM4231705		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	0 h (untreated)
SAMN13673597	13673597	MM.1S 0 h control mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880423	GSM4231704		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	0 h (untreated)
