BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue
SAMN06754504	SRR5445824	2020-01-01T12:37:37Z	2017-04-14T09:08:06Z	10191835	519783585	0	51	225		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445824.sralite.1	SRX2734808		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122675	simple	9606	Homo sapiens	GSM2577103							no					GEO	SRA554049		public	69597FEFF926E4F81AB12967D2A91FCD	05B6A414F102AD1C467CCD154D654965	6754504	PANC-1_50uM Gen + 40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122675	GSM2577103	PANC-1	50uM Gen + 40nM Gem2 24hrs-II	Pancreas
SAMN06754504	SRR5445825	2020-01-01T12:37:37Z	2017-04-14T09:08:21Z	10270622	523801722	0	51	226		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445825.sralite.1	SRX2734808		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122675	simple	9606	Homo sapiens	GSM2577103							no					GEO	SRA554049		public	542E6E4F7F017C2BEAEFC6B661DA816C	5BA8DBE956D53BB1A757F03805B1AFA1	6754504	PANC-1_50uM Gen + 40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122675	GSM2577103	PANC-1	50uM Gen + 40nM Gem2 24hrs-II	Pancreas
SAMN06754505	SRR5445822	2020-01-01T12:37:37Z	2017-04-14T09:07:00Z	8955120	456711120	0	51	198		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445822.sralite.1	SRX2734807		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122673	simple	9606	Homo sapiens	GSM2577102							no					GEO	SRA554049		public	6BB2C719655AB49126793762B51F2E34	8FC06C4FD78D709617B4BA07A7D4AC7F	6754505	PANC-1_50uM Gen + 40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122673	GSM2577102	PANC-1	50uM Gen + 40nM Gem2 24hrs-I	Pancreas
SAMN06754505	SRR5445823	2020-01-01T12:37:37Z	2017-04-14T09:07:07Z	9016738	459853638	0	51	198		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445823.sralite.1	SRX2734807		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122673	simple	9606	Homo sapiens	GSM2577102							no					GEO	SRA554049		public	0F19EE6541EDC6FBA16A0FACD64DECEB	FD2F698CC7206795277D5C2C7AEF22D4	6754505	PANC-1_50uM Gen + 40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122673	GSM2577102	PANC-1	50uM Gen + 40nM Gem2 24hrs-I	Pancreas
SAMN06754506	SRR5445816	2020-01-01T12:37:36Z	2017-04-14T09:05:47Z	8806929	449153379	0	51	192		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445816.sralite.1	SRX2734804		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122670	simple	9606	Homo sapiens	GSM2577099							no					GEO	SRA554049		public	D11CA68482071021F0378320A4669830	C13EB32D6C796404A764ABF52F17CD12	6754506	Mia-PaCa-2_Ctrl 24hrs-II	Karolinska Institute	9606	SRS2122670	GSM2577099	Mia-PaCa-2	Ctrl 24hrs-II	Pancreas
SAMN06754506	SRR5445817	2020-01-01T12:37:36Z	2017-04-14T09:05:25Z	8844555	451072305	0	51	192		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445817.sralite.1	SRX2734804		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122670	simple	9606	Homo sapiens	GSM2577099							no					GEO	SRA554049		public	942D031BACACFD9446C4FEF2965EF9D2	E7426332BFAC1C6897C2F43701ED5AD8	6754506	Mia-PaCa-2_Ctrl 24hrs-II	Karolinska Institute	9606	SRS2122670	GSM2577099	Mia-PaCa-2	Ctrl 24hrs-II	Pancreas
SAMN06754507	SRR5445814	2020-01-01T12:37:36Z	2017-04-14T09:07:49Z	11067699	564452649	0	51	242		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445814.sralite.1	SRX2734803		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122666	simple	9606	Homo sapiens	GSM2577098							no					GEO	SRA554049		public	A76333D6DAB8BE07E79E1A0CD773D7FC	BDADE6F6A7AD0530FD4FD8B4AD510EF4	6754507	Mia-PaCa-2_Ctrl 24hrs-I	Karolinska Institute	9606	SRS2122666	GSM2577098	Mia-PaCa-2	Ctrl 24hrs-I	Pancreas
SAMN06754507	SRR5445815	2020-01-01T12:37:36Z	2017-04-14T09:06:16Z	11177059	570030009	0	51	243		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445815.sralite.1	SRX2734803		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122666	simple	9606	Homo sapiens	GSM2577098							no					GEO	SRA554049		public	9D625E5602EB19D98E459C94A4979F4E	7225946216276BB16866104919F6961B	6754507	Mia-PaCa-2_Ctrl 24hrs-I	Karolinska Institute	9606	SRS2122666	GSM2577098	Mia-PaCa-2	Ctrl 24hrs-I	Pancreas
SAMN06754508	SRR5445812	2020-01-01T12:37:36Z	2017-04-14T09:06:49Z	10371013	528921663	0	51	226		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445812.sralite.1	SRX2734802		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122669	simple	9606	Homo sapiens	GSM2577097							no					GEO	SRA554049		public	A9F1CC960C0864C51A77046FE62A12E5	19E8E858A34289BF0FF345124C543BBA	6754508	Mia-PaCa-2_40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122669	GSM2577097	Mia-PaCa-2	40nM Gem2 24hrs-II	Pancreas
SAMN06754508	SRR5445813	2020-01-01T12:37:36Z	2017-04-14T09:07:43Z	10501776	535590576	0	51	228		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445813.sralite.1	SRX2734802		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122669	simple	9606	Homo sapiens	GSM2577097							no					GEO	SRA554049		public	7C1E2EC52A29327FE9CE8AA52837D6EE	B5F05EE1F78E8751726E7EBAD7A3DFDA	6754508	Mia-PaCa-2_40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122669	GSM2577097	Mia-PaCa-2	40nM Gem2 24hrs-II	Pancreas
SAMN06754509	SRR5445810	2020-01-01T12:37:36Z	2017-04-14T09:06:26Z	10422175	531530925	0	51	227		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445810.sralite.1	SRX2734801		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122668	simple	9606	Homo sapiens	GSM2577096							no					GEO	SRA554049		public	D2F220FF89FCBEBE76D89363BC905EB6	53DEF21830239BF3DDE33EEE196DCC86	6754509	Mia-PaCa-2_40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122668	GSM2577096	Mia-PaCa-2	40nM Gem2 24hrs-I	Pancreas
SAMN06754509	SRR5445811	2020-01-01T12:37:36Z	2017-04-14T09:06:06Z	10569254	539031954	0	51	230		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445811.sralite.1	SRX2734801		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122668	simple	9606	Homo sapiens	GSM2577096							no					GEO	SRA554049		public	857EC5EB5196DB54782D07EDFC5567A8	2F8310252D71522C0DD66943D8343F0F	6754509	Mia-PaCa-2_40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122668	GSM2577096	Mia-PaCa-2	40nM Gem2 24hrs-I	Pancreas
SAMN06754510	SRR5445808	2020-01-01T12:37:36Z	2017-04-14T09:07:47Z	10298243	525210393	0	51	225		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445808.sralite.1	SRX2734800		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122667	simple	9606	Homo sapiens	GSM2577095							no					GEO	SRA554049		public	F16CDABB85E96356F6D90B19ADCC29B6	2F7E22E81E90AB76C1C0AECEC36ACB1C	6754510	Mia-PaCa-2_50uM Gen + 40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122667	GSM2577095	Mia-PaCa-2	50uM Gen + 40nM Gem2 24hrs-II	Pancreas
SAMN06754510	SRR5445809	2020-01-01T12:37:36Z	2017-04-14T09:05:58Z	10468001	533868051	0	51	228		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445809.sralite.1	SRX2734800		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122667	simple	9606	Homo sapiens	GSM2577095							no					GEO	SRA554049		public	79128DE7F1C0FDC981A09887F8A6A05F	4F8A35F9845FD8AD6D957672DCAD4568	6754510	Mia-PaCa-2_50uM Gen + 40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122667	GSM2577095	Mia-PaCa-2	50uM Gen + 40nM Gem2 24hrs-II	Pancreas
SAMN06754511	SRR5445806	2020-01-01T12:37:36Z	2017-04-14T09:04:33Z	9033811	460724361	0	51	197		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445806.sralite.1	SRX2734799		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122663	simple	9606	Homo sapiens	GSM2577094							no					GEO	SRA554049		public	A3A9A09A556F9549E4DC47596ED8D18A	6035ACCD27D54231DCD21906A8B6162D	6754511	Mia-PaCa-2_50uM Gen + 40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122663	GSM2577094	Mia-PaCa-2	50uM Gen + 40nM Gem2 24hrs-I	Pancreas
SAMN06754511	SRR5445807	2020-01-01T12:37:36Z	2017-04-14T09:04:54Z	9171716	467757516	0	51	200		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445807.sralite.1	SRX2734799		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122663	simple	9606	Homo sapiens	GSM2577094							no					GEO	SRA554049		public	7773F0D6BF540A80B81A92D61F86A1C0	A364BF1DE42F3BBB9C177A1BF6AC23EC	6754511	Mia-PaCa-2_50uM Gen + 40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122663	GSM2577094	Mia-PaCa-2	50uM Gen + 40nM Gem2 24hrs-I	Pancreas
SAMN06754512	SRR5445804	2020-01-01T12:37:36Z	2017-04-14T09:05:41Z	14458577	737387427	0	51	315		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445804.sralite.1	SRX2734798		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122664	simple	9606	Homo sapiens	GSM2577093							no					GEO	SRA554049		public	A270C638597C022D68E2566AF24F4995	D59E2E05D6568BF6C36F72307EB360D7	6754512	Mia-PaCa-2_50uM Gen 24hrs-II	Karolinska Institute	9606	SRS2122664	GSM2577093	Mia-PaCa-2	50uM Gen 24hrs-II	Pancreas
SAMN06754512	SRR5445805	2020-01-01T12:37:36Z	2017-04-14T09:05:13Z	14639391	746608941	0	51	318		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445805.sralite.1	SRX2734798		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122664	simple	9606	Homo sapiens	GSM2577093							no					GEO	SRA554049		public	1C753875CB918A432B4F9A65664F35D8	A713DE8A4824043679D36D4E80F39387	6754512	Mia-PaCa-2_50uM Gen 24hrs-II	Karolinska Institute	9606	SRS2122664	GSM2577093	Mia-PaCa-2	50uM Gen 24hrs-II	Pancreas
SAMN06754513	SRR5445802	2020-01-01T12:37:36Z	2017-04-14T09:02:22Z	8504256	433717056	0	51	186		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445802.sralite.1	SRX2734797		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122662	simple	9606	Homo sapiens	GSM2577092							no					GEO	SRA554049		public	ED34ADB7D916CE55791CFB6A96D32F68	76502BD8D332C77C32ECE8ACA8FB114C	6754513	Mia-PaCa-2_50uM Gen 24hrs-I	Karolinska Institute	9606	SRS2122662	GSM2577092	Mia-PaCa-2	50uM Gen 24hrs-I	Pancreas
SAMN06754513	SRR5445803	2020-01-01T12:37:36Z	2017-04-14T09:03:11Z	8610418	439131318	0	51	187		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445803.sralite.1	SRX2734797		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122662	simple	9606	Homo sapiens	GSM2577092							no					GEO	SRA554049		public	187D00716D18E35C56D16CE5F62BF1F1	BABBA08FEE08E8B76D2007E10DE0BBDA	6754513	Mia-PaCa-2_50uM Gen 24hrs-I	Karolinska Institute	9606	SRS2122662	GSM2577092	Mia-PaCa-2	50uM Gen 24hrs-I	Pancreas
