BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	timepoint	treatment	group
SAMN02796592	SRR1294350	2016-06-30T16:21:07Z	2014-05-21T14:57:20Z	22981800	2298180000	22981800	100	1433		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294350/SRR1294350.1	SRX548964		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616814	simple	9606	Homo sapiens	GSM1395372							no					GEO	SRA166611		public	9C1DD6DDBC5F1ECDC0C5887C03E286DE	CC2BCB0C62659F175BD97A754225E1BF	2796592	mock_DMSO_8hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616814	GSM1395372	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock DMSO	mock.DMSO.8hr
SAMN02796588	SRR1294351	2016-06-30T16:21:07Z	2014-05-21T14:44:56Z	17666767	1766676700	17666767	100	1102		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294351/SRR1294351.1	SRX548965		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616815	simple	9606	Homo sapiens	GSM1395373							no					GEO	SRA166611		public	91AEBCEA4A9550E3048519D8700B642F	EEF439A092E5DD5C364B500C68B9B352	2796588	mock_DMSO_12hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616815	GSM1395373	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock DMSO	mock.DMSO.12hr
SAMN02796593	SRR1294352	2016-06-30T16:21:07Z	2014-05-21T14:49:21Z	17373906	1737390600	17373906	100	1102		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294352/SRR1294352.1	SRX548966		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616816	simple	9606	Homo sapiens	GSM1395374							no					GEO	SRA166611		public	244B0556F9237229990872749D24C732	19E549EC86CFF0DCA82C037A5D5227B5	2796593	mock_vorinostat_4hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616816	GSM1395374	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	mock vorinostat	mock.vorinostat.4hr
SAMN02796586	SRR1294353	2016-06-30T16:21:07Z	2014-05-21T14:58:21Z	28842421	2884242100	28842421	100	1839		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294353/SRR1294353.1	SRX548967		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616817	simple	9606	Homo sapiens	GSM1395375							no					GEO	SRA166611		public	C97523F3FCCF44C0686756ECC647EF4A	19814F82572FD434440B2CB0552D94CA	2796586	mock_vorinostat_8hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616817	GSM1395375	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock vorinostat	mock.vorinostat.8hr
SAMN02796578	SRR1294354	2016-06-30T16:21:07Z	2014-05-21T14:42:35Z	18754776	1875477600	18754776	100	1172		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294354/SRR1294354.1	SRX548968		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616818	simple	9606	Homo sapiens	GSM1395376							no					GEO	SRA166611		public	BD6E3D7D4266BEA6CA957D77FAF417D1	1BDBFFA335AF54A61D27CB51DEA6430B	2796578	mock_vorinostat_12hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616818	GSM1395376	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock vorinostat	mock.vorinostat.12hr
SAMN02796596	SRR1294355	2016-06-30T16:21:07Z	2014-05-21T14:42:39Z	20004431	2000443100	20004431	100	1252		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294355/SRR1294355.1	SRX548969		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616819	simple	9606	Homo sapiens	GSM1395377							no					GEO	SRA166611		public	CB2B9425B1C4C8CF474B862D505609F2	DAD1B686B6055CB489BD573E71E6C61D	2796596	siGLI1_DMSO_4hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616819	GSM1395377	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	siGLI1 DMSO	siGLI1.DMSO.4hr
SAMN02796589	SRR1294356	2016-06-30T16:21:07Z	2014-05-21T14:47:02Z	20630631	2063063100	20630631	100	1315		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294356/SRR1294356.1	SRX548970		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616820	simple	9606	Homo sapiens	GSM1395378							no					GEO	SRA166611		public	5EDB1EAF7C582D91F1E2AD5527B6B65E	C25A3E23C916DD118C671E582B1F76B6	2796589	siGLI1_DMSO_8hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616820	GSM1395378	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siGLI1 DMSO	siGLI1.DMSO.8hr
SAMN02796587	SRR1294357	2016-06-30T16:21:07Z	2014-05-21T14:52:41Z	16707997	1670799700	16707997	100	1068		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294357/SRR1294357.1	SRX548971		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616821	simple	9606	Homo sapiens	GSM1395379							no					GEO	SRA166611		public	51E8C757E24699C47A328A38C278B212	44DE02DEC937906B3650D30478436AF7	2796587	siGLI1_vorinostat_4hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616821	GSM1395379	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	siGLI1 vorinostat	siGLI1.vorinostat.4hr
SAMN02796594	SRR1294358	2016-06-30T16:21:07Z	2014-05-21T14:51:58Z	20118690	2011869000	20118690	100	1277		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294358/SRR1294358.1	SRX548972		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616822	simple	9606	Homo sapiens	GSM1395380							no					GEO	SRA166611		public	14B8C338F69EDD2E7D1CDD06AD86DED8	2B599820DF56951D672CDCA2BA934643	2796594	siGLI1_vorinostat_8hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616822	GSM1395380	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siGLI1 vorinostat	siGLI1.vorinostat.8hr
SAMN02796590	SRR1294359	2016-06-30T16:21:07Z	2014-05-21T14:57:07Z	21967155	2196715500	21967155	100	1369		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294359/SRR1294359.1	SRX548973		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616823	simple	9606	Homo sapiens	GSM1395381							no					GEO	SRA166611		public	46E14B269DD8E38D3047210765DA63BB	3831D99B17A38E9F8ACFBAD5AD35F11F	2796590	siPSMD13_DMSO_8hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616823	GSM1395381	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siPSMD13 DMSO	siPSMD13.DMSO.8hr
SAMN02796603	SRR1294360	2016-06-30T16:21:07Z	2014-05-21T14:53:31Z	19172995	1917299500	19172995	100	1225		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294360/SRR1294360.1	SRX548974		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616824	simple	9606	Homo sapiens	GSM1395382							no					GEO	SRA166611		public	EBDF115973215B7D623D6A018210CFC4	174A9CE177D4364753AD8AD8EBB9912B	2796603	siPSDM13_DMSO_12hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616824	GSM1395382	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSDM13 DMSO	siPSDM13.DMSO.12hr
SAMN02796600	SRR1294361	2016-06-30T16:21:07Z	2014-05-21T14:50:28Z	26305277	2630527700	26305277	100	1669		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294361/SRR1294361.1	SRX548975		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616825	simple	9606	Homo sapiens	GSM1395383							no					GEO	SRA166611		public	E8E50CFE90B2D61BD46BD01F3F7329CA	9DC22D6782C2EB08DAC5C1F8A482E33D	2796600	siPSMD13_vorinostat_8hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616825	GSM1395383	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siPSMD13 vorinostat	siPSMD13.vorinostat.8hr
SAMN02796595	SRR1294362	2016-06-30T16:21:07Z	2014-05-21T14:43:07Z	19965177	1996517700	19965177	100	1250		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294362/SRR1294362.1	SRX548976		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616826	simple	9606	Homo sapiens	GSM1395384							no					GEO	SRA166611		public	B79F322F6BFB171EDBADCC942CFBCAAF	3155465CE520AC5A082E384BD1E8FF98	2796595	siPSMD13_vorinostat_12hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616826	GSM1395384	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSMD13 vorinostat	siPSMD13.vorinostat.12hr
SAMN02796604	SRR1294363	2016-06-30T16:21:07Z	2014-05-21T14:56:44Z	20449910	2044991000	20449910	100	1276		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294363/SRR1294363.1	SRX548977		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616827	simple	9606	Homo sapiens	GSM1395385							no					GEO	SRA166611		public	5E277A99117A6A2CD3DF5BF67A89E3D5	C1057AD2F74FD353F2B0C8F47068225D	2796604	mock_DMSO_4hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616827	GSM1395385	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	mock DMSO	mock.DMSO.4hr
SAMN02796612	SRR1294364	2016-06-30T16:21:07Z	2014-05-21T14:46:05Z	18454384	1845438400	18454384	100	1180		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294364/SRR1294364.1	SRX548978		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616828	simple	9606	Homo sapiens	GSM1395386							no					GEO	SRA166611		public	9F98AAE5FDBF9F490AAF70138D445D26	E6168075FD6025015E663F28765791DA	2796612	mock_DMSO_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616828	GSM1395386	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock DMSO	mock.DMSO.8hr
SAMN02796607	SRR1294365	2016-06-30T16:21:07Z	2014-05-21T14:45:10Z	17958702	1795870200	17958702	100	1141		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294365/SRR1294365.1	SRX548979		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616829	simple	9606	Homo sapiens	GSM1395387							no					GEO	SRA166611		public	7EFC8581DA55BA845D32206C108344EF	4289A0C6BF33FA533D05D0D7853F4C84	2796607	mock_DMSO_12hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616829	GSM1395387	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock DMSO	mock.DMSO.12hr
