BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue	treatment
SAMN10764422	SRR8451230	2019-08-27T22:37:57Z	2019-01-17T11:07:20Z	11999634	911972184	0	76	316		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8451230/SRR8451230.1	SRX5258145		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259239	simple	9606	Homo sapiens	GSM3567189							no					GEO	SRA835666		public	8D3BE8354E3B0A9ACA3D2A354EBED17C	1C3908475DA02363E0C21AFDDFFAB106	10764422	VCaP_24hTHZ1_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259239	GSM3567189	VCaP	VCaP	Prostate Cancer	24h THZ1 treatment
SAMN10764424	SRR8451229	2019-08-27T22:37:57Z	2019-01-17T11:07:24Z	14121934	1073266984	0	76	372		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8451229/SRR8451229.1	SRX5258144		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259237	simple	9606	Homo sapiens	GSM3567188							no					GEO	SRA835666		public	67AFFE19219B5F476469144E5D367E28	675DED5E5C87F9696E5D52D083CA96C3	10764424	VCaP_24hDMSO_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259237	GSM3567188	VCaP	VCaP	Prostate Cancer	24h DMSO treatment
SAMN10764425	SRR8451228	2019-08-27T22:37:57Z	2019-01-17T11:07:42Z	14345843	1090284068	0	76	378		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8451228/SRR8451228.1	SRX5258143		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259236	simple	9606	Homo sapiens	GSM3567187							no					GEO	SRA835666		public	9D0344913822CC7DAA5B301912CB75AA	B33D183C7D47A6F5501A1ED45D754FD0	10764425	VCaP_24hDMSO_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259236	GSM3567187	VCaP	VCaP	Prostate Cancer	24h DMSO treatment
SAMN10764427	SRR8451227	2019-08-27T22:37:57Z	2019-01-17T11:08:34Z	18391397	1397746172	0	76	522		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8451227/SRR8451227.1	SRX5258142		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259235	simple	9606	Homo sapiens	GSM3567186							no					GEO	SRA835666		public	3535D1A4049CF17F220CA8311F1962D1	4C1B5E6796BEBD834615E03C14557601	10764427	LNCaP_24hTHZ1_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259235	GSM3567186	LNCaP	LNCaP	Prostate Cancer	24h THZ1 treatment
SAMN10764428	SRR8451226	2019-08-27T22:37:57Z	2019-01-17T11:12:37Z	24439112	1857372512	0	76	697		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451226/SRR8451226.1	SRX5258141		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259234	simple	9606	Homo sapiens	GSM3567185							no					GEO	SRA835666		public	773A1DA9273246D0EA505134D311B3CE	253471BC27097F4F288131E7F059FD63	10764428	LNCaP_24hTHZ1_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259234	GSM3567185	LNCaP	LNCaP	Prostate Cancer	24h THZ1 treatment
SAMN10764430	SRR8451225	2019-08-27T22:37:57Z	2019-01-17T11:13:30Z	34935149	2655071324	0	76	988		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8451225/SRR8451225.1	SRX5258140		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259233	simple	9606	Homo sapiens	GSM3567184							no					GEO	SRA835666		public	D8CAF9E01485DB18756DDDD10F2FDAB6	82AF0122094D067E43A64715A060D8AA	10764430	LNCaP_24hDMSO_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259233	GSM3567184	LNCaP	LNCaP	Prostate Cancer	24h DMSO treatment
SAMN10764432	SRR8451224	2019-08-27T22:37:57Z	2019-01-17T11:10:24Z	24660079	1874166004	0	76	700		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451224/SRR8451224.1	SRX5258139		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259232	simple	9606	Homo sapiens	GSM3567183							no					GEO	SRA835666		public	20AC8941BBA647F3CBD604965BB57861	DA44DC6DA97AF39BD30C3218912BA0B7	10764432	LNCaP_24hDMSO_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259232	GSM3567183	LNCaP	LNCaP	Prostate Cancer	24h DMSO treatment
SAMN10764433	SRR8451223	2019-08-27T22:37:57Z	2019-01-17T11:07:13Z	15891075	1207721700	0	76	420		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8451223/SRR8451223.1	SRX5258138		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259231	simple	9606	Homo sapiens	GSM3567182							no					GEO	SRA835666		public	EB759D37C2A20AC7CF44B31B04729897	AD798EC7F9CCFFF029634C5E2EC54C68	10764433	VCaP_DHTTHZ1_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259231	GSM3567182	VCaP	VCaP	Prostate Cancer	AR stimulation in presence of THZ1 (6h)
SAMN10764435	SRR8451222	2019-08-27T22:37:57Z	2019-01-17T11:07:39Z	12995530	987660280	0	76	344		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8451222/SRR8451222.1	SRX5258137		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259230	simple	9606	Homo sapiens	GSM3567181							no					GEO	SRA835666		public	4CE6CD9B96C3DC4A408C7FD3EBEB09E5	93FB39A73E295545F24400EE934CA122	10764435	VCaP_DHTTHZ1_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259230	GSM3567181	VCaP	VCaP	Prostate Cancer	AR stimulation in presence of THZ1 (6h)
SAMN10764436	SRR8451221	2019-08-27T22:37:57Z	2019-01-17T11:09:51Z	19603252	1489847152	0	76	517		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451221/SRR8451221.1	SRX5258136		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259229	simple	9606	Homo sapiens	GSM3567180							no					GEO	SRA835666		public	4E06748096D07DCE1B2F505DE2F5D71B	1B65FFA58AC27B5BBA5CB905306199AC	10764436	VCaP_DHT_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259229	GSM3567180	VCaP	VCaP	Prostate Cancer	AR stimulation (6h)
SAMN10764438	SRR8451220	2019-08-27T22:37:57Z	2019-01-17T11:10:22Z	24602132	1869762032	0	76	645		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451220/SRR8451220.1	SRX5258135		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259228	simple	9606	Homo sapiens	GSM3567179							no					GEO	SRA835666		public	E791D955897508CDF5BF55A80C4AF442	C1A30C6CD5495BB49AB08A644E638FBC	10764438	VCaP_DHT_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259228	GSM3567179	VCaP	VCaP	Prostate Cancer	AR stimulation (6h)
SAMN10764440	SRR8451219	2019-08-27T22:37:57Z	2019-01-17T11:07:52Z	14231349	1081582524	0	76	373		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8451219/SRR8451219.1	SRX5258134		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259227	simple	9606	Homo sapiens	GSM3567178							no					GEO	SRA835666		public	84E1801F3A7CAFFC19D3B79FD607EBDD	ED2FD3F88D5B12A02C86E75649A7FA69	10764440	VCaP_VEH_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259227	GSM3567178	VCaP	VCaP	Prostate Cancer	Vehicle control
SAMN10764441	SRR8451218	2019-08-27T22:37:57Z	2019-01-17T11:09:31Z	19793712	1504322112	0	76	518		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451218/SRR8451218.1	SRX5258133		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259226	simple	9606	Homo sapiens	GSM3567177							no					GEO	SRA835666		public	11B10DCD270FEC05D141C2AB2F56C407	2E22FB0B3FCE5FA9241EE011A191A5F8	10764441	VCaP_VEH_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259226	GSM3567177	VCaP	VCaP	Prostate Cancer	Vehicle control
SAMN10764443	SRR8451217	2019-08-27T22:37:57Z	2019-01-17T11:08:12Z	16576687	1259828212	0	76	433		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8451217/SRR8451217.1	SRX5258132		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259225	simple	9606	Homo sapiens	GSM3567176							no					GEO	SRA835666		public	925E4463EB0163618D6C7841A544900E	D9FD6249AC82F58BE622D8BA4DA907C5	10764443	LNCaP_DHTTHZ1_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259225	GSM3567176	LNCaP	LNCaP	Prostate Cancer	AR stimulation in presence of THZ1 (6h)
SAMN10764444	SRR8451216	2019-08-27T22:37:57Z	2019-01-17T11:09:03Z	18738173	1424101148	0	76	504		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8451216/SRR8451216.1	SRX5258131		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259224	simple	9606	Homo sapiens	GSM3567175							no					GEO	SRA835666		public	2C52009060BE978E04639C6317CB940A	E6C5DEF150E1895428023BF663901BDA	10764444	LNCaP_DHTTHZ1_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259224	GSM3567175	LNCaP	LNCaP	Prostate Cancer	AR stimulation in presence of THZ1 (6h)
SAMN10764446	SRR8451215	2019-08-27T22:37:57Z	2019-01-17T11:08:00Z	14180820	1077742320	0	76	371		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8451215/SRR8451215.1	SRX5258130		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259223	simple	9606	Homo sapiens	GSM3567174							no					GEO	SRA835666		public	353E77713F9A0DA331AC18E7CD9C4D42	4A702BED242C5D437AA9EF4C8E68E641	10764446	LNCaP_DHT_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259223	GSM3567174	LNCaP	LNCaP	Prostate Cancer	AR stimulation (6h)
SAMN10764447	SRR8451214	2019-08-27T22:37:57Z	2019-01-17T11:10:51Z	21051605	1599921980	0	76	553		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8451214/SRR8451214.1	SRX5258129		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259222	simple	9606	Homo sapiens	GSM3567173							no					GEO	SRA835666		public	C9F8684AA6E2303B22C9A44B486B0CDF	A11E0F041D58A06149FABFC4A549015E	10764447	LNCaP_DHT_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259222	GSM3567173	LNCaP	LNCaP	Prostate Cancer	AR stimulation (6h)
SAMN10764449	SRR8451213	2019-08-27T22:37:57Z	2019-01-17T11:09:35Z	22550317	1713824092	0	76	591		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451213/SRR8451213.1	SRX5258128		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259221	simple	9606	Homo sapiens	GSM3567172							no					GEO	SRA835666		public	FF02415D7F3500894E1BD56077D9A01E	295406996C074D48B91BB7F7BE9C13BC	10764449	LNCaP_VEH_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259221	GSM3567172	LNCaP	LNCaP	Prostate Cancer	Vehicle control
SAMN10764450	SRR8451212	2019-08-27T22:37:57Z	2019-01-17T11:07:26Z	14419908	1095913008	0	76	379		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8451212/SRR8451212.1	SRX5258127		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259220	simple	9606	Homo sapiens	GSM3567171							no					GEO	SRA835666		public	501EA60A67197E8E25C30F0C7963B80E	295A6573ADDBC81E0EA7C9B41C79D110	10764450	LNCaP_VEH_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259220	GSM3567171	LNCaP	LNCaP	Prostate Cancer	Vehicle control
SAMN10764526	SRR8451247	2019-08-27T22:37:58Z	2019-01-17T11:09:26Z	20834016	1583385216	0	76	601		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451247/SRR8451247.1	SRX5258162		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259255	simple	9606	Homo sapiens	GSM3567206							no					GEO	SRA835666		public	4D7B87D0A1F862053E6351206DBAC2FB	78E6942D02985FBD8734D6711EC599D8	10764526	VCaP_DHTsiMED1_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259255	GSM3567206	VCaP	VCaP	Prostate Cancer	si knockdown of MED1
SAMN10764527	SRR8451246	2019-08-27T22:37:57Z	2019-01-17T11:09:16Z	20656149	1569867324	0	76	594		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8451246/SRR8451246.1	SRX5258161		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259254	simple	9606	Homo sapiens	GSM3567205							no					GEO	SRA835666		public	3A4978BDC5BEE2C834297B97028CC860	DABFF65E44E68537F34295530F9A0A3F	10764527	VCaP_DHTsiMED1_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259254	GSM3567205	VCaP	VCaP	Prostate Cancer	si knockdown of MED1
SAMN10764528	SRR8451241	2019-08-27T22:37:57Z	2019-01-17T11:09:30Z	23899780	1816383280	0	76	683		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451241/SRR8451241.1	SRX5258156		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259249	simple	9606	Homo sapiens	GSM3567200							no					GEO	SRA835666		public	988DB766099629594FCCF46B76C57B0A	2AA89D3589A69752BFB8393BE8249915	10764528	LNCaP_DHTsiMED1_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259249	GSM3567200	LNCaP	LNCaP	Prostate Cancer	si knockdown of MED1
SAMN10764529	SRR8451240	2019-08-27T22:37:57Z	2019-01-17T11:12:51Z	26670987	2026995012	0	76	763		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8451240/SRR8451240.1	SRX5258155		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259248	simple	9606	Homo sapiens	GSM3567199							no					GEO	SRA835666		public	65C488FEE3F13729EA0C9F42FA3C8669	2CA58253329B24ED8D5CFC4947BE6D3A	10764529	LNCaP_DHTsiMED1_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259248	GSM3567199	LNCaP	LNCaP	Prostate Cancer	si knockdown of MED1
SAMN10764530	SRR8451239	2019-08-27T22:37:57Z	2019-01-17T11:10:20Z	20073113	1525556588	0	76	573		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451239/SRR8451239.1	SRX5258154		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259247	simple	9606	Homo sapiens	GSM3567198							no					GEO	SRA835666		public	990F03F5B07D4E1D586A9EB83DAC9009	93F1EB22E16940AA86C3414BBC14CF4D	10764530	LNCaP_DHTsiCDK7_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259247	GSM3567198	LNCaP	LNCaP	Prostate Cancer	si knockdown of CDK7
SAMN10764531	SRR8451245	2019-08-27T22:37:57Z	2019-01-17T11:11:27Z	22782729	1731487404	0	76	655		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8451245/SRR8451245.1	SRX5258160		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259253	simple	9606	Homo sapiens	GSM3567204							no					GEO	SRA835666		public	ACA1213971A32B2E4320E6DE3BA41C73	32BD12C8ED90885140613DE687D76205	10764531	VCaP_DHTsiCDK7_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259253	GSM3567204	VCaP	VCaP	Prostate Cancer	si knockdown of CDK7
