accession	uid	title	organization	taxonomy	sra	geo	Sex	cell line	cell type	source_name	tissue
SAMN04503373	4503373	UNC0638-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301756	GSM2067376	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503374	4503374	DAC_UNC0638-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301754	GSM2067377	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503375	4503375	GSK343-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301753	GSM2067378	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503510	4503510	DAC_Depsi-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301741	GSM2067391	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503511	4503511	Cntrl-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301740	GSM2067392	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503512	4503512	DAC-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301739	GSM2067393	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503513	4503513	S2101-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301738	GSM2067394	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503514	4503514	DAC_S2101-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301736	GSM2067395	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503515	4503515	UNC0638-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301737	GSM2067396	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503516	4503516	DAC_UNC0638-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301735	GSM2067397	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503517	4503517	GSK343-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301901	GSM2067398	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503518	4503518	DAC_GSK343-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301899	GSM2067399	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503519	4503519	Depsi-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301897	GSM2067400	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503520	4503520	DAC_Depsi-3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301894	GSM2067401	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
