BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex.x	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	Sex.y	cell line	cell type	source_name	tissue	group
SAMN04503374	SRR3179530	2017-02-08T16:25:37Z	2016-02-19T13:11:07Z	31410955	1570547750	0	50	1020		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179530/SRR3179530.1	SRX1593788		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301754	simple	9606	Homo sapiens	GSM2067377							no					GEO	SRA355817		public	133EE29DA05FD914779843032E961BB1	57A2D364C96AABE0969E08AEDC001027	4503374	DAC_UNC0638-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301754	GSM2067377	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_unc0638
SAMN04503374	SRR3179531	2017-02-08T16:25:37Z	2016-02-19T13:21:00Z	31635229	1581761450	0	50	1035		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179531/SRR3179531.1	SRX1593788		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301754	simple	9606	Homo sapiens	GSM2067377							no					GEO	SRA355817		public	AB8F50C8682C5201E3300D6EC9BCF9F5	F5DA777B0AF84B9B86A455962D90F519	4503374	DAC_UNC0638-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301754	GSM2067377	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_unc0638
SAMN04503375	SRR3179532	2017-02-08T16:25:37Z	2016-02-19T13:15:53Z	30508272	1525413600	0	50	995		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179532/SRR3179532.1	SRX1593789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301753	simple	9606	Homo sapiens	GSM2067378							no					GEO	SRA355817		public	99C46C083EDC339A7919EDE8BEA7195A	C7D32048FD7BE7DD23C12BDDC22FEC2C	4503375	GSK343-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301753	GSM2067378	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	gsk343
SAMN04503375	SRR3179533	2017-02-08T16:25:37Z	2016-02-19T13:17:18Z	30644152	1532207600	0	50	1003		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179533/SRR3179533.1	SRX1593789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301753	simple	9606	Homo sapiens	GSM2067378							no					GEO	SRA355817		public	AC76AFC2C9520193A59AC6D7F7F29C39	EB8D9E55DDA809E9427615EF99C7C7D0	4503375	GSK343-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301753	GSM2067378	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	gsk343
SAMN04503334	SRR3179534	2017-02-08T16:25:37Z	2016-02-19T13:13:58Z	32378743	1618937150	0	50	1056		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179534/SRR3179534.1	SRX1593790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301755	simple	9606	Homo sapiens	GSM2067379							no					GEO	SRA355817		public	6FDCF234BE10EAC7AAFF22B92603AE1E	2AE2D811B19210A60C1431831ED74F0D	4503334	DAC_GSK343-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301755	GSM2067379	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_gsk343
SAMN04503334	SRR3179535	2017-02-08T16:25:37Z	2016-02-19T13:15:04Z	32546917	1627345850	0	50	1064		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179535/SRR3179535.1	SRX1593790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301755	simple	9606	Homo sapiens	GSM2067379							no					GEO	SRA355817		public	476F7F7D8B943674CB03933D7F25A9CC	6599547618F63DA0651746FF8ED50D28	4503334	DAC_GSK343-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301755	GSM2067379	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_gsk343
SAMN04503335	SRR3179536	2017-02-08T16:25:37Z	2016-02-19T13:12:42Z	28008006	1400400300	0	50	913		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179536/SRR3179536.1	SRX1593791		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301752	simple	9606	Homo sapiens	GSM2067380							no					GEO	SRA355817		public	BF0043775771C10E07426EF9E23D0589	52E92D48875F376CE45C040046F331E6	4503335	Depsi-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301752	GSM2067380	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	depsi
SAMN04503335	SRR3179537	2017-02-08T16:25:37Z	2016-02-19T13:15:08Z	28130060	1406503000	0	50	920		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179537/SRR3179537.1	SRX1593791		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301752	simple	9606	Homo sapiens	GSM2067380							no					GEO	SRA355817		public	BFF41BF99B2831E9C1450872183CDEF2	23E95306C1918D9CD8D1E4E76DB8299A	4503335	Depsi-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301752	GSM2067380	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	depsi
SAMN04503336	SRR3179538	2017-02-08T16:25:37Z	2016-02-19T13:09:11Z	28566405	1428320250	0	50	940		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179538/SRR3179538.1	SRX1593792		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301750	simple	9606	Homo sapiens	GSM2067381							no					GEO	SRA355817		public	3F46D5E57EC3ECBD543D2F3575837916	ED86F138325523BB3C9DE40E6ACC06A6	4503336	DAC_Depsi-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301750	GSM2067381	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_depsi
SAMN04503336	SRR3179539	2017-02-08T16:25:37Z	2016-02-19T13:11:05Z	28728657	1436432850	0	50	948		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179539/SRR3179539.1	SRX1593792		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301750	simple	9606	Homo sapiens	GSM2067381							no					GEO	SRA355817		public	DA77AD1304572977CF577AE1D6CD782F	5BC21D276BF9095D95B016266C2CA289	4503336	DAC_Depsi-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301750	GSM2067381	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_depsi
SAMN04503337	SRR3179540	2017-02-08T16:25:37Z	2016-02-19T13:08:58Z	34039665	1701983250	0	50	1107		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179540/SRR3179540.1	SRX1593793		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301749	simple	9606	Homo sapiens	GSM2067382							no					GEO	SRA355817		public	7AE819BDDBBC235816F7382DEEEE87B5	CA99794E63076B011E31E703070FC6B8	4503337	Cntrl-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301749	GSM2067382	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dmso
SAMN04503337	SRR3179541	2017-02-08T16:25:37Z	2016-02-19T13:11:00Z	34182330	1709116500	0	50	1115		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179541/SRR3179541.1	SRX1593793		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301749	simple	9606	Homo sapiens	GSM2067382							no					GEO	SRA355817		public	3C5D709C6F60F2651142DB21A383E831	9C9490330773AB0C69DA4E797327B54C	4503337	Cntrl-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301749	GSM2067382	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dmso
SAMN04503338	SRR3179542	2017-02-08T16:25:37Z	2016-02-19T13:11:08Z	36791999	1839599950	0	50	1199		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179542/SRR3179542.1	SRX1593794		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301751	simple	9606	Homo sapiens	GSM2067383							no					GEO	SRA355817		public	A73026579337BA8F01C7DD24EA882A09	9EC80866FFFD1EE59119278B878AEB40	4503338	DAC-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301751	GSM2067383	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac
SAMN04503338	SRR3179543	2017-02-08T16:25:37Z	2016-02-19T13:12:48Z	36964353	1848217650	0	50	1208		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179543/SRR3179543.1	SRX1593794		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301751	simple	9606	Homo sapiens	GSM2067383							no					GEO	SRA355817		public	751C75D87870EE0BD8106F2CC22E233C	ABF8EBCAFEFB92093C123C7BAAE7092F	4503338	DAC-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301751	GSM2067383	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac
SAMN04503339	SRR3179544	2017-02-08T16:25:37Z	2016-02-19T13:11:22Z	29351907	1467595350	0	50	694		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179544/SRR3179544.1	SRX1593795		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301748	simple	9606	Homo sapiens	GSM2067384							no					GEO	SRA355817		public	32009212BB8529E399C49227B60AF600	643C3781747F9EE33BA214DE927C1373	4503339	S2101-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301748	GSM2067384	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	s2101
SAMN04503339	SRR3179545	2017-02-08T16:25:37Z	2016-02-19T13:15:03Z	29189250	1459462500	0	50	684		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179545/SRR3179545.1	SRX1593795		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301748	simple	9606	Homo sapiens	GSM2067384							no					GEO	SRA355817		public	E0D692D5638594DE1DA25FA4D6B073BB	930937FFB6C2D75730C694BDF2B3698A	4503339	S2101-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301748	GSM2067384	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	s2101
SAMN04503340	SRR3179546	2017-02-08T16:25:37Z	2016-02-19T13:23:16Z	30850219	1542510950	0	50	732		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179546/SRR3179546.1	SRX1593796		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301746	simple	9606	Homo sapiens	GSM2067385							no					GEO	SRA355817		public	98968A8A2B2826D98B52F21EFC8E9519	182C7EB08A6A39BB7D4754A6F182BC82	4503340	DAC_S2101-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301746	GSM2067385	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_s2101
SAMN04503340	SRR3179547	2017-02-08T16:25:37Z	2016-02-19T13:21:48Z	30648711	1532435550	0	50	722		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179547/SRR3179547.1	SRX1593796		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301746	simple	9606	Homo sapiens	GSM2067385							no					GEO	SRA355817		public	39DC0D38FBB0FDFD5FE45A699B5764A9	7700A3D8E849B7B020BEF03712B863D3	4503340	DAC_S2101-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301746	GSM2067385	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_s2101
SAMN04503341	SRR3179548	2017-02-08T16:25:37Z	2016-02-19T13:21:13Z	24711516	1235575800	0	50	590		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179548/SRR3179548.1	SRX1593797		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301747	simple	9606	Homo sapiens	GSM2067386							no					GEO	SRA355817		public	4475A16B7D36CC27CCF3F167FEA495CC	8C0B727A5800ACB0797E90F3351CF886	4503341	UNC0638-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301747	GSM2067386	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	unc0638
SAMN04503341	SRR3179549	2017-02-08T16:25:37Z	2016-02-19T13:21:16Z	24531761	1226588050	0	50	581		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179549/SRR3179549.1	SRX1593797		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301747	simple	9606	Homo sapiens	GSM2067386							no					GEO	SRA355817		public	9E85D080CD62B481FC427226F858806A	321E8FDFD4FDD262258E84140AA678E8	4503341	UNC0638-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301747	GSM2067386	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	unc0638
SAMN04503342	SRR3179550	2017-02-08T16:25:37Z	2016-02-19T13:22:24Z	27225417	1361270850	0	50	644		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179550/SRR3179550.1	SRX1593798		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301745	simple	9606	Homo sapiens	GSM2067387							no					GEO	SRA355817		public	890C9593AAC23DDC904A8708110FDC21	2FC3319B21DD85CBF0CA1E5B8EAFEE64	4503342	DAC_UNC0638-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301745	GSM2067387	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_unc0638
