BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	source_name	tissue	treatment
SAMN28900687	SRR19572850	2023-01-09T00:04:43Z	2022-06-07T12:56:32Z	7818020	664531700	0	85	251		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR019/19572/SRR19572850/SRR19572850.lite.1	SRX15624901	GSM6215558	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325029	simple	9606	Homo sapiens	GSM6215558							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	A1BF70E163A97CDE6FE64C28CE640220	B922EE3404026F8AAB41180E1433E753	28900687	MIBG alone, Day 0, baseline rep 4	Lawrence Livermore National Laboratory	9606	SRS13325029	GSM6215558	peripheral blood	peripheral blood	Untreated
SAMN28900687	SRR19572851	2023-01-09T00:04:43Z	2022-06-07T12:56:56Z	3053310	259531350	0	85	97		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19572/SRR19572851/SRR19572851.lite.1	SRX15624901	GSM6215558	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325029	simple	9606	Homo sapiens	GSM6215558							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	39629C02DD4529E5235273ADCFA8A78A	0C91574EBE87D79CB76E0E55417E440C	28900687	MIBG alone, Day 0, baseline rep 4	Lawrence Livermore National Laboratory	9606	SRS13325029	GSM6215558	peripheral blood	peripheral blood	Untreated
SAMN28900688	SRR19572854	2023-01-09T00:04:43Z	2022-06-07T12:58:21Z	8244227	700759295	0	85	261		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572854/SRR19572854.lite.1	SRX15624898	GSM6215557	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325026	simple	9606	Homo sapiens	GSM6215557							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	778A156595022C864D617F54A3144ED9	543F35A843B3DE8CEDD6DBF97C1E488D	28900688	MIBG alone, Day 0, baseline rep 3	Lawrence Livermore National Laboratory	9606	SRS13325026	GSM6215557	peripheral blood	peripheral blood	Untreated
SAMN28900688	SRR19572855	2023-01-09T00:04:43Z	2022-06-07T12:56:47Z	2536510	215603350	0	85	79		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572855/SRR19572855.lite.1	SRX15624898	GSM6215557	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325026	simple	9606	Homo sapiens	GSM6215557							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	D5EC8DE1DA1A348A31C6205B3DCCA800	ED8DA6CC4CAC6B430BA914F8FDC77F7B	28900688	MIBG alone, Day 0, baseline rep 3	Lawrence Livermore National Laboratory	9606	SRS13325026	GSM6215557	peripheral blood	peripheral blood	Untreated
SAMN28900689	SRR19572858	2023-01-09T00:04:43Z	2022-06-07T12:58:44Z	8798475	747870375	0	85	280		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572858/SRR19572858.lite.1	SRX15624897	GSM6215556	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325025	simple	9606	Homo sapiens	GSM6215556							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	F7DCE4BA5C6D95D562CF0F357630C970	B378A2D01E7C8C23FE9A40CE93B84752	28900689	MIBG alone, Day 0, baseline rep 2	Lawrence Livermore National Laboratory	9606	SRS13325025	GSM6215556	peripheral blood	peripheral blood	Untreated
SAMN28900689	SRR19572859	2023-01-09T00:04:43Z	2022-06-07T12:56:21Z	1617166	137459110	0	85	51		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572859/SRR19572859.lite.1	SRX15624897	GSM6215556	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325025	simple	9606	Homo sapiens	GSM6215556							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	DFA0720A8B4FDC4DBED0E9732D73165A	83093C7702C90D8F41D357AEAF699CFF	28900689	MIBG alone, Day 0, baseline rep 2	Lawrence Livermore National Laboratory	9606	SRS13325025	GSM6215556	peripheral blood	peripheral blood	Untreated
SAMN28900690	SRR19572862	2023-01-09T00:04:43Z	2022-06-07T12:57:58Z	8262521	702314285	0	85	263		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572862/SRR19572862.lite.1	SRX15624895	GSM6215555	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325023	simple	9606	Homo sapiens	GSM6215555							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	A6EBB73E72A89D04394A10F84BA24005	0EFEA279BE5664AC1F09B35984463FBE	28900690	MIBG alone, Day 0, baseline rep 1	Lawrence Livermore National Laboratory	9606	SRS13325023	GSM6215555	peripheral blood	peripheral blood	Untreated
SAMN28900690	SRR19572863	2023-01-09T00:04:43Z	2022-06-07T12:56:36Z	2398905	203906925	0	85	76		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19572/SRR19572863/SRR19572863.lite.1	SRX15624895	GSM6215555	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325023	simple	9606	Homo sapiens	GSM6215555							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	1C3842D65AC14EA5A3D09D09464B50E1	01D05DC7D5F2D64E9158DC5D98263D41	28900690	MIBG alone, Day 0, baseline rep 1	Lawrence Livermore National Laboratory	9606	SRS13325023	GSM6215555	peripheral blood	peripheral blood	Untreated
SAMN28900691	SRR19572866	2023-01-09T00:04:43Z	2022-06-07T12:57:53Z	6855661	582731185	0	85	220		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572866/SRR19572866.lite.1	SRX15624894	GSM6215554	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325022	simple	9606	Homo sapiens	GSM6215554							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	15528F72C1BEDEAD9929955F55B9A840	2653BF540836799C74E6F24B2BE93F37	28900691	MIBG+Irinotecan, Day 3, 72 hours rep 5	Lawrence Livermore National Laboratory	9606	SRS13325022	GSM6215554	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900691	SRR19572867	2023-01-09T00:04:43Z	2022-06-07T12:57:14Z	4413531	375150135	0	85	141		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572867/SRR19572867.lite.1	SRX15624894	GSM6215554	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325022	simple	9606	Homo sapiens	GSM6215554							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	25CA76144363AE62631C356FA9286A00	4F62B7420D6F3D2CBC985D09D3C8BA2C	28900691	MIBG+Irinotecan, Day 3, 72 hours rep 5	Lawrence Livermore National Laboratory	9606	SRS13325022	GSM6215554	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900692	SRR19572860	2023-01-09T00:04:43Z	2022-06-07T12:58:02Z	8134388	691422980	0	85	255		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19572/SRR19572860/SRR19572860.lite.1	SRX15624896	GSM6215553	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325024	simple	9606	Homo sapiens	GSM6215553							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	692AA6B447BEA4AAC443872CE9D60F15	23D38A48A6664526E6B81F38D7FE4613	28900692	MIBG+Irinotecan, Day 3, 72 hours rep 4	Lawrence Livermore National Laboratory	9606	SRS13325024	GSM6215553	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900692	SRR19572861	2023-01-09T00:04:43Z	2022-06-07T12:56:50Z	2662396	226303660	0	85	83		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572861/SRR19572861.lite.1	SRX15624896	GSM6215553	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325024	simple	9606	Homo sapiens	GSM6215553							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	77C217ED349593E13ED1CBDA90A7CAFA	BEFFC315A9094317D1542C13F335E5BF	28900692	MIBG+Irinotecan, Day 3, 72 hours rep 4	Lawrence Livermore National Laboratory	9606	SRS13325024	GSM6215553	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900693	SRR19572864	2023-01-09T00:04:43Z	2022-06-07T12:58:10Z	7012711	596080435	0	85	222		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19572/SRR19572864/SRR19572864.lite.1	SRX15624893	GSM6215552	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325021	simple	9606	Homo sapiens	GSM6215552							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	C522AC73E4E5C8703DC309093601553F	5B9C727FB163C1ADD4A027380320DCD0	28900693	MIBG+Irinotecan, Day 3, 72 hours rep 3	Lawrence Livermore National Laboratory	9606	SRS13325021	GSM6215552	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900693	SRR19572865	2023-01-09T00:04:43Z	2022-06-07T12:57:13Z	4048967	344162195	0	85	128		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572865/SRR19572865.lite.1	SRX15624893	GSM6215552	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325021	simple	9606	Homo sapiens	GSM6215552							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	65F123BDE76306947E71C0DE54514E84	18404C2A2FEC81D7FBBA8108E034C0EF	28900693	MIBG+Irinotecan, Day 3, 72 hours rep 3	Lawrence Livermore National Laboratory	9606	SRS13325021	GSM6215552	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900694	SRR19572868	2023-01-09T00:04:43Z	2022-06-07T12:58:03Z	7096691	603218735	0	85	229		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19572/SRR19572868/SRR19572868.lite.1	SRX15624892	GSM6215551	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325020	simple	9606	Homo sapiens	GSM6215551							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	DFFE2A4C5447C88E9B6BF67EF68D6170	A42B5B65D65F85E169B1C01EA1E5E1C2	28900694	MIBG+Irinotecan, Day 3, 72 hours rep 2	Lawrence Livermore National Laboratory	9606	SRS13325020	GSM6215551	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900694	SRR19572869	2023-01-09T00:04:43Z	2022-06-07T12:57:01Z	4005254	340446590	0	85	128		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572869/SRR19572869.lite.1	SRX15624892	GSM6215551	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325020	simple	9606	Homo sapiens	GSM6215551							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	D1AAC42091A337E50115813E780A70C4	164A8EB702194E18D0691C1C94B6CDD5	28900694	MIBG+Irinotecan, Day 3, 72 hours rep 2	Lawrence Livermore National Laboratory	9606	SRS13325020	GSM6215551	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900695	SRR19572872	2023-01-09T00:04:43Z	2022-06-07T12:58:14Z	6798014	577831190	0	85	217		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572872/SRR19572872.lite.1	SRX15624890	GSM6215550	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325018	simple	9606	Homo sapiens	GSM6215550							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	E89C993406EF9D1F2485527C62A6451D	F06A4A1788399D05700B4D8D4CFCD68D	28900695	MIBG+Irinotecan, Day 3, 72 hours rep 1	Lawrence Livermore National Laboratory	9606	SRS13325018	GSM6215550	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900695	SRR19572873	2023-01-09T00:04:43Z	2022-06-07T12:57:25Z	4518444	384067740	0	85	143		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19572/SRR19572873/SRR19572873.lite.1	SRX15624890	GSM6215550	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325018	simple	9606	Homo sapiens	GSM6215550							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	6C2F1D1D40CF2D7B5AC7C04C7E2B88DB	A042637658C8FF3058C0129B1F675928	28900695	MIBG+Irinotecan, Day 3, 72 hours rep 1	Lawrence Livermore National Laboratory	9606	SRS13325018	GSM6215550	peripheral blood	peripheral blood	131I-MIBG+Irinotecan
SAMN28900696	SRR19572882	2023-01-09T00:04:43Z	2022-06-07T12:58:21Z	7653243	650525655	0	85	248		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572882/SRR19572882.lite.1	SRX15624889	GSM6215549	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325017	simple	9606	Homo sapiens	GSM6215549							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	74F373AF0E9761167C58782448A3FD09	38CE059B52C2F696A4F54B0984B62217	28900696	MIBG+Irinotecan, Day 0, baseline rep 5	Lawrence Livermore National Laboratory	9606	SRS13325017	GSM6215549	peripheral blood	peripheral blood	Untreated
SAMN28900696	SRR19572883	2023-01-09T00:04:43Z	2022-06-07T12:56:57Z	3313746	281668410	0	85	106		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19572/SRR19572883/SRR19572883.lite.1	SRX15624889	GSM6215549	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP378919	PRJNA846720		846720	SRS13325017	simple	9606	Homo sapiens	GSM6215549							no					LAWRENCE LIVERMORE NATIONAL LABORATORY	SRA1433215		public	17BB921E4656816D6B69605E55FB6A3E	3CD712DD4E144AB0F5D254B67B7A7EAC	28900696	MIBG+Irinotecan, Day 0, baseline rep 5	Lawrence Livermore National Laboratory	9606	SRS13325017	GSM6215549	peripheral blood	peripheral blood	Untreated
