BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	passage	source_name	treatment	treatment time	group
SAMN12237973	SRR9660824	2019-12-30T16:23:26Z	2019-07-09T15:04:43Z	7183900	542435310	0	75	221		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660824.sralite.1	SRX6421778		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078651	simple	9606	Homo sapiens	GSM3934404							no					GEO	SRA919019		public	6875F42CA1B25850650FD659FE9CFA69	0FD25C2A2F3A0EABF6396D296A1177C0	12237973	Gbm2_Bmp4_3	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078651	GSM3934404	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237973	SRR9660825	2019-12-30T16:23:26Z	2019-07-09T15:04:49Z	7145832	539551152	0	75	219		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660825.sralite.1	SRX6421778		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078651	simple	9606	Homo sapiens	GSM3934404							no					GEO	SRA919019		public	E27BE263A4F8864E7D42AB836D611C73	BFA89C98A0D7AD628D1098069F800CC3	12237973	Gbm2_Bmp4_3	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078651	GSM3934404	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237975	SRR9660818	2019-12-30T16:23:26Z	2019-07-09T15:04:22Z	5915494	446601885	0	75	180		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660818.sralite.1	SRX6421777		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078650	simple	9606	Homo sapiens	GSM3934403							no					GEO	SRA919019		public	96D652E772D22DEA9D3D40588A2E24E1	A1D0B1497606C280FF8E5F96916FE497	12237975	Gbm2_Bmp4_2	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078650	GSM3934403	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237975	SRR9660819	2019-12-30T16:23:26Z	2019-07-09T15:04:07Z	5880101	443912804	0	75	179		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660819.sralite.1	SRX6421777		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078650	simple	9606	Homo sapiens	GSM3934403							no					GEO	SRA919019		public	10FB33CC2690A4EF2BF281FBDC3196DA	BC3A6D26F6B451A4EC2D4D2A99018C60	12237975	Gbm2_Bmp4_2	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078650	GSM3934403	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237975	SRR9660820	2019-12-30T16:23:26Z	2019-07-09T15:04:06Z	6003777	453237392	0	75	184		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660820.sralite.1	SRX6421777		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078650	simple	9606	Homo sapiens	GSM3934403							no					GEO	SRA919019		public	118CACA2F60CD16E97F6B0720DFC0792	27713D8D7098629B0B44DADA3B443AC9	12237975	Gbm2_Bmp4_2	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078650	GSM3934403	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237975	SRR9660821	2019-12-30T16:23:26Z	2019-07-09T15:04:22Z	5983588	451711917	0	75	183		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/660/SRR9660821.sralite.1	SRX6421777		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078650	simple	9606	Homo sapiens	GSM3934403							no					GEO	SRA919019		public	4B739544EF07BE36F9A511D6E5C19FA1	30E27AA51F7DB25C1CDE8CD9FC7C7F12	12237975	Gbm2_Bmp4_2	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078650	GSM3934403	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237976	SRR9660814	2019-12-30T16:23:26Z	2019-07-09T15:04:43Z	7308017	551684139	0	75	222		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660814.sralite.1	SRX6421776		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078649	simple	9606	Homo sapiens	GSM3934402							no					GEO	SRA919019		public	210AFC8AA008FF859BF170DA0CF55502	7783DFA0EA491A4F06AF5CFD4CDEB93C	12237976	Gbm2_Bmp4_1	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078649	GSM3934402	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237976	SRR9660815	2019-12-30T16:23:26Z	2019-07-09T15:04:46Z	7262469	548220051	0	75	220		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660815.sralite.1	SRX6421776		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078649	simple	9606	Homo sapiens	GSM3934402							no					GEO	SRA919019		public	CAFDD68F9FD1674F22B86AD236B80555	7F30F7B1B33EB4B16B02D7460318E13C	12237976	Gbm2_Bmp4_1	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078649	GSM3934402	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237976	SRR9660816	2019-12-30T16:23:26Z	2019-07-09T15:04:44Z	7411176	559444686	0	75	226		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660816.sralite.1	SRX6421776		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078649	simple	9606	Homo sapiens	GSM3934402							no					GEO	SRA919019		public	685B8B878495841EC22BEE583A7AA37E	7607C7E0A4526594F1C1A9DFE8EF9795	12237976	Gbm2_Bmp4_1	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078649	GSM3934402	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237976	SRR9660817	2019-12-30T16:23:26Z	2019-07-09T15:04:50Z	7388656	557737025	0	75	225		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660817.sralite.1	SRX6421776		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078649	simple	9606	Homo sapiens	GSM3934402							no					GEO	SRA919019		public	38FA9B193E7235866AE2393E41AA2ADC	309236D9E76368E020DD8DA2BB1B9F8C	12237976	Gbm2_Bmp4_1	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078649	GSM3934402	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Bmp4 (100ng/ml)	3 days	GBM2.Bmp4..100ng.ml..72hrs
SAMN12237993	SRR9660870	2019-12-30T16:23:27Z	2019-07-09T15:04:39Z	6351572	479705668	0	75	196		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660870.sralite.1	SRX6421790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078663	simple	9606	Homo sapiens	GSM3934416							no					GEO	SRA919019		public	F6A2865C0AEBCCCD9ABF676E3C557F68	5C0009636E61E618B22497E354BC3D42	12237993	Gbm2_Valproic_Acid_15uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078663	GSM3934416	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Valproic_Acid_15uM	1 days	GBM2.Valproic_Acid_15uM.24hrs
SAMN12237993	SRR9660871	2019-12-30T16:23:27Z	2019-07-09T15:04:37Z	6105787	461144089	0	75	190		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660871.sralite.1	SRX6421790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078663	simple	9606	Homo sapiens	GSM3934416							no					GEO	SRA919019		public	9A02E6FD6EDFCDCC87CE3526F8818220	2F947A6B1065F9ABD3893AA2118FABA3	12237993	Gbm2_Valproic_Acid_15uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078663	GSM3934416	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Valproic_Acid_15uM	1 days	GBM2.Valproic_Acid_15uM.24hrs
SAMN12237993	SRR9660872	2019-12-30T16:23:27Z	2019-07-09T15:04:39Z	6624204	500306066	0	75	203		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660872.sralite.1	SRX6421790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078663	simple	9606	Homo sapiens	GSM3934416							no					GEO	SRA919019		public	2E2CF41D7C00F488986F58CFB72FBF10	BAD8098C34079052EEFB8F6EBD353E90	12237993	Gbm2_Valproic_Acid_15uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078663	GSM3934416	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Valproic_Acid_15uM	1 days	GBM2.Valproic_Acid_15uM.24hrs
SAMN12237993	SRR9660873	2019-12-30T16:23:27Z	2019-07-09T15:04:33Z	6357009	480117370	0	75	197		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660873.sralite.1	SRX6421790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078663	simple	9606	Homo sapiens	GSM3934416							no					GEO	SRA919019		public	4EC5FF4342F9406436BA0AF3B8FFB882	6DDC0E1E151F7C21FE12583EA980B2DA	12237993	Gbm2_Valproic_Acid_15uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078663	GSM3934416	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	Valproic_Acid_15uM	1 days	GBM2.Valproic_Acid_15uM.24hrs
SAMN12237994	SRR9660866	2019-12-30T16:23:26Z	2019-07-09T15:03:42Z	4290172	323939458	0	75	132		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660866.sralite.1	SRX6421789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078662	simple	9606	Homo sapiens	GSM3934415							no					GEO	SRA919019		public	F826AABE190B7A6F0025373EA07DEFEA	C8D74B6EF5605DF45D44C4CA41C346D5	12237994	Gbm2_TSA_1uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078662	GSM3934415	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	TSA_1uM	1 days	GBM2.TSA_1uM.24hrs
SAMN12237994	SRR9660867	2019-12-30T16:23:27Z	2019-07-09T15:03:55Z	4212901	318106908	0	75	130		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660867.sralite.1	SRX6421789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078662	simple	9606	Homo sapiens	GSM3934415							no					GEO	SRA919019		public	19B418752C7464C0B14A46EC4545D9B1	B149DE2094280B394FA9C45E317335C9	12237994	Gbm2_TSA_1uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078662	GSM3934415	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	TSA_1uM	1 days	GBM2.TSA_1uM.24hrs
SAMN12237994	SRR9660868	2019-12-30T16:23:27Z	2019-07-09T15:04:01Z	4484163	338589521	0	75	137		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/660/SRR9660868.sralite.1	SRX6421789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078662	simple	9606	Homo sapiens	GSM3934415							no					GEO	SRA919019		public	E039516AAA1350677DA255DA7AA05FB3	10014BA260683482AF60DBB3325B4279	12237994	Gbm2_TSA_1uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078662	GSM3934415	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	TSA_1uM	1 days	GBM2.TSA_1uM.24hrs
SAMN12237994	SRR9660869	2019-12-30T16:23:27Z	2019-07-09T15:03:59Z	4375529	330388572	0	75	135		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/660/SRR9660869.sralite.1	SRX6421789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078662	simple	9606	Homo sapiens	GSM3934415							no					GEO	SRA919019		public	C1822CAF40298507F8505D882F0B2D77	D60CE57FC2513DE3F4BB07858E16B0E2	12237994	Gbm2_TSA_1uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078662	GSM3934415	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	TSA_1uM	1 days	GBM2.TSA_1uM.24hrs
SAMN12237995	SRR9660862	2019-12-30T16:23:26Z	2019-07-09T15:04:09Z	5855373	442227920	0	75	180		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660862.sralite.1	SRX6421788		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078661	simple	9606	Homo sapiens	GSM3934414							no					GEO	SRA919019		public	F55CD311B25BDD85D6B9D797DBE70B07	CB55C400BA2B0406328E86DAE290BB17	12237995	Gbm2_SAHA_3uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078661	GSM3934414	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	SAHA_3uM	1 days	GBM2.SAHA_3uM.24hrs
SAMN12237995	SRR9660863	2019-12-30T16:23:26Z	2019-07-09T15:04:15Z	5642209	426133691	0	75	176		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/660/SRR9660863.sralite.1	SRX6421788		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213900	PRJNA553547	3	553547	SRS5078661	simple	9606	Homo sapiens	GSM3934414							no					GEO	SRA919019		public	751A66982118063997577E51A5F033EE	7710ACA6F50E94430A4D592230ED9DA3	12237995	Gbm2_SAHA_3uM	Sanford Burnham Prebys Medical Discovery Institute	9606	SRS5078661	GSM3934414	GBM2	Glioblastoma tumor propagating cells	Passage 14	Glioblastoma tumor propagating cells	SAHA_3uM	1 days	GBM2.SAHA_3uM.24hrs
