BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue	treatment	group
SAMN15666542	SRR12343505	2020-09-26T11:19:13Z	2020-07-29T09:11:40Z	6999181	527096006	0	75	220		https://sra-download.ncbi.nlm.nih.gov/traces/sra30/SRR/012054/SRR12343505	SRX8843195		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106255	simple	9606	Homo sapiens	GSM4699435							no					GEO	SRA1105212		public	ED00C5CC07EB5E8B853A8BEA76B34564	8C8B5CB497AE9D423D314B414F13B9CA	15666542	Molt16 DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106255	GSM4699435	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	DMSO	MOLT_16.DMSO
SAMN15666541	SRR12343506	2020-09-26T11:19:13Z	2020-07-29T09:11:25Z	6355764	478849341	0	75	202		https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/012054/SRR12343506	SRX8843196		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106254	simple	9606	Homo sapiens	GSM4699436							no					GEO	SRA1105212		public	F1E1BACEA0323658B8D966E0C8CC2742	AE386AC8A5A689A51B364357908ADA94	15666541	Molt16 DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106254	GSM4699436	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	DMSO	MOLT_16.DMSO
SAMN15666540	SRR12343507	2020-09-26T11:19:14Z	2020-07-29T09:11:50Z	7527933	567339758	0	75	246		https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/012054/SRR12343507	SRX8843197		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106256	simple	9606	Homo sapiens	GSM4699437							no					GEO	SRA1105212		public	C6BF4F8C7D85904170C28487E037EFCA	EBC6B875AAA9CF264E5EB1F724806B9F	15666540	Molt16 DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106256	GSM4699437	MOLT-16	T-ALL cell line MOLT-16	T-ALL cell line	DMSO	MOLT_16.DMSO
SAMN15666539	SRR12343508	2020-09-26T11:19:14Z	2020-07-29T09:15:11Z	18778119	1416818484	0	75	580		https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/012054/SRR12343508	SRX8843198		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106257	simple	9606	Homo sapiens	GSM4699438							no					GEO	SRA1105212		public	0A970AEFBC898885A8AF8C5B6DF923D0	C2D570BFD4FA6DCD42463F33D48D25A7	15666539	Loucy DAC Rep1 RNA-seq	Ghent University	9606	SRS7106257	GSM4699438	Loucy	T-ALL cell line Loucy	T-ALL cell line	Decitabine	Loucy.Decitabine
SAMN15666538	SRR12343509	2020-09-26T11:19:14Z	2020-07-29T09:16:31Z	21974103	1657262809	0	75	685		https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/012054/SRR12343509	SRX8843199		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106258	simple	9606	Homo sapiens	GSM4699439							no					GEO	SRA1105212		public	EF6D0BBAA8D9A297B7E575718ADF07BD	5349E38751B86275EB3F8825FCCC34C5	15666538	Loucy DAC Rep2 RNA-seq	Ghent University	9606	SRS7106258	GSM4699439	Loucy	T-ALL cell line Loucy	T-ALL cell line	Decitabine	Loucy.Decitabine
SAMN15666537	SRR12343510	2020-09-26T11:19:14Z	2020-07-29T09:13:20Z	16032172	1208522436	0	75	495		https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/012054/SRR12343510	SRX8843200		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106259	simple	9606	Homo sapiens	GSM4699440							no					GEO	SRA1105212		public	CB65A609D2F558E7F84F2BF0C05DF892	15FAD5DF99C3EFDE1B9E6B90C8B951BA	15666537	Loucy DAC Rep3 RNA-seq	Ghent University	9606	SRS7106259	GSM4699440	Loucy	T-ALL cell line Loucy	T-ALL cell line	Decitabine	Loucy.Decitabine
SAMN15666536	SRR12343511	2020-09-26T11:19:14Z	2020-07-29T09:16:48Z	21558713	1626574822	0	75	671		https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/012054/SRR12343511	SRX8843201		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106260	simple	9606	Homo sapiens	GSM4699441							no					GEO	SRA1105212		public	63624BFD81BF46B4582C157FFE3DF2D5	9F46396B507190145EC3FF80DE3F1C97	15666536	Loucy DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106260	GSM4699441	Loucy	T-ALL cell line Loucy	T-ALL cell line	DMSO	Loucy.DMSO
SAMN15666535	SRR12343512	2020-09-26T11:19:14Z	2020-07-29T09:17:59Z	24590356	1853069305	0	75	772		https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/012054/SRR12343512	SRX8843202		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106261	simple	9606	Homo sapiens	GSM4699442							no					GEO	SRA1105212		public	5AF74113F58317DFDD0B33FA41658272	D39E7C12082BEFFE36BFA44EBFE6F65B	15666535	Loucy DMSO Rep2 RNA-seq	Ghent University	9606	SRS7106261	GSM4699442	Loucy	T-ALL cell line Loucy	T-ALL cell line	DMSO	Loucy.DMSO
SAMN15666534	SRR12343513	2020-09-26T11:19:14Z	2020-07-29T09:15:34Z	20005800	1508437038	0	75	615		https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/012054/SRR12343513	SRX8843203		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106262	simple	9606	Homo sapiens	GSM4699443							no					GEO	SRA1105212		public	5C27CD08531AF4C3A047A69C2F72E5D2	BB25A11D86EB33836A8B169F4D9B2ABC	15666534	Loucy DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106262	GSM4699443	Loucy	T-ALL cell line Loucy	T-ALL cell line	DMSO	Loucy.DMSO
SAMN15666533	SRR12343514	2020-09-26T11:19:14Z	2020-07-29T09:20:02Z	23933967	1805725183	0	75	748		https://sra-download.ncbi.nlm.nih.gov/traces/sra23/SRR/012054/SRR12343514	SRX8843204		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106263	simple	9606	Homo sapiens	GSM4699444							no					GEO	SRA1105212		public	275B2057210EF5BF5A0C15894099E720	03ACDADA92C41F4B5033158A4A1960F0	15666533	PER117 Decitabine Rep1 RNA-seq	Ghent University	9606	SRS7106263	GSM4699444	PER-117	T-ALL cell line PER-117	T-ALL cell line	Decitabine	PER_117.Decitabine
SAMN15666532	SRR12343515	2020-09-26T11:19:14Z	2020-07-29T09:15:13Z	18292205	1380192075	0	75	573		https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/012054/SRR12343515	SRX8843205		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106264	simple	9606	Homo sapiens	GSM4699445							no					GEO	SRA1105212		public	A37513E8E1E83C45E9BD772BB86CFA3D	71BF6F07656246462A3B5B50001161A0	15666532	PER117 Decitabine Rep2 RNA-seq	Ghent University	9606	SRS7106264	GSM4699445	PER-117	T-ALL cell line PER-117	T-ALL cell line	Decitabine	PER_117.Decitabine
SAMN15666531	SRR12343516	2020-09-26T11:19:14Z	2020-07-29T09:16:57Z	19633948	1480657131	0	75	613		https://sra-download.ncbi.nlm.nih.gov/traces/sra52/SRR/012054/SRR12343516	SRX8843206		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106265	simple	9606	Homo sapiens	GSM4699446							no					GEO	SRA1105212		public	1CB7A3E9C15C56226D3FEFE66F537C8B	EAFD4F36FED4B358B1347EF929830A03	15666531	PER117 Decitabine Rep3 RNA-seq	Ghent University	9606	SRS7106265	GSM4699446	PER-117	T-ALL cell line PER-117	T-ALL cell line	Decitabine	PER_117.Decitabine
SAMN15666573	SRR12343517	2020-09-26T11:19:14Z	2020-07-29T09:15:00Z	17010421	1283573027	0	75	524		https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/012054/SRR12343517	SRX8843207		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106266	simple	9606	Homo sapiens	GSM4699447							no					GEO	SRA1105212		public	325DA8E0E54EDC5E6BC1737C13C76E80	806D3E2C5866CA5A164D3F4C3E2A81F0	15666573	PER117 DMSO Rep1 RNA-seq	Ghent University	9606	SRS7106266	GSM4699447	PER-117	T-ALL cell line PER-117	T-ALL cell line	DMSO	PER_117.DMSO
SAMN15666572	SRR12343518	2020-09-26T11:19:14Z	2020-07-29T09:15:06Z	18488996	1395233441	0	75	574		https://sra-download.ncbi.nlm.nih.gov/traces/sra50/SRR/012054/SRR12343518	SRX8843208		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106268	simple	9606	Homo sapiens	GSM4699448							no					GEO	SRA1105212		public	6C4DE9B19FCCB68B4E807C8A94E426AE	41D5FAAAF65987E388641BA9CB942D72	15666572	PER117_DMSO_2 RNA-seq	Ghent University	9606	SRS7106268	GSM4699448	PER-117	T-ALL cell line PER-117	T-ALL cell line	DMSO	PER_117.DMSO
SAMN15666571	SRR12343519	2020-09-26T11:19:14Z	2020-07-29T09:16:15Z	19358926	1459224153	0	75	599		https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/012054/SRR12343519	SRX8843209		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP274094	PRJNA649432		649432	SRS7106267	simple	9606	Homo sapiens	GSM4699449							no					GEO	SRA1105212		public	7DE461701C3C487E628A22D4712BB265	AFA7727B600A98623EB6849A8FC7EC4B	15666571	PER117 DMSO Rep3 RNA-seq	Ghent University	9606	SRS7106267	GSM4699449	PER-117	T-ALL cell line PER-117	T-ALL cell line	DMSO	PER_117.DMSO
