BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug treatment	sirna status	source_name	tp53 status
SAMN23169320	SRR16953114	2021-11-19T10:22:06Z	2021-11-15T22:00:27Z	45584336	3421374073	0	75	1258		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16953/SRR16953114/SRR16953114.lite.1	SRX13144717		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077429	simple	9606	Homo sapiens	GSM5691819							no					GEO	SRA1329749		public	67021EC5C0F68C071927F6C2F13CC06D	7D69F568B65E536A8BCFF016E217C4DC	23169320	MCF_7_SILENCED_INF__EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077429	GSM5691819	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169321	SRR16953115	2021-11-19T10:22:06Z	2021-11-15T21:48:16Z	38651310	2901366396	0	75	1061		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16953/SRR16953115/SRR16953115.lite.1	SRX13144718		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077430	simple	9606	Homo sapiens	GSM5691820							no					GEO	SRA1329749		public	5A4BFBC605519B72A0029A1707452B51	985848534701AB8617F6BD2B74AD581A	23169321	MCF_7_SILENCED_INF__EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077430	GSM5691820	MCF-7	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MCF-7	Wild-type
SAMN23169322	SRR16953116	2021-11-19T10:22:06Z	2021-11-15T21:51:15Z	43245264	3246702697	0	75	1186		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16953/SRR16953116/SRR16953116.lite.1	SRX13144719		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077431	simple	9606	Homo sapiens	GSM5691821							no					GEO	SRA1329749		public	D748BE25786D59ED4DA307D934DEEA3A	A1F9BDDBD69FC82140B0119C55E5892E	23169322	MDA_231_CNTRL_ETOP_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077431	GSM5691821	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169323	SRR16953117	2021-11-19T10:22:07Z	2021-11-15T21:51:51Z	35935336	2697186141	0	75	988		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16953/SRR16953117/SRR16953117.lite.1	SRX13144720		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077432	simple	9606	Homo sapiens	GSM5691822							no					GEO	SRA1329749		public	C90A88A9091DB0B4A1452139553DED45	30D6A4253529767A132B320049C8A099	23169323	MDA_231_CNTRL_ETOP_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077432	GSM5691822	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169324	SRR16953118	2021-11-19T10:22:08Z	2021-11-15T22:02:57Z	43704110	3321512360	0	76	1166		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953118/SRR16953118.lite.1	SRX13144721		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077433	simple	9606	Homo sapiens	GSM5691823							no					GEO	SRA1329749		public	74D250FABFBAD95F415D58F7AA7ABF98	53632EA474807656F828B0DCBF814150	23169324	MDA_231_CNTRL_ETOP_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077433	GSM5691823	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169325	SRR16953119	2021-11-19T10:22:08Z	2021-11-15T21:51:12Z	38412028	2919314128	0	76	1027		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR016/16953/SRR16953119/SRR16953119.lite.1	SRX13144722		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077434	simple	9606	Homo sapiens	GSM5691824							no					GEO	SRA1329749		public	3C9F0793820395B82C6F382ED2ABA331	B394BFDA28AECC992C66C0192131C103	23169325	MDA_231_CNTRL_INF_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077434	GSM5691824	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169326	SRR16953120	2021-11-19T10:22:08Z	2021-11-15T21:49:31Z	42601921	3237745996	0	76	1145		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16953/SRR16953120/SRR16953120.lite.1	SRX13144723		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077435	simple	9606	Homo sapiens	GSM5691825							no					GEO	SRA1329749		public	26C573EFEFC863F58B60E89D3DF527EB	9AA48DE71AC7218FCDA7249482851CD7	23169326	MDA_231_CNTRL_INF_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077435	GSM5691825	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169327	SRR16953121	2021-11-19T10:22:08Z	2021-11-15T21:59:29Z	39185971	2978133796	0	76	1048		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953121/SRR16953121.lite.1	SRX13144724		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077436	simple	9606	Homo sapiens	GSM5691826							no					GEO	SRA1329749		public	7AD8C9BAB5C725AC29CE234952E4FEE7	A497D80525A1C272F03818891CC83879	23169327	MDA_231_CNTRL_INF_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077436	GSM5691826	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	Scramble	MDA-MB-231	Mutated (R280K)
SAMN23169328	SRR16953122	2021-11-19T10:22:08Z	2021-11-15T21:50:46Z	39351436	2954434374	0	75	1084		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953122/SRR16953122.lite.1	SRX13144725		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077437	simple	9606	Homo sapiens	GSM5691827							no					GEO	SRA1329749		public	82DA3612C3F2A0AB45C6A67314E3417A	2E6009C564819AFCB25DDF86FB105067	23169328	MDA_231_SILENCED_ETOP_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077437	GSM5691827	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169329	SRR16953123	2021-11-19T10:22:08Z	2021-11-15T21:52:24Z	38583638	2896022602	0	75	1061		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16953/SRR16953123/SRR16953123.lite.1	SRX13144726		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077438	simple	9606	Homo sapiens	GSM5691828							no					GEO	SRA1329749		public	DCBBFFFEE8CEC4FF07267D9F89F5FC55	89C1CB157C3CDFF547B309E8250E6088	23169329	MDA_231_SILENCED_ETOP_EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077438	GSM5691828	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169330	SRR16953124	2021-11-19T10:22:08Z	2021-11-15T21:50:41Z	40729127	3095413652	0	76	1087		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953124/SRR16953124.lite.1	SRX13144727		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077439	simple	9606	Homo sapiens	GSM5691829							no					GEO	SRA1329749		public	5915217E096805E565F60D9BCB634B07	491AD7B0B23D4DEED65A2D7A8C3DA0E0	23169330	MDA_231_SILENCED_ETOP_EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077439	GSM5691829	MDA-MB-231	Human Breast Cancer Cell	10 μM etoposide (ETO) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169331	SRR16953125	2021-11-19T10:22:08Z	2021-11-15T21:59:11Z	43126136	3237520510	0	75	1184		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16953/SRR16953125/SRR16953125.lite.1	SRX13144728		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077440	simple	9606	Homo sapiens	GSM5691830							no					GEO	SRA1329749		public	B4AD1510B0335430695C56FD1CA7F417	84D9CA9EFD9909D79133DA100B24DE4F	23169331	MDA_231_SILENCED_INF_EXP1	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077440	GSM5691830	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169332	SRR16953126	2021-11-19T10:22:08Z	2021-11-15T21:50:14Z	41197134	3130982184	0	76	1103		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16953/SRR16953126/SRR16953126.lite.1	SRX13144729		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077441	simple	9606	Homo sapiens	GSM5691831							no					GEO	SRA1329749		public	C122BC9A547A671DB2C2D6517EE7257D	FB3F74772B1B07D5E601A9CA9C2ED5D9	23169332	MDA_231_SILENCED_INF__EXP2	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077441	GSM5691831	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
SAMN23169333	SRR16953127	2021-11-19T10:22:08Z	2021-11-15T21:51:51Z	45542028	3417954998	0	75	1248		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953127/SRR16953127.lite.1	SRX13144730		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP346261	PRJNA780603	3	780603	SRS11077442	simple	9606	Homo sapiens	GSM5691832							no					GEO	SRA1329749		public	4596535FB91193A7CAAC3B328611583B	B367F890CCF700EC9E69B0CE46B8FC45	23169333	MDA_231_SILENCED_INF__EXP3	Department of Pharmacology & Toxicology, Faculty of Medicine, Health Sciences Centre, Kuwait University	9606	SRS11077442	GSM5691832	MDA-MB-231	Human Breast Cancer Cell	10 ng/ml interferon-γ (IFN-γ) for 24 h	siRNA P4HB/PDIA1	MDA-MB-231	Mutated (R280K)
