accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	duration of treatment	genotype/variation	source_name	treated with
SAMN04267228	4267228	K562 PU.1 Overexpression RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162706	GSM1940175	K562	myelogenous leukemia cell line	n/a	PU.1 overexpression	K562 PU.1 Overexpression RNA-seq	none (untreated)
SAMN04267229	4267229	K562 OE Vector Control RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162705	GSM1940176	K562	myelogenous leukemia cell line	n/a	vector control (for PU.1 overexpression)	K562 OE Vector Control RNA-seq	none (untreated)
SAMN04267230	4267230	K562 OE Vector Control RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162704	GSM1940177	K562	myelogenous leukemia cell line	n/a	vector control (for PU.1 overexpression)	K562 OE Vector Control RNA-seq	none (untreated)
SAMN04267231	4267231	K562 PU.1 shRNA1 DMSO RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162703	GSM1940178	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA1 DMSO RNA-seq	0.01% DMSO vehicle
SAMN04267232	4267232	K562 PU.1 shRNA1 DMSO RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162702	GSM1940179	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA1 DMSO RNA-seq	0.01% DMSO vehicle
SAMN04267233	4267233	K562 PU.1 shRNA1 SAHA RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162701	GSM1940180	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA1 SAHA RNA-seq	1 μM SAHA
SAMN04267234	4267234	K562 PU.1 shRNA1 SAHA RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162700	GSM1940181	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA1 SAHA RNA-seq	1 μM SAHA
SAMN04267235	4267235	K562 PU.1 shRNA2 DMSO RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162699	GSM1940182	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA2 DMSO RNA-seq	0.01% DMSO vehicle
SAMN04267236	4267236	K562 PU.1 shRNA2 DMSO RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162698	GSM1940183	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA2 DMSO RNA-seq	0.01% DMSO vehicle
SAMN04267237	4267237	K562 PU.1 shRNA2 SAHA RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162697	GSM1940184	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA2 SAHA RNA-seq	1 μM SAHA
SAMN04267238	4267238	K562 KD Vector Control DMSO RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162695	GSM1940186	K562	myelogenous leukemia cell line	72 hours	vector control (for PU.1 depletion)	K562 KD Vector Control DMSO RNA-seq	0.01% DMSO vehicle
SAMN04267269	4267269	K562 KD Vector Control DMSO RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162694	GSM1940187	K562	myelogenous leukemia cell line	72 hours	vector control (for PU.1 depletion)	K562 KD Vector Control DMSO RNA-seq	0.01% DMSO vehicle
SAMN04267270	4267270	K562 KD Vector Control SAHA RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162693	GSM1940188	K562	myelogenous leukemia cell line	72 hours	vector control (for PU.1 depletion)	K562 KD Vector Control SAHA RNA-seq	1 μM SAHA
SAMN04267271	4267271	K562 KD Vector Control SAHA RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162692	GSM1940189	K562	myelogenous leukemia cell line	72 hours	vector control (for PU.1 depletion)	K562 KD Vector Control SAHA RNA-seq	1 μM SAHA
SAMN04267277	4267277	K562 PU.1 shRNA2 SAHA RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162696	GSM1940185	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA2 SAHA RNA-seq	1 μM SAHA
