BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	duration of treatment	genotype/variation	source_name	treated with	group
SAMN04267227	SRR2921253	2016-04-11T16:55:20Z	2015-11-17T15:18:28Z	39385122	2008641222	0	51	785		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921253/SRR2921253.1	SRX1431713		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162707	simple	9606	Homo sapiens	GSM1940174							no					GEO	SRA311494		public	07AB189895936E92F29DDB2B344BFBA2	4BD6952E561D53F81FDBA17AAED4C6CE	4267227	K562 PU.1 Overexpression RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162707	GSM1940174	K562	myelogenous leukemia cell line	n/a	PU.1 overexpression	K562 PU.1 Overexpression RNA-seq	none (untreated)	K562.PU1_Overexpression
SAMN04267228	SRR2921254	2016-04-11T16:55:20Z	2015-11-17T15:18:04Z	38632572	1970261172	0	51	772		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921254/SRR2921254.1	SRX1431714		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162706	simple	9606	Homo sapiens	GSM1940175							no					GEO	SRA311494		public	1DF9CF9691516487BD20AC3ADD966553	99F908AFA339A2584DF1C37D78750481	4267228	K562 PU.1 Overexpression RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162706	GSM1940175	K562	myelogenous leukemia cell line	n/a	PU.1 overexpression	K562 PU.1 Overexpression RNA-seq	none (untreated)	K562.PU1_Overexpression
SAMN04267229	SRR2921255	2016-04-11T16:55:20Z	2015-11-17T15:18:07Z	38898363	1983816513	0	51	775		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921255/SRR2921255.1	SRX1431715		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162705	simple	9606	Homo sapiens	GSM1940176							no					GEO	SRA311494		public	97D6D49280B4160BFCA96AA5AAE1D67D	21A758B33C68B181747176653B8F53BB	4267229	K562 OE Vector Control RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162705	GSM1940176	K562	myelogenous leukemia cell line	n/a	vector control (for PU.1 overexpression)	K562 OE Vector Control RNA-seq	none (untreated)	K562.OE_Vector_Control
SAMN04267230	SRR2921256	2016-04-11T16:55:20Z	2015-11-17T15:18:40Z	41834243	2133546393	0	51	833		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921256/SRR2921256.1	SRX1431716		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162704	simple	9606	Homo sapiens	GSM1940177							no					GEO	SRA311494		public	C39600B6B23F314FB33424B0CC9C0669	C9DB66947E320CFAFC61A323A2E340DA	4267230	K562 OE Vector Control RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162704	GSM1940177	K562	myelogenous leukemia cell line	n/a	vector control (for PU.1 overexpression)	K562 OE Vector Control RNA-seq	none (untreated)	K562.OE_Vector_Control
SAMN04267231	SRR2921257	2016-04-11T16:55:20Z	2015-11-17T15:17:00Z	32005628	1632287028	0	51	644		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921257/SRR2921257.1	SRX1431717		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162703	simple	9606	Homo sapiens	GSM1940178							no					GEO	SRA311494		public	5A1AA35E3EA1E9D771A34490F91B9F22	79DF61C3CF46EBF72FF9C0F37B2DC134	4267231	K562 PU.1 shRNA1 DMSO RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162703	GSM1940178	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA1 DMSO RNA-seq	0.01% DMSO vehicle	K562.PU1_shRNA.DMSO
SAMN04267232	SRR2921258	2016-04-11T16:55:20Z	2015-11-17T15:17:52Z	35108910	1790554410	0	51	707		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921258/SRR2921258.1	SRX1431718		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162702	simple	9606	Homo sapiens	GSM1940179							no					GEO	SRA311494		public	081DE07019836AAD0810ABAF422C35DC	B04A357DA577035D8639331CE2869A20	4267232	K562 PU.1 shRNA1 DMSO RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162702	GSM1940179	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA1 DMSO RNA-seq	0.01% DMSO vehicle	K562.PU1_shRNA.DMSO
SAMN04267233	SRR2921259	2016-04-11T16:55:20Z	2015-11-17T15:18:39Z	33948868	1731392268	0	51	684		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921259/SRR2921259.1	SRX1431719		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162701	simple	9606	Homo sapiens	GSM1940180							no					GEO	SRA311494		public	580BAABB080290D76DC4B05DDEB8F0E9	EA1D4C46E65C49CE48D03ADFA15F8581	4267233	K562 PU.1 shRNA1 SAHA RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162701	GSM1940180	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA1 SAHA RNA-seq	1 μM SAHA	K562.PU1_shRNA.SAHA
SAMN04267234	SRR2921260	2016-04-11T16:55:20Z	2015-11-17T15:18:36Z	38165507	1946440857	0	51	763		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921260/SRR2921260.1	SRX1431720		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162700	simple	9606	Homo sapiens	GSM1940181							no					GEO	SRA311494		public	49A69075FE3AD394B0E2C19AA20DDDDB	D9E425C79DD42A54ACDBF2708DDEE7D8	4267234	K562 PU.1 shRNA1 SAHA RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162700	GSM1940181	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA1 SAHA RNA-seq	1 μM SAHA	K562.PU1_shRNA.SAHA
SAMN04267235	SRR2921261	2016-04-11T16:55:20Z	2015-11-17T15:17:48Z	42668991	2176118541	0	51	852		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921261/SRR2921261.1	SRX1431721		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162699	simple	9606	Homo sapiens	GSM1940182							no					GEO	SRA311494		public	23D61BF034CA8A36164FF266FA7677A2	A3950BF95DEDEFA77E8ADC8C2A9B250F	4267235	K562 PU.1 shRNA2 DMSO RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162699	GSM1940182	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA2 DMSO RNA-seq	0.01% DMSO vehicle	K562.PU1_shRNA.DMSO
SAMN04267236	SRR2921262	2016-04-11T16:55:20Z	2015-11-17T15:20:57Z	31111799	1586701749	0	51	635		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921262/SRR2921262.1	SRX1431722		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162698	simple	9606	Homo sapiens	GSM1940183							no					GEO	SRA311494		public	72E8C02C99DC04C20F1F82EA54A117A5	6072F6DA682B4C7593102F7274666EA0	4267236	K562 PU.1 shRNA2 DMSO RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162698	GSM1940183	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA2 DMSO RNA-seq	0.01% DMSO vehicle	K562.PU1_shRNA.DMSO
SAMN04267237	SRR2921263	2016-04-11T16:55:20Z	2015-11-17T15:16:54Z	40145855	2047438605	0	51	803		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921263/SRR2921263.1	SRX1431723		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162697	simple	9606	Homo sapiens	GSM1940184							no					GEO	SRA311494		public	250C46E714CC41F6E78EF7AEBB8551AC	CB186161773B7CCE8EF272FE787E9209	4267237	K562 PU.1 shRNA2 SAHA RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162697	GSM1940184	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA2 SAHA RNA-seq	1 μM SAHA	K562.PU1_shRNA.SAHA
SAMN04267277	SRR2921264	2016-04-11T16:55:20Z	2015-11-17T15:15:52Z	31375670	1600159170	0	51	639		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921264/SRR2921264.1	SRX1431724		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162696	simple	9606	Homo sapiens	GSM1940185							no					GEO	SRA311494		public	D4ACE50FF22F78BBE3EEC83AD6E470B4	247B169E87A4F6BBF37E2B04AB773E68	4267277	K562 PU.1 shRNA2 SAHA RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162696	GSM1940185	K562	myelogenous leukemia cell line	72 hours	PU.1 shRNA; PU.1 depletion	K562 PU.1 shRNA2 SAHA RNA-seq	1 μM SAHA	K562.PU1_shRNA.SAHA
SAMN04267238	SRR2921265	2016-04-11T16:55:20Z	2015-11-17T15:16:45Z	34013445	1734685695	0	51	684		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921265/SRR2921265.1	SRX1431725		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162695	simple	9606	Homo sapiens	GSM1940186							no					GEO	SRA311494		public	5F4A6EDFC71584FCA2D53056A511C922	7BB72D70C5D0112A1B89FF1F235DB7F4	4267238	K562 KD Vector Control DMSO RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162695	GSM1940186	K562	myelogenous leukemia cell line	72 hours	vector control (for PU.1 depletion)	K562 KD Vector Control DMSO RNA-seq	0.01% DMSO vehicle	K562.KD_Vector_Control.DMSO
SAMN04267269	SRR2921266	2016-04-11T16:55:20Z	2015-11-17T15:19:18Z	37962422	1936083522	0	51	758		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921266/SRR2921266.1	SRX1431726		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162694	simple	9606	Homo sapiens	GSM1940187							no					GEO	SRA311494		public	30FDE6A80A6BBBFB7BB00FFC99D53D9B	E11218F8FA133ED301FE552519BB575A	4267269	K562 KD Vector Control DMSO RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162694	GSM1940187	K562	myelogenous leukemia cell line	72 hours	vector control (for PU.1 depletion)	K562 KD Vector Control DMSO RNA-seq	0.01% DMSO vehicle	K562.KD_Vector_Control.DMSO
SAMN04267270	SRR2921267	2016-04-11T16:55:20Z	2015-11-17T15:16:59Z	39011283	1989575433	0	51	778		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921267/SRR2921267.1	SRX1431727		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162693	simple	9606	Homo sapiens	GSM1940188							no					GEO	SRA311494		public	CECFE9BEE4C58451DDBD504F758EBF07	AEBA3C029631F5F8E05FEAF64ABE0FD4	4267270	K562 KD Vector Control SAHA RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162693	GSM1940188	K562	myelogenous leukemia cell line	72 hours	vector control (for PU.1 depletion)	K562 KD Vector Control SAHA RNA-seq	1 μM SAHA	K562.KD_Vector_Control.SAHA
SAMN04267271	SRR2921268	2016-04-11T16:55:20Z	2015-11-17T15:17:03Z	41092481	2095716531	0	51	822		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921268/SRR2921268.1	SRX1431728		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162692	simple	9606	Homo sapiens	GSM1940189							no					GEO	SRA311494		public	36C44355A34970ED52426124DB78425D	5D9D68C8F3C5AAE63A4613AC95B06F3C	4267271	K562 KD Vector Control SAHA RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162692	GSM1940189	K562	myelogenous leukemia cell line	72 hours	vector control (for PU.1 depletion)	K562 KD Vector Control SAHA RNA-seq	1 μM SAHA	K562.KD_Vector_Control.SAHA
