BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	source_name	cell_line	treatment	group
SAMN09354270	SRR7257621	2021-06-06T09:34:46Z	2018-06-04T17:58:15Z	29469659	3005905218	29469659	102	1268		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257621	SRX4161912		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374277	simple	9606	Homo sapiens	GSM3175573							no					GEO	SRA715152		public	C210B20D84E8E762FECDB2AEE97DFA29	D2AB4C38DEC2A70D2EADE4C7758DFEFC	9354270	OSUCLL CC122 1 5h rep 2	The Ohio State University	9606	SRS3374277	GSM3175573	OSU-CLL cell line	OSU-CLL	CC122	CC122.5
SAMN09354269	SRR7257622	2021-06-06T09:34:46Z	2018-06-04T18:01:57Z	33288676	3395444952	33288676	102	1441		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257622	SRX4161913		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374278	simple	9606	Homo sapiens	GSM3175574							no					GEO	SRA715152		public	AC049C72FAA4B2141719FAA26B0F6064	320C44C7C9A3E21BDBE09C273C73CD0A	9354269	OSUCLL LEN 1 5h rep 2	The Ohio State University	9606	SRS3374278	GSM3175574	OSU-CLL cell line	OSU-CLL	LEN	LEN.5
SAMN09354267	SRR7257623	2021-06-06T09:34:46Z	2018-06-04T17:58:51Z	30636130	3124885260	30636130	102	1310		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257623	SRX4161914		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374279	simple	9606	Homo sapiens	GSM3175575							no					GEO	SRA715152		public	49FEA85ACE097FDAA82C9DED515DD09F	FC34C47843BC6425249388C3507B5790	9354267	OSUCLL DMSO 0 24h rep 2	The Ohio State University	9606	SRS3374279	GSM3175575	OSU-CLL cell line	OSU-CLL	DMSO	DMSO.24
SAMN09354266	SRR7257624	2021-06-06T09:34:46Z	2018-06-04T18:11:39Z	32074834	3271633068	32074834	102	1368		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257624	SRX4161915		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374280	simple	9606	Homo sapiens	GSM3175576							no					GEO	SRA715152		public	ABF4B87CAD59B591A9D9577FF1A059D9	952F4C0DD34F450E39BB12711D3DF833	9354266	OSUCLL CC122 0.1 24h rep 2	The Ohio State University	9606	SRS3374280	GSM3175576	OSU-CLL cell line	OSU-CLL	CC122	CC122.24
SAMN09354264	SRR7257625	2021-06-06T09:34:46Z	2018-06-04T17:58:39Z	29913777	3051205254	29913777	102	1281		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257625	SRX4161916		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374281	simple	9606	Homo sapiens	GSM3175577							no					GEO	SRA715152		public	F72302A1379F26E961DAE3BA37729F0E	883F2D69A0A4831B7BA9430C8DD81A94	9354264	OSUCLL CC122 1 24h rep 2	The Ohio State University	9606	SRS3374281	GSM3175577	OSU-CLL cell line	OSU-CLL	CC122	CC122.24
SAMN09354262	SRR7257626	2021-06-06T09:34:46Z	2018-06-04T18:00:11Z	28944207	2952309114	28944207	102	1237		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257626	SRX4161917		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374282	simple	9606	Homo sapiens	GSM3175578							no					GEO	SRA715152		public	2110883DFA5C7E3B0E480C38AF10DAF7	456908B0214F94AFBC238542E97F11EA	9354262	OSUCLL LEN 1 24h rep 2	The Ohio State University	9606	SRS3374282	GSM3175578	OSU-CLL cell line	OSU-CLL	LEN	LEN.24
SAMN09354261	SRR7257627	2021-06-06T09:34:46Z	2018-06-04T17:55:31Z	23762786	2423804172	23762786	102	1019		https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/007087/SRR7257627	SRX4161918		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374283	simple	9606	Homo sapiens	GSM3175579							no					GEO	SRA715152		public	D8BFD90734F5BC959C5271A160F61F24	D22CD83705A1FE44FD5D44D248B43C28	9354261	OSUCLL DMSO 0 5h rep 3	The Ohio State University	9606	SRS3374283	GSM3175579	OSU-CLL cell line	OSU-CLL	DMSO	DMSO.5
SAMN09354259	SRR7257628	2021-06-06T09:34:46Z	2018-06-04T17:59:33Z	35809229	3652541358	35809229	102	1537		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257628	SRX4161919		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374284	simple	9606	Homo sapiens	GSM3175580							no					GEO	SRA715152		public	01152FA7C8C037ADB401F4520A14D314	54ACEF5B6E85277278508A238231040C	9354259	OSUCLL CC122 0.1 5h rep 3	The Ohio State University	9606	SRS3374284	GSM3175580	OSU-CLL cell line	OSU-CLL	CC122	CC122.5
SAMN09354257	SRR7257629	2021-06-06T09:34:46Z	2018-06-04T17:59:28Z	33630985	3430360470	33630985	102	1434		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257629	SRX4161920		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374285	simple	9606	Homo sapiens	GSM3175581							no					GEO	SRA715152		public	7B9A6CFD24E6B78247496F51B3ECF2C8	E8752B499844CE4A477F69C6A5374CAC	9354257	OSUCLL CC122 1 5h rep 3	The Ohio State University	9606	SRS3374285	GSM3175581	OSU-CLL cell line	OSU-CLL	CC122	CC122.5
SAMN09354256	SRR7257630	2021-06-06T09:34:46Z	2018-06-04T17:58:34Z	29867512	3046486224	29867512	102	1287		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257630	SRX4161921		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374286	simple	9606	Homo sapiens	GSM3175582							no					GEO	SRA715152		public	16EB8E4325591BCB37F683F77ADB60C8	A8C6133E2F2C3B13793D140006F7A8C0	9354256	OSUCLL LEN 1 5h rep 3	The Ohio State University	9606	SRS3374286	GSM3175582	OSU-CLL cell line	OSU-CLL	LEN	LEN.5
SAMN09354254	SRR7257631	2021-06-06T09:34:46Z	2018-06-04T17:59:04Z	27747515	2830246530	27747515	102	1187		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257631	SRX4161922		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374287	simple	9606	Homo sapiens	GSM3175583							no					GEO	SRA715152		public	2885C224ADD5AA71ADCB454F9A322165	E229B50158A977ADFC8F1666601AF658	9354254	OSUCLL DMSO 0 24h rep 3	The Ohio State University	9606	SRS3374287	GSM3175583	OSU-CLL cell line	OSU-CLL	DMSO	DMSO.24
SAMN09354253	SRR7257632	2021-06-06T09:34:46Z	2018-06-04T17:59:13Z	30089111	3069089322	30089111	102	1278		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257632	SRX4161923		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374288	simple	9606	Homo sapiens	GSM3175584							no					GEO	SRA715152		public	6FDD6048DEEA9EAEC9E7BCFBBA72AD13	5D7B8F4D5EB3AE988205A2E48A04A783	9354253	OSUCLL CC122 0.1 24h rep 3	The Ohio State University	9606	SRS3374288	GSM3175584	OSU-CLL cell line	OSU-CLL	CC122	CC122.24
SAMN09354251	SRR7257633	2021-06-06T09:34:46Z	2018-06-04T18:01:43Z	30853147	3147020994	30853147	102	1323		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257633	SRX4161924		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374289	simple	9606	Homo sapiens	GSM3175585							no					GEO	SRA715152		public	3F38918F6F6199589E174DF6C2776823	3C9B2676B0EE8516425F3658EC74A0AF	9354251	OSUCLL CC122 1 24h rep 3	The Ohio State University	9606	SRS3374289	GSM3175585	OSU-CLL cell line	OSU-CLL	CC122	CC122.24
SAMN09354249	SRR7257634	2021-06-06T09:34:46Z	2018-06-04T17:58:01Z	31265102	3189040404	31265102	102	1337		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257634	SRX4161925		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374291	simple	9606	Homo sapiens	GSM3175586							no					GEO	SRA715152		public	BB5981E3BC889D36EE4B63D4A055C154	C0912DAC9C400C05610C90211A8F6F59	9354249	OSUCLL LEN 1 24h rep 3	The Ohio State University	9606	SRS3374291	GSM3175586	OSU-CLL cell line	OSU-CLL	LEN	LEN.24
