BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	spike-in	treatment	group
SAMN17151439	SRR13301775	2021-05-23T19:07:18Z	2020-12-24T19:08:06Z	10068088	755106600	0	75	285		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301775/SRR13301775.lite.1	SRX9730697		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923523	simple	9606	Homo sapiens	GSM4987717							no					GEO	SRA1177621		public	4D37A47A5A2A3E9DFF263B8E1B606085	716C1A3F413A0CE3AFDAE3EF4CB6F272	17151439	THP-1 sgSCR LPS 1 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923523	GSM4987717	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	LPS 1µg/mL 1 hour	THP1.sgSCR.LPS_1ugMl_1h
SAMN17151440	SRR13301774	2021-05-23T19:07:18Z	2020-12-24T19:08:15Z	9282635	696197625	0	75	264		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301774/SRR13301774.lite.1	SRX9730696		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923522	simple	9606	Homo sapiens	GSM4987716							no					GEO	SRA1177621		public	67D1458124BF4BB14039E3661D83BD6E	215649868554110D8DE787E090C301F9	17151440	THP-1 sgSCR untreated replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923522	GSM4987716	THP-1 cell line	expressing Cas9 and non-targeting (Scramble) sgRNA	Acute myeloid leukemia cell line expressing Cas9 and non-targeting (Scramble) sgRNA	""	Untreated control	THP1.sgSCR.control
SAMN17151441	SRR13301794	2021-05-23T19:07:18Z	2020-12-24T19:16:25Z	5544853	415863975	0	75	159		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301794/SRR13301794.lite.1	SRX9730716		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923542	simple	9606	Homo sapiens	GSM4987736							no					GEO	SRA1177621		public	E6064AFD2FCB7DAD90E309F710E36708	F8A9758C7B022472290DA7BF90BA8FFC	17151441	HT-29 DMSO replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923542	GSM4987736	HT-29 cell line	""	Colorectal cancer cell line	Drosophila melanogaster spike-in	Untreated control	HT29.Drosophila_si.DMSO
SAMN17151442	SRR13301793	2021-05-23T19:07:18Z	2020-12-24T19:13:43Z	5098624	382396800	0	75	146		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301793/SRR13301793.lite.1	SRX9730715		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923541	simple	9606	Homo sapiens	GSM4987735							no					GEO	SRA1177621		public	E47244A6B95BE419B93F5A21E5E1961B	AB7C4A823ABD2E3320F485C3DA491722	17151442	HT-29 DMSO replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923541	GSM4987735	HT-29 cell line	""	Colorectal cancer cell line	Drosophila melanogaster spike-in	Untreated control	HT29.Drosophila_si.DMSO
SAMN17151443	SRR13301792	2021-05-23T19:07:18Z	2020-12-24T19:14:30Z	6745540	505915500	0	75	191		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301792/SRR13301792.lite.1	SRX9730714		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923540	simple	9606	Homo sapiens	GSM4987734							no					GEO	SRA1177621		public	22F3AA3E2D157ADB78305A31FAAACA22	7833D0A4841C1E69B19F905B3CA68F37	17151443	THP-1 sgINTS6 LPS 8 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923540	GSM4987734	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	LPS 1µg/mL 8 hour	THP1.sglNTS6.LPS_1ugMl_8h
SAMN17151444	SRR13301791	2021-05-23T19:07:18Z	2020-12-24T19:14:49Z	8718868	653915100	0	75	248		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301791/SRR13301791.lite.1	SRX9730713		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923539	simple	9606	Homo sapiens	GSM4987733							no					GEO	SRA1177621		public	B7B4E29398EEC08E320EEB876C47E959	06A6A12E2838EBB31BCDA9AE25D16C59	17151444	THP-1 sgINTS6 LPS 8 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923539	GSM4987733	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	LPS 1µg/mL 8 hour	THP1.sglNTS6.LPS_1ugMl_8h
SAMN17151445	SRR13301790	2021-05-23T19:07:18Z	2020-12-24T19:14:21Z	8281811	621135825	0	75	235		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301790/SRR13301790.lite.1	SRX9730712		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923538	simple	9606	Homo sapiens	GSM4987732							no					GEO	SRA1177621		public	52E8618DBA3A54E40EDE770B75835E56	2476A24193FF6832A85B0E322E8DD0FF	17151445	THP-1 sgINTS6 LPS 4 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923538	GSM4987732	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	LPS 1µg/mL 4 hour	THP1.sglNTS6.LPS_1ugMl_4h
SAMN17151446	SRR13301789	2021-05-23T19:07:18Z	2020-12-24T19:13:47Z	8617923	646344225	0	75	243		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301789/SRR13301789.lite.1	SRX9730711		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923537	simple	9606	Homo sapiens	GSM4987731							no					GEO	SRA1177621		public	EA9CFDD2C424D98CC576F2DEF269D482	D0219175F0A97F7E9C73EE5D9E345A1E	17151446	THP-1 sgINTS6 LPS 4 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923537	GSM4987731	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	LPS 1µg/mL 4 hour	THP1.sglNTS6.LPS_1ugMl_4h
SAMN17151447	SRR13301788	2021-05-23T19:07:18Z	2020-12-24T19:13:42Z	8555209	641640675	0	75	241		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301788/SRR13301788.lite.1	SRX9730710		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923536	simple	9606	Homo sapiens	GSM4987730							no					GEO	SRA1177621		public	2819DFB0FAA55FFBCD616E6FBFC9FBA3	3DC9DDA686FE5B7C56804D2724604DA3	17151447	THP-1 sgINTS6 LPS 2 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923536	GSM4987730	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	LPS 1µg/mL 2 hour	THP1.sglNTS6.LPS_1ugMl_2h
SAMN17151448	SRR13301787	2021-05-23T19:07:18Z	2020-12-24T19:12:55Z	8341357	625601775	0	75	235		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301787/SRR13301787.lite.1	SRX9730709		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923535	simple	9606	Homo sapiens	GSM4987729							no					GEO	SRA1177621		public	A59117561BCFC0A20BCF74106DB7BFA0	3CCEFDD506F45EA1E11741FA9B612DA6	17151448	THP-1 sgINTS6 LPS 2 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923535	GSM4987729	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	LPS 1µg/mL 2 hour	THP1.sglNTS6.LPS_1ugMl_2h
SAMN17151449	SRR13301786	2021-05-23T19:07:18Z	2020-12-24T19:12:18Z	8594216	644566200	0	75	243		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301786/SRR13301786.lite.1	SRX9730708		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923534	simple	9606	Homo sapiens	GSM4987728							no					GEO	SRA1177621		public	3D7ACDABBC69CBF0D9B1358D230E89CB	D3A1EB1854980E1D0ABA928E71DE954D	17151449	THP-1 sgINTS6 LPS 1 hour replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923534	GSM4987728	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	LPS 1µg/mL 1 hour	THP1.sglNTS6.LPS_1ugMl_1h
SAMN17151450	SRR13301785	2021-05-23T19:07:18Z	2020-12-24T19:12:38Z	10445233	783392475	0	75	294		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301785/SRR13301785.lite.1	SRX9730707		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923533	simple	9606	Homo sapiens	GSM4987727							no					GEO	SRA1177621		public	D021376F87155D9FACE27044EB3F5C95	0DA6912D6E1408BA59C4F6F3EED861CE	17151450	THP-1 sgINTS6 LPS 1 hour replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923533	GSM4987727	THP-1 cell line	expressing Cas9 and INTS6 targeting sgRNA	Acute myeloid leukemia cell line expressing Cas9 and INTS6 targeting sgRNA	""	LPS 1µg/mL 1 hour	THP1.sglNTS6.LPS_1ugMl_1h
SAMN17152095	SRR13301802	2021-05-23T19:07:19Z	2020-12-24T19:17:26Z	4757570	356817750	0	75	137		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301802/SRR13301802.lite.1	SRX9730724		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923550	simple	9606	Homo sapiens	GSM4987744							no					GEO	SRA1177621		public	08EFE500BC66E06257555E9FB1ECE2AE	E93D3E348D5B7426D60306F074DAE714	17152095	HT-29 CDK9i + DBK-1154 replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923550	GSM4987744	HT-29 cell line	""	Colorectal cancer cell line	Drosophila melanogaster spike-in	CDK9i (AZ5576) 170nM 2 hours + DBK-1154 10µM 2 hours 15 minutes	HT29.AZ5576_170nM_DBK1154_10uM.2.25h
SAMN17152096	SRR13301801	2021-05-23T19:07:19Z	2020-12-24T19:17:32Z	4413399	331004925	0	75	127		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301801/SRR13301801.lite.1	SRX9730723		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923549	simple	9606	Homo sapiens	GSM4987743							no					GEO	SRA1177621		public	968D74CE4FCA7D9EB44449B7B4BADA8E	95969D773B926296F5F8404611648746	17152096	HT-29 DBK-1154 replicate 3	Peter MacCallum Cancer Centre	9606	SRS7923549	GSM4987743	HT-29 cell line	""	Colorectal cancer cell line	Drosophila melanogaster spike-in	DBK-1154 10µM 2 hours 15 minutes	HT29.DBK1154_10uM.2.25h
SAMN17152097	SRR13301800	2021-05-23T19:07:19Z	2020-12-24T19:17:31Z	4691851	351888825	0	75	135		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301800/SRR13301800.lite.1	SRX9730722		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923548	simple	9606	Homo sapiens	GSM4987742							no					GEO	SRA1177621		public	D52D3FB1142F771FFF72C45AE9F89E89	EAAD4F2298EBAE75616DF21D34E03B04	17152097	HT-29 DBK-1154 replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923548	GSM4987742	HT-29 cell line	""	Colorectal cancer cell line	Drosophila melanogaster spike-in	DBK-1154 10µM 2 hours 15 minutes	HT29.DBK1154_10uM.2.25h
SAMN17152098	SRR13301799	2021-05-23T19:07:19Z	2020-12-24T19:17:00Z	5271235	395342625	0	75	152		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301799/SRR13301799.lite.1	SRX9730721		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923547	simple	9606	Homo sapiens	GSM4987741							no					GEO	SRA1177621		public	FFC60FC0D456DE4CECDAEE49E3610853	09D2D5274B5145471C43EBE55DE361B3	17152098	HT-29 DBK-1154 replicate 1	Peter MacCallum Cancer Centre	9606	SRS7923547	GSM4987741	HT-29 cell line	""	Colorectal cancer cell line	Drosophila melanogaster spike-in	DBK-1154 10µM 2 hours 15 minutes	HT29.DBK1154_10uM.2.25h
SAMN17152099	SRR13301798	2021-05-23T19:07:19Z	2020-12-24T19:16:37Z	4739918	355493850	0	75	136		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301798/SRR13301798.lite.1	SRX9730720		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923546	simple	9606	Homo sapiens	GSM4987740							no					GEO	SRA1177621		public	8AE8F78CFF82FEBEED5EB72C9E43C504	B1A778C208B571130FA20FAC0B2B083C	17152099	HT-29 CDK9i replicate 3	Peter MacCallum Cancer Centre	9606	SRS7923546	GSM4987740	HT-29 cell line	""	Colorectal cancer cell line	Drosophila melanogaster spike-in	CDK9i (AZ5576) 170nM 2 hours	HT29.AZ5576_170nM.2h
SAMN17152100	SRR13301797	2021-05-23T19:07:18Z	2020-12-24T19:16:21Z	4325821	324436575	0	75	124		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301797/SRR13301797.lite.1	SRX9730719		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923545	simple	9606	Homo sapiens	GSM4987739							no					GEO	SRA1177621		public	17B3E0C7AB82A40402A23BD70A2D7956	6914D1B711AFCFF3197957CCE2FCC3CB	17152100	HT-29 CDK9i replicate 2	Peter MacCallum Cancer Centre	9606	SRS7923545	GSM4987739	HT-29 cell line	""	Colorectal cancer cell line	Drosophila melanogaster spike-in	CDK9i (AZ5576) 170nM 2 hours	HT29.AZ5576_170nM.2h
SAMN17152101	SRR13301804	2021-05-23T19:07:19Z	2020-12-24T19:18:42Z	4627512	347063400	0	75	133		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13301/SRR13301804/SRR13301804.lite.1	SRX9730726		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP299240	PRJNA687660	3	687660	SRS7923552	simple	9606	Homo sapiens	GSM4987746							no					GEO	SRA1177621		public	86B5B7205F54D2705C5A056678B4125F	F2507DB26F3EF94707C34AEF693E470F	17152101	HT-29 CDK9i + DBK-1154 replicate 3	Peter MacCallum Cancer Centre	9606	SRS7923552	GSM4987746	HT-29 cell line	""	Colorectal cancer cell line	Drosophila melanogaster spike-in	CDK9i (AZ5576) 170nM 2 hours + DBK-1154 10µM 2 hours 15 minutes	HT29.AZ5576_170nM_DBK1154_10uM.2.25h
