BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	gender	source_name	tissue	group
SAMN05938974	SRR4449782	2016-11-28T16:38:19Z	2016-10-25T11:33:02Z	18951862	939398268	0	49	605		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4449782/SRR4449782.1	SRX2267931		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759133	simple	9606	Homo sapiens	GSM2359808							no					GEO	SRA486777		public	C98B1907074388D3E88D8D80EB6C98A5	F2256F4C0079AF5F6C2A9C285D4288E0	5938974	ProsA_2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759133	GSM2359808	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	prosA
SAMN05938974	SRR4449783	2016-11-28T16:38:19Z	2016-10-25T11:31:36Z	18453741	914701883	0	49	587		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4449783/SRR4449783.1	SRX2267931		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759133	simple	9606	Homo sapiens	GSM2359808							no					GEO	SRA486777		public	BD4A6DBEFD4E00CF178B067C660C4BC4	DA5C3E1BFB94525C3EB65CF1A84429D9	5938974	ProsA_2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759133	GSM2359808	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	prosA
SAMN05938975	SRR4449784	2016-11-28T16:38:19Z	2016-10-25T11:30:45Z	17399940	862704886	0	49	559		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4449784/SRR4449784.1	SRX2267932		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759134	simple	9606	Homo sapiens	GSM2359809							no					GEO	SRA486777		public	F15849E4F010B464D47EAB5B9A4BBB3C	F9713EE04EBB20844488C1EFDA26D7A6	5938975	DAC+ProsA_2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759134	GSM2359809	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	dac_prosA
SAMN05938975	SRR4449785	2016-11-28T16:38:19Z	2016-10-25T11:33:27Z	16943259	840063437	0	49	542		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR4449785/SRR4449785.1	SRX2267932		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759134	simple	9606	Homo sapiens	GSM2359809							no					GEO	SRA486777		public	CCB3843DC2FE6BC9702A78E9096E0375	0EE88D857D2B8664F33A5CD2FBD6CA44	5938975	DAC+ProsA_2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759134	GSM2359809	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	dac_prosA
SAMN05938967	SRR4449786	2016-11-28T16:38:19Z	2016-10-25T11:37:59Z	28076137	1391722613	0	49	899		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4449786/SRR4449786.1	SRX2267933		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759136	simple	9606	Homo sapiens	GSM2359810							no					GEO	SRA486777		public	F8A88C1F61D307303B70F0A6EB5C1DD0	7429B02EFE4CDCEE72564AA46C6C776B	5938967	Cntrl_3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759136	GSM2359810	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	dmso
SAMN05938967	SRR4449787	2016-11-28T16:38:19Z	2016-10-25T11:34:02Z	27365783	1356500291	0	49	873		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4449787/SRR4449787.1	SRX2267933		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759136	simple	9606	Homo sapiens	GSM2359810							no					GEO	SRA486777		public	D6E1E80F67E1F8157E465149173E7CA5	58D39D9EA0FA2590CBBAC7801E7924C4	5938967	Cntrl_3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759136	GSM2359810	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	dmso
SAMN05938993	SRR4449788	2016-11-28T16:38:19Z	2016-10-25T11:46:09Z	26117848	1295257957	0	49	839		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4449788/SRR4449788.1	SRX2267934		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759135	simple	9606	Homo sapiens	GSM2359811							no					GEO	SRA486777		public	0E5E84E5B8B3901D7551E4FB280D6FEB	77FAD7E86A5FF5557287D7346B8302A5	5938993	DAC_3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759135	GSM2359811	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	dac
SAMN05938993	SRR4449789	2016-11-28T16:38:19Z	2016-10-25T11:33:04Z	25465389	1262906984	0	49	815		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4449789/SRR4449789.1	SRX2267934		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759135	simple	9606	Homo sapiens	GSM2359811							no					GEO	SRA486777		public	4A4C661C33B88868122276492A28B5E9	E294CF2E5D72DD29300AB8CA4834A0A7	5938993	DAC_3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759135	GSM2359811	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	dac
SAMN05938992	SRR4449790	2016-11-28T16:38:19Z	2016-10-25T11:35:34Z	32831719	1627310272	0	49	1054		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4449790/SRR4449790.1	SRX2267935		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759137	simple	9606	Homo sapiens	GSM2359812							no					GEO	SRA486777		public	693D87EE4D7DF520158780389B508DCC	4D03E690EADA9AC03D9170428FD6BD7B	5938992	ProsA_3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759137	GSM2359812	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	prosA
SAMN05938992	SRR4449791	2016-11-28T16:38:19Z	2016-10-25T11:36:33Z	31895340	1580901421	0	49	1021		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR4449791/SRR4449791.1	SRX2267935		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759137	simple	9606	Homo sapiens	GSM2359812							no					GEO	SRA486777		public	BC33F56E7A05336353CEF475AD15D1D3	14FB5A3289BFA56CB6892452BB3E6A3A	5938992	ProsA_3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759137	GSM2359812	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	prosA
SAMN05938991	SRR4449792	2016-11-28T16:38:19Z	2016-10-25T11:31:15Z	18968589	940577210	0	49	611		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4449792/SRR4449792.1	SRX2267936		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759138	simple	9606	Homo sapiens	GSM2359813							no					GEO	SRA486777		public	0D16C7ABBFD8A20EFBD22DCA68A9F8D6	7575D51F6431268368BE7FCC11F0A6D2	5938991	DAC+ProsA_3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759138	GSM2359813	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	dac_prosA
SAMN05938991	SRR4449793	2016-11-28T16:38:19Z	2016-10-25T11:31:57Z	18374615	911132341	0	49	590		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4449793/SRR4449793.1	SRX2267936		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092043	PRJNA350500	2	350500	SRS1759138	simple	9606	Homo sapiens	GSM2359813							no					GEO	SRA486777		public	B0E09374B5A3FF2D21C34FCAE6D4A1D8	99D767ED746C20435A03608D94AD4F76	5938991	DAC+ProsA_3	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1759138	GSM2359813	YB5	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	colon cancer cell line	dac_prosA
