BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	molecule	source_name	treatment conditions	group
SAMN10604686	SRR8334023	2019-07-10T16:35:05Z	2018-12-17T18:06:02Z	108465109	16486696568	108465109	152	6310		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8334023/SRR8334023.1	SRX5145541		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155920	simple	9606	Homo sapiens	GSM3518115							no					GEO	SRA824487		public	D3C3DFA0ACA5DEFFCED73BB43B50789E	E8BDD3FD5AFBFE6AE87FAF5941EF0DF8	10604686	RNA-seq_K562_HS30__rep1	MPI	9606	SRS4155920	GSM3518115	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.	K562.Total_fragmented_RNA.4sU
SAMN10604685	SRR8334024	2019-07-10T16:35:05Z	2018-12-17T18:04:57Z	105327756	16009818912	105327756	152	6129		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8334024/SRR8334024.1	SRX5145542		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155921	simple	9606	Homo sapiens	GSM3518116							no					GEO	SRA824487		public	EF5A529CEDEDE6EF682C1091C07EB354	313FC9FB766A23718358141E53A1443B	10604685	RNA-seq_K562_HS30_rep2	MPI	9606	SRS4155921	GSM3518116	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.	K562.Total_fragmented_RNA.4sU
SAMN10604677	SRR8334031	2019-07-10T16:35:05Z	2018-12-17T17:37:18Z	57249175	8644874071	57249175	151	3334		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8334031/SRR8334031.1	SRX5145549		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155928	simple	9606	Homo sapiens	GSM3518123							no					GEO	SRA824487		public	2688E3F4B9461776477DCAB9198BBD18	1E8675BFF2B7D01B3D937031366BA70B	10604677	TT-seq_Raji-CDK9as_Solvent_rep1	MPI	9606	SRS4155928	GSM3518123	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	DMSO for 35 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	Raji_CDK9as.4sU_labeled_RNA.DMSO_4sU
SAMN10604676	SRR8334032	2019-07-10T16:35:05Z	2018-12-17T17:49:30Z	76191286	11505186771	76191286	151	4456		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8334032/SRR8334032.1	SRX5145550		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155929	simple	9606	Homo sapiens	GSM3518124							no					GEO	SRA824487		public	DA93508EE8C6AD8DB8D353B4CDB0B09E	7A83503CC0826B1F8DB6276122C15851	10604676	TT-seq_Raji-CDK9as_Solvent_rep2	MPI	9606	SRS4155929	GSM3518124	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	DMSO for 35 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	Raji_CDK9as.4sU_labeled_RNA.DMSO_4sU
SAMN10604675	SRR8334033	2019-07-10T16:35:05Z	2018-12-17T17:49:42Z	70801390	10689623626	70801390	150	4092		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8334033/SRR8334033.1	SRX5145551		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155930	simple	9606	Homo sapiens	GSM3518125							no					GEO	SRA824487		public	7F132A02748C6A116405E698E41BBE89	D31265DD600FB44399FBE6961ED4E388	10604675	TT-seq_Raji-CDK9as_CDK9inhibited_rep1	MPI	9606	SRS4155930	GSM3518125	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	5 uM 1-NA-PP1 for 35 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	Raji_CDK9as.4sU_labeled_RNA.1_NA_PP1_4sU
SAMN10604702	SRR8334034	2019-07-10T16:35:05Z	2018-12-17T17:40:18Z	67661931	10216685116	67661931	150	3938		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8334034/SRR8334034.1	SRX5145552		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155931	simple	9606	Homo sapiens	GSM3518126							no					GEO	SRA824487		public	8A148D123D20F08ABC66C5E31368C90D	238C63F3C804B280565191B06092D27A	10604702	TT-seq_Raji-CDK9as_CDK9inhibited_rep2	MPI	9606	SRS4155931	GSM3518126	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	5 uM 1-NA-PP1 for 35 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	Raji_CDK9as.4sU_labeled_RNA.1_NA_PP1_4sU
SAMN10604701	SRR8334035	2019-07-10T16:35:05Z	2018-12-17T17:47:11Z	70180248	10596980926	70180248	150	4080		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8334035/SRR8334035.1	SRX5145553		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155932	simple	9606	Homo sapiens	GSM3518127							no					GEO	SRA824487		public	F8BB4507FD3CAD4AD7F950E8710830EA	87ACBC8FADD19B20D4161FF6CE20732F	10604701	TT-seq_Raji-CDK9as_Solvent_HS30_rep1	MPI	9606	SRS4155932	GSM3518127	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	DMSO for 35 min; 42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	Raji_CDK9as.4sU_labeled_RNA.DMSO_4sU
SAMN10604700	SRR8334036	2019-07-10T16:35:05Z	2018-12-17T17:49:45Z	74373094	11229884908	74373094	150	4325		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8334036/SRR8334036.1	SRX5145554		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155933	simple	9606	Homo sapiens	GSM3518128							no					GEO	SRA824487		public	3F8B6DC43D09AE883D136D7DF8C6A85F	FFFFA0BC849AE7B5BB7F04318D443544	10604700	TT-seq_Raji-CDK9as_Solvent_HS30_rep2	MPI	9606	SRS4155933	GSM3518128	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	DMSO for 35 min; 42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	Raji_CDK9as.4sU_labeled_RNA.DMSO_4sU
SAMN10604699	SRR8334037	2019-07-10T16:35:05Z	2018-12-17T17:52:23Z	82625021	12474793425	82625021	150	4803		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8334037/SRR8334037.1	SRX5145555		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155934	simple	9606	Homo sapiens	GSM3518129							no					GEO	SRA824487		public	BE3FB05F149E30D10EDCCF1FB207BF3A	F3FB8ED413A4627762C96EF8654FC4C2	10604699	TT-seq_Raji-CDK9as_CDK9inhibited_HS30_rep1	MPI	9606	SRS4155934	GSM3518129	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	5 uM 1-NA-PP1 for 35 min; 42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	Raji_CDK9as.4sU_labeled_RNA.1_NA_PP1_4sU
SAMN10604698	SRR8334038	2019-07-10T16:35:05Z	2018-12-17T17:51:39Z	77366563	11680136350	77366563	150	4478		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8334038/SRR8334038.1	SRX5145556		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155935	simple	9606	Homo sapiens	GSM3518130							no					GEO	SRA824487		public	E4840D2ADEEC2F13F89CE4A530A470D5	048A8076E65602705F6C7899B78E308E	10604698	TT-seq_Raji-CDK9as_CDK9inhibited_HS30_rep2	MPI	9606	SRS4155935	GSM3518130	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	5 uM 1-NA-PP1 for 35 min; 42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	Raji_CDK9as.4sU_labeled_RNA.1_NA_PP1_4sU
