accession	uid	title	organization	taxonomy	sra	geo	agent	cell line	cell type	genotype	passages	source_name
SAMN03329248	3329248	C2_CAP_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836656	GSM1602258	chloramphenicol	C2	fibroblast	control	15-20	Fibroblasts
SAMN03329249	3329249	P1_RES_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836644	GSM1602270	resveratrol	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts
SAMN03329250	3329250	P1_AICAR_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836650	GSM1602264	AICAR	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts
SAMN03329251	3329251	C2_DMSO_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836654	GSM1602260	DMSO	C2	fibroblast	control	15-20	Fibroblasts
SAMN03329252	3329252	P1_DMSO_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836646	GSM1602268	DMSO	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts
SAMN03329253	3329253	P1_CAP_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836649	GSM1602265	chloramphenicol	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts
SAMN03329254	3329254	P1_RES_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836643	GSM1602269	resveratrol	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts
SAMN03329255	3329255	C2_CAP_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836657	GSM1602257	chloramphenicol	C2	fibroblast	control	15-20	Fibroblasts
SAMN03329256	3329256	P1_CAP_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836648	GSM1602266	chloramphenicol	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts
SAMN03329257	3329257	C2_AICAR_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836658	GSM1602256	AICAR	C2	fibroblast	control	15-20	Fibroblasts
SAMN03329258	3329258	P1_DMSO_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836647	GSM1602267	DMSO	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts
SAMN03329259	3329259	C1_RES_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836662	GSM1602254	resveratrol	C1	fibroblast	control	15-20	Fibroblasts
