BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	agent	cell line	cell type	genotype	passages	source_name	group
SAMN03329253	SRR1787552	2015-08-31T16:08:12Z	2015-02-04T15:26:53Z	12391516	607184284	0	49	383		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787552/SRR1787552.1	SRX865319		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836649	simple	9606	Homo sapiens	GSM1602265							no					GEO	SRA236343		public	A9CA1B47B78C806CA1EE1EE73AEB646E	9BBA5C9FC18FC6B340F2075ECB0F805E	3329253	P1_CAP_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836649	GSM1602265	chloramphenicol	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts	P1.chloramphenicol
SAMN03329256	SRR1787553	2015-08-31T16:08:12Z	2015-02-04T15:26:18Z	12177604	596702596	0	49	379		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787553/SRR1787553.1	SRX865320		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836648	simple	9606	Homo sapiens	GSM1602266							no					GEO	SRA236343		public	55FA2D8143523E73C516515345AB50E5	EA22A3828A653FB5A1D9796439A1D05A	3329256	P1_CAP_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836648	GSM1602266	chloramphenicol	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts	P1.chloramphenicol
SAMN03329258	SRR1787554	2015-08-31T16:08:12Z	2015-02-04T15:25:45Z	11739650	575242850	0	49	374		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787554/SRR1787554.1	SRX865321		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836647	simple	9606	Homo sapiens	GSM1602267							no					GEO	SRA236343		public	5C827B7C19ED3BC2A69507D5E6AF4315	D1D51ACFB7188CD91900ACD38544D8F9	3329258	P1_DMSO_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836647	GSM1602267	DMSO	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts	P1.DMSO
SAMN03329252	SRR1787555	2015-08-31T16:08:12Z	2015-02-04T15:25:48Z	11862487	581261863	0	49	372		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787555/SRR1787555.1	SRX865322		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836646	simple	9606	Homo sapiens	GSM1602268							no					GEO	SRA236343		public	E82A2FF9073A520696CF17DB7F02B2F5	6AD77D557D874B1DD6BBB05B1CFDB66A	3329252	P1_DMSO_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836646	GSM1602268	DMSO	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts	P1.DMSO
SAMN03329254	SRR1787556	2015-08-31T16:08:12Z	2015-02-04T15:27:06Z	11831243	579730907	0	49	368		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787556/SRR1787556.1	SRX865323		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836643	simple	9606	Homo sapiens	GSM1602269							no					GEO	SRA236343		public	09841064B065565E3334A1AA28674173	BDD3F045F38CAF335606211C6CD50E92	3329254	P1_RES_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836643	GSM1602269	resveratrol	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts	P1.resveratrol
SAMN03329249	SRR1787557	2015-08-31T16:08:12Z	2015-02-04T15:26:37Z	12021711	589063839	0	49	373		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787557/SRR1787557.1	SRX865324		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836644	simple	9606	Homo sapiens	GSM1602270							no					GEO	SRA236343		public	AC411346CE75E527A9463F94F470C533	D4F2DDAF27BAEE6379E0F2BDB72883BD	3329249	P1_RES_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836644	GSM1602270	resveratrol	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts	P1.resveratrol
SAMN03329247	SRR1787558	2015-08-31T16:08:12Z	2015-02-04T15:25:52Z	12092241	592519809	0	49	377		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787558/SRR1787558.1	SRX865325		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836645	simple	9606	Homo sapiens	GSM1602271							no					GEO	SRA236343		public	3C50C2311FEA91F5D8D499CE31FC58A6	FB76143EFFA42559F0A03CFB9A4D91D4	3329247	P2_AICAR_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836645	GSM1602271	AICAR	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts	P2.AICAR
SAMN03329244	SRR1787559	2015-08-31T16:08:12Z	2015-02-04T15:25:54Z	12137222	594723878	0	49	384		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787559/SRR1787559.1	SRX865326		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836642	simple	9606	Homo sapiens	GSM1602272							no					GEO	SRA236343		public	03C5C522D45AE1F34D2B61612E06CC13	F2EAB621F116B9D94C3029F00B974097	3329244	P2_AICAR_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836642	GSM1602272	AICAR	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts	P2.AICAR
SAMN03329241	SRR1787560	2015-08-31T16:08:12Z	2015-02-04T15:26:48Z	12411761	608176289	0	49	397		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787560/SRR1787560.1	SRX865327		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836640	simple	9606	Homo sapiens	GSM1602273							no					GEO	SRA236343		public	9378F2B432157A1CB85E3F81102463D1	83B95903B7ADDD37D9260A2A7DD5AF43	3329241	P2_CAP_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836640	GSM1602273	chloramphenicol	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts	P2.chloramphenicol
SAMN03329230	SRR1787561	2015-08-31T16:08:12Z	2015-02-04T15:25:46Z	11996906	587848394	0	49	380		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787561/SRR1787561.1	SRX865328		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836639	simple	9606	Homo sapiens	GSM1602274							no					GEO	SRA236343		public	AD89FAB0E09CF7DADBF61CC466625B26	A6E4B6B65250FF01D4773FEC09089D2B	3329230	P2_CAP_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836639	GSM1602274	chloramphenicol	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts	P2.chloramphenicol
SAMN03329233	SRR1787562	2015-08-31T16:08:12Z	2015-02-04T15:25:45Z	11745867	575547483	0	49	367		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787562/SRR1787562.1	SRX865329		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836641	simple	9606	Homo sapiens	GSM1602275							no					GEO	SRA236343		public	8B5BF6910EBA89AE5CB32C190B76432C	A643C04018B6EF5FBC07A83F3747B316	3329233	P2_DMSO_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836641	GSM1602275	DMSO	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts	P2.DMSO
SAMN03329227	SRR1787563	2015-08-31T16:08:12Z	2015-02-04T15:25:48Z	11846252	580466348	0	49	377		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787563/SRR1787563.1	SRX865330		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836637	simple	9606	Homo sapiens	GSM1602276							no					GEO	SRA236343		public	7D87B63E541288E6B0BD87A4F7382B10	926DB8568319FC78DFDBD85452542034	3329227	P2_DMSO_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836637	GSM1602276	DMSO	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts	P2.DMSO
SAMN03329228	SRR1787564	2015-08-31T16:08:12Z	2015-02-04T15:26:24Z	11954533	585772117	0	49	408		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787564/SRR1787564.1	SRX865331		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836638	simple	9606	Homo sapiens	GSM1602277							no					GEO	SRA236343		public	96F0087172A4B56C848F6ABA8302A5BA	2D2AB2E2CAEF7067DE78356E9DA99B59	3329228	P2_RES_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836638	GSM1602277	resveratrol	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts	P2.resveratrol
SAMN03329234	SRR1787565	2015-08-31T16:08:12Z	2015-02-04T15:25:49Z	12431153	609126497	0	49	393		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787565/SRR1787565.1	SRX865332		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836636	simple	9606	Homo sapiens	GSM1602278							no					GEO	SRA236343		public	867846361357551F09E5F0EA5D5B751F	29B40325D25A1C6B683E2CB002AEF66D	3329234	P2_RES_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836636	GSM1602278	resveratrol	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts	P2.resveratrol
