BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment compound	treatment time	tumor type	group
SAMN10719176	SRR8424327	2019-09-03T16:10:07Z	2020-02-22T10:23:15Z	30201244	3020124400	0	100	564	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424327/SRR8424327.2	SRX5233057		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236483	simple	9606	Homo sapiens	GSM3557248							no					GEO	SRA832338		public	CFEFD99ADBB90315B10DE9A3EDCD906F	3BB6F56B95495BCF37BEE72B672E059D	10719176	broli_D2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236483	GSM3557248	BroLi	tumor derived cancer cell line	BroLi	Control	1 day	Merkel cell carcinoma	BroLi.Control.1
SAMN10719177	SRR8424326	2019-09-03T16:10:07Z	2020-02-22T10:27:48Z	40137874	4013787400	0	100	709	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424326/SRR8424326.2	SRX5233056		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236482	simple	9606	Homo sapiens	GSM3557247							no					GEO	SRA832338		public	B3E8DDB0424E0E5442F6FF870AA5BC02	E754E4EE8F5158A3E194959C274B0AF1	10719177	broli_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236482	GSM3557247	BroLi	tumor derived cancer cell line	BroLi	Control	1 day	Merkel cell carcinoma	BroLi.Control.1
SAMN10719178	SRR8424325	2019-09-03T16:10:07Z	2020-02-22T10:24:18Z	30977106	3097710600	0	100	562	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424325/SRR8424325.2	SRX5233055		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236481	simple	9606	Homo sapiens	GSM3557246							no					GEO	SRA832338		public	545F0FF025EDFBB377F64519FF4F0A6D	C6AC8F40BDF9D94FFCA35B494E114E58	10719178	PETA_L3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236481	GSM3557246	PeTa	tumor derived cancer cell line	PeTa	CPI-670242	1 day	Merkel cell carcinoma	PeTa.CPI_670242.1
SAMN10719179	SRR8424324	2019-09-03T16:10:07Z	2020-02-22T10:32:26Z	32369346	3236934600	0	100	589	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424324/SRR8424324.2	SRX5233054		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236480	simple	9606	Homo sapiens	GSM3557245							no					GEO	SRA832338		public	A5397E7961844732A2239B60ADE5B24C	6CAB55E910AB4A355DFE17F6497F83E8	10719179	PETA_L2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236480	GSM3557245	PeTa	tumor derived cancer cell line	PeTa	CPI-670242	1 day	Merkel cell carcinoma	PeTa.CPI_670242.1
SAMN10719180	SRR8424323	2019-09-03T16:10:07Z	2020-02-22T10:25:13Z	32128796	3212879600	0	100	572	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424323/SRR8424323.2	SRX5233053		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236479	simple	9606	Homo sapiens	GSM3557244							no					GEO	SRA832338		public	EB81315A531BD777E061DAC5E0D85D95	66DD01B043889B4C1B197B6C1ABF4300	10719180	PETA_L1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236479	GSM3557244	PeTa	tumor derived cancer cell line	PeTa	CPI-670242	1 day	Merkel cell carcinoma	PeTa.CPI_670242.1
SAMN10719181	SRR8424322	2019-09-03T16:10:07Z	2020-02-22T10:26:57Z	32131268	3213126800	0	100	616	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424322/SRR8424322.2	SRX5233052		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236478	simple	9606	Homo sapiens	GSM3557243							no					GEO	SRA832338		public	B6426B6A59D37F89F2C95FBD8D2E3D0D	E7DE3C04C49C60BDC210D708B02D5FE4	10719181	PETA_D3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236478	GSM3557243	PeTa	tumor derived cancer cell line	PeTa	Control	1 day	Merkel cell carcinoma	PeTa.Control.1
SAMN10719182	SRR8424321	2019-09-03T16:10:07Z	2020-02-22T10:26:26Z	31082871	3108287100	0	100	584	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424321/SRR8424321.2	SRX5233051		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236477	simple	9606	Homo sapiens	GSM3557242							no					GEO	SRA832338		public	B24BFDE8E7E050E4FCFCFF1ED1113845	31584FC389F672BE665EF45C522179DC	10719182	PETA_D2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236477	GSM3557242	PeTa	tumor derived cancer cell line	PeTa	Control	1 day	Merkel cell carcinoma	PeTa.Control.1
SAMN10719183	SRR8424320	2019-09-03T16:10:07Z	2020-02-22T10:40:40Z	31675802	3167580200	0	100	580	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424320/SRR8424320.2	SRX5233050		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236476	simple	9606	Homo sapiens	GSM3557241							no					GEO	SRA832338		public	86C9EBC24FB3BFA59A2ADA378F3326A1	AABDFD168017C16975A0D565288364CD	10719183	PETA_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236476	GSM3557241	PeTa	tumor derived cancer cell line	PeTa	Control	1 day	Merkel cell carcinoma	PeTa.Control.1
SAMN10719184	SRR8424319	2019-09-03T16:10:07Z	2020-02-22T10:51:31Z	34457855	3445785500	0	100	604	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424319/SRR8424319.2	SRX5233049		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236475	simple	9606	Homo sapiens	GSM3557240							no					GEO	SRA832338		public	3556057D55A2ACE2B0680F79832847B7	32682F12B3286A3D0225DF2DEAADB8BE	10719184	waga_L3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236475	GSM3557240	WaGa	tumor derived cancer cell line	WaGa	CPI-670242	1 day	Merkel cell carcinoma	WaGa.CPI_670242.1
SAMN10719185	SRR8424318	2019-09-03T16:10:07Z	2020-02-22T10:21:27Z	32238629	3223862900	0	100	612	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424318/SRR8424318.2	SRX5233048		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236474	simple	9606	Homo sapiens	GSM3557239							no					GEO	SRA832338		public	59E590FDA63108FDE85D323283C1C667	9D42C77879E36297E7E1EFC277324017	10719185	waga_L2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236474	GSM3557239	WaGa	tumor derived cancer cell line	WaGa	CPI-670242	1 day	Merkel cell carcinoma	WaGa.CPI_670242.1
SAMN10719186	SRR8424317	2019-09-03T16:10:07Z	2020-02-22T10:22:10Z	32941886	3294188600	0	100	614	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424317/SRR8424317.2	SRX5233047		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236473	simple	9606	Homo sapiens	GSM3557238							no					GEO	SRA832338		public	3B5DF60DEC82FB7482E42937D09E4BF9	1552F8034CFF25CA9A80B2E50F011F95	10719186	waga_L1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236473	GSM3557238	WaGa	tumor derived cancer cell line	WaGa	CPI-670242	1 day	Merkel cell carcinoma	WaGa.CPI_670242.1
SAMN10719188	SRR8424316	2019-09-03T16:10:06Z	2020-02-22T10:44:11Z	36778576	3677857600	0	100	670	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424316/SRR8424316.2	SRX5233046		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236472	simple	9606	Homo sapiens	GSM3557237							no					GEO	SRA832338		public	0997D8E5355FD96CFF1105DB76F20AF0	C36BF9D9E72F1949DE9A46F943CA04D7	10719188	waga_D3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236472	GSM3557237	WaGa	tumor derived cancer cell line	WaGa	Control	1 day	Merkel cell carcinoma	WaGa.Control.1
SAMN10719189	SRR8424315	2019-09-03T16:10:06Z	2020-02-22T10:26:13Z	35874156	3587415600	0	100	662	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424315/SRR8424315.2	SRX5233045		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236471	simple	9606	Homo sapiens	GSM3557236							no					GEO	SRA832338		public	257136D16ABC6AD4AC7E9D7CC62A8A0D	093494813650264C0E6FA31AA880CA4F	10719189	waga_D2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236471	GSM3557236	WaGa	tumor derived cancer cell line	WaGa	Control	1 day	Merkel cell carcinoma	WaGa.Control.1
SAMN10719190	SRR8424314	2019-09-03T16:10:06Z	2020-02-22T10:45:14Z	35695728	3569572800	0	100	643	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424314/SRR8424314.2	SRX5233044		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236470	simple	9606	Homo sapiens	GSM3557235							no					GEO	SRA832338		public	A7F0A639D5FEE8A792E4243DF32C39BD	84164F6DEF8EAACAB1A9C85D40EBF014	10719190	waga_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236470	GSM3557235	WaGa	tumor derived cancer cell line	WaGa	Control	1 day	Merkel cell carcinoma	WaGa.Control.1
SAMN10719191	SRR8424313	2019-09-03T16:10:06Z	2020-02-22T10:47:08Z	39250719	5887607850	0	150	1011	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424313/SRR8424313.2	SRX5233043		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236469	simple	9606	Homo sapiens	GSM3557234							no					GEO	SRA832338		public	12C50A79D9CBDAE2D1C4EB4F1B88B809	428731FD1E8203314E79AAA7C126AEAE	10719191	MS1_L3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236469	GSM3557234	MS-1	tumor derived cancer cell line	MS-1	GSK-LSD1 0.1uM	3 days	Merkel cell carcinoma	MS_1.GSK_LSD10.1uM.3
SAMN10719192	SRR8424312	2019-09-03T16:10:06Z	2020-02-22T10:27:14Z	37639918	5645987700	0	150	979	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424312/SRR8424312.2	SRX5233042		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236468	simple	9606	Homo sapiens	GSM3557233							no					GEO	SRA832338		public	633399D655E60CA9C22E272041ACC62D	1C2D165382311249BD3D1D4C3F4EA16C	10719192	MS1_L2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236468	GSM3557233	MS-1	tumor derived cancer cell line	MS-1	GSK-LSD1 0.1uM	3 days	Merkel cell carcinoma	MS_1.GSK_LSD10.1uM.3
SAMN10719193	SRR8424311	2019-09-03T16:10:06Z	2020-02-22T10:44:43Z	41365265	6204789750	0	150	1081	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424311/SRR8424311.2	SRX5233041		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236467	simple	9606	Homo sapiens	GSM3557232							no					GEO	SRA832338		public	DCA9A6632B5E5303DB7B5C539A9B0477	88646AA10EC2855F305A27C0942E3BCD	10719193	MS1_L1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236467	GSM3557232	MS-1	tumor derived cancer cell line	MS-1	GSK-LSD1 0.1uM	3 days	Merkel cell carcinoma	MS_1.GSK_LSD10.1uM.3
SAMN10719194	SRR8424310	2019-09-03T16:10:06Z	2020-02-22T10:31:53Z	48367879	7255181850	0	150	1218	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424310/SRR8424310.2	SRX5233040		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236466	simple	9606	Homo sapiens	GSM3557231							no					GEO	SRA832338		public	DA42C211CFEDBF4264234D900F4BA6D5	C7A878A7A678E0BFFACACA0CC346BD13	10719194	MS1_D3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236466	GSM3557231	MS-1	tumor derived cancer cell line	MS-1	Control	3 days	Merkel cell carcinoma	MS_1.Control.3
SAMN10719195	SRR8424309	2019-09-03T16:10:06Z	2020-02-22T10:50:38Z	41876529	6281479350	0	150	1091	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424309/SRR8424309.2	SRX5233039		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236465	simple	9606	Homo sapiens	GSM3557230							no					GEO	SRA832338		public	80F6DA7B7A9BA26BA352A65271FA6F5C	9F4D5E74A42FFB281BE68D7187EBE869	10719195	MS1_D2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236465	GSM3557230	MS-1	tumor derived cancer cell line	MS-1	Control	3 days	Merkel cell carcinoma	MS_1.Control.3
SAMN10719196	SRR8424308	2019-09-03T16:10:06Z	2020-02-22T10:29:04Z	37935239	5690285850	0	150	1009	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424308/SRR8424308.2	SRX5233038		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236464	simple	9606	Homo sapiens	GSM3557229							no					GEO	SRA832338		public	DD521D516F3A48BF04A8F60DD7CC31E4	C0D66C2BA9C482B050DD57DA8B60B8CF	10719196	MS1_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236464	GSM3557229	MS-1	tumor derived cancer cell line	MS-1	Control	3 days	Merkel cell carcinoma	MS_1.Control.3
SAMN10719205	SRR8424307	2019-09-03T16:10:06Z	2020-02-22T10:25:29Z	35845662	3584566200	0	100	657	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424307/SRR8424307.2	SRX5233037		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236463	simple	9606	Homo sapiens	GSM3557228							no					GEO	SRA832338		public	A74ADE1D6560B2364AF1C39BF3DA7FB3	E72E53627EFB0B93EDCD250A7514321E	10719205	MKL2_L3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236463	GSM3557228	MKL-2	tumor derived cancer cell line	MKL-2	CPI-670242	1 day	Merkel cell carcinoma	MKL_2.CPI_670242.1
SAMN10719206	SRR8424306	2019-09-03T16:10:06Z	2020-02-22T10:24:38Z	34035869	3403586900	0	100	608	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424306/SRR8424306.2	SRX5233036		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236462	simple	9606	Homo sapiens	GSM3557227							no					GEO	SRA832338		public	702F722FB9FF0F02D064EC7A0C15383D	1AD05BC5C0BB969F892D9562E1229D40	10719206	MKL2_L2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236462	GSM3557227	MKL-2	tumor derived cancer cell line	MKL-2	CPI-670242	1 day	Merkel cell carcinoma	MKL_2.CPI_670242.1
