accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment compound	treatment time	tumor type
SAMN10719196	10719196	MS1_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236464	GSM3557229	MS-1	tumor derived cancer cell line	MS-1	Control	3 days	Merkel cell carcinoma
SAMN10719205	10719205	MKL2_L3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236463	GSM3557228	MKL-2	tumor derived cancer cell line	MKL-2	CPI-670242	1 day	Merkel cell carcinoma
SAMN10719206	10719206	MKL2_L2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236462	GSM3557227	MKL-2	tumor derived cancer cell line	MKL-2	CPI-670242	1 day	Merkel cell carcinoma
SAMN10719207	10719207	MKL2_L1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236461	GSM3557226	MKL-2	tumor derived cancer cell line	MKL-2	CPI-670242	1 day	Merkel cell carcinoma
SAMN10719208	10719208	MKL2_D3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236460	GSM3557225	MKL-2	tumor derived cancer cell line	MKL-2	Control	1 day	Merkel cell carcinoma
SAMN10719209	10719209	MKL2_D2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236459	GSM3557224	MKL-2	tumor derived cancer cell line	MKL-2	Control	1 day	Merkel cell carcinoma
SAMN10719210	10719210	MKL2_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236458	GSM3557223	MKL-2	tumor derived cancer cell line	MKL-2	Control	1 day	Merkel cell carcinoma
SAMN10719211	10719211	MKL1_L3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236457	GSM3557222	MKL-1	tumor derived cancer cell line	MKL-1	GSK-LSD1 0.1uM	3 days	Merkel cell carcinoma
SAMN10719212	10719212	MKL1_L2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236456	GSM3557221	MKL-1	tumor derived cancer cell line	MKL-1	GSK-LSD1 0.1uM	3 days	Merkel cell carcinoma
SAMN10719213	10719213	MKL1_L1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236455	GSM3557220	MKL-1	tumor derived cancer cell line	MKL-1	GSK-LSD1 0.1uM	3 days	Merkel cell carcinoma
SAMN10719214	10719214	MKL1_D3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236454	GSM3557219	MKL-1	tumor derived cancer cell line	MKL-1	Control	3 days	Merkel cell carcinoma
SAMN10719215	10719215	MKL1_D2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236453	GSM3557218	MKL-1	tumor derived cancer cell line	MKL-1	Control	3 days	Merkel cell carcinoma
SAMN10719216	10719216	MKL1_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236452	GSM3557217	MKL-1	tumor derived cancer cell line	MKL-1	Control	3 days	Merkel cell carcinoma
