BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	diagnosis	shRNA	source_name	treatment	group
SAMN03248140	SRR1688367	2015-09-08T16:06:19Z	2014-12-02T15:30:52Z	43143362	4314336200	43143362	100	2939		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688367/SRR1688367.1	SRX793211		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776998	simple	9606	Homo sapiens	GSM1557072							no					GEO	SRA207199		public	0A2FA4E25BCEB0B7C080BE78982FE361	12A9AC0DECA07516FC32BDFEB3DBC0E2	3248140	MEG-1 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776998	GSM1557072	Leukemia		Cell line	2h JQ1 200 nM	MEG1.JQ1.2.200nM
SAMN03248141	SRR1688368	2015-09-08T16:06:19Z	2014-12-02T15:44:18Z	35221656	3522165600	35221656	100	2384		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688368/SRR1688368.1	SRX793212		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776999	simple	9606	Homo sapiens	GSM1557073							no					GEO	SRA207199		public	3A00229D1FDF74C13EFE78AE5AC3750F	34C7097E3FFB575457E77F3437FA03EE	3248141	MEG-1 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776999	GSM1557073	Leukemia		Cell line	24h JQ1 200 nM	MEG1.JQ1.24.200nM
SAMN03248143	SRR1688369	2015-09-08T16:06:19Z	2014-12-02T16:03:37Z	39206174	3920617400	39206174	100	2232		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688369/SRR1688369.1	SRX793213		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777001	simple	9606	Homo sapiens	GSM1557074							no					GEO	SRA207199		public	DE6B50A15C5AB5F9B40A142528404A26	0528133A777572569B57B89268EF50DA	3248143	MOLT-3 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777001	GSM1557074	Leukemia		Cell line	DMSO	MOLT3.DMSO
SAMN03248153	SRR1688370	2015-09-08T16:06:19Z	2014-12-02T15:59:05Z	35367124	3536712400	35367124	100	2001		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688370/SRR1688370.1	SRX793214		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777000	simple	9606	Homo sapiens	GSM1557075							no					GEO	SRA207199		public	E609709271C2E15D8E74C9C9A220331A	3F3A7B48C1A5724A921D9E965F53DFFE	3248153	MOLT-3 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777000	GSM1557075	Leukemia		Cell line	2h JQ1 200 nM	MOLT3.JQ1.2.200nM
SAMN03248137	SRR1688371	2015-09-08T16:06:19Z	2014-12-02T16:02:57Z	40682227	4068222700	40682227	100	2301		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688371/SRR1688371.1	SRX793215		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777002	simple	9606	Homo sapiens	GSM1557076							no					GEO	SRA207199		public	1FAF784399CFA81DDA3A9F957B8CC676	4F0CB037559BCE749B466F633C578738	3248137	MOLT-3 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777002	GSM1557076	Leukemia		Cell line	24h JQ1 200 nM	MOLT3.JQ1.24.200nM
SAMN03248103	SRR1688372	2015-09-08T16:06:19Z	2014-12-02T17:08:43Z	129759340	12975934000	129759340	100	8733		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688372/SRR1688372.1	SRX793216		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777003	simple	9606	Homo sapiens	GSM1557077							no					GEO	SRA207199		public	5A5748B383568D7FCF2C16AC876258EE	0D96A6D6ADC3B6A5F2E256544541557A	3248103	K-562 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777003	GSM1557077	Leukemia		Cell line	DMSO	K562.DMSO
SAMN03248174	SRR1688373	2015-09-08T16:06:19Z	2014-12-02T15:36:18Z	46889068	4688906800	46889068	100	3174		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688373/SRR1688373.1	SRX793217		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777004	simple	9606	Homo sapiens	GSM1557078							no					GEO	SRA207199		public	40069EF03F47EBC6CCF45A36BEFE7BBB	EB2D48F525F88979E3714B78CE6125C6	3248174	K-562 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777004	GSM1557078	Leukemia		Cell line	2h JQ1 200 nM	K562.JQ1.2.200nM
SAMN03248108	SRR1688374	2015-09-08T16:06:19Z	2014-12-02T15:45:23Z	42625008	4262500800	42625008	100	2883		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688374/SRR1688374.1	SRX793218		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777005	simple	9606	Homo sapiens	GSM1557079							no					GEO	SRA207199		public	75F55C04A79B44668F964FFD8F211865	3E9F47D9005259C7B6CAFA3329CA41EB	3248108	K-562 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777005	GSM1557079	Leukemia		Cell line	24h JQ1 200 nM	K562.JQ1.24.200nM
SAMN03248161	SRR1688375	2015-09-08T16:06:19Z	2014-12-02T15:51:03Z	56910374	5691037400	56910374	100	3427		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688375/SRR1688375.1	SRX793219		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777006	simple	9606	Homo sapiens	GSM1557080							no					GEO	SRA207199		public	4F0A35CCE9AC899E695C5F9B472D76D5	392A97D1282771CC0DDF4B081BA2A9C9	3248161	NCIH-1048 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777006	GSM1557080	SCLC		Cell line	DMSO	NCIH1048.DMSO
SAMN03248133	SRR1688376	2015-09-08T16:06:19Z	2014-12-02T16:01:54Z	51954246	5195424600	51954246	100	3138		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688376/SRR1688376.1	SRX793220		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777009	simple	9606	Homo sapiens	GSM1557081							no					GEO	SRA207199		public	FF6028D916846F8F13BF6F27408361DB	EC58B6853A210FA643B4711265CE9A2D	3248133	NCIH-1048 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777009	GSM1557081	SCLC		Cell line	2h JQ1 200 nM	NCIH1048.JQ1.2.200nM
SAMN03248100	SRR1688377	2015-09-08T16:06:19Z	2014-12-02T15:48:19Z	45164316	4516431600	45164316	100	2736		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688377/SRR1688377.1	SRX793221		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777007	simple	9606	Homo sapiens	GSM1557082							no					GEO	SRA207199		public	96B1CD91BE4312FB4C5F053D2F016B44	33DE7DBEB1B4EB45097AC3059708CF56	3248100	NCIH-1048 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777007	GSM1557082	SCLC		Cell line	24h JQ1 200 nM	NCIH1048.JQ1.24.200nM
SAMN03248104	SRR1688378	2015-09-08T16:06:19Z	2014-12-02T15:47:46Z	54052893	5405289300	54052893	100	3285		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688378/SRR1688378.1	SRX793222		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777008	simple	9606	Homo sapiens	GSM1557083							no					GEO	SRA207199		public	2D787F090AF02D5AD33BFB7DBCFC6338	6023D55CB1819C2EA781250A12C72CDD	3248104	NCIH-69 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777008	GSM1557083	SCLC		Cell line	DMSO	NCIH69.DMSO
SAMN03248154	SRR1688379	2015-09-08T16:06:19Z	2014-12-02T15:44:00Z	52561711	5256171100	52561711	100	3198		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688379/SRR1688379.1	SRX793223		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777011	simple	9606	Homo sapiens	GSM1557084							no					GEO	SRA207199		public	E3A457632788D7B7331A22EF5C7733E5	B387F817585303860C7C1CECCABDB853	3248154	NCIH-69 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777011	GSM1557084	SCLC		Cell line	2h JQ1 200 nM	NCIH69.JQ1.2.200nM
SAMN03248098	SRR1688380	2015-09-08T16:06:19Z	2014-12-02T15:47:04Z	58103969	5810396900	58103969	100	3513		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688380/SRR1688380.1	SRX793224		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777010	simple	9606	Homo sapiens	GSM1557085							no					GEO	SRA207199		public	AD0F7E1FC6485C621D6C66A172F64AB0	6554C663ED47B2CC03BF522D0779C967	3248098	NCIH-69 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777010	GSM1557085	SCLC		Cell line	24h JQ1 200 nM	NCIH69.JQ1.24.200nM
SAMN03248101	SRR1688381	2015-09-08T16:06:19Z	2014-12-02T15:28:46Z	47928848	4792884800	47928848	100	2793		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688381/SRR1688381.1	SRX793225		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777012	simple	9606	Homo sapiens	GSM1557086							no					GEO	SRA207199		public	E627519750900460255DA77AC10F610C	F2BCBD06A4FFD7C071B63C56B5510EDF	3248101	NCIH-82 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777012	GSM1557086	SCLC		Cell line	DMSO	NCIH82.DMSO
SAMN03248119	SRR1688382	2015-09-08T16:06:19Z	2014-12-02T15:26:33Z	44526520	4452652000	44526520	100	2598		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688382/SRR1688382.1	SRX793226		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777013	simple	9606	Homo sapiens	GSM1557087							no					GEO	SRA207199		public	99A58C0BD759ED8BD566675026D573B1	E95D988BAB248D00D503C16F953DE383	3248119	NCIH-82 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777013	GSM1557087	SCLC		Cell line	2h JQ1 200 nM	NCIH82.JQ1.2.200nM
SAMN03248151	SRR1688383	2015-09-08T16:06:19Z	2014-12-02T15:52:53Z	45895704	4589570400	45895704	100	2675		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688383/SRR1688383.1	SRX793227		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777014	simple	9606	Homo sapiens	GSM1557088							no					GEO	SRA207199		public	8201FF58CEEACE764FBD79D3EAB31CE4	06D20FA7183DD8B3BD6BB42E15E4983E	3248151	NCIH-82 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777014	GSM1557088	SCLC		Cell line	24h JQ1 200 nM	NCIH82.JQ1.24.200nM
SAMN03248152	SRR1688384	2015-09-08T16:06:19Z	2014-12-02T15:46:50Z	54155202	5415520200	54155202	100	3284		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688384/SRR1688384.1	SRX793228		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777015	simple	9606	Homo sapiens	GSM1557089							no					GEO	SRA207199		public	FA97F3C6225C803051861FF98161FE1C	B175DF14D2A32676E0382DF3B7864699	3248152	DMS-273 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777015	GSM1557089	SCLC		Cell line	DMSO	DMS273.DMSO
SAMN03248126	SRR1688385	2015-09-08T16:06:19Z	2014-12-02T15:52:42Z	53432334	5343233400	53432334	100	3296		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688385/SRR1688385.1	SRX793229		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777016	simple	9606	Homo sapiens	GSM1557090							no					GEO	SRA207199		public	D46985D88173B62DABD19981597F739B	E5AF9E4332857AC1C5EFED17F26D1CA7	3248126	DMS-273 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777016	GSM1557090	SCLC		Cell line	2h JQ1 200 nM	DMS273.JQ1.2.200nM
SAMN03248120	SRR1688386	2015-09-08T16:06:19Z	2014-12-02T16:00:22Z	59009739	5900973900	59009739	100	3642		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688386/SRR1688386.1	SRX793230		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777017	simple	9606	Homo sapiens	GSM1557091							no					GEO	SRA207199		public	E790916733F109574B996EA590ACD534	33F1EE39951CAE028830E478C36B4E6C	3248120	DMS-273 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777017	GSM1557091	SCLC		Cell line	24h JQ1 200 nM	DMS273.JQ1.24.200nM
SAMN03248115	SRR1688387	2015-09-08T16:06:19Z	2014-12-02T16:01:12Z	53072137	5307213700	53072137	100	3117		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688387/SRR1688387.1	SRX793231		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777018	simple	9606	Homo sapiens	GSM1557092							no					GEO	SRA207199		public	D76131C52F29DDF810085416188EBDCC	4E4F4B9201470F0C1F81828C4BB62CC2	3248115	DMS-53 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777018	GSM1557092	SCLC		Cell line	DMSO	DMS53.DMSO
SAMN03248132	SRR1688388	2015-09-08T16:06:19Z	2014-12-02T15:57:44Z	46443208	4644320800	46443208	100	2717		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688388/SRR1688388.1	SRX793232		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777019	simple	9606	Homo sapiens	GSM1557093							no					GEO	SRA207199		public	87C0EAFBB809D6D03099F4AA60F372A6	FFB6213D5EC7EB16A55781E489F481D1	3248132	DMS-53 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777019	GSM1557093	SCLC		Cell line	2h JQ1 200 nM	DMS53.JQ1.2.200nM
SAMN03248124	SRR1688389	2015-09-08T16:06:19Z	2014-12-02T15:50:49Z	49510450	4951045000	49510450	100	2893		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688389/SRR1688389.1	SRX793233		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777020	simple	9606	Homo sapiens	GSM1557094							no					GEO	SRA207199		public	12DC7EBE13485C3044C32111A6FD62E9	F88598164C46EBDBB984E286CBC95D67	3248124	DMS-53 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777020	GSM1557094	SCLC		Cell line	24h JQ1 200 nM	DMS53.JQ1.24.200nM
SAMN03248109	SRR1688390	2015-09-08T16:06:19Z	2014-12-02T15:48:03Z	56050857	5605085700	56050857	100	3390		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688390/SRR1688390.1	SRX793234		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS777021	simple	9606	Homo sapiens	GSM1557095							no					GEO	SRA207199		public	33B3D0E4255360E261BC80C3C7526F17	1D79E0089BF7122751F1E4C2C61B6412	3248109	SHP-77 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777021	GSM1557095	SCLC		Cell line	DMSO	SHP77.DMSO
