accession	uid	title	organization	taxonomy	sra	geo	diagnosis	shRNA	source_name	treatment
SAMN03248155	3248155	HPAF-1 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777029	GSM1557101	PDAC		Cell line	DMSO
SAMN03248158	3248158	MV4-11 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776995	GSM1557070	Leukemia		Cell line	24h JQ1 200 nM
SAMN03248159	3248159	HPAF-1 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777027	GSM1557102	PDAC		Cell line	2h JQ1 200 nM
SAMN03248161	3248161	NCIH-1048 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777006	GSM1557080	SCLC		Cell line	DMSO
SAMN03248162	3248162	HPAF-1 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777028	GSM1557103	PDAC		Cell line	24h JQ1 200 nM
SAMN03248163	3248163	HUPT-4 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777035	GSM1557109	PDAC		Cell line	24h JQ1 200 nM
SAMN03248165	3248165	MOLM-13 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776990	GSM1557064	Leukemia		Cell line	24h JQ1 200 nM
SAMN03248166	3248166	MV4-11 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS776994	GSM1557068	Leukemia		Cell line	DMSO
SAMN03248168	3248168	CAPAN-2 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777030	GSM1557104	PDAC		Cell line	DMSO
SAMN03248169	3248169	ASPC-1 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777024	GSM1557098	PDAC		Cell line	DMSO
SAMN03248170	3248170	SU-8686 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS777038	GSM1557113	PDAC		Cell line	DMSO
SAMN03248171	3248171	MIAPACA-2 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777037	GSM1557112	PDAC		Cell line	24h JQ1 200 nM
SAMN03248172	3248172	K-562 BRD4.1817	The Research Institute of Molecular Pathology (IMP)	9606	SRS777045	GSM1557119	Leukemia	BRD4.1817	Cell line	
SAMN03248173	3248173	SHP-77 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777023	GSM1557097	SCLC		Cell line	24h JQ1 200 nM
SAMN03248174	3248174	K-562 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777004	GSM1557078	Leukemia		Cell line	2h JQ1 200 nM
SAMN03248177	3248177	ASPC-1 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777025	GSM1557100	PDAC		Cell line	24h JQ1 200 nM
SAMN03248178	3248178	SU-8686 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777040	GSM1557115	PDAC		Cell line	24h JQ1 200 nM
SAMN03248181	3248181	CAPAN-2 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS777033	GSM1557106	PDAC		Cell line	24h JQ1 200 nM
