BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue	treatment
SAMN07796283	SRR6182811	2019-09-18T15:34:10Z	2017-10-17T16:00:52Z	55517617	5569288478	0	100	1930		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182811/SRR6182811.1	SRX3292984		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602063	simple	9606	Homo sapiens	GSM2817911							no					GEO	SRA620426		public	9FF511D4B4FF7ACD6031BA761E4F24EC	FCB21413543602C1027A3D502C195621	7796283	HKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602063	GSM2817911	HKE3 colorectal cancer cells	HKE3	Colon	120 mins post stimulation with TGF-alpha
SAMN07796284	SRR6182810	2019-09-18T15:34:10Z	2017-10-17T15:43:03Z	25231320	2534723518	0	100	876		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182810/SRR6182810.1	SRX3292983		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602062	simple	9606	Homo sapiens	GSM2817910							no					GEO	SRA620426		public	85473252DDE86AAEE66D3F701D9D9DFF	E16693DD98504BFD616DF079F1B4CD78	7796284	HKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602062	GSM2817910	HKE3 colorectal cancer cells	HKE3	Colon	120 mins post stimulation with TGF-alpha
SAMN07796285	SRR6182809	2019-09-18T15:34:10Z	2017-10-17T15:55:51Z	52495508	5264527942	0	100	1870		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182809/SRR6182809.1	SRX3292982		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602061	simple	9606	Homo sapiens	GSM2817909							no					GEO	SRA620426		public	3A42E1B606C975558F84612D3CEB07F8	6A6C4B7F229BE9EC95440D876A89B2A2	7796285	HKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602061	GSM2817909	HKE3 colorectal cancer cells	HKE3	Colon	90 mins post stimulation with TGF-alpha
SAMN07796286	SRR6182808	2019-09-18T15:34:10Z	2017-10-17T15:55:48Z	54528735	5470289296	0	100	1885		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182808/SRR6182808.1	SRX3292981		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602060	simple	9606	Homo sapiens	GSM2817908							no					GEO	SRA620426		public	55DC80AF018DB05C0B379DD908D501D9	8514DA168292276049C980EF59BEF680	7796286	HKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602060	GSM2817908	HKE3 colorectal cancer cells	HKE3	Colon	90 mins post stimulation with TGF-alpha
SAMN07796287	SRR6182807	2019-09-18T15:34:10Z	2017-10-17T15:44:22Z	29109742	2925394316	0	100	995		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182807/SRR6182807.1	SRX3292980		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602059	simple	9606	Homo sapiens	GSM2817907							no					GEO	SRA620426		public	638CDDD30C919B57376F39ED4083A8B8	D1E473E3781D322F5878AADF3292007B	7796287	HKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602059	GSM2817907	HKE3 colorectal cancer cells	HKE3	Colon	90 mins post stimulation with TGF-alpha
SAMN07796288	SRR6182806	2019-09-18T15:34:10Z	2017-10-17T15:51:37Z	41796189	4165435779	0	99	1421		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182806/SRR6182806.1	SRX3292979		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602058	simple	9606	Homo sapiens	GSM2817906							no					GEO	SRA620426		public	18DB6DA5AD3BEA47D861A98B5CA7332D	D890263EB149A4EB17BC95FA0D257522	7796288	HKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602058	GSM2817906	HKE3 colorectal cancer cells	HKE3	Colon	60 mins post stimulation with TGF-alpha
SAMN07796289	SRR6182805	2019-09-18T15:34:10Z	2017-10-17T15:58:00Z	41401608	4127349461	0	99	1421		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182805/SRR6182805.1	SRX3292978		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602057	simple	9606	Homo sapiens	GSM2817905							no					GEO	SRA620426		public	D1CDBF52EFE71DC3E0FD71AEDBED0894	905CB1570EFAD0DE7DBC7A8581B1D9FA	7796289	HKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602057	GSM2817905	HKE3 colorectal cancer cells	HKE3	Colon	60 mins post stimulation with TGF-alpha
SAMN07796290	SRR6182804	2019-09-18T15:34:10Z	2017-10-17T15:46:27Z	36255210	3614719024	0	99	1238		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182804/SRR6182804.1	SRX3292977		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602056	simple	9606	Homo sapiens	GSM2817904							no					GEO	SRA620426		public	C1889FF91DC1A2C7C02C1E43B4F14C76	DDE3F97A74F6BF41B7B3A0FFE94F3AC2	7796290	HKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602056	GSM2817904	HKE3 colorectal cancer cells	HKE3	Colon	60 mins post stimulation with TGF-alpha
SAMN07796291	SRR6182801	2019-09-18T15:34:10Z	2017-10-17T16:12:30Z	44593168	4458891648	0	99	1527		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182801/SRR6182801.1	SRX3292974		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602053	simple	9606	Homo sapiens	GSM2817901							no					GEO	SRA620426		public	88DB0612B811197B788A83253278E3BF	220C5F1F9EE77F71C538AAB1357C3797	7796291	HKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602053	GSM2817901	HKE3 colorectal cancer cells	HKE3	Colon	30 mins post stimulation with TGF-alpha
SAMN07796292	SRR6182800	2019-09-18T15:34:10Z	2017-10-17T15:58:18Z	46663107	4680903448	0	100	1624		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182800/SRR6182800.1	SRX3292973		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602052	simple	9606	Homo sapiens	GSM2817900							no					GEO	SRA620426		public	3053383B39285A9B36CF1E42E6507A1F	FF5B1DADE03F98ADDBC8224BCC103903	7796292	HKE3 cells 15 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602052	GSM2817900	HKE3 colorectal cancer cells	HKE3	Colon	15 mins post stimulation with TGF-alpha
SAMN07796293	SRR6182799	2019-09-18T15:34:10Z	2017-10-17T16:17:09Z	47973718	4814316748	0	100	1645		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182799/SRR6182799.1	SRX3292972		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602051	simple	9606	Homo sapiens	GSM2817899							no					GEO	SRA620426		public	D73F875906DBCED37008EF7703B4DB69	A9F31A5C517DDE457DC508807A43154D	7796293	HKE3 cells 15 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602051	GSM2817899	HKE3 colorectal cancer cells	HKE3	Colon	15 mins post stimulation with TGF-alpha
SAMN07796294	SRR6182798	2019-09-18T15:34:10Z	2017-10-17T15:44:21Z	27184628	2730418428	0	100	946		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182798/SRR6182798.1	SRX3292971		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602050	simple	9606	Homo sapiens	GSM2817898							no					GEO	SRA620426		public	863A5FFF16CBCECA754DA84DFDC81C65	F58AA5C983FA8BFA84B217787B82197B	7796294	HKE3 cells 15 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602050	GSM2817898	HKE3 colorectal cancer cells	HKE3	Colon	15 mins post stimulation with TGF-alpha
SAMN07796295	SRR6182803	2019-09-18T15:34:10Z	2017-10-17T15:55:06Z	54183450	5397349532	0	99	1857		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182803/SRR6182803.1	SRX3292976		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602055	simple	9606	Homo sapiens	GSM2817903							no					GEO	SRA620426		public	704786E3973F4C53321907A9B77E3BD2	580054C92F2921E60124F322EDDA49C0	7796295	HKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602055	GSM2817903	HKE3 colorectal cancer cells	HKE3	Colon	30 mins post stimulation with TGF-alpha
SAMN07796296	SRR6182802	2019-09-18T15:34:10Z	2017-10-17T15:51:47Z	47980597	4700216194	0	97	1657		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182802/SRR6182802.1	SRX3292975		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602054	simple	9606	Homo sapiens	GSM2817902							no					GEO	SRA620426		public	68977C2E332B6062F1AF641D446827E8	D2BFEE91CE31F124A7DB9FB0755A284C	7796296	HKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602054	GSM2817902	HKE3 colorectal cancer cells	HKE3	Colon	30 mins post stimulation with TGF-alpha
SAMN07796297	SRR6182797	2019-09-18T15:34:10Z	2017-10-17T15:48:43Z	38739058	3887305302	0	100	1350		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182797/SRR6182797.1	SRX3292970		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602049	simple	9606	Homo sapiens	GSM2817897							no					GEO	SRA620426		public	6B4EDCC949A5E92C25DCD30A861835C0	8C8B6EB872BE113F33333A1D08DC3719	7796297	Unstimulated HKE3 cells (time 0 mins) - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602049	GSM2817897	HKE3 colorectal cancer cells	HKE3	Colon	unstimulated
SAMN07796298	SRR6182796	2019-09-18T15:34:10Z	2017-10-17T15:52:36Z	48521731	4796721602	0	98	1651		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182796/SRR6182796.1	SRX3292969		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602048	simple	9606	Homo sapiens	GSM2817896							no					GEO	SRA620426		public	AAC26B86A0A87A7684D5D31F37112547	943DF2DA06EDB64F8CFF71F6F13E7126	7796298	Unstimulated HKE3 cells (time 0 mins) - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602048	GSM2817896	HKE3 colorectal cancer cells	HKE3	Colon	unstimulated
SAMN07796299	SRR6182795	2019-09-18T15:34:09Z	2017-10-17T15:48:49Z	41850845	4206001769	0	100	1487		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182795/SRR6182795.1	SRX3292968		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602047	simple	9606	Homo sapiens	GSM2817895							no					GEO	SRA620426		public	08A46C7EDF3E84075877BC22F5CE57F1	3F37F76DC16CD4DB41A4040E60272675	7796299	Unstimulated HKE3 cells (time 0 mins) - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602047	GSM2817895	HKE3 colorectal cancer cells	HKE3	Colon	unstimulated
SAMN07796300	SRR6182794	2019-09-18T15:34:09Z	2017-10-17T15:44:39Z	41720484	4188747023	0	100	1450		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182794/SRR6182794.1	SRX3292967		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602046	simple	9606	Homo sapiens	GSM2817894							no					GEO	SRA620426		public	00F39E4E4ED12AB32F14249EE98D3A85	896548D9787C4AB350163A017853990B	7796300	HCT116 cells 120 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602046	GSM2817894	HCT116 colorectal cancer cells	HCT116	Colon	120 mins post stimulation with TGF-alpha
SAMN07796301	SRR6182793	2019-09-18T15:34:09Z	2017-10-17T15:57:39Z	67134321	6735739585	0	100	2310		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182793/SRR6182793.1	SRX3292966		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602044	simple	9606	Homo sapiens	GSM2817893							no					GEO	SRA620426		public	16A95D499CBEF055365E5335CE4041DC	5848563678383E394725277B18DF0BD6	7796301	HCT116 cells 120 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602044	GSM2817893	HCT116 colorectal cancer cells	HCT116	Colon	120 mins post stimulation with TGF-alpha
SAMN07796302	SRR6182792	2019-09-18T15:34:09Z	2017-10-17T15:43:44Z	34815170	3493458081	0	100	1229		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182792/SRR6182792.1	SRX3292965		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602045	simple	9606	Homo sapiens	GSM2817892							no					GEO	SRA620426		public	6365020956B3802303DED89F62B2D507	98750694E99A75596C1BA73E2CFD9DE6	7796302	HCT116 cells 120 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602045	GSM2817892	HCT116 colorectal cancer cells	HCT116	Colon	120 mins post stimulation with TGF-alpha
SAMN07796303	SRR6182788	2019-09-18T15:34:09Z	2017-10-17T15:51:17Z	51439587	5120379569	0	99	1788		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182788/SRR6182788.1	SRX3292961		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602040	simple	9606	Homo sapiens	GSM2817888							no					GEO	SRA620426		public	5A1266E4FE54294DD42EC185EBC355D8	4E8F20134691A6B2D843467AE653432A	7796303	HCT116 cells 60 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602040	GSM2817888	HCT116 colorectal cancer cells	HCT116	Colon	60 mins post stimulation with TGF-alpha
