BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	culture condition	source_name	treatment	cell_line	group
SAMN13412982	SRR10545426	2020-01-08T16:18:13Z	2019-11-27T22:47:32Z	4650359	700109794	4650359	150	269		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545426/SRR10545426.1	SRX7228529		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729254	simple	9606	Homo sapiens	GSM4195166							no					GEO	SRA1003760		public	8BD9D0BF699CC1EF8053992959B527E3	50631F291D918F4689C461E6610DD6A2	13412982	PDAC3_VEH_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729254	GSM4195166	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC3	PDAC3.DMSO.0
SAMN13412981	SRR10545427	2020-01-08T16:18:13Z	2019-11-27T22:41:20Z	5350690	805989097	5350690	150	307		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545427/SRR10545427.1	SRX7228530		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729255	simple	9606	Homo sapiens	GSM4195167							no					GEO	SRA1003760		public	BFD2D5D2D72BAD49C056BBA342CE0449	EA0800A7ED81D34291952D2A29FC98B7	13412981	PDAC3_FFX_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729255	GSM4195167	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC3	PDAC3.FFX.0
SAMN13412980	SRR10545428	2020-01-08T16:18:13Z	2019-11-27T23:57:03Z	15675616	2342147905	15675616	149	865		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545428/SRR10545428.1	SRX7228531		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729256	simple	9606	Homo sapiens	GSM4195168							no					GEO	SRA1003760		public	24D4DEDCD18AA4F0F7B62C7368E4566B	D31472F6054D951A5FF5328DCD131F65	13412980	PDAC3_FFX_D1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729256	GSM4195168	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC3	PDAC3.FFX.1
SAMN13412979	SRR10545429	2020-01-08T16:18:13Z	2019-11-27T22:38:03Z	5590119	828974732	5590119	148	307		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545429/SRR10545429.1	SRX7228532		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729257	simple	9606	Homo sapiens	GSM4195169							no					GEO	SRA1003760		public	7B4EA39D7815C57F00BE3A28AFA35B8C	30AFAB42BB221F5A037B5FB5AAE7C102	13412979	PDAC3_FFX_D4	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729257	GSM4195169	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC3	PDAC3.FFX.4
SAMN13412978	SRR10545430	2020-01-08T16:18:13Z	2019-11-27T22:45:09Z	4595219	687410653	4595219	149	266		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545430/SRR10545430.1	SRX7228533		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729258	simple	9606	Homo sapiens	GSM4195170							no					GEO	SRA1003760		public	6A24315023CBEF077BB05EB38102374C	5B67BE669C0DDE5101FAD1186DAE11AE	13412978	PDAC3_FFX_D14	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729258	GSM4195170	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC3	PDAC3.FFX.14
SAMN13412977	SRR10545431	2020-01-08T16:18:13Z	2019-11-27T22:42:16Z	5261943	792814661	5261943	150	305		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545431/SRR10545431.1	SRX7228534		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729259	simple	9606	Homo sapiens	GSM4195171							no					GEO	SRA1003760		public	14AB92D86B4ADDF59374116D0DE4488A	A8C28ABF79A5D2DD3F38895E0D29EAE3	13412977	PDAC5_VEH_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729259	GSM4195171	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC5	PDAC5.DMSO.0
SAMN13412976	SRR10545432	2020-01-08T16:18:13Z	2019-11-27T22:41:43Z	5698693	858508026	5698693	150	323		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545432/SRR10545432.1	SRX7228535		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729260	simple	9606	Homo sapiens	GSM4195172							no					GEO	SRA1003760		public	3C5F57D78B3EF3CC878C2EE94CECFFF3	E3F1B01A0FDB012021A5799A6A7842B0	13412976	PDAC5_FFX_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729260	GSM4195172	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC5	PDAC5.FFX.0
SAMN13412975	SRR10545433	2020-01-08T16:18:13Z	2019-11-28T01:30:08Z	8647653	1287883559	8647653	148	478		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545433/SRR10545433.1	SRX7228536		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729261	simple	9606	Homo sapiens	GSM4195173							no					GEO	SRA1003760		public	C840EF3194450637B14171CFE5283880	09D1725A2D4E4CA281587EAC55D242BB	13412975	PDAC5_FFX_D4	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729261	GSM4195173	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC5	PDAC5.FFX.4
SAMN13412974	SRR10545434	2020-01-08T16:18:13Z	2019-11-27T22:47:39Z	5862862	884041093	5862862	150	329		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054543/SRR10545434.1	SRX7228537		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729262	simple	9606	Homo sapiens	GSM4195174							no					GEO	SRA1003760		public	4899D0C0FFC7E8660F5D1EE0DF15D5E2	43C3330973C1AD0BF204217F9178E5DF	13412974	PDAC5_FFX_D14	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729262	GSM4195174	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC5	PDAC5.FFX.14
SAMN13412973	SRR10545435	2020-01-08T16:18:14Z	2019-11-27T22:44:53Z	7573552	1141125630	7573552	150	438		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545435/SRR10545435.1	SRX7228538		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729263	simple	9606	Homo sapiens	GSM4195175							no					GEO	SRA1003760		public	AD154ABB63F1C02BE2B6959C9946054A	BCF2E0C9D05BB52357CABC8B00263F49	13412973	PDAC6_VEH_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729263	GSM4195175	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC6	PDAC6.DMSO.0
SAMN13413000	SRR10545436	2020-01-08T16:18:14Z	2019-11-27T22:42:24Z	5233989	789622567	5233989	150	300		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054543/SRR10545436.1	SRX7228539		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729264	simple	9606	Homo sapiens	GSM4195176							no					GEO	SRA1003760		public	0F363FD8D76ED274C89E779F684707CE	0553C6FEC1091E13FBCB64BC96CE069C	13413000	PDAC6_FFX_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729264	GSM4195176	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC6	PDAC6.FFX.0
SAMN13412999	SRR10545437	2020-01-08T16:18:14Z	2019-11-27T22:56:50Z	9128311	1376378896	9128311	150	518		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545437/SRR10545437.1	SRX7228540		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729265	simple	9606	Homo sapiens	GSM4195177							no					GEO	SRA1003760		public	92701E8C7713B99C2D5C9740500ACF46	C12C57F8C765C69884EEB3E4277CAB1F	13412999	PDAC6_FFX_D4	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729265	GSM4195177	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC6	PDAC6.FFX.4
SAMN13412998	SRR10545438	2020-01-08T16:18:14Z	2019-11-27T22:41:32Z	5632390	847068655	5632390	150	325		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545438/SRR10545438.1	SRX7228541		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729266	simple	9606	Homo sapiens	GSM4195178							no					GEO	SRA1003760		public	6EC156354C64FA927B3AEE78C1EDC8FF	B1E6C41B7A1C528AC88E362F122900C2	13412998	PDAC6_FFX_D14	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729266	GSM4195178	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC6	PDAC6.FFX.14
SAMN13412997	SRR10545439	2020-01-08T16:18:14Z	2019-11-27T22:44:13Z	6963087	1049154393	6963087	150	399		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545439/SRR10545439.1	SRX7228542		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729267	simple	9606	Homo sapiens	GSM4195179							no					GEO	SRA1003760		public	1E95FE25EB577FBD52C992B93C446054	C503C1A785CA65C40755C8EF208BA8F9	13412997	PDAC8_VEH_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729267	GSM4195179	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC8	PDAC8.DMSO.0
SAMN13412996	SRR10545440	2020-01-08T16:18:14Z	2019-11-27T22:41:26Z	4944144	744897977	4944144	150	282		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054544/SRR10545440.1	SRX7228543		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729268	simple	9606	Homo sapiens	GSM4195180							no					GEO	SRA1003760		public	ACF9D6CF9E7768724A4E15F3BF2A82DA	5D6D18000385726CC13278D53CBDD73A	13412996	PDAC8_FFX_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729268	GSM4195180	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC8	PDAC8.FFX.0
SAMN13412995	SRR10545441	2020-01-08T16:18:14Z	2019-11-28T01:23:18Z	7506404	1110270504	7506404	147	415		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545441/SRR10545441.1	SRX7228544		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729269	simple	9606	Homo sapiens	GSM4195181							no					GEO	SRA1003760		public	508398BF8850AE8F91017BE40667E052	E0430386D82AB4C8D74E0F4FD72691EB	13412995	PDAC8_FFX_D1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729269	GSM4195181	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC8	PDAC8.FFX.1
SAMN13412994	SRR10545442	2020-01-08T16:18:14Z	2019-11-27T22:37:33Z	6133826	919890390	6133826	149	333		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545442/SRR10545442.1	SRX7228545		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729270	simple	9606	Homo sapiens	GSM4195182							no					GEO	SRA1003760		public	97AD01681094D6E4998C137ED3A88156	E4D0D04A3E605ECFAF14C5513FD242C1	13412994	PDAC8_FFX_D4	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729270	GSM4195182	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC8	PDAC8.FFX.4
SAMN13412993	SRR10545443	2020-01-08T16:18:14Z	2019-11-28T01:23:53Z	7950516	1186207317	7950516	149	451		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545443/SRR10545443.1	SRX7228546		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729271	simple	9606	Homo sapiens	GSM4195183							no					GEO	SRA1003760		public	127ED6F73AFDC822C6C2F7496A6B667D	0E7533118A10B27B70A555C12E84CE93	13412993	PDAC8_FFX_D14	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729271	GSM4195183	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC8	PDAC8.FFX.14
SAMN13412953	SRR10545444	2020-01-08T16:18:14Z	2019-11-27T22:42:56Z	6011870	905617795	6011870	150	348		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054544/SRR10545444.1	SRX7228547		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729272	simple	9606	Homo sapiens	GSM4195184							no					GEO	SRA1003760		public	BE0A7F2AF07F05084CCD0883C7E048DE	EAE62D7241F8D245A1CB73F2F79E6E9E	13412953	PDAC9_VEH_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729272	GSM4195184	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC9	PDAC9.DMSO.0
SAMN13412952	SRR10545445	2020-01-08T16:18:14Z	2019-11-27T22:42:52Z	6228740	937657062	6228740	150	357		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545445/SRR10545445.1	SRX7228548		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729273	simple	9606	Homo sapiens	GSM4195185							no					GEO	SRA1003760		public	C999E7E320D2B778829404773DA4FD6B	DB6B79B35A75B6F1E7C7D5330F338B6A	13412952	PDAC9_FFX_D0	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729273	GSM4195185	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC9	PDAC9.FFX.0
SAMN13412951	SRR10545446	2020-01-08T16:18:14Z	2019-11-27T22:46:42Z	6443905	962950197	6443905	149	355		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545446/SRR10545446.1	SRX7228549		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729274	simple	9606	Homo sapiens	GSM4195186							no					GEO	SRA1003760		public	F5760F7FECDF8D4CBA1782F076560620	094D709035A6A03F86F25F15520021E5	13412951	PDAC9_FFX_D1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729274	GSM4195186	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC9	PDAC9.FFX.1
SAMN13412950	SRR10545447	2020-01-08T16:18:14Z	2019-11-28T01:24:36Z	8446282	1262020077	8446282	149	470		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545447/SRR10545447.1	SRX7228550		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729275	simple	9606	Homo sapiens	GSM4195187							no					GEO	SRA1003760		public	04E9C39BF5DC23A28311E30521EC5E59	87CF9F64884B39CC263E4C9C1B6F417D	13412950	PDAC9_FFX_D4	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729275	GSM4195187	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC9	PDAC9.FFX.4
SAMN13412949	SRR10545448	2020-01-08T16:18:14Z	2019-11-28T01:18:28Z	6016637	907093425	6016637	150	335		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545448/SRR10545448.1	SRX7228551		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729276	simple	9606	Homo sapiens	GSM4195188							no					GEO	SRA1003760		public	E1209231355B8E168B8C784090184C4B	4244F22DB47220DF8BC7462B3534B0C7	13412949	PDAC9_FFX_D14	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729276	GSM4195188	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	FFX	PDAC9	PDAC9.FFX.14
