accession	uid	title	organization	taxonomy	sra	geo	cell line	mtap status	replicate	source_name	treatment
SAMN10955838	10955838	PANC03.27_MTAP_WT_DMSO_N2	GlaxoSmithKline LLC	9606	SRS4372537	GSM3610479	PANC03.27	Parental	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955839	10955839	PANC03.27_MTAP_WT_DMSO_N1	GlaxoSmithKline LLC	9606	SRS4372536	GSM3610478	PANC03.27	Parental	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955840	10955840	PANC08.13_N2_GSK712	GlaxoSmithKline LLC	9606	SRS4372535	GSM3610477	PANC08.13	NA	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955841	10955841	PANC08.13_N2_DMSO	GlaxoSmithKline LLC	9606	SRS4372534	GSM3610476	PANC08.13	NA	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955842	10955842	PANC08.13_N1_GSK712	GlaxoSmithKline LLC	9606	SRS4372533	GSM3610475	PANC08.13	NA	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955843	10955843	PANC08.13_N1_DMSO	GlaxoSmithKline LLC	9606	SRS4372532	GSM3610474	PANC08.13	NA	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955844	10955844	HupT4_N1_DMSO	GlaxoSmithKline LLC	9606	SRS4372528	GSM3610470	HuPT4	NA	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955845	10955845	CAPAN-2_N2_GSK712	GlaxoSmithKline LLC	9606	SRS4372527	GSM3610469	CAPAN-2	NA	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955846	10955846	CAPAN-2_N2_DMSO	GlaxoSmithKline LLC	9606	SRS4372526	GSM3610468	CAPAN-2	NA	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955847	10955847	HupT4_N2_GSK712	GlaxoSmithKline LLC	9606	SRS4372531	GSM3610473	HuPT4	NA	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955848	10955848	HupT4_N2_DMSO	GlaxoSmithKline LLC	9606	SRS4372530	GSM3610472	HuPT4	NA	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955849	10955849	HupT4_N1_GSK712	GlaxoSmithKline LLC	9606	SRS4372529	GSM3610471	HuPT4	NA	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955850	10955850	CAPAN-2_N1_GSK712	GlaxoSmithKline LLC	9606	SRS4372525	GSM3610467	CAPAN-2	NA	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955851	10955851	CAPAN-2_N1_DMSO	GlaxoSmithKline LLC	9606	SRS4372524	GSM3610466	CAPAN-2	NA	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955852	10955852	BxPC3_N2_GSK712	GlaxoSmithKline LLC	9606	SRS4372523	GSM3610465	BxPC3	NA	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955853	10955853	BxPC3_N2_DMSO	GlaxoSmithKline LLC	9606	SRS4372522	GSM3610464	BxPC3	NA	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955854	10955854	BxPC3_N1_GSK712	GlaxoSmithKline LLC	9606	SRS4372521	GSM3610463	BxPC3	NA	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955855	10955855	BxPC3_N1_DMSO	GlaxoSmithKline LLC	9606	SRS4372520	GSM3610462	BxPC3	NA	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
