BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	time	treatment	tumor type	group
SAMN10830543	SRR8495225	2019-05-29T16:28:05Z	2019-01-28T10:39:56Z	28285323	8485596900	28285323	300	3202		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495225/SRR8495225.1	SRX5299740		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298696	simple	9606	Homo sapiens	GSM3581357							no					GEO	SRA840282		public	2873F9D06273C008226D314F290924CC	0515EBDABEF0C995B5A8072C1775567A	10830543	24h_2mg_MOO_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298696	GSM3581357	MDA-MB-231	total RNAs, cell line	24h	MOO	breast cancer	MDA_MB_231.MOO.24h
SAMN10830544	SRR8495224	2019-05-29T16:28:05Z	2019-01-28T10:40:21Z	25724858	7717457400	25724858	300	2898		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495224/SRR8495224.1	SRX5299739		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298695	simple	9606	Homo sapiens	GSM3581356							no					GEO	SRA840282		public	6C950B58678CAFA88CFEC5C76348ADAA	9B26E83B252DAF2957DB53B04C79CDF8	10830544	24h_2mg_MOO_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298695	GSM3581356	MDA-MB-231	total RNAs, cell line	24h	MOO	breast cancer	MDA_MB_231.MOO.24h
SAMN10830546	SRR8495231	2019-05-29T16:28:05Z	2019-01-28T10:39:51Z	29816419	8944925700	29816419	300	3323		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495231/SRR8495231.1	SRX5299746		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298702	simple	9606	Homo sapiens	GSM3581363							no					GEO	SRA840282		public	8810C943C931AC23EF31EF5610A223BC	5F36D8B3107BCFCFEBDFCFF6BEEDECD8	10830546	48h_2mg_CKI2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298702	GSM3581363	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer	MDA_MB_231.CKI.48h
SAMN10830547	SRR8495230	2019-05-29T16:28:05Z	2019-01-28T10:36:59Z	26329820	7898946000	26329820	300	2905		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495230/SRR8495230.1	SRX5299745		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298701	simple	9606	Homo sapiens	GSM3581362							no					GEO	SRA840282		public	2CDE67BA7BC09879110942EA243AC55A	7FFF295A0126FA6E10C97E8D5D180207	10830547	48h_2mg_CKI1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298701	GSM3581362	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer	MDA_MB_231.CKI.48h
SAMN10830548	SRR8495229	2019-05-29T16:28:05Z	2019-01-28T10:37:01Z	26703529	8011058700	26703529	300	2944		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495229/SRR8495229.1	SRX5299744		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298700	simple	9606	Homo sapiens	GSM3581361							no					GEO	SRA840282		public	DA0E26A8A8134ABBFCB96EE174B1DAE6	BB0821CAAD1B20E5E59D1D3D41BD9F7D	10830548	48h_UT3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298700	GSM3581361	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer	MDA_MB_231.UT.48h
SAMN10830549	SRR8495228	2019-05-29T16:28:05Z	2019-01-28T10:36:44Z	25170524	7551157200	25170524	300	2772		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495228/SRR8495228.1	SRX5299743		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298699	simple	9606	Homo sapiens	GSM3581360							no					GEO	SRA840282		public	3E358BEFEE71A263335E01526751BEB6	BB80A57C0308524E65AFD1E5D5A0C02F	10830549	48h_UT2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298699	GSM3581360	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer	MDA_MB_231.UT.48h
SAMN10830550	SRR8495227	2019-05-29T16:28:05Z	2019-01-28T10:38:57Z	28234884	8470465200	28234884	300	3115		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495227/SRR8495227.1	SRX5299742		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298698	simple	9606	Homo sapiens	GSM3581359							no					GEO	SRA840282		public	2218C5C958C10F3710DC128E07E69FBD	42AAE0FA8F66CC618F33F8A82BAED939	10830550	48h_UT1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298698	GSM3581359	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer	MDA_MB_231.UT.48h
SAMN10830552	SRR8495226	2019-05-29T16:28:05Z	2019-01-28T10:37:01Z	27315069	8194520700	27315069	300	2996		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495226/SRR8495226.1	SRX5299741		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298697	simple	9606	Homo sapiens	GSM3581358							no					GEO	SRA840282		public	5E22A5044D486801C049E9B86CA10CA3	C2A7F3E59423E422574DBD87E1695574	10830552	24h_2mg_MOO_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298697	GSM3581358	MDA-MB-231	total RNAs, cell line	24h	MOO	breast cancer	MDA_MB_231.MOO.24h
SAMN10830553	SRR8495223	2019-05-29T16:28:05Z	2019-01-28T10:39:22Z	28516824	8555047200	28516824	300	3231		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495223/SRR8495223.1	SRX5299738		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298694	simple	9606	Homo sapiens	GSM3581355							no					GEO	SRA840282		public	DE83B5FB2FF683250EA4CB2B321944F7	EC8579EA5E0331C1B4B6611A1E48FA64	10830553	24h_2mg_OO_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298694	GSM3581355	MDA-MB-231	total RNAs, cell line	24h	OO	breast cancer	MDA_MB_231.OO.24h
SAMN10830554	SRR8495222	2019-05-29T16:28:05Z	2019-01-28T10:37:28Z	25585086	7675525800	25585086	300	2931		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495222/SRR8495222.1	SRX5299737		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298693	simple	9606	Homo sapiens	GSM3581354							no					GEO	SRA840282		public	027F50B6DCF5EA9B184801206745D74B	4E2D8A4B736EFE178D381B84E6AA1130	10830554	24h_2mg_OO_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298693	GSM3581354	MDA-MB-231	total RNAs, cell line	24h	OO	breast cancer	MDA_MB_231.OO.24h
SAMN10830555	SRR8495221	2019-05-29T16:28:05Z	2019-01-28T10:37:28Z	23112402	6933720600	23112402	300	2611		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495221/SRR8495221.1	SRX5299736		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298692	simple	9606	Homo sapiens	GSM3581353							no					GEO	SRA840282		public	1E0524AC8D01F3F679E94AB586F375BB	2ABD887C96811899B17AE9F273172A26	10830555	24h_2mg_OO_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298692	GSM3581353	MDA-MB-231	total RNAs, cell line	24h	OO	breast cancer	MDA_MB_231.OO.24h
SAMN10830557	SRR8495220	2019-05-29T16:28:05Z	2019-01-28T10:38:15Z	28691219	8607365700	28691219	300	3267		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495220/SRR8495220.1	SRX5299735		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298691	simple	9606	Homo sapiens	GSM3581352							no					GEO	SRA840282		public	C5752FFC756EBD66EE58AA3076778AC1	F6DE297E6E7A235680C110BC42A1BD07	10830557	24h_2mg_N_3_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298691	GSM3581352	MDA-MB-231	total RNAs, cell line	24h	N_3	breast cancer	MDA_MB_231.N_3.24h
SAMN10830558	SRR8495219	2019-05-29T16:28:05Z	2019-01-28T10:36:53Z	24990955	7497286500	24990955	300	2787		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495219/SRR8495219.1	SRX5299734		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298690	simple	9606	Homo sapiens	GSM3581351							no					GEO	SRA840282		public	8AB21082B20EB6714AEF3E1F9AB6FB90	DBE274CE8A94E66A8E94CE5F121EA5D8	10830558	24h_2mg_N_3_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298690	GSM3581351	MDA-MB-231	total RNAs, cell line	24h	N_3	breast cancer	MDA_MB_231.N_3.24h
SAMN10830559	SRR8495218	2019-05-29T16:28:05Z	2019-01-28T10:39:41Z	25425351	7627605300	25425351	300	2866		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495218/SRR8495218.1	SRX5299733		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298689	simple	9606	Homo sapiens	GSM3581350							no					GEO	SRA840282		public	8AEB19D7AD78253B36BFF21BC362EE7B	5B9A1D9C30D9E00172075ECCB24EAF8A	10830559	24h_2mg_N_3_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298689	GSM3581350	MDA-MB-231	total RNAs, cell line	24h	N_3	breast cancer	MDA_MB_231.N_3.24h
SAMN10830560	SRR8495217	2019-05-29T16:28:05Z	2019-01-28T10:36:46Z	25248053	7574415900	25248053	300	2871		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495217/SRR8495217.1	SRX5299732		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298688	simple	9606	Homo sapiens	GSM3581349							no					GEO	SRA840282		public	AC75A538751045CB6A69AEB1EF4F4B78	519CF1D742B6F0FD25EF470F9498105E	10830560	24h_2mg_N_2_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298688	GSM3581349	MDA-MB-231	total RNAs, cell line	24h	N_2	breast cancer	MDA_MB_231.N_2.24h
SAMN10830562	SRR8495216	2019-05-29T16:28:05Z	2019-01-28T10:36:01Z	23736212	7120863600	23736212	300	2694		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495216/SRR8495216.1	SRX5299731		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298687	simple	9606	Homo sapiens	GSM3581348							no					GEO	SRA840282		public	8B52F146776F32A69AE6D9CA214FAE3A	04931D2A9139CF0BF870A8E31E5E540B	10830562	24h_2mg_N_2_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298687	GSM3581348	MDA-MB-231	total RNAs, cell line	24h	N_2	breast cancer	MDA_MB_231.N_2.24h
SAMN10830563	SRR8495215	2019-05-29T16:28:05Z	2019-01-28T10:40:58Z	24755376	7426612800	24755376	300	2816		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495215/SRR8495215.1	SRX5299730		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298686	simple	9606	Homo sapiens	GSM3581347							no					GEO	SRA840282		public	1A119E27FA3D43BA4F5513B5869CA566	B606407B06FE31C9CC65F572B18D9B65	10830563	24h_2mg_N_2_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298686	GSM3581347	MDA-MB-231	total RNAs, cell line	24h	N_2	breast cancer	MDA_MB_231.N_2.24h
SAMN10830564	SRR8495214	2019-05-29T16:28:05Z	2019-01-28T10:35:09Z	21603438	6481031400	21603438	300	2438		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495214/SRR8495214.1	SRX5299729		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298685	simple	9606	Homo sapiens	GSM3581346							no					GEO	SRA840282		public	7E1C14458261679BCF3A777884A62779	B3C9DD2BAE5C6C50A03B9EDC147B195C	10830564	24h_2mg_CKI3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298685	GSM3581346	MDA-MB-231	total RNAs, cell line	24h	CKI	breast cancer	MDA_MB_231.CKI.24h
SAMN10830566	SRR8495213	2019-05-29T16:28:05Z	2019-01-28T10:37:02Z	26788052	8036415600	26788052	300	3059		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495213/SRR8495213.1	SRX5299728		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298684	simple	9606	Homo sapiens	GSM3581345							no					GEO	SRA840282		public	81A16777BADC2AAC282478C7102AD9AE	6891BD6CCE392A53685E659A14BF10F3	10830566	24h_2mg_CKI1_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298684	GSM3581345	MDA-MB-231	total RNAs, cell line	24h	CKI	breast cancer	MDA_MB_231.CKI.24h
SAMN10830567	SRR8495212	2019-05-29T16:28:05Z	2019-01-28T10:36:06Z	24331242	7299372600	24331242	300	2707		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495212/SRR8495212.1	SRX5299727		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298683	simple	9606	Homo sapiens	GSM3581344							no					GEO	SRA840282		public	7CE02F234354AE1C30F9163A24653B7A	1349440A1E58B0ADAEDDE2C93A0E8034	10830567	24h_2mg_CKI_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298683	GSM3581344	MDA-MB-231	total RNAs, cell line	24h	CKI	breast cancer	MDA_MB_231.CKI.24h
SAMN10830568	SRR8495211	2019-05-29T16:28:05Z	2019-01-28T10:36:36Z	24819466	7445839800	24819466	300	2822		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495211/SRR8495211.1	SRX5299726		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298682	simple	9606	Homo sapiens	GSM3581343							no					GEO	SRA840282		public	A5558B4B525EF9F8D5E55A6F28305903	52C946F35AC7E3A52B37F2B676F8D679	10830568	24h_UT3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298682	GSM3581343	MDA-MB-231	total RNAs, cell line	24h	UT	breast cancer	MDA_MB_231.UT.24h
SAMN10830569	SRR8495210	2019-05-29T16:28:05Z	2019-01-28T10:38:54Z	27205772	8161731600	27205772	300	3089		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495210/SRR8495210.1	SRX5299725		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298681	simple	9606	Homo sapiens	GSM3581342							no					GEO	SRA840282		public	1B680839D99892E9F280D282410559F6	3175A177B7997E6CE68FF683196A8E7D	10830569	24h_UT2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298681	GSM3581342	MDA-MB-231	total RNAs, cell line	24h	UT	breast cancer	MDA_MB_231.UT.24h
SAMN10830570	SRR8495209	2019-05-29T16:28:05Z	2019-01-28T10:34:37Z	21108981	6332694300	21108981	300	2377		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495209/SRR8495209.1	SRX5299724		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298680	simple	9606	Homo sapiens	GSM3581341							no					GEO	SRA840282		public	02D599BC4E2C095D0FE5A30B45272707	D59BB833E3E661C26DC7B4D297454297	10830570	24h_UT1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298680	GSM3581341	MDA-MB-231	total RNAs, cell line	24h	UT	breast cancer	MDA_MB_231.UT.24h
