BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	collection_date	genotype	geo_loc_name	source_name	treatment
SAMN29132983	SRR19668041	2023-06-07T15:22:04Z	2022-06-16T07:16:10Z	4175087	1260876274	4175087	302	404		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19668/SRR19668041/SRR19668041.lite.1	SRX15717456	GSM6246417	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410957	simple	9606	Homo sapiens	GSM6246417							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	08504C54F238D3938326187E70C98BEF	5632A245F6EC6CD2982866190FD0403E	29132983	ES2-PLKO-cis8h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410957	GSM6246417	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	cisplatin
SAMN29132983	SRR19668042	2023-06-07T15:22:04Z	2022-06-16T07:15:26Z	3642288	1099970976	3642288	302	346		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19668/SRR19668042/SRR19668042.lite.1	SRX15717456	GSM6246417	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410957	simple	9606	Homo sapiens	GSM6246417							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	BFA5DCFD5705ECFB301B812DBBC2974D	3A3C79675FFE1CEFC36837DDA3B3B0CC	29132983	ES2-PLKO-cis8h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410957	GSM6246417	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	cisplatin
SAMN29132984	SRR19668043	2023-06-07T15:22:04Z	2022-06-16T09:20:06Z	62784881	18961034062	62784881	302	5857		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19668/SRR19668043/SRR19668043.lite.1	SRX15717455	GSM6246416	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410956	simple	9606	Homo sapiens	GSM6246416							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	92DD8A94F16733C6E0233165A3EF6188	F9103C8E1D2BFE7BF62BFF0E6DA523E5	29132984	ES2-SRMS-cis0h-Rep3	University of Texas Health Science Center at San Antonio	9606	SRS13410956	GSM6246416	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	PBS
SAMN29132985	SRR19668044	2023-06-07T15:22:04Z	2022-06-16T09:00:35Z	54550342	16474203284	54550342	302	5109		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668044/SRR19668044.lite.1	SRX15717454	GSM6246415	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410955	simple	9606	Homo sapiens	GSM6246415							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	25CF6670F4780A6C52432338AAB37BDC	3FDF7CED2EC760A9E5495FACB26E1B69	29132985	ES2-SRMS-cis0h-Rep2	University of Texas Health Science Center at San Antonio	9606	SRS13410955	GSM6246415	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	PBS
SAMN29132986	SRR19668045	2023-06-07T15:22:04Z	2022-06-16T08:27:33Z	38201352	11536808304	38201352	302	3721		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19668/SRR19668045/SRR19668045.lite.1	SRX15717453	GSM6246414	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410954	simple	9606	Homo sapiens	GSM6246414							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	2DB3B20B3D67718C08CA014917374553	2E8B3D5408178F22D4B95CD1743805B8	29132986	ES2-SRMS-cis0h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410954	GSM6246414	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	PBS
SAMN29132986	SRR19668046	2023-06-07T15:22:04Z	2022-06-16T07:15:00Z	3509230	1059787460	3509230	302	328		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668046/SRR19668046.lite.1	SRX15717453	GSM6246414	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410954	simple	9606	Homo sapiens	GSM6246414							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	57D3C8AB9205D94DE49CCC3C7026166A	A3221E6B31BF6CCD4AB099F3C55B42A3	29132986	ES2-SRMS-cis0h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410954	GSM6246414	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	PBS
SAMN29132986	SRR19668047	2023-06-07T15:22:04Z	2022-06-16T07:15:28Z	3968582	1198511764	3968582	302	379		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668047/SRR19668047.lite.1	SRX15717453	GSM6246414	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410954	simple	9606	Homo sapiens	GSM6246414							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	6AF75BDD3A44987FF71BAEFF49408810	2798F4D789880543F56C6B5C0C78E51E	29132986	ES2-SRMS-cis0h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410954	GSM6246414	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	PBS
SAMN29132986	SRR19668048	2023-06-07T15:22:04Z	2022-06-16T07:16:35Z	3456426	1043840652	3456426	302	325		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668048/SRR19668048.lite.1	SRX15717453	GSM6246414	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410954	simple	9606	Homo sapiens	GSM6246414							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	85A21A7C30DB22257467BFB7DA75BE36	89A453D93A3092A4754C542C7B7B5B37	29132986	ES2-SRMS-cis0h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410954	GSM6246414	ES-2	human ovarian cancer cell	missing	SRMS knockdown	missing	ES-2	PBS
SAMN29132987	SRR19668049	2023-06-07T15:22:04Z	2022-06-16T09:26:10Z	66989206	20230740212	66989206	302	6265		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668049/SRR19668049.lite.1	SRX15717452	GSM6246413	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410953	simple	9606	Homo sapiens	GSM6246413							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	42F280A9D67DB619F2B063AF30BACF8C	9DC0D8637E7E1A93D6079F417561CD4B	29132987	ES2-PLKO-cis0h-Rep3	University of Texas Health Science Center at San Antonio	9606	SRS13410953	GSM6246413	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	PBS
SAMN29132988	SRR19668050	2023-06-07T15:22:04Z	2022-06-16T09:02:34Z	54310295	16401709090	54310295	302	5079		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19668/SRR19668050/SRR19668050.lite.1	SRX15717451	GSM6246412	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410952	simple	9606	Homo sapiens	GSM6246412							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	89ED0DD89BC26B716C81239BE6840DBF	057BDA79652B83E3F476A94F2B540851	29132988	ES2-PLKO-cis0h-Rep2	University of Texas Health Science Center at San Antonio	9606	SRS13410952	GSM6246412	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	PBS
SAMN29132989	SRR19668051	2023-06-07T15:22:04Z	2022-06-16T08:28:07Z	38269796	11557478392	38269796	302	3711		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668051/SRR19668051.lite.1	SRX15717450	GSM6246411	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410951	simple	9606	Homo sapiens	GSM6246411							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	4BA78415160B0C78CAABB550C88F28F5	06C8468551AFFE6B043FD6BC0B82CCB5	29132989	ES2-PLKO-cis0h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410951	GSM6246411	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	PBS
SAMN29132989	SRR19668052	2023-06-07T15:22:04Z	2022-06-16T07:12:04Z	3695247	1115964594	3695247	302	345		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19668/SRR19668052/SRR19668052.lite.1	SRX15717450	GSM6246411	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410951	simple	9606	Homo sapiens	GSM6246411							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	101E33E36031872B397055ACD08EB2AD	20911B45E144C70697B76AE5FA89BFF5	29132989	ES2-PLKO-cis0h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410951	GSM6246411	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	PBS
SAMN29132989	SRR19668053	2023-06-07T15:22:04Z	2022-06-16T07:11:30Z	2007766	606345332	2007766	302	194		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19668/SRR19668053/SRR19668053.lite.1	SRX15717450	GSM6246411	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410951	simple	9606	Homo sapiens	GSM6246411							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	67D7223ACDE0CD8AFB3895B873984CE3	742D60608D81C0BCE8394F1B618D7626	29132989	ES2-PLKO-cis0h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410951	GSM6246411	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	PBS
SAMN29132989	SRR19668054	2023-06-07T15:22:04Z	2022-06-16T07:14:16Z	3631879	1096827458	3631879	302	341		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19668/SRR19668054/SRR19668054.lite.1	SRX15717450	GSM6246411	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP381990	PRJNA849762	3	849762	SRS13410951	simple	9606	Homo sapiens	GSM6246411							no					UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	SRA1438290		public	5D8BC6A7BA83857D118BD4BAF587EB55	F2DF25CDE2F5F1034F461A978FFD5841	29132989	ES2-PLKO-cis0h-Rep1	University of Texas Health Science Center at San Antonio	9606	SRS13410951	GSM6246411	ES-2	human ovarian cancer cell	missing	WT	missing	ES-2	PBS
