accession	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	cell_subtype	disease	isolate	sex	tissue	treatment
SAMN19550967	19550967	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_24_1	SRA: SRS9131580	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 24hr #1
SAMN19550968	19550968	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A0_24_2	SRA: SRS9131569	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 DMSO 24hr #2
SAMN19550969	19550969	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_24_1	SRA: SRS9131558	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 24hr #1
SAMN19550970	19550970	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A2_24_2	SRA: SRS9131547	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 25nM OTS964 24hr #2
SAMN19550971	19550971	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_24_1	SRA: SRS9131540	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 24hr #1
SAMN19550972	19550972	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_24_2	SRA: SRS9131539	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 24hr #2
SAMN19550973	19550973	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_0_1	SRA: SRS9131537	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 0hr #1
SAMN19550974	19550974	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_0_2	SRA: SRS9131536	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 0hr #2
SAMN19550975	19550975	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_1_1	SRA: SRS9131535	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 1hr #1
SAMN19550976	19550976	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_1_2	SRA: SRS9131534	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 1hr #2
SAMN19550977	19550977	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR2_1_1	SRA: SRS9131533	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 25nM OTS964 1hr #1
SAMN19550978	19550978	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR2_1_2	SRA: SRS9131532	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 25nM OTS964 1hr #2
SAMN19550979	19550979	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR3_1_1	SRA: SRS9131531	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 100nM OTS964 1hr #1
SAMN19550980	19550980	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR3_1_2	SRA: SRS9131530	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 100nM OTS964 1hr #2
SAMN19550981	19550981	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_6_1	SRA: SRS9131529	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 6hr #1
SAMN19550982	19550982	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_6_2	SRA: SRS9131528	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 6hr #2
SAMN19550983	19550983	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR2_6_1	SRA: SRS9131526	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 25nM OTS964 6hr #1
SAMN19550984	19550984	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR2_6_2	SRA: SRS9131525	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 25nM OTS964 6hr #2
SAMN19550985	19550985	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR3_6_1	SRA: SRS9131524	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 100nM OTS964 6hr #1
SAMN19550986	19550986	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR3_6_2	SRA: SRS9131523	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 100nM OTS964 6hr #2
SAMN19550987	19550987	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_24_1	SRA: SRS9131522	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 24hr #1
SAMN19550988	19550988	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_24_2	SRA: SRS9131521	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 24hr #2
SAMN19550989	19550989	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR2_24_1	SRA: SRS9131520	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 25nM OTS964 24hr #1
SAMN19550990	19550990	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR2_24_2	SRA: SRS9131519	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 25nM OTS964 24hr #2
SAMN19550991	19550991	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR3_24_1	SRA: SRS9131518	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 100nM OTS964 24hr #1
SAMN19550992	19550992	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR3_24_2	SRA: SRS9131517	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 100nM OTS964 24hr #2
SAMN19550993	19550993	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C0_0_1	SRA: SRS9131515	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 0hr #1
SAMN19550994	19550994	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C0_0_2	SRA: SRS9131514	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 0hr #2
SAMN19550995	19550995	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C0_1_1	SRA: SRS9131513	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 DMSO 1hr #1
SAMN19550996	19550996	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C0_1_2	SRA: SRS9131512	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 DMSO 1hr #2
SAMN19550997	19550997	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C2_1_1	SRA: SRS9131511	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 25nM OTS964 1hr #1
SAMN19550998	19550998	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C2_1_2	SRA: SRS9131510	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 25nM OTS964 1hr #2
SAMN19550999	19550999	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C3_1_1	SRA: SRS9131509	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 100nM OTS964 1hr #1
SAMN19551000	19551000	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C3_1_2	SRA: SRS9131508	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 100nM OTS964 1hr #2
SAMN19551001	19551001	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C0_6_1	SRA: SRS9131507	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 DMSO 6hr #1
SAMN19551002	19551002	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C0_6_2	SRA: SRS9131506	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 DMSO 6hr #2
SAMN19551003	19551003	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C2_6_1	SRA: SRS9131504	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 25nM OTS964 6hr #1
SAMN19551004	19551004	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C2_6_2	SRA: SRS9131503	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 25nM OTS964 6hr #2
SAMN19551005	19551005	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C3_6_1	SRA: SRS9131502	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 100nM OTS964 6hr #1
SAMN19551006	19551006	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C3_6_2	SRA: SRS9131501	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 100nM OTS964 6hr #2
SAMN19551007	19551007	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C0_24_1	SRA: SRS9131500	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 DMSO 24hr #1
SAMN19551008	19551008	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C0_24_2	SRA: SRS9131499	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 DMSO 24hr #2
SAMN19551009	19551009	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C2_24_1	SRA: SRS9131498	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 25nM OTS964 24hr #1
SAMN19551010	19551010	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C2_24_2	SRA: SRS9131497	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 25nM OTS964 24hr #2
SAMN19551011	19551011	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C3_24_1	SRA: SRS9131496	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 100nM OTS964 24hr #1
SAMN19551012	19551012	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: C3_24_2	SRA: SRS9131495	45	Jason Sheltzer lab	Cal51	Wildtype	breast carcinoma	Cal51	female	breast	CAL51 100nM OTS964 24hr #2
SAMN19551013	19551013	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR0_0_1	SRA: SRS9131493	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 0hr #1
SAMN19551014	19551014	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR0_0_2	SRA: SRS9131492	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 0hr #2
SAMN19551015	19551015	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR0_1_1	SRA: SRS9131491	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S DMSO 1hr #1
SAMN19551016	19551016	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR0_1_2	SRA: SRS9131490	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S DMSO 1hr #2
SAMN19551017	19551017	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR2_1_1	SRA: SRS9131489	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 25nM OTS964 1hr #1
SAMN19551018	19551018	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR2_1_2	SRA: SRS9131488	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 25nM OTS964 1hr #2
SAMN19551019	19551019	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR3_1_1	SRA: SRS9131487	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 100nM OTS964 1hr #1
SAMN19551020	19551020	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR3_1_2	SRA: SRS9131486	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 100nM OTS964 1hr #2
SAMN19551021	19551021	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR0_6_1	SRA: SRS9131485	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S DMSO 6hr #1
SAMN19551022	19551022	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR0_6_2	SRA: SRS9131484	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S DMSO 6hr #2
SAMN19551023	19551023	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR2_6_1	SRA: SRS9131482	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 25nM OTS964 6hr #1
SAMN19551024	19551024	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR2_6_2	SRA: SRS9131481	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 25nM OTS964 6hr #2
SAMN19551025	19551025	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR3_6_1	SRA: SRS9131480	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 100nM OTS964 6hr #1
SAMN19551026	19551026	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR3_6_2	SRA: SRS9131479	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 100nM OTS964 6hr #2
SAMN19551027	19551027	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR0_24_1	SRA: SRS9131478	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S DMSO 24hr #1
SAMN19551028	19551028	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR0_24_2	SRA: SRS9131477	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S DMSO 24hr #2
SAMN19551029	19551029	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR2_24_1	SRA: SRS9131475	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 25nM OTS964 24hr #1
SAMN19551030	19551030	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR2_24_2	SRA: SRS9131476	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 25nM OTS964 24hr #2
SAMN19551031	19551031	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR3_24_1	SRA: SRS9131474	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 100nM OTS964 24hr #1
SAMN19551032	19551032	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: CR3_24_2	SRA: SRS9131473	45	Jason Sheltzer lab	Cal51	CDK11B-G579S	breast carcinoma	Cal51, CDK11B-G579S	female	breast	CAL51 G579S 100nM OTS964 24hr #2
SAMN19551033	19551033	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D0_0_1	SRA: SRS9131471	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 0hr #1
SAMN19551034	19551034	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D0_0_2	SRA: SRS9131470	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 0hr #2
SAMN19551035	19551035	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D0_1_1	SRA: SRS9131469	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 DMSO 1hr #1
SAMN19551036	19551036	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D0_1_2	SRA: SRS9131468	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 DMSO 1hr #2
SAMN19551037	19551037	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D2_1_1	SRA: SRS9131467	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 25nM OTS964 1hr #1
SAMN19551038	19551038	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D2_1_2	SRA: SRS9131466	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 25nM OTS964 1hr #2
SAMN19551039	19551039	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D3_1_1	SRA: SRS9131465	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 100nM OTS964 1hr #1
SAMN19551040	19551040	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D3_1_2	SRA: SRS9131464	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 100nM OTS964 1hr #2
SAMN19551041	19551041	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D0_6_1	SRA: SRS9131463	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 DMSO 6hr #1
SAMN19551042	19551042	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D0_6_2	SRA: SRS9131462	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 DMSO 6hr #2
SAMN19551043	19551043	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D2_6_1	SRA: SRS9131460	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 25nM OTS964 6hr #1
SAMN19551044	19551044	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D2_6_2	SRA: SRS9131451	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 25nM OTS964 6hr #2
SAMN19551045	19551045	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D3_6_1	SRA: SRS9131452	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 100nM OTS964 6hr #1
SAMN19551046	19551046	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D3_6_2	SRA: SRS9131453	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 100nM OTS964 6hr #2
SAMN19551047	19551047	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D0_24_1	SRA: SRS9131454	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 DMSO 24hr #1
SAMN19551048	19551048	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D0_24_2	SRA: SRS9131455	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 DMSO 24hr #2
SAMN19551049	19551049	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D2_24_1	SRA: SRS9131456	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 25nM OTS964 24hr #1
SAMN19551050	19551050	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D2_24_2	SRA: SRS9131457	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 25nM OTS964 24hr #2
SAMN19551051	19551051	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D3_24_1	SRA: SRS9131458	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 100nM OTS964 24hr #1
SAMN19551052	19551052	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: D3_24_2	SRA: SRS9131459	Adult	Jason Sheltzer lab	DLD1	Wildtype	Adenocarcinoma; Colorectal; Dukes' type C	DLD1	male	Colon	DLD1 100nM OTS964 24hr #2
SAMN19551053	19551053	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR0_0_1	SRA: SRS9131433	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 0hr #1
SAMN19551054	19551054	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR0_0_2	SRA: SRS9131434	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 0hr #2
SAMN19551055	19551055	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR0_1_1	SRA: SRS9131438	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S DMSO 1hr #1
SAMN19551056	19551056	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR0_1_2	SRA: SRS9131436	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S DMSO 1hr #2
