BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	cell_subtype	disease	isolate	sex	tissue	treatment
SAMN19550972	SRR14727568	2022-01-01T03:01:41Z	2021-06-04T03:39:28Z	22135631	6640689300	22135631	300	2008		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14727/SRR14727568/SRR14727568.lite.1	SRX11064615	A3_24_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131539	simple	9606	Homo sapiens	A3_24_2					female		no					COLD SPRING HARBOR	SRA1240524		public	186C81EADAB5DACAE76953E1D5FA3AD0	0D484170C3A8995C7D49F69ACED23A5E	19550972	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: A3_24_2	SRA: SRS9131539	54	Jason Sheltzer lab	A375	Wildtype	malignant melanoma	A375	female	skin	A375 100nM OTS964 24hr #2
SAMN19550973	SRR14727570	2022-01-01T03:01:41Z	2021-06-04T04:08:17Z	28963765	8689129500	28963765	300	2494		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14727/SRR14727570/SRR14727570.lite.1	SRX11064613	AR0_0_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131537	simple	9606	Homo sapiens	AR0_0_1					female		no					COLD SPRING HARBOR	SRA1240524		public	A2E695D6D85F56739FA7933D62BFD8E3	B82018817275548AA69A747A81BAD868	19550973	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_0_1	SRA: SRS9131537	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 0hr #1
SAMN19550974	SRR14727571	2022-01-01T03:01:41Z	2021-06-04T03:41:46Z	23872712	7161813600	23872712	300	2099		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14727/SRR14727571/SRR14727571.lite.1	SRX11064612	AR0_0_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131536	simple	9606	Homo sapiens	AR0_0_2					female		no					COLD SPRING HARBOR	SRA1240524		public	CCAF4C271AB8600F3CB3998C9B49836D	D6CAD50706D8922D52FCE9464C5B8532	19550974	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_0_2	SRA: SRS9131536	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 0hr #2
SAMN19550975	SRR14727572	2022-01-01T03:01:41Z	2021-06-04T03:44:27Z	23060524	6918157200	23060524	300	2006		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14727/SRR14727572/SRR14727572.lite.1	SRX11064611	AR0_1_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131535	simple	9606	Homo sapiens	AR0_1_1					female		no					COLD SPRING HARBOR	SRA1240524		public	DDB055887911A5E4B2C81599C92D28E2	93512652705FC84DFCB0CBD2A8702281	19550975	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_1_1	SRA: SRS9131535	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 1hr #1
SAMN19550976	SRR14727573	2022-01-01T03:01:41Z	2021-06-04T03:45:13Z	22716821	6815046300	22716821	300	1978		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727573/SRR14727573.lite.1	SRX11064610	AR0_1_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131534	simple	9606	Homo sapiens	AR0_1_2					female		no					COLD SPRING HARBOR	SRA1240524		public	9FDC7702085589EAE9DC1668158E01E1	189C6340C503FE5143F23BDC2E189C1E	19550976	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_1_2	SRA: SRS9131534	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 1hr #2
SAMN19550977	SRR14727574	2022-01-01T03:01:41Z	2021-06-04T04:02:58Z	25841353	7752405900	25841353	300	2241		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727574/SRR14727574.lite.1	SRX11064609	AR2_1_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131533	simple	9606	Homo sapiens	AR2_1_1					female		no					COLD SPRING HARBOR	SRA1240524		public	8D153CB4A15832BD1569076BD765613D	D5012186671158FE80111765BF3D97AE	19550977	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR2_1_1	SRA: SRS9131533	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 25nM OTS964 1hr #1
SAMN19550978	SRR14727575	2022-01-01T03:01:41Z	2021-06-04T03:47:55Z	22922520	6876756000	22922520	300	2000		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14727/SRR14727575/SRR14727575.lite.1	SRX11064608	AR2_1_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131532	simple	9606	Homo sapiens	AR2_1_2					female		no					COLD SPRING HARBOR	SRA1240524		public	83BAC36563368D200B1D46EEFA7332FF	097FD57A5AC502BFEAD59503FB8682D6	19550978	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR2_1_2	SRA: SRS9131532	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 25nM OTS964 1hr #2
SAMN19550979	SRR14727576	2022-01-01T03:01:41Z	2021-06-04T03:41:12Z	22706796	6812038800	22706796	300	2005		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14727/SRR14727576/SRR14727576.lite.1	SRX11064607	AR3_1_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131531	simple	9606	Homo sapiens	AR3_1_1					female		no					COLD SPRING HARBOR	SRA1240524		public	79BA5221E566E042DF36B512111C178F	32D85E50736559A17CC4521682D0BC4E	19550979	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR3_1_1	SRA: SRS9131531	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 100nM OTS964 1hr #1
SAMN19550980	SRR14727577	2022-01-01T03:01:41Z	2021-06-04T03:48:10Z	25936168	7780850400	25936168	300	2265		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727577/SRR14727577.lite.1	SRX11064606	AR3_1_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131530	simple	9606	Homo sapiens	AR3_1_2					female		no					COLD SPRING HARBOR	SRA1240524		public	7ED588793FDEADE7AA5699D506BB12B2	5F417872A1F67D93097F988F09AFC618	19550980	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR3_1_2	SRA: SRS9131530	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S 100nM OTS964 1hr #2
SAMN19550981	SRR14727578	2022-01-01T03:01:41Z	2021-06-04T04:07:05Z	23580679	7074203700	23580679	300	2057		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14727/SRR14727578/SRR14727578.lite.1	SRX11064605	AR0_6_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131529	simple	9606	Homo sapiens	AR0_6_1					female		no					COLD SPRING HARBOR	SRA1240524		public	8C3243C48AB7D8996F9EC1E2162CD28F	941F2F44B3D20A0E0D02FA91D37C8A83	19550981	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_6_1	SRA: SRS9131529	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 6hr #1
SAMN19550982	SRR14727579	2022-01-01T03:01:41Z	2021-06-04T04:11:45Z	23251352	6975405600	23251352	300	2019		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR014/14727/SRR14727579/SRR14727579.lite.1	SRX11064604	AR0_6_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322599	PRJNA734957		734957	SRS9131528	simple	9606	Homo sapiens	AR0_6_2					female		no					COLD SPRING HARBOR	SRA1240524		public	5ED637D63EAB2922670504FE63BD4FED	63F6BD0ABBAFB179BB7E95BA332F621B	19550982	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: AR0_6_2	SRA: SRS9131528	54	Jason Sheltzer lab	A375	CDK11B-G579S	malignant melanoma	A375, CDK11B-G579S	female	skin	A375 G579S DMSO 6hr #2
