BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	shRNA	source_name	time point	treatment
SAMN10343584	SRR8131661	2019-02-22T16:58:13Z	2018-10-29T18:58:51Z	35595144	1815352344	0	51	620		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131661.sralite.1	SRX4952767		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994320	simple	9606	Homo sapiens	GSM3450394							no					GEO	SRA800438		public	933855B315B79B422E65A5614A31C4A9	50AADD59EE72748F636E867299E6A61E	10343584	HepG2_shMETTL14_0h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994320	GSM3450394	HepG2	shMETTl14	HepG2 cells	0h	untreated
SAMN10343585	SRR8131660	2019-02-22T16:58:13Z	2018-10-29T18:58:32Z	39615937	2020412787	0	51	688		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131660.sralite.1	SRX4952766		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994319	simple	9606	Homo sapiens	GSM3450393							no					GEO	SRA800438		public	6584813E227EF5824822A7F7420B2AE7	07B3321B96378F93C24B45A8168B8D27	10343585	HepG2_shMETTL14_0h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994319	GSM3450393	HepG2	shMETTl14	HepG2 cells	0h	untreated
SAMN10343586	SRR8131659	2019-02-22T16:58:13Z	2018-10-29T18:57:08Z	28139829	1435131279	0	51	489		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131659.sralite.1	SRX4952765		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994318	simple	9606	Homo sapiens	GSM3450392							no					GEO	SRA800438		public	E2966F02FAFF6E865EDC89B892E106F3	E723846503B49B36D1D070C009575B51	10343586	HepG2_shSETD2_6h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994318	GSM3450392	HepG2	shSETD2	HepG2 cells	6h	5 ug/mL actinomycin D
SAMN10343587	SRR8131658	2019-02-22T16:58:13Z	2018-10-29T18:55:23Z	31218140	1592125140	0	51	543		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131658.sralite.1	SRX4952764		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994317	simple	9606	Homo sapiens	GSM3450391							no					GEO	SRA800438		public	7BBB1820123D52EE7A32737F8139D61D	FE1C779AEAA48AC0DAE80B9A83EB593E	10343587	HepG2_shSETD2_6h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994317	GSM3450391	HepG2	shSETD2	HepG2 cells	6h	5 ug/mL actinomycin D
SAMN10343588	SRR8131657	2019-02-22T16:58:13Z	2018-10-29T18:58:04Z	36835031	1878586581	0	51	641		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131657.sralite.1	SRX4952763		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994315	simple	9606	Homo sapiens	GSM3450390							no					GEO	SRA800438		public	F2B7220A9B41E420BD06F7FD75FA9ADA	2FA5D4A55961C5CDFB13B9AEFEEC766A	10343588	HepG2_shSETD2_3h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994315	GSM3450390	HepG2	shSETD2	HepG2 cells	3h	5 ug/mL actinomycin D
SAMN10343589	SRR8131656	2019-02-22T16:58:13Z	2018-10-29T18:57:28Z	35027241	1786389291	0	51	610		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131656.sralite.1	SRX4952762		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994316	simple	9606	Homo sapiens	GSM3450389							no					GEO	SRA800438		public	1492BE09820BD127A3FC5FB2D44A6DF0	C5620A88E8B3B38289227B3EB90242E3	10343589	HepG2_shSETD2_3h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994316	GSM3450389	HepG2	shSETD2	HepG2 cells	3h	5 ug/mL actinomycin D
SAMN10343590	SRR8131655	2019-02-22T16:58:13Z	2018-10-29T18:58:17Z	38389471	1957863021	0	51	669		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131655.sralite.1	SRX4952761		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994314	simple	9606	Homo sapiens	GSM3450388							no					GEO	SRA800438		public	61A6499583827DD69F0C922C4DE148E6	3ADF50D25B86B75CBB577A1F9FA88D24	10343590	HepG2_shSETD2_1h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	GEO: GSM3450388		HepG2	shSETD2	HepG2 cells	1h	5 ug/mL actinomycin D
SAMN10343591	SRR8131654	2019-02-22T16:58:13Z	2018-10-29T19:00:08Z	46949634	2394431334	0	51	820		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131654.sralite.1	SRX4952760		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994313	simple	9606	Homo sapiens	GSM3450387							no					GEO	SRA800438		public	92873EB09F1CAABE1D7F523FF2F6CEE7	3EE96D73C3C1B01B33DE90DCC7FCC821	10343591	HepG2_shSETD2_1h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994313	GSM3450387	HepG2	shSETD2	HepG2 cells	1h	5 ug/mL actinomycin D
SAMN10343592	SRR8131653	2019-02-22T16:58:13Z	2018-10-29T18:58:45Z	34938879	1781882829	0	51	606		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131653.sralite.1	SRX4952759		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994311	simple	9606	Homo sapiens	GSM3450386							no					GEO	SRA800438		public	62DBEA827B9310C4B4CD2CB95B1C044B	3ED4B634E91C78529435F36B2E681FF1	10343592	HepG2_shSETD2_0h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994311	GSM3450386	HepG2	shSETD2	HepG2 cells	0h	untreated
SAMN10343593	SRR8131652	2019-02-22T16:58:13Z	2018-10-29T18:59:17Z	42273265	2155936515	0	51	737		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131652.sralite.1	SRX4952758		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994312	simple	9606	Homo sapiens	GSM3450385							no					GEO	SRA800438		public	E634D15B4146D5B53A3B9D94525E654D	F2435AB6E712C8B69E7291D086F564F9	10343593	HepG2_shSETD2_0h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994312	GSM3450385	HepG2	shSETD2	HepG2 cells	0h	untreated
SAMN10343594	SRR8131651	2019-02-22T16:58:13Z	2018-10-29T18:55:44Z	28605430	1458876930	0	51	497		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131651.sralite.1	SRX4952757		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994310	simple	9606	Homo sapiens	GSM3450384							no					GEO	SRA800438		public	8FCC4B14304EDD2172E3EA5C4413375B	72C1DE176DDF1C670D0CC8C54399C2C1	10343594	HepG2_shCtrl_6h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994310	GSM3450384	HepG2	non-specific control	HepG2 cells	6h	5 ug/mL actinomycin D
SAMN10343595	SRR8131650	2019-02-22T16:58:13Z	2018-10-29T18:57:05Z	33190988	1692740388	0	51	578		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131650.sralite.1	SRX4952756		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994309	simple	9606	Homo sapiens	GSM3450383							no					GEO	SRA800438		public	23F45A34A40B1CBC8EBE1C49812E95F6	8E3D3CEDE604FD42092904891F527048	10343595	HepG2_shCtrl_6h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994309	GSM3450383	HepG2	non-specific control	HepG2 cells	6h	5 ug/mL actinomycin D
SAMN10343596	SRR8131649	2019-02-22T16:58:13Z	2018-10-29T18:59:22Z	36252663	1848885813	0	51	633		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131649.sralite.1	SRX4952755		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994308	simple	9606	Homo sapiens	GSM3450382							no					GEO	SRA800438		public	242BB7D06A988AA03B22DA6F7DAF5346	03AA753787F556875A29F218101FC161	10343596	HepG2_shCtrl_3h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994308	GSM3450382	HepG2	non-specific control	HepG2 cells	3h	5 ug/mL actinomycin D
SAMN10343597	SRR8131648	2019-02-22T16:58:13Z	2018-10-29T18:56:24Z	36460352	1859477952	0	51	634		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131648.sralite.1	SRX4952754		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994307	simple	9606	Homo sapiens	GSM3450381							no					GEO	SRA800438		public	685EF6AA83578BC2452A2524191ECA2E	9FBD33F101392FF112C2A79A22159F62	10343597	HepG2_shCtrl_3h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994307	GSM3450381	HepG2	non-specific control	HepG2 cells	3h	5 ug/mL actinomycin D
