BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell type	disease state	gender	source_name	treatment	group
SAMN07775178	SRR6159245	2018-10-26T16:18:30Z	2017-10-11T15:32:56Z	18197646	909882300	0	50	346		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159245/SRR6159245.1	SRX3270877		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582486	simple	9606	Homo sapiens	GSM2808536							no					GEO	SRA618760		public	4D3BAC3CAD11567EEB29BF2EEDE5DCFF	2E1A7B0B2D1285EAB5410E2035C0FBC3	7775178	HH1_10uM_2hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582486	GSM2808536	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_2hr	hh1.10uM.2
SAMN07775178	SRR6159246	2018-10-26T16:18:30Z	2017-10-11T15:32:56Z	17979011	898950550	0	50	340		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR6159246/SRR6159246.1	SRX3270877		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582486	simple	9606	Homo sapiens	GSM2808536							no					GEO	SRA618760		public	E0FFA88185216066359BF62A60BB61AD	84DC522F78966860A5C9CB09C401C641	7775178	HH1_10uM_2hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582486	GSM2808536	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_2hr	hh1.10uM.2
SAMN07775177	SRR6159247	2018-10-26T16:18:30Z	2017-10-11T15:37:11Z	18332394	916619700	0	50	345		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159247/SRR6159247.1	SRX3270878		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582487	simple	9606	Homo sapiens	GSM2808537							no					GEO	SRA618760		public	F3DB4BEC37936BFFAABAB0C5EAB33DFC	3D677907E35DAE570727CAC8AD79628B	7775177	DMSO_4hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582487	GSM2808537	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_4hr	dmso..4
SAMN07775177	SRR6159248	2018-10-26T16:18:30Z	2017-10-11T15:38:00Z	18072405	903620250	0	50	339		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159248/SRR6159248.1	SRX3270878		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582487	simple	9606	Homo sapiens	GSM2808537							no					GEO	SRA618760		public	4E800085E716DCDEA3EA3F94A2149D40	74033EB59FCB742DBD3BF265A021760B	7775177	DMSO_4hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582487	GSM2808537	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_4hr	dmso..4
SAMN07775212	SRR6159249	2018-10-26T16:18:30Z	2017-10-11T15:38:55Z	17627627	881381350	0	50	322		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159249/SRR6159249.1	SRX3270879		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582489	simple	9606	Homo sapiens	GSM2808538							no					GEO	SRA618760		public	6C346EB539E20F5E9CFD3F71682F187B	F9E07AD53521C002945EB9513AA7F7E4	7775212	DMSO_4hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582489	GSM2808538	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_4hr	dmso..4
SAMN07775212	SRR6159250	2018-10-26T16:18:30Z	2017-10-11T15:34:06Z	17562389	878119450	0	50	319		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159250/SRR6159250.1	SRX3270879		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582489	simple	9606	Homo sapiens	GSM2808538							no					GEO	SRA618760		public	A5B107FFAAE8B204A06711C53E844279	B6AAF07E7AC2BA55A82CB56BE0A2590B	7775212	DMSO_4hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582489	GSM2808538	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_4hr	dmso..4
SAMN07775211	SRR6159251	2018-10-26T16:18:30Z	2017-10-11T15:31:25Z	12142785	607139250	0	50	245		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159251/SRR6159251.1	SRX3270880		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582488	simple	9606	Homo sapiens	GSM2808539							no					GEO	SRA618760		public	9BCA446C69FC366AD6AF30D4CE4509D4	1AE575C2C50AA92D509B7C61631CC2B9	7775211	DMSO_4hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582488	GSM2808539	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_4hr	dmso..4
SAMN07775211	SRR6159252	2018-10-26T16:18:30Z	2017-10-11T15:32:07Z	12395153	619757650	0	50	248		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159252/SRR6159252.1	SRX3270880		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582488	simple	9606	Homo sapiens	GSM2808539							no					GEO	SRA618760		public	BA28ED6C80E4FB855FF3FDC0FF39E5A7	DE2C3419F51280735D9324DCFDE88245	7775211	DMSO_4hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582488	GSM2808539	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_4hr	dmso..4
SAMN07775210	SRR6159253	2018-10-26T16:18:30Z	2017-10-11T15:37:58Z	13643025	682151250	0	50	276		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR6159253/SRR6159253.1	SRX3270881		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582490	simple	9606	Homo sapiens	GSM2808540							no					GEO	SRA618760		public	E709187833A86CE840D084C233EB7969	CA40A08737D4DEC8305C5FB9D7AA7F16	7775210	HH1_10uM_4hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582490	GSM2808540	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_4hr	hh1.10uM.4
SAMN07775210	SRR6159254	2018-10-26T16:18:30Z	2017-10-11T15:33:48Z	13928115	696405750	0	50	280		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR6159254/SRR6159254.1	SRX3270881		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582490	simple	9606	Homo sapiens	GSM2808540							no					GEO	SRA618760		public	416641EDB20E140747E6FE871D1E32C1	486C220D01C12AB7FF4A0DCE87E402CC	7775210	HH1_10uM_4hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582490	GSM2808540	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_4hr	hh1.10uM.4
SAMN07775184	SRR6159255	2018-10-26T16:18:30Z	2017-10-11T15:32:41Z	16816749	840837450	0	50	319		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR6159255/SRR6159255.1	SRX3270882		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582491	simple	9606	Homo sapiens	GSM2808541							no					GEO	SRA618760		public	54B7C63F6C0CD7EC21DFF0570D283CA9	371C5078CFCEE778CBE1E3CBC70482D9	7775184	HH1_10uM_4hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582491	GSM2808541	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_4hr	hh1.10uM.4
SAMN07775184	SRR6159256	2018-10-26T16:18:30Z	2017-10-11T15:33:38Z	16608460	830423000	0	50	313		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159256/SRR6159256.1	SRX3270882		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582491	simple	9606	Homo sapiens	GSM2808541							no					GEO	SRA618760		public	793F059658DDC45373112AED3834062F	04A577311146827BE3DBC7ABB8AC089D	7775184	HH1_10uM_4hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582491	GSM2808541	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_4hr	hh1.10uM.4
SAMN07775185	SRR6159257	2018-10-26T16:18:30Z	2017-10-11T15:35:13Z	26552638	1327631900	0	50	490		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159257/SRR6159257.1	SRX3270883		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582492	simple	9606	Homo sapiens	GSM2808542							no					GEO	SRA618760		public	2213CB19E2D4240C60EA11212AA7AF13	FB5D2EB0AE8A0881C89AE2A1D72E35FA	7775185	HH1_10uM_4hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582492	GSM2808542	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_4hr	hh1.10uM.4
SAMN07775185	SRR6159258	2018-10-26T16:18:30Z	2017-10-11T15:41:49Z	26461676	1323083800	0	50	485		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159258/SRR6159258.1	SRX3270883		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582492	simple	9606	Homo sapiens	GSM2808542							no					GEO	SRA618760		public	50F69A52DF080AD64109F346F3EAFA4C	13CDCC74A83C755490245FC0E71EC970	7775185	HH1_10uM_4hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582492	GSM2808542	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_4hr	hh1.10uM.4
SAMN07775209	SRR6159259	2018-10-26T16:18:30Z	2017-10-11T15:37:33Z	20041432	1002071600	0	50	369		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159259/SRR6159259.1	SRX3270884		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582493	simple	9606	Homo sapiens	GSM2808543							no					GEO	SRA618760		public	5ABAD694E8A395B316E56D56476E8D79	E7C7209F962BEF23DF2D75FAEB4022A3	7775209	DMSO_8hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582493	GSM2808543	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_8hr	dmso..8
SAMN07775209	SRR6159260	2018-10-26T16:18:30Z	2017-10-11T15:37:31Z	19962775	998138750	0	50	366		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159260/SRR6159260.1	SRX3270884		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582493	simple	9606	Homo sapiens	GSM2808543							no					GEO	SRA618760		public	F974B2C1CBD9CDB9A3EA55263B4E8E27	C0B59BE2D586013CE1A6D8A3E130C42A	7775209	DMSO_8hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582493	GSM2808543	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_8hr	dmso..8
SAMN07775176	SRR6159261	2018-10-26T16:18:30Z	2017-10-11T15:50:04Z	30529622	1526481100	0	50	556		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR6159261/SRR6159261.1	SRX3270885		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582494	simple	9606	Homo sapiens	GSM2808544							no					GEO	SRA618760		public	8175D24337406C97287BEB50D94BC541	59841B94FA7D8DD68E2E2BC7C8A171B8	7775176	DMSO_8hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582494	GSM2808544	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_8hr	dmso..8
SAMN07775176	SRR6159262	2018-10-26T16:18:30Z	2017-10-11T15:40:11Z	30342395	1517119750	0	50	549		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159262/SRR6159262.1	SRX3270885		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582494	simple	9606	Homo sapiens	GSM2808544							no					GEO	SRA618760		public	6A2FABDA491CF65CC9BEE1B6818A7639	654A7955AA23ACFAC2B566FCEFFF47A0	7775176	DMSO_8hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582494	GSM2808544	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_8hr	dmso..8
SAMN07775175	SRR6159263	2018-10-26T16:18:30Z	2017-10-11T15:36:02Z	16707598	835379900	0	50	337		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159263/SRR6159263.1	SRX3270886		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582495	simple	9606	Homo sapiens	GSM2808545							no					GEO	SRA618760		public	5323AE533018502BC2F6B0784BE0E98D	01D8A8895F771BA99969020E05159A35	7775175	DMSO_8hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582495	GSM2808545	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_8hr	dmso..8
SAMN07775175	SRR6159264	2018-10-26T16:18:30Z	2017-10-11T15:35:03Z	17078927	853946350	0	50	342		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159264/SRR6159264.1	SRX3270886		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582495	simple	9606	Homo sapiens	GSM2808545							no					GEO	SRA618760		public	E7F9ECAEE2575ADEC61B103A69C193AF	E6DEB3DFB3949D8AE77652246BF07F07	7775175	DMSO_8hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582495	GSM2808545	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_8hr	dmso..8
