accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	time	tissue	treatment
SAMN29048028	29048028	U2940_BV_3_S3	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403622	GSM6244096	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, BV treated, 48hrs		pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048029	29048029	U2940_BV_2_S2	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403621	GSM6244095	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, BV treated, 48hrs		pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048030	29048030	U2940_BV_1_S1	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403620	GSM6244094	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, BV treated, 48hrs		pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048031	29048031	L428_UT_3_S15	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403619	GSM6244093	L-428	Hodgkin lymphoma	L428 cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048032	29048032	L428_UT_2_S14	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403618	GSM6244092	L-428	Hodgkin lymphoma	L428 cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048033	29048033	L428_UT_1_S13	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403617	GSM6244091	L-428	Hodgkin lymphoma	L428 cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048034	29048034	L428_RmAb_3_S12	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403616	GSM6244090	L-428	Hodgkin lymphoma	L428 cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048035	29048035	L428_RmAb_2_S11	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403615	GSM6244089	L-428	Hodgkin lymphoma	L428 cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048036	29048036	L428_RmAb_1_S10	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403614	GSM6244088	L-428	Hodgkin lymphoma	L428 cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048037	29048037	L428_PRED_3_S9	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403613	GSM6244087	L-428	Hodgkin lymphoma	L428 cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048038	29048038	L428_PRED_2_S8	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403612	GSM6244086	L-428	Hodgkin lymphoma	L428 cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048039	29048039	L428_PRED_1_S7	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403611	GSM6244085	L-428	Hodgkin lymphoma	L428 cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048040	29048040	L428_IBR_3_S6	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403610	GSM6244084	L-428	Hodgkin lymphoma	L428 cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048041	29048041	L428_IBR_2_S5	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403609	GSM6244083	L-428	Hodgkin lymphoma	L428 cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048042	29048042	L428_IBR_1_S4	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403608	GSM6244082	L-428	Hodgkin lymphoma	L428 cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048043	29048043	L428_BV_3_S3	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403607	GSM6244081	L-428	Hodgkin lymphoma	L428 cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048044	29048044	L428_BV_2_S2	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403606	GSM6244080	L-428	Hodgkin lymphoma	L428 cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048045	29048045	L428_BV_1_S1	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403605	GSM6244079	L-428	Hodgkin lymphoma	L428 cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048046	29048046	K1106P_UT_3_S15	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403604	GSM6244078	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048047	29048047	K1106P_UT_2_S14	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403603	GSM6244077	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048048	29048048	K1106P_UT_1_S13	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403602	GSM6244076	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048049	29048049	K1106P_PRED_3_S12	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403601	GSM6244075	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048050	29048050	K1106P_PRED_2_S11	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403600	GSM6244074	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048051	29048051	K1106P_PRED_1_S10	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403599	GSM6244073	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048052	29048052	K1106P_IBR_3_S9	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403598	GSM6244072	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048053	29048053	K1106P_IBR_2_S8	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403597	GSM6244071	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048054	29048054	K1106P_IBR_1_S7	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403596	GSM6244070	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048055	29048055	K1106P_BV_3_S6	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403595	GSM6244069	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048056	29048056	K1106P_BV_2_S5	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403594	GSM6244068	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048057	29048057	K1106P_BV_1_S4	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403593	GSM6244067	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048058	29048058	K1106P_RmAb_3_S3	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403592	GSM6244066	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048059	29048059	K1106P_RmAb_2_S2	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403591	GSM6244065	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048060	29048060	K1106P_RmAb_1_S1	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403590	GSM6244064	KARPAS 1106P	Primary mediastinal B-cell lymphoma	K1106P cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048061	29048061	HDLM2_UT_3_S15	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403589	GSM6244063	HDML-2	Hodgkin lymphoma	HDLM2 cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048062	29048062	HDLM2_UT_2_S14	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403588	GSM6244062	HDML-2	Hodgkin lymphoma	HDLM2 cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048063	29048063	HDLM2_UT_1_S13	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403587	GSM6244061	HDML-2	Hodgkin lymphoma	HDLM2 cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048064	29048064	HDLM2_RmAb_3_S12	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403586	GSM6244060	HDML-2	Hodgkin lymphoma	HDLM2 cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048065	29048065	HDLM2_RmAb_2_S11	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403585	GSM6244059	HDML-2	Hodgkin lymphoma	HDLM2 cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048066	29048066	HDLM2_RmAb_1_S10	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403584	GSM6244058	HDML-2	Hodgkin lymphoma	HDLM2 cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048067	29048067	HDLM2_PRED_3_S9	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403583	GSM6244057	HDML-2	Hodgkin lymphoma	HDLM2 cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048068	29048068	HDLM2_PRED_2_S8	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403582	GSM6244056	HDML-2	Hodgkin lymphoma	HDLM2 cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048069	29048069	HDLM2_PRED_1_S7	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403581	GSM6244055	HDML-2	Hodgkin lymphoma	HDLM2 cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048070	29048070	HDLM2_IBR_3_S6	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403580	GSM6244054	HDML-2	Hodgkin lymphoma	HDLM2 cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048071	29048071	HDLM2_IBR_2_S5	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403579	GSM6244053	HDML-2	Hodgkin lymphoma	HDLM2 cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048072	29048072	HDLM2_IBR_1_S4	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403578	GSM6244052	HDML-2	Hodgkin lymphoma	HDLM2 cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048073	29048073	HDLM2_BV_3_S3	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403577	GSM6244051	HDML-2	Hodgkin lymphoma	HDLM2 cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048074	29048074	HDLM2_BV_2_S2	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403576	GSM6244050	HDML-2	Hodgkin lymphoma	HDLM2 cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048075	29048075	HDLM2_BV_1_S1	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403575	GSM6244049	HDML-2	Hodgkin lymphoma	HDLM2 cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
