BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	tissue	group
SAMN32941433	SRR23254897	2023-04-21T22:23:53Z	2023-01-27T14:58:11Z	50728374	15218512200	50728374	300	6168		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR023/23254/SRR23254897/SRR23254897.lite.1	SRX19200310	GSM6998387	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609805	simple	9606	Homo sapiens	GSM6998387							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	8F2CFBE3031EB03EC3B1946809F71462	13FD34BE10C74913488A945EEAF7D650	32941433	RNAseq_siZC3H14_2_A375	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609805	GSM6998387	A375	siZC3H14	melanoma cell line	melanoma cell line	siZC3H14
SAMN32941434	SRR23254898	2023-04-21T22:23:52Z	2023-01-27T14:48:10Z	48631322	14589396600	48631322	300	5936		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR023/23254/SRR23254898/SRR23254898.lite.1	SRX19200309	GSM6998386	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609804	simple	9606	Homo sapiens	GSM6998386							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	B3219C20527035FFB5B56ECFA9B9C9F5	ACF7578C7711D1C2BFEE539D1DF62FED	32941434	RNAseq_siZC3H14_1_A375	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609804	GSM6998386	A375	siZC3H14	melanoma cell line	melanoma cell line	siZC3H14
SAMN32941435	SRR23254899	2023-04-21T22:23:52Z	2023-01-27T14:56:53Z	42942119	12882635700	42942119	300	5312		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR023/23254/SRR23254899/SRR23254899.lite.1	SRX19200308	GSM6998385	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609803	simple	9606	Homo sapiens	GSM6998385							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	F939D62C4112F4F4963E2513ABCF1D0A	8B4D12FCE74741F744EFE02592281982	32941435	RNAseq_siCtrl_3_A375	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609803	GSM6998385	A375	siControl	melanoma cell line	melanoma cell line	siControl
SAMN32941436	SRR23254900	2023-04-21T22:23:52Z	2023-01-27T15:04:26Z	51843660	15553098000	51843660	300	6290		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR023/23254/SRR23254900/SRR23254900.lite.1	SRX19200307	GSM6998384	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609802	simple	9606	Homo sapiens	GSM6998384							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	39CE65F2921BB1D316F3D51B3B175B81	47562F241C5AEF8A509A7768DCA36FDA	32941436	RNAseq_siCtrl_2_A375	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609802	GSM6998384	A375	siControl	melanoma cell line	melanoma cell line	siControl
SAMN32941437	SRR23254901	2023-04-21T22:23:52Z	2023-01-27T14:53:35Z	48390581	14517174300	48390581	300	5916		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR023/23254/SRR23254901/SRR23254901.lite.1	SRX19200306	GSM6998383	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609801	simple	9606	Homo sapiens	GSM6998383							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	CFCA8824551A163C28EA181122645BDE	8C0F3B59A4A5A2937AE82B8C11AC5693	32941437	RNAseq_siCtrl_1_A375	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609801	GSM6998383	A375	siControl	melanoma cell line	melanoma cell line	siControl
SAMN32941438	SRR23254902	2023-04-21T22:23:52Z	2023-01-27T14:57:58Z	40135081	12040524300	40135081	300	4471		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23254/SRR23254902/SRR23254902.lite.1	SRX19200305	GSM6998382	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609800	simple	9606	Homo sapiens	GSM6998382							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	AC4AA87052A575FC99D65F83B2E34750	4F9A8DDF924B74854C78E23384199765	32941438	CLOVER_ZC3H14_S475A_A375_RNAseq_2	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609800	GSM6998382	A375	CLOVER ZC3H14_S475A	melanoma cell line	melanoma cell line	ZC3H14_S475A
SAMN32941439	SRR23254903	2023-04-21T22:23:52Z	2023-01-27T14:57:45Z	33693086	10107925800	33693086	300	3734		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23254/SRR23254903/SRR23254903.lite.1	SRX19200304	GSM6998381	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609799	simple	9606	Homo sapiens	GSM6998381							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	68978B3EE6FADC805CAEC5697A9655DE	3A27D108F3B41F772C25FCF402CA5839	32941439	CLOVER_ZC3H14_S475A_A375_RNAseq_1	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609799	GSM6998381	A375	CLOVER ZC3H14_S475A	melanoma cell line	melanoma cell line	ZC3H14_S475A
SAMN32941440	SRR23254904	2023-04-21T22:23:52Z	2023-01-27T14:47:17Z	33980790	10194237000	33980790	300	3324		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR023/23254/SRR23254904/SRR23254904.lite.1	SRX19200303	GSM6998380	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609798	simple	9606	Homo sapiens	GSM6998380							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	6E1139BD91CBCEAA3949012465FCFB32	F51DE77ECE3A2FC592521AAB5EAC42B9	32941440	CLOVER_ZC3H14_S475E_A375_RNAseq_3	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609798	GSM6998380	A375	CLOVER ZC3H14_S475E	melanoma cell line	melanoma cell line	ZC3H14_S475E
SAMN32941441	SRR23254905	2023-04-21T22:23:53Z	2023-01-27T14:45:03Z	29573424	8872027200	29573424	300	2902		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR023/23254/SRR23254905/SRR23254905.lite.1	SRX19200302	GSM6998379	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609797	simple	9606	Homo sapiens	GSM6998379							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	DE746255FFE95C008C09A8C46D977D87	8C44C45AFBF2DDE6BAC43C941ECF76A7	32941441	CLOVER_ZC3H14_S475E_A375_RNAseq_2	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609797	GSM6998379	A375	CLOVER ZC3H14_S475E	melanoma cell line	melanoma cell line	ZC3H14_S475E
SAMN32941442	SRR23254906	2023-04-21T22:23:53Z	2023-01-27T14:47:06Z	28503665	8551099500	28503665	300	2792		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR023/23254/SRR23254906/SRR23254906.lite.1	SRX19200301	GSM6998378	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609796	simple	9606	Homo sapiens	GSM6998378							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	5C914B52353DB796D0A041B75039669C	55591CA8DE68EA3AD164A50A2F65BB0F	32941442	CLOVER_ZC3H14_S475E_A375_RNAseq_1	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609796	GSM6998378	A375	CLOVER ZC3H14_S475E	melanoma cell line	melanoma cell line	ZC3H14_S475E
SAMN32941443	SRR23254907	2023-04-21T22:23:53Z	2023-01-27T15:03:55Z	51401988	15420596400	51401988	300	5193		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR023/23254/SRR23254907/SRR23254907.lite.1	SRX19200300	GSM6998377	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609795	simple	9606	Homo sapiens	GSM6998377							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	5ECA5CFB73F95CDA877D5A2FB87E36B4	9072CF3B18E94B51568D0C268362954E	32941443	CLOVER_A375_RNAseq_3	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609795	GSM6998377	A375	CLOVER control	melanoma cell line	melanoma cell line	control
SAMN32941444	SRR23254908	2023-04-21T22:23:53Z	2023-01-27T14:57:43Z	42934126	12880237800	42934126	300	4249		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR023/23254/SRR23254908/SRR23254908.lite.1	SRX19200299	GSM6998376	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609794	simple	9606	Homo sapiens	GSM6998376							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	585215C0EC215A750E6017661002526C	ADB1F87E94035192B663627D17A46463	32941444	CLOVER_A375_RNAseq_2	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609794	GSM6998376	A375	CLOVER control	melanoma cell line	melanoma cell line	control
SAMN32941445	SRR23254909	2023-04-21T22:23:52Z	2023-01-27T14:52:02Z	41075835	12322750500	41075835	300	4066		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR023/23254/SRR23254909/SRR23254909.lite.1	SRX19200298	GSM6998375	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP419421	PRJNA928734		928734	SRS16609793	simple	9606	Homo sapiens	GSM6998375							no					YOUNG LAB, WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH	SRA1580987		public	B073AE15861FFA0A4FD5FB1F7AB05B60	EE8E9C5C3D3146B6A34E3720A6A64FC0	32941445	CLOVER_A375_RNAseq_1	Young Lab, Whitehead Institute for Biomedical Research	9606	SRS16609793	GSM6998375	A375	CLOVER control	melanoma cell line	melanoma cell line	control
