BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	extract	source_name	treatment	group
SAMN10060997	SRR7830225	2019-04-01T16:52:11Z	2018-09-14T13:43:38Z	29429729	1383197263	0	47	721		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830225.sralite.1	SRX4681188		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774727	simple	9606	Homo sapiens	GSM3389695							no					GEO	SRA774038		public	2BDE2889D5AA76D21D5A5CDAF412EA30	7C17E439B7FBFCA537580AADD6D0F065	10060997	n3_A_CDDPplusplus	Institut Curie	9606	SRS3774727	GSM3389695	A549	Polysomes	Non-small cell lung cancer cell line	Cisplatin	A549.Polysomes.Cisplatin
SAMN10060998	SRR7830224	2019-04-01T16:52:11Z	2018-09-14T13:44:08Z	19978912	939008864	0	47	489		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/830/SRR7830224.sralite.1	SRX4681187		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774728	simple	9606	Homo sapiens	GSM3389694							no					GEO	SRA774038		public	0347C7A3E3CA175E238CCECA49401859	5987F28A0C9E75B16AFC337EB67C50DD	10060998	n3_A_DMSOplusplus	Institut Curie	9606	SRS3774728	GSM3389694	A549	Polysomes	Non-small cell lung cancer cell line	Vehicle (DMSO)	A549.Polysomes.Vehicle..DMSO.
SAMN10060999	SRR7830223	2019-04-01T16:52:11Z	2018-09-14T13:44:37Z	31882194	1498463118	0	47	768		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830223.sralite.1	SRX4681186		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774729	simple	9606	Homo sapiens	GSM3389693							no					GEO	SRA774038		public	94753DE9E441603EA5F01792EF0D8442	5ED2B32E26DACB4E6910BE9DC57DF6BA	10060999	n2_A_CDDPplusplus	Institut Curie	9606	SRS3774729	GSM3389693	A549	Polysomes	Non-small cell lung cancer cell line	Cisplatin	A549.Polysomes.Cisplatin
SAMN10061000	SRR7830222	2019-04-01T16:52:11Z	2018-09-14T13:45:07Z	32923417	1547400599	0	47	790		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830222.sralite.1	SRX4681185		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774724	simple	9606	Homo sapiens	GSM3389692							no					GEO	SRA774038		public	0269D30CCAC4B00D5802465AF4C1401B	73A6ABC99942B10EDC702F18BB75E91C	10061000	n2_A_DMSOplusplus	Institut Curie	9606	SRS3774724	GSM3389692	A549	Polysomes	Non-small cell lung cancer cell line	Vehicle (DMSO)	A549.Polysomes.Vehicle..DMSO.
SAMN10061001	SRR7830221	2019-04-01T16:52:11Z	2018-09-14T13:42:38Z	20061250	942878750	0	47	480		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830221.sralite.1	SRX4681184		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774726	simple	9606	Homo sapiens	GSM3389691							no					GEO	SRA774038		public	8FBC7774F5C0227F16D55BDA7F6EB935	DE0ACA328E2B7D3356BE9B072AA47D99	10061001	n1_A_CDDPplusplus	Institut Curie	9606	SRS3774726	GSM3389691	A549	Polysomes	Non-small cell lung cancer cell line	Cisplatin	A549.Polysomes.Cisplatin
SAMN10061002	SRR7830220	2019-04-01T16:52:11Z	2018-09-14T13:42:48Z	20653214	970701058	0	47	499		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830220.sralite.1	SRX4681183		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774725	simple	9606	Homo sapiens	GSM3389690							no					GEO	SRA774038		public	EF0D66C2125B3CC357FF18E82357B6A7	57FFA6188B0A1449CBD9F515F119CCE6	10061002	n1_A_DMSOplusplus	Institut Curie	9606	SRS3774725	GSM3389690	A549	Polysomes	Non-small cell lung cancer cell line	Vehicle (DMSO)	A549.Polysomes.Vehicle..DMSO.
SAMN10061003	SRR7830219	2019-04-01T16:52:11Z	2018-09-14T13:51:30Z	24126825	1076232433	0	44	512		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830219.sralite.1	SRX4681182		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774723	simple	9606	Homo sapiens	GSM3389689							no					GEO	SRA774038		public	489A92248E6288D240B40A0A005C7976	82040A3683EB71EF256202DA586525E4	10061003	RC-i-3	Institut Curie	9606	SRS3774723	GSM3389689	A549R	Cytosol	Non-small cell lung cancer cell line	Cisplatin	A549R.Cytosol.Cisplatin
SAMN10061004	SRR7830218	2019-04-01T16:52:11Z	2018-09-14T13:43:43Z	12912845	576838938	0	44	276		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/830/SRR7830218.sralite.1	SRX4681181		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774721	simple	9606	Homo sapiens	GSM3389688							no					GEO	SRA774038		public	BD4BE90961AE1AF5479A7E02EA11E311	B42A7CE49E958CF56F50FB224556873F	10061004	RD-i-3	Institut Curie	9606	SRS3774721	GSM3389688	A549R	Cytosol	Non-small cell lung cancer cell line	Vehicle (DMSO)	A549R.Cytosol.Vehicle..DMSO.
SAMN10061005	SRR7830217	2019-04-01T16:52:11Z	2018-09-14T13:49:13Z	25677490	1146504514	0	44	551		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830217.sralite.1	SRX4681180		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774722	simple	9606	Homo sapiens	GSM3389687							no					GEO	SRA774038		public	B716D0A6D7704478F2AC90DB4A1ABD6D	A0F15859393B55D81161D808BB0B7D5E	10061005	AC-i-3	Institut Curie	9606	SRS3774722	GSM3389687	A549	Cytosol	Non-small cell lung cancer cell line	Cisplatin	A549.Cytosol.Cisplatin
SAMN10061006	SRR7830216	2019-04-01T16:52:11Z	2018-09-14T13:52:15Z	22542828	1006414691	0	44	483		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830216.sralite.1	SRX4681179		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774718	simple	9606	Homo sapiens	GSM3389686							no					GEO	SRA774038		public	9FBD2B62D5254B5F070473277CD41351	9BC9A69A7722DEB90CF8647ED9BC97C4	10061006	AD-i-3	Institut Curie	9606	SRS3774718	GSM3389686	A549	Cytosol	Non-small cell lung cancer cell line	Vehicle (DMSO)	A549.Cytosol.Vehicle..DMSO.
SAMN10061007	SRR7830215	2019-04-01T16:52:11Z	2018-09-14T13:50:41Z	23201725	1040369305	0	44	499		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/830/SRR7830215.sralite.1	SRX4681178		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774720	simple	9606	Homo sapiens	GSM3389685							no					GEO	SRA774038		public	58BA8E326CE73FDF057B8ADBF37FE5AD	5BA7DF1A20DF2749A2F8A1C4414473A0	10061007	RC-i-2	Institut Curie	9606	SRS3774720	GSM3389685	A549R	Cytosol	Non-small cell lung cancer cell line	Cisplatin	A549R.Cytosol.Cisplatin
SAMN10061008	SRR7830214	2019-04-01T16:52:11Z	2018-09-14T13:46:25Z	23994667	1072816595	0	44	516		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830214.sralite.1	SRX4681177		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774719	simple	9606	Homo sapiens	GSM3389684							no					GEO	SRA774038		public	2859B9E329CDFF5DDFF033ADDAC7A12F	672072EA3451889B6601FBA0C4362B26	10061008	RD-i-2	Institut Curie	9606	SRS3774719	GSM3389684	A549R	Cytosol	Non-small cell lung cancer cell line	Vehicle (DMSO)	A549R.Cytosol.Vehicle..DMSO.
SAMN10061009	SRR7830213	2019-04-01T16:52:11Z	2018-09-14T13:50:16Z	28120421	1260668746	0	44	602		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/830/SRR7830213.sralite.1	SRX4681176		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774716	simple	9606	Homo sapiens	GSM3389683							no					GEO	SRA774038		public	E337274F8B04E070EB55ACAF034F2FFC	D835729AD857C8233400CC3BCA3149C5	10061009	AC-i-2	Institut Curie	9606	SRS3774716	GSM3389683	A549	Cytosol	Non-small cell lung cancer cell line	Cisplatin	A549.Cytosol.Cisplatin
SAMN10061010	SRR7830212	2019-04-01T16:52:11Z	2018-09-14T13:46:57Z	25881848	1159805420	0	44	554		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/830/SRR7830212.sralite.1	SRX4681175		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774717	simple	9606	Homo sapiens	GSM3389682							no					GEO	SRA774038		public	300D76534BE1A6456CCFAA861615295B	76A52741D4FD4A4732090F466AE1D0AB	10061010	AD-i-2	Institut Curie	9606	SRS3774717	GSM3389682	A549	Cytosol	Non-small cell lung cancer cell line	Vehicle (DMSO)	A549.Cytosol.Vehicle..DMSO.
SAMN10061011	SRR7830211	2019-04-01T16:52:11Z	2018-09-14T13:47:51Z	26057578	1163972877	0	44	559		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/830/SRR7830211.sralite.1	SRX4681174		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774715	simple	9606	Homo sapiens	GSM3389681							no					GEO	SRA774038		public	D87DA42DB62BE47F582EEB96D3A90CA7	6617CDA2175FB969900E5F34F5BEE5D6	10061011	RC-i-1	Institut Curie	9606	SRS3774715	GSM3389681	A549R	Cytosol	Non-small cell lung cancer cell line	Cisplatin	A549R.Cytosol.Cisplatin
SAMN10061012	SRR7830210	2019-04-01T16:52:11Z	2018-09-14T13:46:00Z	27414985	1223710834	0	44	588		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/830/SRR7830210.sralite.1	SRX4681173		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774712	simple	9606	Homo sapiens	GSM3389680							no					GEO	SRA774038		public	2069DED7D3C95BBC275EB52FBBDB6EF6	C783F3DA0727AD660C3E438B11B0552C	10061012	RD-i-1	Institut Curie	9606	SRS3774712	GSM3389680	A549R	Cytosol	Non-small cell lung cancer cell line	Vehicle (DMSO)	A549R.Cytosol.Vehicle..DMSO.
SAMN10061013	SRR7830209	2019-04-01T16:52:11Z	2018-09-14T13:46:16Z	22645501	1015574571	0	44	483		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/830/SRR7830209.sralite.1	SRX4681172		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP161781	PRJNA490888		490888	SRS3774713	simple	9606	Homo sapiens	GSM3389679							no					GEO	SRA774038		public	DB0051EA89D51E124DB21ABBADD369F7	A57D07D1A685E59C0E03E3BED7D6B19A	10061013	AC-i-1	Institut Curie	9606	SRS3774713	GSM3389679	A549	Cytosol	Non-small cell lung cancer cell line	Cisplatin	A549.Cytosol.Cisplatin
