accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	timepoint	tissue source	treatment
SAMN02721625	2721625	13.24hr.JJN3.5.AZA	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590267	GSM1365944	JJN3	Multiple myeloma	24hr	bone marrow	5.AZA
SAMN02721626	2721626	17.24hr.U266.LBH.589	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590271	GSM1365948	U266	Multiple myeloma	24hr	peripheral blood	LBH.589
SAMN02721627	2721627	19.24hr.U266.Combo	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590273	GSM1365950	U266	Multiple myeloma	24hr	peripheral blood	Combo
SAMN02721628	2721628	21.4hr.JJN3.Control.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590275	GSM1365952	JJN3	Multiple myeloma	4hr	bone marrow	Control
SAMN02721629	2721629	15.24hr.JJN3.NMP	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590269	GSM1365946	JJN3	Multiple myeloma	24hr	bone marrow	NMP
SAMN02721630	2721630	14.24hr.JJN3.Combo	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590268	GSM1365945	JJN3	Multiple myeloma	24hr	bone marrow	Combo
SAMN02721631	2721631	20.24hr.U266.NMP	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590274	GSM1365951	U266	Multiple myeloma	24hr	peripheral blood	NMP
SAMN02721632	2721632	18.24hr.U266.5.AZA	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590272	GSM1365949	U266	Multiple myeloma	24hr	peripheral blood	5.AZA
SAMN02721633	2721633	25.4hr.JJN3.NMP.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590279	GSM1365956	JJN3	Multiple myeloma	4hr	bone marrow	NMP
SAMN02721634	2721634	22.4hr.JJN3.LBH.589.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590276	GSM1365953	JJN3	Multiple myeloma	4hr	bone marrow	LBH.589
SAMN02721635	2721635	27.4hr.U266.LBH.589.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590281	GSM1365958	U266	Multiple myeloma	4hr	peripheral blood	LBH.589
SAMN02721636	2721636	23.4hr.JJN3.5.AZA.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590277	GSM1365954	JJN3	Multiple myeloma	4hr	bone marrow	5.AZA
SAMN02721637	2721637	29.4hr.U266.Combo.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590283	GSM1365960	U266	Multiple myeloma	4hr	peripheral blood	Combo
SAMN02721638	2721638	31.24hr.JJN3.Control.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590285	GSM1365962	JJN3	Multiple myeloma	24hr	bone marrow	Control
SAMN02721639	2721639	11.24hr.JJN3.Control	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590265	GSM1365942	JJN3	Multiple myeloma	24hr	bone marrow	Control
SAMN02721640	2721640	35.24hr.JJN3.NMP.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590289	GSM1365966	JJN3	Multiple myeloma	24hr	bone marrow	NMP
SAMN02721641	2721641	32.24hr.JJN3.LBH.589.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590286	GSM1365963	JJN3	Multiple myeloma	24hr	bone marrow	LBH.589
SAMN02721642	2721642	24.4hr.JJN3.Combo.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590278	GSM1365955	JJN3	Multiple myeloma	4hr	bone marrow	Combo
SAMN02721643	2721643	30.4hr.U266.NMP.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590284	GSM1365961	U266	Multiple myeloma	4hr	peripheral blood	NMP
SAMN02721647	2721647	38.24hr.U266.5.AZA.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590292	GSM1365969	U266	Multiple myeloma	24hr	peripheral blood	5.AZA
SAMN02721648	2721648	33.24hr.JJN3.5.AZA.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590287	GSM1365964	JJN3	Multiple myeloma	24hr	bone marrow	5.AZA
SAMN02721649	2721649	41.4hr.JJN3.Control..C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590295	GSM1365972	JJN3	Multiple myeloma	4hr	bone marrow	Control
SAMN02721650	2721650	42.4hr.JJN3.LBH.589.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590296	GSM1365973	JJN3	Multiple myeloma	4hr	bone marrow	LBH.589
SAMN02721651	2721651	36.24hr.U266.Control.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590290	GSM1365967	U266	Multiple myeloma	24hr	peripheral blood	Control
SAMN02721652	2721652	44.4hr.JJN3.Combo.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590298	GSM1365975	JJN3	Multiple myeloma	4hr	bone marrow	Combo
SAMN02721653	2721653	37.24hr.U266.LBH.589.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590291	GSM1365968	U266	Multiple myeloma	24hr	peripheral blood	LBH.589
SAMN02721654	2721654	28.4hr.U266.5.AZA.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590282	GSM1365959	U266	Multiple myeloma	4hr	peripheral blood	5.AZA
SAMN02721655	2721655	26.4hr.U266.Control.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590280	GSM1365957	U266	Multiple myeloma	4hr	peripheral blood	Control
SAMN02721656	2721656	34.24hr.JJN3.Combo.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590288	GSM1365965	JJN3	Multiple myeloma	24hr	bone marrow	Combo
SAMN02721657	2721657	40.24hr.U266.NMP.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590294	GSM1365971	U266	Multiple myeloma	24hr	peripheral blood	NMP
SAMN02721658	2721658	39.24hr.U266.Combo.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590293	GSM1365970	U266	Multiple myeloma	24hr	peripheral blood	Combo
SAMN02721659	2721659	45.4hr.JJN3.NMP.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590299	GSM1365976	JJN3	Multiple myeloma	4hr	bone marrow	NMP
SAMN02721660	2721660	43.4hr.JJN3.5.AZA.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590297	GSM1365974	JJN3	Multiple myeloma	4hr	bone marrow	5.AZA
SAMN02721661	2721661	47.4hr.U266.LBH.589.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590301	GSM1365978	U266	Multiple myeloma	4hr	peripheral blood	LBH.589
SAMN02721662	2721662	50.4hr.U266.NMP.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590304	GSM1365981	U266	Multiple myeloma	4hr	peripheral blood	NMP
SAMN02721663	2721663	48.4hr.U266.5.AZA.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590302	GSM1365979	U266	Multiple myeloma	4hr	peripheral blood	5.AZA
SAMN02721664	2721664	46.4hr.U266.Control.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590300	GSM1365977	U266	Multiple myeloma	4hr	peripheral blood	Control
SAMN02721665	2721665	53.24hr.JJN3.5.AZA.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590307	GSM1365984	JJN3	Multiple myeloma	24hr	bone marrow	5.AZA
SAMN02721666	2721666	49.4hr.U266.Combo.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590303	GSM1365980	U266	Multiple myeloma	4hr	peripheral blood	Combo
SAMN02721667	2721667	52.24hr.JJN3.LBH.589.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590306	GSM1365983	JJN3	Multiple myeloma	24hr	bone marrow	LBH.589
SAMN02721668	2721668	51.24hr.JJN3.Control.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590305	GSM1365982	JJN3	Multiple myeloma	24hr	bone marrow	Control
SAMN02721669	2721669	54.24hr.JJN3.Combo.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590308	GSM1365985	JJN3	Multiple myeloma	24hr	bone marrow	Combo
SAMN02721670	2721670	56.24hr.U266.Control.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590310	GSM1365987	U266	Multiple myeloma	24hr	peripheral blood	Control
SAMN02721671	2721671	55.24hr.JJN3.NMP.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590309	GSM1365986	JJN3	Multiple myeloma	24hr	bone marrow	NMP
SAMN02721672	2721672	59.24hr.U266.Combo.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590313	GSM1365990	U266	Multiple myeloma	24hr	peripheral blood	Combo
SAMN02721673	2721673	57.24hr.U266.LBH.589.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590311	GSM1365988	U266	Multiple myeloma	24hr	peripheral blood	LBH.589
SAMN02721674	2721674	58.24hr.U266.5.AZA.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590312	GSM1365989	U266	Multiple myeloma	24hr	peripheral blood	5.AZA
SAMN02721675	2721675	60.24hr.U266.NMP.C	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590314	GSM1365991	U266	Multiple myeloma	24hr	peripheral blood	NMP
