accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	treatment duration
SAMN08196722	8196722	CaCO-2et KRAS WT treated with DMSO for 24 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764429	GSM2892155	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 24 hrs	DMSO	24 hrs
SAMN08196723	8196723	CaCO-2et KRAS WT treated with DMSO for 24 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764428	GSM2892154	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 24 hrs	DMSO	24 hrs
SAMN08196724	8196724	CaCO-2et KRAS WT treated with MS-275 for 6 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764426	GSM2892153	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 6 hrs	MS-275	6 hrs
SAMN08196725	8196725	CaCO-2et KRAS WT treated with MS-275 for 6 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764427	GSM2892152	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 6 hrs	MS-275	6 hrs
SAMN08196726	8196726	CaCO-2et KRAS WT treated with MS-275 for 6 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764425	GSM2892151	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 6 hrs	MS-275	6 hrs
SAMN08196727	8196727	CaCO-2et KRAS WT treated with DMSO for 6 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764424	GSM2892150	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 6 hrs	DMSO	6 hrs
SAMN08196728	8196728	CaCO-2et KRAS WT treated with DMSO for 6 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764448	GSM2892149	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 6 hrs	DMSO	6 hrs
SAMN08196729	8196729	CaCO-2et KRAS WT treated with MS-275 for 1 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764423	GSM2892148	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 1 hrs	MS-275	1 hrs
SAMN08196730	8196730	CaCO-2et KRAS G12V treated with MS-275 for 72 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764416	GSM2892141	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 72 hrs	MS-275	72 hrs
SAMN08196731	8196731	CaCO-2et KRAS G12V treated with DMSO for 72 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764415	GSM2892140	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 72 hrs	DMSO	72 hrs
SAMN08196732	8196732	CaCO-2et KRAS WT treated with MS-275 for 1 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764422	GSM2892147	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 1 hrs	MS-275	1 hrs
SAMN08196733	8196733	CaCO-2et KRAS WT treated with MS-275 for 1 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764421	GSM2892146	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 1 hrs	MS-275	1 hrs
SAMN08196734	8196734	CaCO-2et KRAS WT treated with DMSO for 1 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764420	GSM2892145	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 1 hrs	DMSO	1 hrs
SAMN08196735	8196735	CaCO-2et KRAS WT treated with DMSO for 1 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764419	GSM2892144	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 1 hrs	DMSO	1 hrs
SAMN08196736	8196736	CaCO-2et KRAS G12V treated with MS-275 for 72 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764418	GSM2892143	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 72 hrs	MS-275	72 hrs
SAMN08196737	8196737	CaCO-2et KRAS G12V treated with DMSO for 72 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764414	GSM2892139	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 72 hrs	DMSO	72 hrs
SAMN08196738	8196738	CaCO-2et KRAS G12V treated with DMSO for 24 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764409	GSM2892134	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 24 hrs	DMSO	24 hrs
SAMN08196739	8196739	CaCO-2et KRAS G12V treated with MS-275 for 6 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764408	GSM2892133	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 6 hrs	MS-275	6 hrs
SAMN08196740	8196740	CaCO-2et KRAS G12V treated with DMSO for 24 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764410	GSM2892135	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 24 hrs	DMSO	24 hrs
SAMN08196741	8196741	CaCO-2et KRAS G12V treated with MS-275 for 24 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764411	GSM2892136	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 24 hrs	MS-275	24 hrs
SAMN08196742	8196742	CaCO-2et KRAS G12V treated with MS-275 for 24 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764412	GSM2892137	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 24 hrs	MS-275	24 hrs
SAMN08196743	8196743	CaCO-2et KRAS G12V treated with MS-275 for 1 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764402	GSM2892127	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 1 hrs	MS-275	1 hrs
SAMN08196744	8196744	CaCO-2et KRAS G12V treated with MS-275 for 1 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764401	GSM2892126	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 1 hrs	MS-275	1 hrs
SAMN08196745	8196745	CaCO-2et KRAS G12V treated with MS-275 for 1 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764403	GSM2892128	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 1 hrs	MS-275	1 hrs
SAMN08196746	8196746	CaCO-2et KRAS G12V treated with DMSO for 6 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764404	GSM2892129	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 6 hrs	DMSO	6 hrs
SAMN08196747	8196747	CaCO-2et KRAS G12V treated with DMSO for 6 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764405	GSM2892130	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 6 hrs	DMSO	6 hrs
SAMN08196748	8196748	CaCO-2et KRAS G12V treated with MS-275 for 6 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764407	GSM2892132	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 6 hrs	MS-275	6 hrs
SAMN08196749	8196749	CaCO-2et KRAS G12V treated with MS-275 for 6 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764406	GSM2892131	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 6 hrs	MS-275	6 hrs
SAMN08196750	8196750	CaCO-2et KRAS G12V treated with DMSO for 1 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764400	GSM2892125	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 1 hrs	DMSO	1 hrs
