BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	treatment duration	group
SAMN08196738	SRR6384820	2019-04-01T16:49:19Z	2017-12-18T12:16:14Z	51139605	10330200210	51139605	202	3558		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384820/SRR6384820.1	SRX3478420		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764409	simple	9606	Homo sapiens	GSM2892134							no					GEO	SRA639508		public	CDF8E15B214ECB55559478D801569469	78CE41C2D4C0D53FC185BD3EE9417A75	8196738	CaCO-2et KRAS G12V treated with DMSO for 24 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764409	GSM2892134	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 24 hrs	DMSO	24 hrs	G12V.DMSO.24
SAMN08196740	SRR6384821	2019-04-01T16:49:19Z	2017-12-18T11:43:37Z	46354093	9363526786	46354093	202	3260		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384821/SRR6384821.1	SRX3478421		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764410	simple	9606	Homo sapiens	GSM2892135							no					GEO	SRA639508		public	02077C7001175025181F81DCB159B5C9	AED78F76680C454C6D5EAB486FF7D868	8196740	CaCO-2et KRAS G12V treated with DMSO for 24 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764410	GSM2892135	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 24 hrs	DMSO	24 hrs	G12V.DMSO.24
SAMN08196741	SRR6384822	2019-04-01T16:49:19Z	2017-12-18T11:45:59Z	52249706	10554440612	52249706	202	3620		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384822/SRR6384822.1	SRX3478422		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764411	simple	9606	Homo sapiens	GSM2892136							no					GEO	SRA639508		public	662845072FF6AE12BCDA77D0C2F65802	0129406FCF9B73D0D640D326CF8955E9	8196741	CaCO-2et KRAS G12V treated with MS-275 for 24 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764411	GSM2892136	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 24 hrs	MS-275	24 hrs	G12V.MS275.24
SAMN08196742	SRR6384823	2019-04-01T16:49:19Z	2017-12-18T11:43:29Z	44575737	9004298874	44575737	202	3039		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384823/SRR6384823.1	SRX3478423		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764412	simple	9606	Homo sapiens	GSM2892137							no					GEO	SRA639508		public	CF75ECA1132A5E15AEC5A0FB50B121D3	8FDB7F0B3E2A10842DAB431D356273AB	8196742	CaCO-2et KRAS G12V treated with MS-275 for 24 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764412	GSM2892137	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 24 hrs	MS-275	24 hrs	G12V.MS275.24
SAMN08196709	SRR6384824	2019-04-01T16:49:19Z	2017-12-18T11:48:39Z	51188987	10340175374	51188987	202	3525		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384824/SRR6384824.1	SRX3478424		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764413	simple	9606	Homo sapiens	GSM2892138							no					GEO	SRA639508		public	1273D8358B416676191545396E9683B0	42143080AF3D631664DEB2E866CEB450	8196709	CaCO-2et KRAS G12V treated with MS-275 for 24 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764413	GSM2892138	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 24 hrs	MS-275	24 hrs	G12V.MS275.24
SAMN08196737	SRR6384825	2019-04-01T16:49:19Z	2017-12-18T12:01:52Z	57347394	11584173588	57347394	202	3968		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384825/SRR6384825.1	SRX3478425		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764414	simple	9606	Homo sapiens	GSM2892139							no					GEO	SRA639508		public	6F4983BB3066B182632D4E3B3424C010	FBF66BFE25D7F759E006213450F471A6	8196737	CaCO-2et KRAS G12V treated with DMSO for 72 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764414	GSM2892139	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 72 hrs	DMSO	72 hrs	G12V.DMSO.72
SAMN08196731	SRR6384826	2019-04-01T16:49:19Z	2017-12-18T12:00:48Z	59728249	12065106298	59728249	202	4088		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384826/SRR6384826.1	SRX3478426		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764415	simple	9606	Homo sapiens	GSM2892140							no					GEO	SRA639508		public	A3C2D337990D4CF6361844B3E40E209D	D046DE772D4DD5081E41403D6158D9F8	8196731	CaCO-2et KRAS G12V treated with DMSO for 72 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764415	GSM2892140	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 72 hrs	DMSO	72 hrs	G12V.DMSO.72
SAMN08196730	SRR6384827	2019-04-01T16:49:19Z	2017-12-18T12:01:24Z	57612840	11637793680	57612840	202	3976		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384827/SRR6384827.1	SRX3478427		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764416	simple	9606	Homo sapiens	GSM2892141							no					GEO	SRA639508		public	B48CDFAC6E663F25089186178E15DA9F	68D16A159FED6C5DFC1A07DD0045A446	8196730	CaCO-2et KRAS G12V treated with MS-275 for 72 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764416	GSM2892141	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 72 hrs	MS-275	72 hrs	G12V.MS275.72
SAMN08196708	SRR6384828	2019-04-01T16:49:19Z	2017-12-18T11:47:15Z	50938117	10289499634	50938117	202	3480		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384828/SRR6384828.1	SRX3478428		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764417	simple	9606	Homo sapiens	GSM2892142							no					GEO	SRA639508		public	76C62B5217310B1083F6F9F4AA9C8B2E	2CB7222BB539C0771D10A757E30DBB94	8196708	CaCO-2et KRAS G12V treated with MS-275 for 72 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764417	GSM2892142	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 72 hrs	MS-275	72 hrs	G12V.MS275.72
SAMN08196736	SRR6384829	2019-04-01T16:49:19Z	2017-12-18T12:13:31Z	44280870	8944735740	44280870	202	3057		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384829/SRR6384829.1	SRX3478429		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764418	simple	9606	Homo sapiens	GSM2892143							no					GEO	SRA639508		public	0CFEC38E8FBE93956D3732605B021FF0	97E390F5C975B44DB233602AE43527C1	8196736	CaCO-2et KRAS G12V treated with MS-275 for 72 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764418	GSM2892143	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 72 hrs	MS-275	72 hrs	G12V.MS275.72
SAMN08196735	SRR6384830	2019-04-01T16:49:19Z	2017-12-18T12:11:07Z	48637495	9824773990	48637495	202	3346		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384830/SRR6384830.1	SRX3478430		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764419	simple	9606	Homo sapiens	GSM2892144							no					GEO	SRA639508		public	9CC470B5ED23E424A6D3F1C6C4944C6F	F9A5B92E500B95C426B88C96C3E996A3	8196735	CaCO-2et KRAS WT treated with DMSO for 1 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764419	GSM2892144	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 1 hrs	DMSO	1 hrs	WT.DMSO.1
SAMN08196734	SRR6384831	2019-04-01T16:49:19Z	2017-12-18T12:03:36Z	53426073	10792066746	53426073	202	3722		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384831/SRR6384831.1	SRX3478431		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764420	simple	9606	Homo sapiens	GSM2892145							no					GEO	SRA639508		public	581A70F2E24DF20625D4C3E65F7FBCBD	C46611B83BCABB8AA891E39D2FF84237	8196734	CaCO-2et KRAS WT treated with DMSO for 1 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764420	GSM2892145	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 1 hrs	DMSO	1 hrs	WT.DMSO.1
SAMN08196733	SRR6384832	2019-04-01T16:49:20Z	2017-12-18T11:52:08Z	43681558	8823674716	43681558	202	3009		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384832/SRR6384832.1	SRX3478432		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764421	simple	9606	Homo sapiens	GSM2892146							no					GEO	SRA639508		public	EF53DBE72B42703F0EAE751661A48AE7	0FF89C77B416E973B4929650347A7F79	8196733	CaCO-2et KRAS WT treated with MS-275 for 1 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764421	GSM2892146	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 1 hrs	MS-275	1 hrs	WT.MS275.1
SAMN08196732	SRR6384833	2019-04-01T16:49:20Z	2017-12-18T11:45:05Z	48610896	9819400992	48610896	202	3370		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384833/SRR6384833.1	SRX3478433		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764422	simple	9606	Homo sapiens	GSM2892147							no					GEO	SRA639508		public	6DF68AFA2C4FCA078A86016E860068F1	2E390123D76B665B6A6AAC606E89CFF6	8196732	CaCO-2et KRAS WT treated with MS-275 for 1 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764422	GSM2892147	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 1 hrs	MS-275	1 hrs	WT.MS275.1
SAMN08196729	SRR6384834	2019-04-01T16:49:20Z	2017-12-18T12:00:25Z	49076768	9913507136	49076768	202	3378		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384834/SRR6384834.1	SRX3478434		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764423	simple	9606	Homo sapiens	GSM2892148							no					GEO	SRA639508		public	2B51E7171B720A048096D807438F7670	6B52DB408BABB4C96A55139DC27AA1B8	8196729	CaCO-2et KRAS WT treated with MS-275 for 1 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764423	GSM2892148	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 1 hrs	MS-275	1 hrs	WT.MS275.1
SAMN08196728	SRR6384835	2019-04-01T16:49:20Z	2017-12-18T11:52:30Z	45948660	9281629320	45948660	202	3169		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384835/SRR6384835.1	SRX3478435		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764448	simple	9606	Homo sapiens	GSM2892149							no					GEO	SRA639508		public	680074FC7DD9D28FA166BCA3F660054C	2B6ADEA9646135BC0E77794A87129F6F	8196728	CaCO-2et KRAS WT treated with DMSO for 6 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764448	GSM2892149	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 6 hrs	DMSO	6 hrs	WT.DMSO.6
SAMN08196727	SRR6384836	2019-04-01T16:49:20Z	2017-12-18T11:48:51Z	39124030	7903054060	39124030	202	2722		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384836/SRR6384836.1	SRX3478436		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764424	simple	9606	Homo sapiens	GSM2892150							no					GEO	SRA639508		public	4B01574893EDB6C063D2ADC4921AF06C	0165BDE8A85AE7EBF3BFC37E66CF0BDF	8196727	CaCO-2et KRAS WT treated with DMSO for 6 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764424	GSM2892150	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 6 hrs	DMSO	6 hrs	WT.DMSO.6
SAMN08196726	SRR6384837	2019-04-01T16:49:20Z	2017-12-18T12:27:32Z	44544695	8998028390	44544695	202	3148		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384837/SRR6384837.1	SRX3478437		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764425	simple	9606	Homo sapiens	GSM2892151							no					GEO	SRA639508		public	EB659BF2A0B5BC1541DA041AD3B160C5	26F6B7B6579889D3CCD95870F61AAAB7	8196726	CaCO-2et KRAS WT treated with MS-275 for 6 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764425	GSM2892151	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 6 hrs	MS-275	6 hrs	WT.MS275.6
SAMN08196725	SRR6384838	2019-04-01T16:49:20Z	2017-12-18T12:23:03Z	56051960	11322495920	56051960	202	3903		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384838/SRR6384838.1	SRX3478438		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764427	simple	9606	Homo sapiens	GSM2892152							no					GEO	SRA639508		public	B000452DAD98731C7859D752CE5A770E	F4694E43542AA0D9EE040A7238798CC8	8196725	CaCO-2et KRAS WT treated with MS-275 for 6 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764427	GSM2892152	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 6 hrs	MS-275	6 hrs	WT.MS275.6
SAMN08196724	SRR6384839	2019-04-01T16:49:20Z	2017-12-18T12:16:16Z	44982027	9086369454	44982027	202	3079		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384839/SRR6384839.1	SRX3478439		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764426	simple	9606	Homo sapiens	GSM2892153							no					GEO	SRA639508		public	A6D46858196AE8A4636FEEF8A6727DAA	9D7449D364128EFD5801A39C93DBEBB9	8196724	CaCO-2et KRAS WT treated with MS-275 for 6 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764426	GSM2892153	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 6 hrs	MS-275	6 hrs	WT.MS275.6
SAMN08196723	SRR6384840	2019-04-01T16:49:20Z	2017-12-18T11:59:11Z	47758923	9647302446	47758923	202	3318		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6384840/SRR6384840.1	SRX3478440		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP126938	PRJNA422779		422779	SRS2764428	simple	9606	Homo sapiens	GSM2892154							no					GEO	SRA639508		public	9BB353BEE1AE1E30413D7EC9BE9BAEA2	F7F2B9CCA7750B1D0167811B6C824E3E	8196723	CaCO-2et KRAS WT treated with DMSO for 24 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764428	GSM2892154	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 24 hrs	DMSO	24 hrs	WT.DMSO.24
