accession	uid	title	organization	taxonomy	sra	geo	Sex	age	cell line	collection_date	geo_loc_name	provider	source_name	treatment	vendor id
SAMN27108743	27108743	lncap_LNCAPPS5B_E12_Vincristine_0.025_24	Department of Systems Biology, Columbia University	9606	SRS13705488	GSM5986685	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Vincristine	CRL-1740
SAMN27108744	27108744	lncap_LNCAPPS5B_E11_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705486	GSM5986684	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27108745	27108745	lncap_LNCAPPS5B_E10_Niclosamide_1_24	Department of Systems Biology, Columbia University	9606	SRS13705484	GSM5986683	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Niclosamide	CRL-1740
SAMN27108746	27108746	lncap_LNCAPPS5B_E9_Diphenyleneiodonium chloride_0.04_24	Department of Systems Biology, Columbia University	9606	SRS13705485	GSM5986682	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Diphenyleneiodonium chloride	CRL-1740
SAMN27108747	27108747	lncap_LNCAPPS5B_E8_Calcimycin_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705483	GSM5986681	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Calcimycin	CRL-1740
SAMN27108748	27108748	lncap_LNCAPPS5B_E7_Cantharidin_1_24	Department of Systems Biology, Columbia University	9606	SRS13705482	GSM5986680	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Cantharidin	CRL-1740
SAMN27108749	27108749	lncap_LNCAPPS5B_E6_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705481	GSM5986679	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27108750	27108750	lncap_LNCAPPS5B_E5_Astemizole_2_24	Department of Systems Biology, Columbia University	9606	SRS13705480	GSM5986678	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Astemizole	CRL-1740
SAMN27108751	27108751	lncap_LNCAPPS5B_E4_SNAP 5089_3_24	Department of Systems Biology, Columbia University	9606	SRS13705479	GSM5986677	male	50	LNCaP	missing	missing	ATCC	prostate cancer	SNAP 5089	CRL-1740
SAMN27108752	27108752	lncap_LNCAPPS5B_E3_ER 27319 maleate_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705478	GSM5986676	male	50	LNCaP	missing	missing	ATCC	prostate cancer	ER 27319 maleate	CRL-1740
SAMN27108753	27108753	lncap_LNCAPPS5B_E2_WIN 64338 hydrochloride_2_24	Department of Systems Biology, Columbia University	9606	SRS13705477	GSM5986675	male	50	LNCaP	missing	missing	ATCC	prostate cancer	WIN 64338 hydrochloride	CRL-1740
SAMN27108754	27108754	lncap_LNCAPPS5B_E1_Pyrrolidinedithiocarbamate ammonium_1_24	Department of Systems Biology, Columbia University	9606	SRS13705473	GSM5986674	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Pyrrolidinedithiocarbamate ammonium	CRL-1740
SAMN27108755	27108755	lncap_LNCAPPS5B_D12_CP-31398 dihydrochloride hydrate_2_24	Department of Systems Biology, Columbia University	9606	SRS13705472	GSM5986673	male	50	LNCaP	missing	missing	ATCC	prostate cancer	CP-31398 dihydrochloride hydrate	CRL-1740
SAMN27108756	27108756	lncap_LNCAPPS5B_D11_Terfenadine_2_24	Department of Systems Biology, Columbia University	9606	SRS13705471	GSM5986672	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Terfenadine	CRL-1740
SAMN27108757	27108757	lncap_LNCAPPS5B_D10_Parthenolide_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705470	GSM5986671	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Parthenolide	CRL-1740
SAMN27108758	27108758	lncap_LNCAPPS5B_D9_(S)-(+)-Camptothecin_0.035_24	Department of Systems Biology, Columbia University	9606	SRS13705469	GSM5986670	male	50	LNCaP	missing	missing	ATCC	prostate cancer	(S)-(+)-Camptothecin	CRL-1740
SAMN27108759	27108759	lncap_LNCAPPS5B_D8_Benserazide hydrochloride_4.5_24	Department of Systems Biology, Columbia University	9606	SRS13705468	GSM5986669	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Benserazide hydrochloride	CRL-1740
SAMN27108760	27108760	lncap_LNCAPPS5B_D7_Chelerythrine chloride_1_24	Department of Systems Biology, Columbia University	9606	SRS13705467	GSM5986668	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Chelerythrine chloride	CRL-1740
SAMN27108761	27108761	lncap_LNCAPPS5B_D6_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705466	GSM5986667	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27108762	27108762	lncap_LNCAPPS5B_D5_NSC632839_2_24	Department of Systems Biology, Columbia University	9606	SRS13705465	GSM5986666	male	50	LNCaP	missing	missing	ATCC	prostate cancer	NSC632839	CRL-1740
SAMN27108763	27108763	lncap_LNCAPPS5B_D4_IMD 0354_2_24	Department of Systems Biology, Columbia University	9606	SRS13705464	GSM5986665	male	50	LNCaP	missing	missing	ATCC	prostate cancer	IMD 0354	CRL-1740
SAMN27108764	27108764	lncap_LNCAPPS5B_D3_Ro 31-8220 mesylate_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705463	GSM5986664	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ro 31-8220 mesylate	CRL-1740
SAMN27108765	27108765	lncap_LNCAPPS5B_D2_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705462	GSM5986663	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27108766	27108766	lncap_LNCAPPS5B_D1_Tetrindole mesylate_3_24	Department of Systems Biology, Columbia University	9606	SRS13705461	GSM5986662	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Tetrindole mesylate	CRL-1740
SAMN27108767	27108767	lncap_LNCAPPS5B_C12_Sanguinarine chloride_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705460	GSM5986661	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Sanguinarine chloride	CRL-1740
SAMN27108768	27108768	lncap_LNCAPPS5B_C11_Quinacrine dihydrochloride_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705459	GSM5986660	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Quinacrine dihydrochloride	CRL-1740
SAMN27108769	27108769	lncap_LNCAPPS5B_C10_Ivermectin_2_24	Department of Systems Biology, Columbia University	9606	SRS13705458	GSM5986659	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ivermectin	CRL-1740
SAMN27108770	27108770	lncap_LNCAPPS5B_C9_2_3-Dimethoxy-1_4-naphthoquinone_3-Dimethoxy-1_4-naphthoquinone_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705457	GSM5986658	male	50	LNCaP	missing	missing	ATCC	prostate cancer	2_3-Dimethoxy-1_4-naphthoquinone_3-Dimethoxy-1_4-naphthoquinone	CRL-1740
SAMN27108771	27108771	lncap_LNCAPPS5B_C8_Bromoacetyl alprenolol menthane_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705456	GSM5986657	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Bromoacetyl alprenolol menthane	CRL-1740
SAMN27108772	27108772	lncap_LNCAPPS5B_C7_Anisomycin_0.06_24	Department of Systems Biology, Columbia University	9606	SRS13705455	GSM5986656	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Anisomycin	CRL-1740
SAMN27108773	27108773	lncap_LNCAPPS5B_C6_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705454	GSM5986655	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27108774	27108774	lncap_LNCAPPS5B_C5_CGK 733_3_24	Department of Systems Biology, Columbia University	9606	SRS13705453	GSM5986654	male	50	LNCaP	missing	missing	ATCC	prostate cancer	CGK 733	CRL-1740
SAMN27108775	27108775	lncap_LNCAPPS5B_C4_Bax channel blocker_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705452	GSM5986653	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Bax channel blocker	CRL-1740
SAMN27108776	27108776	lncap_LNCAPPS5B_C3_ZK 93423_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705451	GSM5986652	male	50	LNCaP	missing	missing	ATCC	prostate cancer	ZK 93423	CRL-1740
SAMN27108777	27108777	lncap_LNCAPPS5B_C2_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705450	GSM5986651	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27108778	27108778	lncap_LNCAPPS5B_C1_IPAG_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705449	GSM5986650	male	50	LNCaP	missing	missing	ATCC	prostate cancer	IPAG	CRL-1740
SAMN27108779	27108779	lncap_LNCAPPS5B_B12_Wiskostatin_2_24	Department of Systems Biology, Columbia University	9606	SRS13705448	GSM5986649	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Wiskostatin	CRL-1740
SAMN27108780	27108780	lncap_LNCAPPS5B_B11_Stattic_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705447	GSM5986648	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Stattic	CRL-1740
SAMN27108781	27108781	lncap_LNCAPPS5B_B10_L-703_606 oxalate salt hydrate_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705446	GSM5986647	male	50	LNCaP	missing	missing	ATCC	prostate cancer	L-703_606 oxalate salt hydrate	CRL-1740
SAMN27108782	27108782	lncap_LNCAPPS5B_B9_NSC 95397_1_24	Department of Systems Biology, Columbia University	9606	SRS13705445	GSM5986646	male	50	LNCaP	missing	missing	ATCC	prostate cancer	NSC 95397	CRL-1740
SAMN27108783	27108783	lncap_LNCAPPS5B_B8_CGP-74514A hydrochloride_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705444	GSM5986645	male	50	LNCaP	missing	missing	ATCC	prostate cancer	CGP-74514A hydrochloride	CRL-1740
SAMN27108784	27108784	lncap_LNCAPPS5B_B7_(R)-CR8_0.23_24	Department of Systems Biology, Columbia University	9606	SRS13705443	GSM5986644	male	50	LNCaP	missing	missing	ATCC	prostate cancer	(R)-CR8	CRL-1740
SAMN27108785	27108785	lncap_LNCAPPS5B_B6_DIPPA hydrochloride_2_24	Department of Systems Biology, Columbia University	9606	SRS13705442	GSM5986643	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DIPPA hydrochloride	CRL-1740
SAMN27108786	27108786	lncap_LNCAPPS5B_B5_CGP 71683 hydrochloride_5_24	Department of Systems Biology, Columbia University	9606	SRS13705275	GSM5986642	male	50	LNCaP	missing	missing	ATCC	prostate cancer	CGP 71683 hydrochloride	CRL-1740
SAMN27108787	27108787	lncap_LNCAPPS5B_B4_Lylamine hydrochloride_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705273	GSM5986641	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Lylamine hydrochloride	CRL-1740
SAMN27108788	27108788	lncap_LNCAPPS5B_B3_NSC 663284_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705274	GSM5986640	male	50	LNCaP	missing	missing	ATCC	prostate cancer	NSC 663284	CRL-1740
SAMN27108789	27108789	lncap_LNCAPPS5B_B2_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705272	GSM5986639	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27108790	27108790	lncap_LNCAPPS5B_B1_HEAT hydrochloride_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705271	GSM5986638	male	50	LNCaP	missing	missing	ATCC	prostate cancer	HEAT hydrochloride	CRL-1740
SAMN27108791	27108791	lncap_LNCAPPS5B_A12_PAC-1_2_24	Department of Systems Biology, Columbia University	9606	SRS13705270	GSM5986637	male	50	LNCaP	missing	missing	ATCC	prostate cancer	PAC-1	CRL-1740
SAMN27108792	27108792	lncap_LNCAPPS5B_A11_Auranofin_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705269	GSM5986636	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Auranofin	CRL-1740
SAMN27108793	27108793	lncap_LNCAPPS5B_A10_NNC 55-0396_4.5_24	Department of Systems Biology, Columbia University	9606	SRS13705268	GSM5986635	male	50	LNCaP	missing	missing	ATCC	prostate cancer	NNC 55-0396	CRL-1740
SAMN27108794	27108794	lncap_LNCAPPS5B_A9_Ellipticine_1_24	Department of Systems Biology, Columbia University	9606	SRS13705267	GSM5986634	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ellipticine	CRL-1740
SAMN27108795	27108795	lncap_LNCAPPS5B_A8_Z-L-Phe chloromethyl ketone_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705266	GSM5986633	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Z-L-Phe chloromethyl ketone	CRL-1740
SAMN27108796	27108796	lncap_LNCAPPS5B_A7_SR 33805 oxalate_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705265	GSM5986632	male	50	LNCaP	missing	missing	ATCC	prostate cancer	SR 33805 oxalate	CRL-1740
SAMN27108797	27108797	lncap_LNCAPPS5B_A6_SU 3327_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705234	GSM5986631	male	50	LNCaP	missing	missing	ATCC	prostate cancer	SU 3327	CRL-1740
SAMN27108798	27108798	lncap_LNCAPPS5B_A5_Mibefradil dihydrochloride_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705264	GSM5986630	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Mibefradil dihydrochloride	CRL-1740
SAMN27108799	27108799	lncap_LNCAPPS5B_A4_IKK 16_2_24	Department of Systems Biology, Columbia University	9606	SRS13705263	GSM5986629	male	50	LNCaP	missing	missing	ATCC	prostate cancer	IKK 16	CRL-1740
SAMN27108800	27108800	lncap_LNCAPPS5B_A3_(R)-(-)-Niguldipine hydrochloride_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705262	GSM5986628	male	50	LNCaP	missing	missing	ATCC	prostate cancer	(R)-(-)-Niguldipine hydrochloride	CRL-1740
SAMN27108801	27108801	lncap_LNCAPPS5B_A2_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705261	GSM5986627	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27108802	27108802	lncap_LNCAPPS5B_A1_3'-Fluorobenzylspiperone maleate_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705260	GSM5986626	male	50	LNCaP	missing	missing	ATCC	prostate cancer	3'-Fluorobenzylspiperone maleate	CRL-1740
SAMN27108803	27108803	lncap_LNCAPPS5A_H12_Phorbol 12-myristate 13-acetate_0.0009_24	Department of Systems Biology, Columbia University	9606	SRS13705259	GSM5986625	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Phorbol 12-myristate 13-acetate	CRL-1740
SAMN27108804	27108804	lncap_LNCAPPS5A_H11_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705258	GSM5986624	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27108805	27108805	lncap_LNCAPPS5A_H10_PD-184161_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705257	GSM5986623	male	50	LNCaP	missing	missing	ATCC	prostate cancer	PD-184161	CRL-1740
SAMN27108806	27108806	lncap_LNCAPPS5A_H9_Piperlongumine_1_24	Department of Systems Biology, Columbia University	9606	SRS13705256	GSM5986622	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Piperlongumine	CRL-1740
SAMN27108807	27108807	lncap_LNCAPPS5A_H8_Dihydroouabain_2_24	Department of Systems Biology, Columbia University	9606	SRS13705255	GSM5986621	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Dihydroouabain	CRL-1740
SAMN27108808	27108808	lncap_LNCAPPS5A_H7_Calmidazolium chloride_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705233	GSM5986620	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Calmidazolium chloride	CRL-1740
SAMN27108809	27108809	lncap_LNCAPPS5A_H6_Bay 11-7821_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705254	GSM5986619	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Bay 11-7821	CRL-1740
SAMN27108810	27108810	lncap_LNCAPPS5A_H5_Ryuvidine_0.18_24	Department of Systems Biology, Columbia University	9606	SRS13705253	GSM5986618	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ryuvidine	CRL-1740
SAMN27108811	27108811	lncap_LNCAPPS5A_H4_Scriptaid_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705252	GSM5986617	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Scriptaid	CRL-1740
SAMN27108812	27108812	lncap_LNCAPPS5A_H3_NNC 05-2090 hydrochloride_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705251	GSM5986616	male	50	LNCaP	missing	missing	ATCC	prostate cancer	NNC 05-2090 hydrochloride	CRL-1740
SAMN27108813	27108813	lncap_LNCAPPS5A_H2_Ro 106-9920_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705250	GSM5986615	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ro 106-9920	CRL-1740
SAMN27108814	27108814	lncap_LNCAPPS5A_H1_SB 216641 hydrochloride_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705249	GSM5986614	male	50	LNCaP	missing	missing	ATCC	prostate cancer	SB 216641 hydrochloride	CRL-1740
SAMN27108815	27108815	lncap_LNCAPPS5A_G12_Thapsigargin_0.01_24	Department of Systems Biology, Columbia University	9606	SRS13705248	GSM5986613	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Thapsigargin	CRL-1740
SAMN27108816	27108816	lncap_LNCAPPS5A_G11_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705247	GSM5986612	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27108817	27108817	lncap_LNCAPPS5A_G10_Podophyllotoxin_0.02_24	Department of Systems Biology, Columbia University	9606	SRS13705246	GSM5986611	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Podophyllotoxin	CRL-1740
SAMN27108818	27108818	lncap_LNCAPPS5A_G9_AC-93253 iodide_0.03_24	Department of Systems Biology, Columbia University	9606	SRS13705245	GSM5986610	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AC-93253 iodide	CRL-1740
SAMN27108819	27108819	lncap_LNCAPPS5A_G8_BNTX maleate salt hydrate_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705232	GSM5986609	male	50	LNCaP	missing	missing	ATCC	prostate cancer	BNTX maleate salt hydrate	CRL-1740
