BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	subclone	treatment	group
SAMN11671070	SRR9082144	2020-05-05T11:20:13Z	2019-05-17T13:47:33Z	12308440	603113560	0	49	208		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082144.sralite.1	SRX5857355		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781230	simple	9606	Homo sapiens	GSM3775876							no					GEO	SRA887899		public	1FD01D52DF4E4697246C2B8FE7E4B03E	0FCEA11A2C8DF8003ADB251B80E4CE0C	11671070	HCT116 mut9 doxorubicin treated rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781230	GSM3775876	HCT116	Human HCT116 cell line mutant	mut9	1uM doxorubicin for 24 hours	HCT116.tp53..mut9.1uM.doxorubicin.24hr
SAMN11671071	SRR9082143	2020-05-05T11:20:13Z	2019-05-17T13:47:41Z	12319339	603647611	0	49	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082143.sralite.1	SRX5857354		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781228	simple	9606	Homo sapiens	GSM3775875							no					GEO	SRA887899		public	ACB376EB7755208F0BB7292C1D31D0D2	E3FC5C071F90719374B57B7B069A4AF7	11671071	HCT116 mut5 doxorubicin treated rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781228	GSM3775875	HCT116	Human HCT116 cell line mutant	mut5	1uM doxorubicin for 24 hours	HCT116.tp53..mut5.1uM.doxorubicin.24hr
SAMN11671072	SRR9082142	2020-05-05T11:20:13Z	2019-05-17T13:47:41Z	12315623	603465527	0	49	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR009/082/SRR9082142/SRR9082142.sralite.1	SRX5857353		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781229	simple	9606	Homo sapiens	GSM3775874							no					GEO	SRA887899		public	FA98ED9B2F0A944FE82CBBEC8EFAAE7B	FD03E9820B774DBF68D96717F99B0971	11671072	HCT116 mut5 doxorubicin treated rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781229	GSM3775874	HCT116	Human HCT116 cell line mutant	mut5	1uM doxorubicin for 24 hours	HCT116.tp53..mut5.1uM.doxorubicin.24hr
SAMN11671073	SRR9082141	2020-05-05T11:20:13Z	2019-05-17T13:47:16Z	12318274	603595426	0	49	206		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/082/SRR9082141.sralite.1	SRX5857352		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781227	simple	9606	Homo sapiens	GSM3775873							no					GEO	SRA887899		public	16B6CB4910A5421C0AAECBDC5CA5F506	2E6190F50538732269A526DD97C1444D	11671073	HCT116 mut5 doxorubicin treated rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781227	GSM3775873	HCT116	Human HCT116 cell line mutant	mut5	1uM doxorubicin for 24 hours	HCT116.tp53..mut5.1uM.doxorubicin.24hr
SAMN11671074	SRR9082140	2020-05-05T11:20:13Z	2019-05-17T13:47:20Z	12305895	602988855	0	49	208		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/082/SRR9082140.sralite.1	SRX5857351		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781226	simple	9606	Homo sapiens	GSM3775872							no					GEO	SRA887899		public	F2BB154EF99B016D6E49497F8D64B323	01C8DB40659F29321A4DD20E8A3A1B0A	11671074	HCT116 mut4 doxorubicin treated rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781226	GSM3775872	HCT116	Human HCT116 cell line mutant	mut4	1uM doxorubicin for 24 hours	HCT116.tp53..mut4.1uM.doxorubicin.24hr
SAMN11671075	SRR9082136	2020-05-05T11:20:12Z	2019-05-17T13:47:35Z	12315859	603477091	0	49	208		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/082/SRR9082136.sralite.1	SRX5857347		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781222	simple	9606	Homo sapiens	GSM3775868							no					GEO	SRA887899		public	A9B5FE9099F0F872454C54C79CB4D35C	0B0E05F64399A88BD65B078214268522	11671075	HCT116 doxorubicin treated rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781222	GSM3775868	HCT116	Human HCT116 cell line WT		1uM doxorubicin for 24 hours	HCT116.tp53..non_mut.1uM.doxorubicin.24hr
SAMN11671076	SRR9082135	2020-05-05T11:20:12Z	2019-05-17T13:47:43Z	12314258	603398642	0	49	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/082/SRR9082135.sralite.1	SRX5857346		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781220	simple	9606	Homo sapiens	GSM3775867							no					GEO	SRA887899		public	7EC91897CAB67E882C3355FE9D498190	28B6882FFA53821C7D48777B120DD824	11671076	HCT116 doxorubicin treated rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781220	GSM3775867	HCT116	Human HCT116 cell line WT		1uM doxorubicin for 24 hours	HCT116.tp53..non_mut.1uM.doxorubicin.24hr
SAMN11671077	SRR9082134	2020-05-05T11:20:12Z	2019-05-17T13:47:41Z	12308102	603096998	0	49	205		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/082/SRR9082134.sralite.1	SRX5857345		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781221	simple	9606	Homo sapiens	GSM3775866							no					GEO	SRA887899		public	354629CB56091D09086DC6BA2FA3EF00	66B467D1BD7BBA9C573A1B48303387F8	11671077	HCT116 mut9 rep3	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781221	GSM3775866	HCT116	Human HCT116 cell line mutant	mut9		HCT116.tp53..mut9.untreated.24hr
SAMN11671078	SRR9082133	2020-05-05T11:20:12Z	2019-05-17T13:47:12Z	12308820	603132180	0	49	205		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/082/SRR9082133.sralite.1	SRX5857344		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781219	simple	9606	Homo sapiens	GSM3775865							no					GEO	SRA887899		public	59A7CF4E8B605F890DA76ADF17278471	BE4C1C5545E19F58F646B3EFBD6D01BD	11671078	HCT116 mut9 rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781219	GSM3775865	HCT116	Human HCT116 cell line mutant	mut9		HCT116.tp53..mut9.untreated.24hr
SAMN11671079	SRR9082139	2020-05-05T11:20:13Z	2019-05-17T13:47:49Z	12309789	603179661	0	49	208		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR009/082/SRR9082139/SRR9082139.sralite.1	SRX5857350		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781225	simple	9606	Homo sapiens	GSM3775871							no					GEO	SRA887899		public	BC572FF0AF512BFB82B169B85DF70373	C502E14002CE45BA6EB1093CD7ABA002	11671079	HCT116 mut4 doxorubicin treated rep2	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781225	GSM3775871	HCT116	Human HCT116 cell line mutant	mut4	1uM doxorubicin for 24 hours	HCT116.tp53..mut4.1uM.doxorubicin.24hr
SAMN11671080	SRR9082138	2020-05-05T11:20:12Z	2019-05-17T13:47:26Z	12314036	603387764	0	49	208		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/082/SRR9082138.sralite.1	SRX5857349		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP198781	PRJNA543503		543503	SRS4781224	simple	9606	Homo sapiens	GSM3775870							no					GEO	SRA887899		public	208E1173D0BCF8EFC16C5B7D3F71D65D	B9C684BAE5701B23DE61BD1F097FDFAF	11671080	HCT116 mut4 doxorubicin treated rep1	Faculty of Engineering and Natural Sciences, Biological Sciences and Bioengineering Program, Sabanci University	9606	SRS4781224	GSM3775870	HCT116	Human HCT116 cell line mutant	mut4	1uM doxorubicin for 24 hours	HCT116.tp53..mut4.1uM.doxorubicin.24hr
