BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	culture media	library preparation kit	source_name	time	treatment	xenograft	cell_line	group
SAMN05832129	SRR4299771	2017-01-23T09:30:33Z	2019-06-16T20:12:36Z	42521522	3231641752	0	76	687	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR4299771/SRR4299771.3	SRX2194321		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716637	simple	9606	Homo sapiens	GSM2330637							no					GEO	SRA480659		public	689C84A9E6C111F0C9F9603BE39C2064	0FA43590F355DDD9D6D37570A940CA4B	5832129	SUM159_100nMtrametinib300nMJQ1_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716637	GSM2330637	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	100nM_trametinib_300nM_JQ1	""	SUM159	SUM159.100nM_trametinib_300nM_JQ1.24h
SAMN05832130	SRR4299770	2017-01-23T09:30:33Z	2019-06-16T20:18:46Z	45835495	3483502940	0	76	737	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR4299770/SRR4299770.3	SRX2194320		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716636	simple	9606	Homo sapiens	GSM2330636							no					GEO	SRA480659		public	D91F5FD167297F8EDEE6991892533F50	71833C7864B03D02323EEBF89727D114	5832130	SUM159_300nMJQ1_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716636	GSM2330636	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	300nM_JQ1	""	SUM159	SUM159.300nM_JQ1.24h
SAMN05832131	SRR4299769	2017-01-23T09:30:33Z	2019-06-16T20:32:02Z	44808679	3405462568	0	76	723	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR4299769/SRR4299769.3	SRX2194319		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716635	simple	9606	Homo sapiens	GSM2330635							no					GEO	SRA480659		public	3FAC36A759AC8CA04907BC07529BE5A4	D941FA54373F14EF917F2DE2C17E7C6D	5832131	SUM159_100nM_trametinib_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716635	GSM2330635	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	100nM_trametinib	""	SUM159	SUM159.100nM_trametinib.24h
SAMN05832132	SRR4299768	2017-01-23T09:30:33Z	2019-06-16T20:28:53Z	38513572	2927035272	0	76	620	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR4299768/SRR4299768.3	SRX2194318		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716634	simple	9606	Homo sapiens	GSM2330634							no					GEO	SRA480659		public	D6CDB812CDF64415C0A95946C8895F04	C85A036295AAD66FD2E96F9E25035E5F	5832132	SUM159_DMSO_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716634	GSM2330634	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	DMSO	""	SUM159	SUM159.DMSO.24h
SAMN05832133	SRR4299767	2017-01-23T09:30:33Z	2019-06-16T20:40:57Z	50481446	3836601600	0	76	603	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR4299767/SRR4299767.3	SRX2194317		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716633	simple	9606	Homo sapiens	GSM2330633							no					GEO	SRA480659		public	887349243056A44D76B9CE35BB165266	C4D6955BBD861148F118EAAC37071D6A	5832133	SUM159_100nMtrametinib300nMJQ1_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716633	GSM2330633	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	100nM_trametinib_300nM_JQ1	""	SUM159	SUM159.100nM_trametinib_300nM_JQ1.24h
SAMN05832134	SRR4299779	2017-01-23T09:30:33Z	2016-09-28T09:20:07Z	38630817	1931540850	0	50	775	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4299779/SRR4299779.1	SRX2194329		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP090547	PRJNA344725	2	344725	SRS1716645	simple	9606	Homo sapiens	GSM2330645							no					GEO	SRA480659		public	5DEE4515B60A03E9CCD5A8739217F7C6	13D751EDE56B318A881B46ECA6C26B80	5832134	Figure3_HCC1806_10nMtrametinib300nMJQ1_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716645	GSM2330645	HCC1806 breast carcinoma cell line	""	""	HCC1806 breast carcinoma cell line	48h	10nM_trametinib_300nM_JQ1	""	HCC1806	HCC1806.10nM_trametinib_300nM_JQ1.48h
SAMN05832135	SRR4299776	2017-01-23T09:30:33Z	2016-12-02T11:53:23Z	50047853	2502392650	0	50	1011	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4299776/SRR4299776.1	SRX2194326		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP090547	PRJNA344725	2	344725	SRS1716642	simple	9606	Homo sapiens	GSM2330642							no					GEO	SRA480659		public	9849FD1F3F8B3F57DC4DC00A8CD4B322	D4B81DC5AE61812EC19916C51F27A11F	5832135	Figure3_HCC1806_DMSO_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716642	GSM2330642	HCC1806 breast carcinoma cell line	""	""	HCC1806 breast carcinoma cell line	48h	DMSO	""	HCC1806	HCC1806.DMSO.48h
SAMN05832136	SRR4299775	2017-01-23T09:30:33Z	2019-06-16T20:29:57Z	34293576	2606312764	0	76	937	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR4299775/SRR4299775.3	SRX2194325		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716641	simple	9606	Homo sapiens	GSM2330641							no					GEO	SRA480659		public	2B8D294D78CF44EA4800E21D551F6668	7B95D7D9730A26D9F02BEE20AF86B46C	5832136	SUM159_100nMtrametinib300nMJQ1_24h_replicate3	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716641	GSM2330641	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	100nM_trametinib_300nM_JQ1	""	SUM159	SUM159.100nM_trametinib_300nM_JQ1.24h
SAMN05832137	SRR4299774	2017-01-23T09:30:33Z	2019-06-16T20:10:06Z	23064247	1752883228	0	76	650	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR4299774/SRR4299774.3	SRX2194324		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716640	simple	9606	Homo sapiens	GSM2330640							no					GEO	SRA480659		public	0C6D82ABA59BB7F7F4A7094C2D73AE84	C94786B60A9E2E7D11F7F8940690313C	5832137	SUM159_300nMJQ1_24h_replicate3	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716640	GSM2330640	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	300nM_JQ1	""	SUM159	SUM159.300nM_JQ1.24h
SAMN05832138	SRR4299773	2017-01-23T09:30:33Z	2019-06-16T20:18:35Z	37614819	2858726700	0	76	1039	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR4299773/SRR4299773.3	SRX2194323		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716639	simple	9606	Homo sapiens	GSM2330639							no					GEO	SRA480659		public	74D228B77A4E7900CCAB6F9BF921D686	9B57E0C8327125E3F6B2E3551AB8DA48	5832138	SUM159_100nM_trametinib_24h_replicate3	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716639	GSM2330639	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	100nM_trametinib	""	SUM159	SUM159.100nM_trametinib.24h
SAMN05832139	SRR4299772	2017-01-23T09:30:33Z	2019-06-16T20:22:30Z	30994725	2355600468	0	76	882	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR4299772/SRR4299772.3	SRX2194322		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716638	simple	9606	Homo sapiens	GSM2330638							no					GEO	SRA480659		public	CCA1765E9159DD2EB4820B635E15BE17	4361C0F324A54090C7A8E49EF693D38C	5832139	SUM159_DMSO_24h_replicate3	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716638	GSM2330638	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	DMSO	""	SUM159	SUM159.DMSO.24h
SAMN05832140	SRR4299778	2017-01-23T09:30:33Z	2016-09-28T09:23:20Z	40493069	2024653450	0	50	812	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4299778/SRR4299778.1	SRX2194328		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP090547	PRJNA344725	2	344725	SRS1716644	simple	9606	Homo sapiens	GSM2330644							no					GEO	SRA480659		public	E9A89D81EA94EFC6BE64696DAD1F825F	3A56E179C92A545193EA7666A8D958FB	5832140	Figure3_HCC1806_300nMJQ1_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716644	GSM2330644	HCC1806 breast carcinoma cell line	""	""	HCC1806 breast carcinoma cell line	48h	300nM_JQ1	""	HCC1806	HCC1806.300nM_JQ1.48h
SAMN05832141	SRR4299777	2017-01-23T09:30:33Z	2016-12-02T11:49:59Z	50614564	2530728200	0	50	1024	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4299777/SRR4299777.1	SRX2194327		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP090547	PRJNA344725	2	344725	SRS1716643	simple	9606	Homo sapiens	GSM2330643							no					GEO	SRA480659		public	864199DD28A75886520970EE69105B96	346B4DBFFC2496C497DFCD517C3E5498	5832141	Figure3_HCC1806_10nMtrametinib_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716643	GSM2330643	HCC1806 breast carcinoma cell line	""	""	HCC1806 breast carcinoma cell line	48h	10nM_trametinib	""	HCC1806	HCC1806.10nM_trametinib.48h
SAMN05832142	SRR4299783	2017-01-23T09:30:33Z	2019-06-16T20:25:40Z	51053453	3880071168	0	76	558	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR4299783/SRR4299783.3	SRX2194333		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716649	simple	9606	Homo sapiens	GSM2330649							no					GEO	SRA480659		public	78393E4558A4BC36A4E88B54CE12042A	C1C9A7C821C83546601633D6AAB80C94	5832142	Figure7_SUM159_100nMtrametinib500nMIBET151_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716649	GSM2330649	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	100nM_trametinib_500nM_IBET151	""	SUM159	SUM159.100nM_trametinib_500nM_IBET151.24h
SAMN05832143	SRR4299782	2017-01-23T09:30:33Z	2019-06-16T20:39:45Z	48249237	3666950980	0	76	534	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR4299782/SRR4299782.3	SRX2194332		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716648	simple	9606	Homo sapiens	GSM2330648							no					GEO	SRA480659		public	9F317DD5CB784DB435FC37824639BCFB	9FDDA17C2F7DC086D815A93B89914D51	5832143	Figure7_SUM159_500nMIBET151_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716648	GSM2330648	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	500nM_IBET151	""	SUM159	SUM159.500nM_IBET151.24h
SAMN05832144	SRR4299781	2017-01-23T09:30:33Z	2019-06-16T20:35:19Z	45734414	3475824204	0	76	497	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR4299781/SRR4299781.3	SRX2194331		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716647	simple	9606	Homo sapiens	GSM2330647							no					GEO	SRA480659		public	EEA4B03CA22CEEB8C8375DA4B5C41141	BBB4C43CA4598105955AA0646FCC2BD6	5832144	Figure7_SUM159_100nMtrametinib3uMSGCCBP30_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716647	GSM2330647	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	100nM_trametinib_3uMSGCCBP30	""	SUM159	SUM159.100nM_trametinib_3uMSGCCBP30.24h
SAMN05832145	SRR4299784	2017-01-23T09:30:33Z	2019-06-16T20:27:37Z	46964707	3569324268	0	76	744	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR4299784/SRR4299784.3	SRX2194334		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716650	simple	9606	Homo sapiens	GSM2330650							no					GEO	SRA480659		public	7DCDC3F0D0BC55A46A908785078313EC	2841708B678C74C1D9F026FD8AC2F034	5832145	SUM159xenograft_mouse1_2mpktrametinib_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716650	GSM2330650	SUM159 breast carcinoma cell line xenograft	""	""	SUM159 breast carcinoma cell line: xenograft	48h	2mpk_trametinib	SUM159 breast carcinoma cell line xenograft	SUM159_xenograft	SUM159_xenograft.2mpk_trametinib.48h
SAMN05832146	SRR4299780	2017-01-23T09:30:33Z	2019-06-16T20:21:33Z	50363203	3827611256	0	76	567	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR4299780/SRR4299780.3	SRX2194330		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716646	simple	9606	Homo sapiens	GSM2330646							no					GEO	SRA480659		public	1696238304CAD1A097DB6B33FBF0830E	F7E822A09EE566B316913B8BEFB8F8DD	5832146	Figure7_SUM159_3uMSGCCBP30_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716646	GSM2330646	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	3uM_SGCCBP30	""	SUM159	SUM159.3uM_SGCCBP30.24h
