accession	uid	title	organization	taxonomy	sra	geo	cell line	culture media	library preparation kit	source_name	time	treatment	xenograft
SAMN05832134	5832134	Figure3_HCC1806_10nMtrametinib300nMJQ1_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716645	GSM2330645	HCC1806 breast carcinoma cell line			HCC1806 breast carcinoma cell line	48h	10nM trametinib 300nM JQ1	
SAMN05832135	5832135	Figure3_HCC1806_DMSO_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716642	GSM2330642	HCC1806 breast carcinoma cell line			HCC1806 breast carcinoma cell line	48h	DMSO	
SAMN05832136	5832136	SUM159_100nMtrametinib300nMJQ1_24h_replicate3	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716641	GSM2330641	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	100nM trametinib 300nM JQ1	
SAMN05832137	5832137	SUM159_300nMJQ1_24h_replicate3	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716640	GSM2330640	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	300nM JQ1	
SAMN05832138	5832138	SUM159_100nM_trametinib_24h_replicate3	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716639	GSM2330639	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	100nM trametinib	
SAMN05832139	5832139	SUM159_DMSO_24h_replicate3	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716638	GSM2330638	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	DMSO	
SAMN05832140	5832140	Figure3_HCC1806_300nMJQ1_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716644	GSM2330644	HCC1806 breast carcinoma cell line			HCC1806 breast carcinoma cell line	48h	300nM JQ1	
SAMN05832141	5832141	Figure3_HCC1806_10nMtrametinib_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716643	GSM2330643	HCC1806 breast carcinoma cell line			HCC1806 breast carcinoma cell line	48h	10nM trametinib	
SAMN05832142	5832142	Figure7_SUM159_100nMtrametinib500nMIBET151_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716649	GSM2330649	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	100nM trametinib 500nM IBET151	
SAMN05832143	5832143	Figure7_SUM159_500nMIBET151_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716648	GSM2330648	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	500nM IBET151	
SAMN05832144	5832144	Figure7_SUM159_100nMtrametinib3uMSGCCBP30_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716647	GSM2330647	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	100nM trametinib 3uMSGCCBP30	
SAMN05832145	5832145	SUM159xenograft_mouse1_2mpktrametinib_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716650	GSM2330650				SUM159 breast carcinoma cell line: xenograft	48h	2mpk trametinib	SUM159 breast carcinoma cell line xenograft
SAMN05832146	5832146	Figure7_SUM159_3uMSGCCBP30_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716646	GSM2330646	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	3uMSGCCBP30	
SAMN05832147	5832147	SUM159xenograft_mouse3_control_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716661	GSM2330661				SUM159 breast carcinoma cell line: xenograft	48h	control	SUM159 breast carcinoma cell line xenograft
SAMN05832148	5832148	SUM159xenograft_mouse2_control_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716660	GSM2330660				SUM159 breast carcinoma cell line: xenograft	48h	control	SUM159 breast carcinoma cell line xenograft
SAMN05832149	5832149	SUM159xenograft_mouse3_2mpktrametinib_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716652	GSM2330652				SUM159 breast carcinoma cell line: xenograft	48h	2mpk trametinib	SUM159 breast carcinoma cell line xenograft
SAMN05832150	5832150	SUM159xenograft_mouse1_2mpktrametinib30mpkIBET151_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716654	GSM2330653				SUM159 breast carcinoma cell line: xenograft	48h	2mpk trametinib 30mpkIBET151	SUM159 breast carcinoma cell line xenograft
SAMN05832151	5832151	SUM159xenograft_mouse1_control_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716659	GSM2330659				SUM159 breast carcinoma cell line: xenograft	48h	control	SUM159 breast carcinoma cell line xenograft
SAMN05832152	5832152	SUM159xenograft_mouse3_30mpkIBET151_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716658	GSM2330658				SUM159 breast carcinoma cell line: xenograft	48h	30mpkIBET151	SUM159 breast carcinoma cell line xenograft
SAMN05832153	5832153	SUM159xenograft_mouse2_30mpkIBET151_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716657	GSM2330657				SUM159 breast carcinoma cell line: xenograft	48h	30mpkIBET151	SUM159 breast carcinoma cell line xenograft
SAMN05832154	5832154	SUM159xenograft_mouse1_30mpkIBET151_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716655	GSM2330656				SUM159 breast carcinoma cell line: xenograft	48h	30mpkIBET151	SUM159 breast carcinoma cell line xenograft
SAMN06233963	6233963	WHIM12_500nMtrametinib_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937697	GSM2459932	PDX breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	WHIM12_500nMtrametinib_24h			
SAMN06233964	6233964	WHIM12_500nMtrametinib_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937696	GSM2459931	PDX breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	WHIM12_500nMtrametinib_24h			
SAMN06233965	6233965	WHIM12_DMSO_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937695	GSM2459930	PDX breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	WHIM12_DMSO_24h			
SAMN06233966	6233966	WHIM12_DMSO_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937694	GSM2459929	PDX breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	WHIM12_DMSO_24h			
SAMN06233967	6233967	HS578T_500nMtrametinib_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937693	GSM2459928	HS578T breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	HS578T_500nMtrametinib_24h			
SAMN06233968	6233968	HS578T_500nMtrametinib_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937692	GSM2459927	HS578T breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	HS578T_500nMtrametinib_24h			
SAMN06233969	6233969	HS578T_DMSO_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937691	GSM2459926	HS578T breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	HS578T_DMSO_24h			
SAMN06233970	6233970	HS578T_DMSO_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937690	GSM2459925	HS578T breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	HS578T_DMSO_24h			
SAMN06233971	6233971	SUM159_500nMtrametinib_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937689	GSM2459924	SUM159 breast carcinoma cell line	DMEM/F12 1:1 supplemented with 5% FBS, 5 µg/ml insulin, 1 µg/ml hydrocortisone	KAPA Stranded mRNAseq kit	SUM159_500nMtrametinib_24h			
SAMN06233972	6233972	SUM159_500nMtrametinib_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937688	GSM2459923	SUM159 breast carcinoma cell line	DMEM/F12 1:1 supplemented with 5% FBS, 5 µg/ml insulin, 1 µg/ml hydrocortisone	KAPA Stranded mRNAseq kit	SUM159_500nMtrametinib_24h			
SAMN06233973	6233973	MDAMB468_500nMtrametinib_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937687	GSM2459922	MDAMB468 breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	MDAMB468_500nMtrametinib_24h			
SAMN06233974	6233974	MDAMB468_500nMtrametinib_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937686	GSM2459921	MDAMB468 breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	MDAMB468_500nMtrametinib_24h			
SAMN06233975	6233975	MDAMB468_DMSO_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937685	GSM2459920	MDAMB468 breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	MDAMB468_DMSO_24h			
SAMN06233976	6233976	MDAMB468_DMSO_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937684	GSM2459919	MDAMB468 breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	MDAMB468_DMSO_24h			
SAMN06233977	6233977	SUM149pos_500nMtrametinib_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937683	GSM2459918	EpCAM/CD49f positive SUM149 breast carcinoma subpopulation	HuMEC supplemented with 5% FBS and Gibco defined HuMEC supplements	KAPA Stranded mRNAseq kit	SUM149pos_500nMtrametinib_24h			
SAMN06233978	6233978	SUM149pos_500nMtrametinib_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937682	GSM2459917	EpCAM/CD49f positive SUM149 breast carcinoma subpopulation	HuMEC supplemented with 5% FBS and Gibco defined HuMEC supplements	KAPA Stranded mRNAseq kit	SUM149pos_500nMtrametinib_24h			
SAMN06233979	6233979	SUM149pos_DMSO_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937681	GSM2459916	EpCAM/CD49f positive SUM149 breast carcinoma subpopulation	HuMEC supplemented with 5% FBS and Gibco defined HuMEC supplements	KAPA Stranded mRNAseq kit	SUM149pos_DMSO_24h			
SAMN06233980	6233980	HCC1806_500nMtrametinib_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937678	GSM2459913	HCC1806 breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	HCC1806_500nMtrametinib_24h			
SAMN06233981	6233981	HCC1806_500nMtrametinib_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937679	GSM2459914	HCC1806 breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	HCC1806_500nMtrametinib_24h			
SAMN06233982	6233982	SUM149pos_DMSO_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937680	GSM2459915	EpCAM/CD49f positive SUM149 breast carcinoma subpopulation	HuMEC supplemented with 5% FBS and Gibco defined HuMEC supplements	KAPA Stranded mRNAseq kit	SUM149pos_DMSO_24h			
SAMN06233983	6233983	HCC1806_DMSO_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937676	GSM2459911	HCC1806 breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	HCC1806_DMSO_24h			
SAMN06233984	6233984	HCC1806_DMSO_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937677	GSM2459912	HCC1806 breast carcinoma cell line	RPMI 1640 supplemented with 10% FBS	KAPA Stranded mRNAseq kit	HCC1806_DMSO_24h			
SAMN06239104	6239104	SUM159_DMSO_24h_500nMtrametinib_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937699	GSM2462678	SUM159 breast carcinoma cell line	DMEM/F12 1:1 supplemented with 5% FBS, 5 µg/ml insulin, 1 µg/ml hydrocortisone	KAPA Stranded mRNAseq kit	SUM159_DMSO_24h_500nMtrametinib			
SAMN06239105	6239105	SUM159_DMSO_24h_500nMtrametinib_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1937698	GSM2462677	SUM159 breast carcinoma cell line	DMEM/F12 1:1 supplemented with 5% FBS, 5 µg/ml insulin, 1 µg/ml hydrocortisone	KAPA Stranded mRNAseq kit	SUM159_DMSO_24h_500nMtrametinib			
