accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug treatment	source_name
SAMN10760195	10760195	ATCATT: BT549_DMSO_0.0	Harvard Medical School	9606	SRS4257110	GSM3565397	BT549	BT549 breast cancer cell line	DMSO	BT549
SAMN10760196	10760196	ATCAAA: BT549_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257109	GSM3565396	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760197	10760197	ATATCT: BT549_Ribociclib_3.16	Harvard Medical School	9606	SRS4257108	GSM3565395	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760198	10760198	ATAATG: T47D_Palbociclib_1.0	Harvard Medical School	9606	SRS4257107	GSM3565394	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760199	10760199	ATAAGT: T47D_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257106	GSM3565393	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760200	10760200	AGTTAA: T47D_Ribociclib_0.3	Harvard Medical School	9606	SRS4257105	GSM3565392	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760201	10760201	AGTATA: PDXHCI002_Palbociclib_1.0	Harvard Medical School	9606	SRS4257104	GSM3565391	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760202	10760202	AGATAT: PDXHCI002_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257103	GSM3565390	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760203	10760203	AGAATT: PDXHCI002_Ribociclib_0.3	Harvard Medical School	9606	SRS4257102	GSM3565389	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760204	10760204	ACTATT: MCF7_Palbociclib_1.0	Harvard Medical School	9606	SRS4257101	GSM3565388	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760205	10760205	ACTAAA: MCF7_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257100	GSM3565387	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760206	10760206	ACAAAT: MCF7_Ribociclib_0.3	Harvard Medical School	9606	SRS4257099	GSM3565386	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760207	10760207	AATTTC: Hs578T_Palbociclib_1.0	Harvard Medical School	9606	SRS4257098	GSM3565385	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760208	10760208	AATTAG: Hs578T_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257097	GSM3565384	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760209	10760209	AATGTA: Hs578T_Ribociclib_0.3	Harvard Medical School	9606	SRS4257096	GSM3565383	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760210	10760210	AATCAA: HCC1806_Palbociclib_1.0	Harvard Medical School	9606	SRS4257095	GSM3565382	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760211	10760211	AATATG: HCC1806_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257094	GSM3565381	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760212	10760212	CATGGT: T47D_Alvocidib_0.1	Harvard Medical School	9606	SRS4257231	GSM3565518	T47D	T47D breast cancer cell line	Alvocidib	T47D
SAMN10760213	10760213	CATCAG: PDXHCI002_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257230	GSM3565517	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760214	10760214	CAAGCT: PDXHCI002_Palbociclib_0.1	Harvard Medical School	9606	SRS4257229	GSM3565516	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760215	10760215	ATCGAG: PDXHCI002_Alvocidib_0.1	Harvard Medical School	9606	SRS4257228	GSM3565515	PDXHCI002	PDXHCI002 breast cancer PDX	Alvocidib	PDXHCI002
SAMN10760216	10760216	ACCGTA: MCF7_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257227	GSM3565514	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760217	10760217	TTGGAT: MCF7_Palbociclib_0.1	Harvard Medical School	9606	SRS4257226	GSM3565513	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760218	10760218	TTTTCT: MCF7_Alvocidib_0.1	Harvard Medical School	9606	SRS4257225	GSM3565512	MCF7	MCF7 breast cancer cell line	Alvocidib	MCF7
SAMN10760219	10760219	TTTTAG: Hs578T_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257224	GSM3565511	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760220	10760220	TTTCAA: Hs578T_Palbociclib_0.1	Harvard Medical School	9606	SRS4257223	GSM3565510	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760221	10760221	TTTATG: Hs578T_Alvocidib_0.1	Harvard Medical School	9606	SRS4257222	GSM3565509	Hs578T	Hs578T breast cancer cell line	Alvocidib	Hs578T
SAMN10760222	10760222	TTTAAC: HCC1806_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257221	GSM3565508	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760223	10760223	AAGTTA: PDX1258_Palbociclib_1.0	Harvard Medical School	9606	SRS4257092	GSM3565379	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760224	10760224	AACTAA: PDX1258_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257091	GSM3565378	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760225	10760225	AACATA: PDX1258_Ribociclib_0.3	Harvard Medical School	9606	SRS4257090	GSM3565377	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760226	10760226	AAATGT: BT549_Palbociclib_1.0	Harvard Medical School	9606	SRS4257066	GSM3565376	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760227	10760227	AAATCA: BT549_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257065	GSM3565375	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760228	10760228	AAACTA: BT549_Ribociclib_0.3	Harvard Medical School	9606	SRS4257064	GSM3565374	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760229	10760229	ATAACA: T47D_Palbociclib_3.16	Harvard Medical School	9606	SRS4257063	GSM3565373	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760230	10760230	ATAAAC: T47D_DMSO_0.0	Harvard Medical School	9606	SRS4257062	GSM3565372	T47D	T47D breast cancer cell line	DMSO	T47D
SAMN10760231	10760231	AGTAAT: T47D_Palbociclib_0.3	Harvard Medical School	9606	SRS4257061	GSM3565371	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760232	10760232	AGATTA: PDXHCI002_Palbociclib_3.16	Harvard Medical School	9606	SRS4257060	GSM3565370	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760233	10760233	ACTTTA: PDXHCI002_DMSO_0.0	Harvard Medical School	9606	SRS4257059	GSM3565369	PDXHCI002	PDXHCI002 breast cancer PDX	DMSO	PDXHCI002
SAMN10760234	10760234	ACTTAT: PDXHCI002_Palbociclib_0.3	Harvard Medical School	9606	SRS4257058	GSM3565368	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760235	10760235	ACATAA: MCF7_Palbociclib_3.16	Harvard Medical School	9606	SRS4257057	GSM3565367	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760236	10760236	ACAATA: MCF7_DMSO_0.0	Harvard Medical School	9606	SRS4257056	GSM3565366	MCF7	MCF7 breast cancer cell line	DMSO	MCF7
SAMN10760237	10760237	AATTGA: MCF7_Palbociclib_0.3	Harvard Medical School	9606	SRS4257055	GSM3565365	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760238	10760238	AATTCT: Hs578T_Palbociclib_3.16	Harvard Medical School	9606	SRS4257054	GSM3565364	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760239	10760239	AATGAT: Hs578T_DMSO_0.0	Harvard Medical School	9606	SRS4257053	GSM3565363	Hs578T	Hs578T breast cancer cell line	DMSO	Hs578T
SAMN10760240	10760240	AATCTT: Hs578T_Palbociclib_0.3	Harvard Medical School	9606	SRS4257052	GSM3565362	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760241	10760241	AATAGT: HCC1806_Palbociclib_3.16	Harvard Medical School	9606	SRS4257051	GSM3565361	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760242	10760242	AATACA: HCC1806_DMSO_0.0	Harvard Medical School	9606	SRS4257050	GSM3565360	HCC1806	HCC1806 breast cancer cell line	DMSO	HCC1806
SAMN10760243	10760243	AAGTAT: HCC1806_Palbociclib_0.3	Harvard Medical School	9606	SRS4257049	GSM3565359	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760244	10760244	AAGATT: PDX1258_Palbociclib_3.16	Harvard Medical School	9606	SRS4257048	GSM3565358	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760245	10760245	AACAAT: PDX1258_DMSO_0.0	Harvard Medical School	9606	SRS4257047	GSM3565357	PDX1258	PDX1258 breast cancer PDX	DMSO	PDX1258
SAMN10760246	10760246	AAATTG: PDX1258_Palbociclib_0.3	Harvard Medical School	9606	SRS4257046	GSM3565356	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760247	10760247	CCCGAG: BT549_Ribociclib_0.3	Harvard Medical School	9606	SRS4257298	GSM3565585	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760248	10760248	CCCCCA: BT549_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257297	GSM3565584	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760249	10760249	CGGCGT: T47D_Ribociclib_3.16	Harvard Medical School	9606	SRS4257296	GSM3565583	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760250	10760250	CGGCCA: T47D_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257295	GSM3565582	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760251	10760251	CGGACG: T47D_Palbociclib_1.0	Harvard Medical School	9606	SRS4257294	GSM3565581	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760252	10760252	CGCTGC: PDXHCI002_Ribociclib_3.16	Harvard Medical School	9606	SRS4257293	GSM3565580	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760253	10760253	CGCGGT: PDXHCI002_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257292	GSM3565579	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760254	10760254	CGCGCA: PDXHCI002_Palbociclib_1.0	Harvard Medical School	9606	SRS4257291	GSM3565578	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760255	10760255	CGCCGA: MCF7_Ribociclib_3.16	Harvard Medical School	9606	SRS4257290	GSM3565577	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760256	10760256	CGCCCT: MCF7_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257289	GSM3565576	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760257	10760257	CGCACC: MCF7_Palbociclib_1.0	Harvard Medical School	9606	SRS4257288	GSM3565575	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760258	10760258	CGAGGC: Hs578T_Ribociclib_3.16	Harvard Medical School	9606	SRS4257287	GSM3565574	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760259	10760259	CGACCC: Hs578T_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257286	GSM3565573	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760260	10760260	CCTGGC: Hs578T_Palbociclib_1.0	Harvard Medical School	9606	SRS4257285	GSM3565572	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760261	10760261	CCGTGC: HCC1806_Ribociclib_3.16	Harvard Medical School	9606	SRS4257284	GSM3565571	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760262	10760262	CCGTCG: HCC1806_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257283	GSM3565570	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760263	10760263	CCGGCA: HCC1806_Palbociclib_1.0	Harvard Medical School	9606	SRS4257282	GSM3565569	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760264	10760264	CCGGAC: PDX1258_Ribociclib_3.16	Harvard Medical School	9606	SRS4257281	GSM3565568	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760265	10760265	AGGCCC: PDXHCI002_DMSO_0.0	Harvard Medical School	9606	SRS4257250	GSM3565537	PDXHCI002	PDXHCI002 breast cancer PDX	DMSO	PDXHCI002
SAMN10760266	10760266	AGCGGG: PDXHCI002_Ribociclib_1.0	Harvard Medical School	9606	SRS4257249	GSM3565536	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760267	10760267	AGCCCG: MCF7_Alvocidib_1.0	Harvard Medical School	9606	SRS4257248	GSM3565535	MCF7	MCF7 breast cancer cell line	Alvocidib	MCF7
SAMN10760268	10760268	ACGGGG: MCF7_DMSO_0.0	Harvard Medical School	9606	SRS4257247	GSM3565534	MCF7	MCF7 breast cancer cell line	DMSO	MCF7
SAMN10760269	10760269	ACGCCG: MCF7_Ribociclib_1.0	Harvard Medical School	9606	SRS4257246	GSM3565533	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760270	10760270	ACCGGC: Hs578T_Alvocidib_1.0	Harvard Medical School	9606	SRS4257245	GSM3565532	Hs578T	Hs578T breast cancer cell line	Alvocidib	Hs578T
SAMN10760271	10760271	ACCCCC: Hs578T_DMSO_0.0	Harvard Medical School	9606	SRS4257244	GSM3565531	Hs578T	Hs578T breast cancer cell line	DMSO	Hs578T
SAMN10760272	10760272	GTACCG: Hs578T_Ribociclib_1.0	Harvard Medical School	9606	SRS4257243	GSM3565530	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760273	10760273	CCTTCC: HCC1806_Alvocidib_1.0	Harvard Medical School	9606	SRS4257242	GSM3565529	HCC1806	HCC1806 breast cancer cell line	Alvocidib	HCC1806
SAMN10760274	10760274	CCAACC: HCC1806_DMSO_0.0	Harvard Medical School	9606	SRS4257241	GSM3565528	HCC1806	HCC1806 breast cancer cell line	DMSO	HCC1806
SAMN10760275	10760275	TTCCTC: HCC1806_Ribociclib_1.0	Harvard Medical School	9606	SRS4257240	GSM3565527	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760276	10760276	TCTGCA: PDX1258_Alvocidib_1.0	Harvard Medical School	9606	SRS4257239	GSM3565526	PDX1258	PDX1258 breast cancer PDX	Alvocidib	PDX1258
SAMN10760277	10760277	TAGTGG: PDX1258_DMSO_0.0	Harvard Medical School	9606	SRS4257238	GSM3565525	PDX1258	PDX1258 breast cancer PDX	DMSO	PDX1258
SAMN10760278	10760278	GTTCGA: PDX1258_Ribociclib_1.0	Harvard Medical School	9606	SRS4257237	GSM3565524	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760279	10760279	GTACAC: BT549_Alvocidib_1.0	Harvard Medical School	9606	SRS4257236	GSM3565523	BT549	BT549 breast cancer cell line	Alvocidib	BT549
SAMN10760280	10760280	GGGATT: BT549_DMSO_0.0	Harvard Medical School	9606	SRS4257235	GSM3565522	BT549	BT549 breast cancer cell line	DMSO	BT549
SAMN10760281	10760281	GCTTAC: BT549_Ribociclib_1.0	Harvard Medical School	9606	SRS4257234	GSM3565521	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760282	10760282	CGATTG: T47D_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257233	GSM3565520	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760283	10760283	CGACTT: T47D_Palbociclib_0.1	Harvard Medical School	9606	SRS4257232	GSM3565519	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760284	10760284	GCCCAG: MCF7_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257330	GSM3565617	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760285	10760285	GCCAGG: Hs578T_Ribociclib_1.0	Harvard Medical School	9606	SRS4257329	GSM3565616	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760286	10760286	GCAGCG: Hs578T_Alvocidib_1.0	Harvard Medical School	9606	SRS4257328	GSM3565615	Hs578T	Hs578T breast cancer cell line	Alvocidib	Hs578T
SAMN10760287	10760287	GCACGG: Hs578T_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257327	GSM3565614	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760288	10760288	GAGGCG: HCC1806_Ribociclib_1.0	Harvard Medical School	9606	SRS4257326	GSM3565613	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760289	10760289	GAGCGG: HCC1806_Alvocidib_1.0	Harvard Medical School	9606	SRS4257325	GSM3565612	HCC1806	HCC1806 breast cancer cell line	Alvocidib	HCC1806
SAMN10760290	10760290	GACGCC: HCC1806_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257324	GSM3565611	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760291	10760291	GACCGC: PDX1258_Ribociclib_1.0	Harvard Medical School	9606	SRS4257323	GSM3565610	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760292	10760292	CTGGCG: PDX1258_Alvocidib_1.0	Harvard Medical School	9606	SRS4257322	GSM3565609	PDX1258	PDX1258 breast cancer PDX	Alvocidib	PDX1258
SAMN10760293	10760293	CTGCGG: PDX1258_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257321	GSM3565608	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760294	10760294	CTCCCG: BT549_Ribociclib_1.0	Harvard Medical School	9606	SRS4257320	GSM3565607	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760295	10760295	CGTGGG: BT549_Alvocidib_1.0	Harvard Medical School	9606	SRS4257319	GSM3565606	BT549	BT549 breast cancer cell line	Alvocidib	BT549
SAMN10760296	10760296	CGTCCG: BT549_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257318	GSM3565605	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760297	10760297	CGGGAG: T47D_Alvocidib_0.1	Harvard Medical School	9606	SRS4257317	GSM3565604	T47D	T47D breast cancer cell line	Alvocidib	T47D
SAMN10760298	10760298	CGGCTG: T47D_Ribociclib_0.3	Harvard Medical School	9606	SRS4257316	GSM3565603	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760299	10760299	CGGCAC: T47D_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257315	GSM3565602	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760300	10760300	CGGAGC: PDXHCI002_Alvocidib_0.1	Harvard Medical School	9606	SRS4257314	GSM3565601	PDXHCI002	PDXHCI002 breast cancer PDX	Alvocidib	PDXHCI002
SAMN10760301	10760301	CGCTCG: PDXHCI002_Ribociclib_0.3	Harvard Medical School	9606	SRS4257313	GSM3565600	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760302	10760302	CGCGTG: PDXHCI002_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257312	GSM3565599	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760303	10760303	CGCCTC: MCF7_Ribociclib_0.3	Harvard Medical School	9606	SRS4257310	GSM3565597	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760304	10760304	CGCCAG: MCF7_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257309	GSM3565596	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760305	10760305	CGCGAC: MCF7_Alvocidib_0.1	Harvard Medical School	9606	SRS4257311	GSM3565598	MCF7	MCF7 breast cancer cell line	Alvocidib	MCF7
SAMN10760306	10760306	CGCAGG: Hs578T_Alvocidib_0.1	Harvard Medical School	9606	SRS4257308	GSM3565595	Hs578T	Hs578T breast cancer cell line	Alvocidib	Hs578T
SAMN10760307	10760307	CGAGCG: Hs578T_Ribociclib_0.3	Harvard Medical School	9606	SRS4257307	GSM3565594	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760308	10760308	CGACGG: Hs578T_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257306	GSM3565593	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760309	10760309	CCTGCG: HCC1806_Alvocidib_0.1	Harvard Medical School	9606	SRS4257305	GSM3565592	HCC1806	HCC1806 breast cancer cell line	Alvocidib	HCC1806
SAMN10760310	10760310	CCTCGG: HCC1806_Ribociclib_0.3	Harvard Medical School	9606	SRS4257304	GSM3565591	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760311	10760311	CCGGTG: HCC1806_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257303	GSM3565590	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760312	10760312	CCGGGT: PDX1258_Alvocidib_0.1	Harvard Medical School	9606	SRS4257302	GSM3565589	PDX1258	PDX1258 breast cancer PDX	Alvocidib	PDX1258
SAMN10760313	10760313	CCGCGA: PDX1258_Ribociclib_0.3	Harvard Medical School	9606	SRS4257301	GSM3565588	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760314	10760314	CCGCAG: PDX1258_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257300	GSM3565587	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760315	10760315	CCCGGA: BT549_Alvocidib_0.1	Harvard Medical School	9606	SRS4257299	GSM3565586	BT549	BT549 breast cancer cell line	Alvocidib	BT549
SAMN10760316	10760316	TCTATA: T47D_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257189	GSM3565476	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760317	10760317	TCTAAT: PDXHCI002_Palbociclib_3.16	Harvard Medical School	9606	SRS4257188	GSM3565475	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760318	10760318	TTAATC: BT549_Palbociclib_3.16	Harvard Medical School	9606	SRS4257193	GSM3565480	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760319	10760319	TCAATT: PDXHCI002_Ribociclib_1.0	Harvard Medical School	9606	SRS4257187	GSM3565474	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760320	10760320	TCAAAA: PDXHCI002_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257186	GSM3565473	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760321	10760321	TATTCA: MCF7_Palbociclib_3.16	Harvard Medical School	9606	SRS4257185	GSM3565472	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760322	10760322	TATTAC: MCF7_Ribociclib_1.0	Harvard Medical School	9606	SRS4257184	GSM3565471	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760323	10760323	TATCTA: MCF7_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257183	GSM3565470	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760324	10760324	TATCAT: Hs578T_Palbociclib_3.16	Harvard Medical School	9606	SRS4257182	GSM3565469	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760325	10760325	TATACT: Hs578T_Ribociclib_1.0	Harvard Medical School	9606	SRS4257181	GSM3565468	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760326	10760326	TATAAG: Hs578T_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257180	GSM3565467	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
