BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	time	treatment	group
SAMN04605059	SRR3330027	2016-09-26T16:48:44Z	2016-04-04T08:07:56Z	24603408	1853658047	0	75	638		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330027/SRR3330027.1	SRX1677217		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372875	simple	9606	Homo sapiens	GSM2107726							no					GEO	SRA404046		public	F69855B8D7DAFF36BDD08F0D2F416871	4173DA2F6723D1823BBCA9DD0D894145	4605059	No LNA-rep2	Center of medical genetics, Gent university hospital	9606	SRS1372875	GSM2107726	REH	REH cell line	72h	medium	medium
SAMN04605060	SRR3330028	2016-09-26T16:48:44Z	2016-04-04T08:07:39Z	21160958	1598019180	0	75	552		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330028/SRR3330028.1	SRX1677218		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372874	simple	9606	Homo sapiens	GSM2107727							no					GEO	SRA404046		public	26B586A39AE7B460E89AE3B6A47433E8	F82110288666E4BC278310183DCE8911	4605060	NTC-rep2	Center of medical genetics, Gent university hospital	9606	SRS1372874	GSM2107727	REH	REH cell line	72h	non-targeting LNA GapmeR	non_targeting_LNA_GapmeR
SAMN04605061	SRR3330029	2016-09-26T16:48:44Z	2016-04-04T08:08:45Z	26051277	1962559306	0	75	672		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330029/SRR3330029.1	SRX1677219		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372873	simple	9606	Homo sapiens	GSM2107728							no					GEO	SRA404046		public	9BC778389C16EC40112F9F3132E6E19F	BEDFCDF42AA860D992D8867A5C122118	4605061	lnc-TIMM21-LNA1-rep2	Center of medical genetics, Gent university hospital	9606	SRS1372873	GSM2107728	REH	REH cell line	72h	lnc-TIMM21-5 LNA GapmeR1	lnc_TIMM21_5_LNA_GapmeR1
SAMN04605062	SRR3330030	2016-09-26T16:48:44Z	2016-04-04T08:08:17Z	28109274	2122309627	0	75	732		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330030/SRR3330030.1	SRX1677220		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372872	simple	9606	Homo sapiens	GSM2107729							no					GEO	SRA404046		public	6C638BFE88DC7DC6710A89A0D537A078	2AE4BB9FD768F71554F8E778D95FFE85	4605062	lnc-TIMM21-LNA2-rpe2	Center of medical genetics, Gent university hospital	9606	SRS1372872	GSM2107729	REH	REH cell line	72h	lnc-TIMM21-5 LNA GapmeR2	lnc_TIMM21_5_LNA_GapmeR2
SAMN04605063	SRR3330031	2016-09-26T16:48:44Z	2016-04-04T08:08:03Z	26731450	2016230136	0	75	691		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330031/SRR3330031.1	SRX1677221		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372871	simple	9606	Homo sapiens	GSM2107730							no					GEO	SRA404046		public	D90281B186A43A89F5C786BCA5B8D538	8385FD322C0B56BE3C2923956154443B	4605063	lnc-NKX2-LNA1-rep2	Center of medical genetics, Gent university hospital	9606	SRS1372871	GSM2107730	REH	REH cell line	72h	lnc-NKX2-3-1 LNA GapmeR1	lnc_NKX2_3_1_LNA_GapmeR1
SAMN04605064	SRR3330032	2016-09-26T16:48:44Z	2016-04-04T08:09:58Z	23867734	1799662760	0	75	622		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330032/SRR3330032.1	SRX1677222		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372870	simple	9606	Homo sapiens	GSM2107731							no					GEO	SRA404046		public	517C4E3A79213211414E58D90EBCD200	430DA59FDDBA858F5E4886602A18A6EA	4605064	lnc-NKX2-LNA2-rep2	Center of medical genetics, Gent university hospital	9606	SRS1372870	GSM2107731	REH	REH cell line	72h	lnc-NKX2-3-1 LNA GapmeR2	lnc_NKX2_3_1_LNA_GapmeR2
SAMN04605065	SRR3330033	2016-09-26T16:48:44Z	2016-04-04T08:08:35Z	28213247	2127808394	0	75	730		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330033/SRR3330033.1	SRX1677223		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372869	simple	9606	Homo sapiens	GSM2107732							no					GEO	SRA404046		public	A58CF96F81A18DA051AF8777C8925BC5	1D767717419D76E0116D249102E64E68	4605065	lnc-RTN4R-LNA1-rep2	Center of medical genetics, Gent university hospital	9606	SRS1372869	GSM2107732	REH	REH cell line	72h	lnc-RTN4R-1 LNA GapmeR1	lnc_RTN4R_1_LNA_GapmeR1
SAMN04605066	SRR3330034	2016-09-26T16:48:44Z	2016-04-04T08:07:56Z	24131012	1820680133	0	75	626		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330034/SRR3330034.1	SRX1677224		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372868	simple	9606	Homo sapiens	GSM2107733							no					GEO	SRA404046		public	ADF9CE485814F2771497C9AE88D136E3	9D22E343ADBAEB21AFD2790313B007C2	4605066	lnc-RTN4R-LNA2-rep2	Center of medical genetics, Gent university hospital	9606	SRS1372868	GSM2107733	REH	REH cell line	72h	lnc-RTN4R-1 LNA GapmeR2	lnc_RTN4R_1_LNA_GapmeR2
SAMN04605067	SRR3330035	2016-09-26T16:48:44Z	2016-04-04T08:06:10Z	18995291	1433598925	0	75	492		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330035/SRR3330035.1	SRX1677225		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372867	simple	9606	Homo sapiens	GSM2107734							no					GEO	SRA404046		public	030C53F62078068980E9BEFDEBDDFAB9	19CFAD2F03332E7EBE0916AE2A4E172C	4605067	lnc-ASTN1-LNA1-rep2	Center of medical genetics, Gent university hospital	9606	SRS1372867	GSM2107734	REH	REH cell line	72h	lnc-ASTN1-1 LNA GapmeR1	lnc_ASTN1_1_LNA_GapmeR1
SAMN04605068	SRR3330036	2016-09-26T16:48:44Z	2016-04-04T08:08:43Z	23985796	1809308891	0	75	626		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330036/SRR3330036.1	SRX1677226		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372866	simple	9606	Homo sapiens	GSM2107735							no					GEO	SRA404046		public	B189E9B7ECB22AA21651467864B3EE9A	2ACF74C283AB1E84E78F6F4842CA8C96	4605068	NTC-rep3	Center of medical genetics, Gent university hospital	9606	SRS1372866	GSM2107735	REH	REH cell line	72h	non-targeting LNA GapmeR	non_targeting_LNA_GapmeR
SAMN04605069	SRR3330037	2016-09-26T16:48:44Z	2016-04-04T08:09:18Z	30100118	2269532370	0	75	779		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330037/SRR3330037.1	SRX1677227		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372865	simple	9606	Homo sapiens	GSM2107736							no					GEO	SRA404046		public	D809F709730C25FC4434E72AA244D7B2	C0C8F67730CFA4526E180A42E0A1DD5E	4605069	lnc-TIMM21-LNA1-rep3	Center of medical genetics, Gent university hospital	9606	SRS1372865	GSM2107736	REH	REH cell line	72h	lnc-TIMM21-5 LNA GapmeR1	lnc_TIMM21_5_LNA_GapmeR1
SAMN04605073	SRR3330038	2016-09-26T16:48:44Z	2016-04-04T08:09:27Z	28353157	2138779897	0	75	734		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330038/SRR3330038.1	SRX1677228		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372864	simple	9606	Homo sapiens	GSM2107737							no					GEO	SRA404046		public	9D3695EB7CF114D266169C7FCE9808D0	A5FEE09B5A478C0B89EBE939412F21D3	4605073	lnc-TIMM21-LNA2-rep3	Center of medical genetics, Gent university hospital	9606	SRS1372864	GSM2107737	REH	REH cell line	72h	lnc-TIMM21-5 LNA GapmeR2	lnc_TIMM21_5_LNA_GapmeR2
SAMN04605074	SRR3330039	2016-09-26T16:48:44Z	2016-04-04T08:08:29Z	22513234	1697477689	0	75	581		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330039/SRR3330039.1	SRX1677229		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372863	simple	9606	Homo sapiens	GSM2107738							no					GEO	SRA404046		public	57C407E02DBE9C33956165A34C89825D	5E6937307A5B3359369F03B14D846FE7	4605074	lnc-NKX2-LNA2-rep3	Center of medical genetics, Gent university hospital	9606	SRS1372863	GSM2107738	REH	REH cell line	72h	lnc-NKX2-3-1 LNA GapmeR2	lnc_NKX2_3_1_LNA_GapmeR2
SAMN04605075	SRR3330040	2016-09-26T16:48:44Z	2016-04-04T08:08:21Z	24912370	1878872680	0	75	650		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330040/SRR3330040.1	SRX1677230		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372862	simple	9606	Homo sapiens	GSM2107739							no					GEO	SRA404046		public	05D2DB530E34042A1C4C264205BE993B	B1BF57BA724BB756C924EC44F3DD1D8D	4605075	lnc-RTN4R-LNA1-rep3	Center of medical genetics, Gent university hospital	9606	SRS1372862	GSM2107739	REH	REH cell line	72h	lnc-RTN4R-1 LNA GapmeR1	lnc_RTN4R_1_LNA_GapmeR1
SAMN04605070	SRR3330041	2016-09-26T16:48:44Z	2016-04-04T08:07:52Z	22967534	1734733483	0	75	592		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330041/SRR3330041.1	SRX1677231		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372861	simple	9606	Homo sapiens	GSM2107740							no					GEO	SRA404046		public	B4FAE388CD758F29AA92E9E07B5C1109	5BB50AF6D9BBDAEE9DD010FF71EF2CBD	4605070	lnc-RTN4R-LNA2-rep3	Center of medical genetics, Gent university hospital	9606	SRS1372861	GSM2107740	REH	REH cell line	72h	lnc-RTN4R-1 LNA GapmeR2	lnc_RTN4R_1_LNA_GapmeR2
SAMN04605071	SRR3330042	2016-09-26T16:48:44Z	2016-04-04T08:10:21Z	25231285	1903170357	0	75	653		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330042/SRR3330042.1	SRX1677232		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372860	simple	9606	Homo sapiens	GSM2107741							no					GEO	SRA404046		public	DEE38F9BCA70E99C204D642A8BA6C84D	2A2808CD3AF93D88F4FB902A8DA466CC	4605071	lnc-ASTN1-LNA1-rep3	Center of medical genetics, Gent university hospital	9606	SRS1372860	GSM2107741	REH	REH cell line	72h	lnc-ASTN1-1 LNA GapmeR1	lnc_ASTN1_1_LNA_GapmeR1
SAMN04605072	SRR3330043	2016-09-26T16:48:44Z	2016-04-04T08:10:32Z	22686907	1711009835	0	75	587		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330043/SRR3330043.1	SRX1677233		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372859	simple	9606	Homo sapiens	GSM2107742							no					GEO	SRA404046		public	EB2A4C87FF65355CCB2A090DAB809BFD	823F27D8AA97C27ABA6F2719469C506E	4605072	lnc-ASTN1-LNA2-rep3	Center of medical genetics, Gent university hospital	9606	SRS1372859	GSM2107742	REH	REH cell line	72h	lnc-ASTN1-1 LNA GapmeR2	lnc_ASTN1_1_LNA_GapmeR2
