BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	disease	chip antibody	drug treatment	source_name	cell_line	group
SAMN05971762	SRR4880395	2017-01-10T10:19:22Z	2016-11-04T16:59:58Z	24908205	1252813288	0	50	595		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880395/SRR4880395.1	SRX2323878		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779715	simple	9606	Homo sapiens	GSM2373689							no					GEO	SRA489616		public	1BDBB0709131857952F5486F3D97DF23	DEA8C70E25FCCE35695118F0349DD1B5	5971762	REH_IRAK_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779715	GSM2373689	B cell precursor leukemia	N/A	IRAK1/4 inhibitor	REH	REH	REH_IRAK1_4i
SAMN05971761	SRR4880396	2017-01-10T10:19:22Z	2016-11-04T17:00:28Z	29051105	1461272711	0	50	690		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880396/SRR4880396.1	SRX2323879		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779714	simple	9606	Homo sapiens	GSM2373690							no					GEO	SRA489616		public	47E8934D270979D74331CD0A1562DEB2	62E68C9EA706FC71330DD585367C69BD	5971761	REH_IRAK_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779714	GSM2373690	B cell precursor leukemia	N/A	IRAK1/4 inhibitor	REH	REH	REH_IRAK1_4i
SAMN05971767	SRR4880397	2017-01-10T10:19:22Z	2016-11-04T17:02:07Z	26923840	1354899220	0	50	639		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880397/SRR4880397.1	SRX2323880		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779717	simple	9606	Homo sapiens	GSM2373691							no					GEO	SRA489616		public	B9BF094F542D237348D18E56028DF630	F8B9DED736E7EBB4E921A2423D14135B	5971767	SEM_IRAK4_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779717	GSM2373691	B cell precursor leukemia	N/A	IRAK4 inhibitor	SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_IRAK4i
SAMN05971768	SRR4880398	2017-01-10T10:19:22Z	2016-11-04T17:01:21Z	25377276	1276380723	0	50	606		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4880398/SRR4880398.1	SRX2323881		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779723	simple	9606	Homo sapiens	GSM2373692							no					GEO	SRA489616		public	BEFC22C953029013B976BAC60D1A40D2	C9FA68823839573A18AB3909A1196409	5971768	SEM_IRAK4_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779723	GSM2373692	B cell precursor leukemia	N/A	IRAK4 inhibitor	SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_IRAK4i
SAMN05971760	SRR4880399	2017-01-10T10:19:22Z	2016-11-04T17:03:35Z	30076637	1513029507	0	50	717		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880399/SRR4880399.1	SRX2323882		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779719	simple	9606	Homo sapiens	GSM2373693							no					GEO	SRA489616		public	379DB135FF522D9642E6B16879AE6BE8	F9B08F45B8133FBBE755C272A039A13B	5971760	SEM_DMSO_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779719	GSM2373693	B cell precursor leukemia	N/A	DMSO	SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_DMSO
SAMN05971759	SRR4880400	2017-01-10T10:19:22Z	2016-11-04T17:00:27Z	26255165	1319917468	0	50	633		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4880400/SRR4880400.1	SRX2323883		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779720	simple	9606	Homo sapiens	GSM2373694							no					GEO	SRA489616		public	8150C4667EFA40BC334D4425E71620C0	69DBD0BE86E33825A63461C136185697	5971759	SEM_DMSO_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779720	GSM2373694	B cell precursor leukemia	N/A	DMSO	SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_DMSO
SAMN05971758	SRR4880401	2017-01-10T10:19:22Z	2016-11-04T17:01:15Z	30625344	1541097169	0	50	725		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880401/SRR4880401.1	SRX2323884		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779718	simple	9606	Homo sapiens	GSM2373695							no					GEO	SRA489616		public	E3FEB49C91B889E2EC9101D677C00D7C	09C3AAE7EA77D508B7B785B51D21E259	5971758	SEM_IRAK_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779718	GSM2373695	B cell precursor leukemia	N/A	IRAK1/4 inhibitor	SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_IRAK1_4i
SAMN05971757	SRR4880402	2017-01-10T10:19:22Z	2016-11-04T17:00:35Z	25315871	1273923347	0	50	600		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880402/SRR4880402.1	SRX2323885		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779721	simple	9606	Homo sapiens	GSM2373696							no					GEO	SRA489616		public	6C3BFBC527564A73198C77621187A27C	10798A55C0AB55119999F303860169B5	5971757	SEM_IRAK_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779721	GSM2373696	B cell precursor leukemia	N/A	IRAK1/4 inhibitor	SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_IRAK1_4i
SAMN05971807	SRR4880415	2017-01-10T10:19:22Z	2016-11-04T17:08:57Z	60010771	3032100600	0	50	1196		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880415/SRR4880415.1	SRX2323898		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779735	simple	9606	Homo sapiens	GSM2373709							no					GEO	SRA489616		public	671BA577CB2F302DD4F2F0CACADD40A5	E22F2CABAFE2B205AA57516ACD5DA2D1	5971807	SEM-GFPi-1-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779735	GSM2373709	B cell precursor leukemia	N/A		SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_GFPi
SAMN05971806	SRR4880416	2017-01-10T10:19:22Z	2016-11-04T20:27:06Z	63019623	3185360512	0	50	1258		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880416/SRR4880416.1	SRX2323899		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779737	simple	9606	Homo sapiens	GSM2373710							no					GEO	SRA489616		public	FB6182104CEBAD7200E7B27E3372CEB6	B9B06DD86E0FBD82809FA8C52EE94907	5971806	SEM-GFPi-2-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779737	GSM2373710	B cell precursor leukemia	N/A		SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_GFPi
SAMN05971805	SRR4880417	2017-01-10T10:19:22Z	2016-11-04T17:19:48Z	61081593	3085077161	0	50	1223		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4880417/SRR4880417.1	SRX2323900		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779738	simple	9606	Homo sapiens	GSM2373711							no					GEO	SRA489616		public	944140BEB36F1D71F47331CEB0DA1690	324FE31FE3DB51387EE7117E2DBA1C73	5971805	SEM-shAFF4-15825-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779738	GSM2373711	B cell precursor leukemia	N/A		SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_shAFF4
SAMN05971804	SRR4880418	2017-01-10T10:19:22Z	2016-11-04T17:08:41Z	52561912	2654289086	0	50	1051		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880418/SRR4880418.1	SRX2323901		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779739	simple	9606	Homo sapiens	GSM2373712							no					GEO	SRA489616		public	75B47F27E69384AC0015032A9682C174	5CDAF9B17C01B6DA0DC8F2B9AB58A7A5	5971804	SEM-shAFF4-426769-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779739	GSM2373712	B cell precursor leukemia	N/A		SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_shAFF4
SAMN05971803	SRR4880419	2017-01-10T10:19:22Z	2016-11-04T17:16:19Z	70785772	3576853336	0	50	1417		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880419/SRR4880419.1	SRX2323902		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779742	simple	9606	Homo sapiens	GSM2373713							no					GEO	SRA489616		public	D7DC6F4025BEF43231F5962B74F95AC3	B0B0D3F2C9A5523938A0FABB93BE7F4A	5971803	SEM-shGFP-1-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779742	GSM2373713	B cell precursor leukemia	N/A		SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_shGFP
SAMN05971802	SRR4880420	2017-01-10T10:19:22Z	2016-11-04T17:18:41Z	85933447	4343471302	0	50	1693		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880420/SRR4880420.1	SRX2323903		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779740	simple	9606	Homo sapiens	GSM2373714							no					GEO	SRA489616		public	0C822749D8DF8EED2F07034DD79C388E	904504E27A82A7F5C79F6F48789AC925	5971802	SEM-shGFP-2-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779740	GSM2373714	B cell precursor leukemia	N/A		SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_shGFP
SAMN05971801	SRR4880421	2017-01-10T10:19:22Z	2016-11-04T17:16:04Z	92549122	4673466273	0	50	1820		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880421/SRR4880421.1	SRX2323904		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779744	simple	9606	Homo sapiens	GSM2373715							no					GEO	SRA489616		public	0D940566E1F3C310DE89A325FE41A0DA	C956CCD0591D6389AA2CEA74FCF2DE7A	5971801	SEM-shUBE2O-4587-REP1-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779744	GSM2373715	B cell precursor leukemia	N/A		SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_shUBE2O
SAMN05971800	SRR4880422	2017-01-10T10:19:22Z	2016-11-04T17:20:49Z	90372569	4567768570	0	50	1783		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880422/SRR4880422.1	SRX2323905		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779745	simple	9606	Homo sapiens	GSM2373716							no					GEO	SRA489616		public	5B78B29A62EF5AA8DEF3FDA7FBF5B044	C5EE3D95BEDB719A6E30A4AFD4B5209F	5971800	SEM-hUBE2O-4587-REP2-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779745	GSM2373716	B cell precursor leukemia	N/A		SEM(MLL-AFF1)	SEM(MLL-AFF1)	SEM_shUBE2O
