BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug treatment	origin	source_name
SAMN03277000	SRR1744433	2015-04-22T17:07:16Z	2015-04-22T17:04:21Z	42148247	4214824700	42148247	100	1903		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744433/SRR1744433.1	SRX832374		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810662	simple	9606	Homo sapiens	GSM1579167							no					GEO	SRA226716		public	41B157C08413D7166BBA3548E28D29D5	927AF8CC15F981EBEFF785F3728DF20D	3277000	Colo800_vitro_vem_48h_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810662	GSM1579167	Colo800	melanoma cell line	vemurafenib_48h_1µM	cells in vitro	melanoma
SAMN03277001	SRR1744432	2015-04-22T17:06:15Z	2015-04-22T17:03:19Z	39068606	3906860600	39068606	100	1788		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744432/SRR1744432.1	SRX832373		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810661	simple	9606	Homo sapiens	GSM1579166							no					GEO	SRA226716		public	9002BAA08AF61DC236DB5A90A7B58C82	1DF7C820351E8E23BA3DABB1C821577F	3277001	Colo800_vitro_vem_48h_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810661	GSM1579166	Colo800	melanoma cell line	vemurafenib_48h_1µM	cells in vitro	melanoma
SAMN03277002	SRR1744427	2015-04-22T17:18:18Z	2015-04-22T17:14:27Z	69371433	6937143300	69371433	100	4306		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744427/SRR1744427.1	SRX832368		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810655	simple	9606	Homo sapiens	GSM1579161							no					GEO	SRA226716		public	8515EC102E7676F787175181CF8B40B6	6BD2D90F7832B67EB916B9950FC8179B	3277002	A375_vivo_vem_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810655	GSM1579161	A375	melanoma cell line	vemurafenib_10 doses_75mg/kg	xenograft tumours	melanoma
SAMN03277003	SRR1744439	2015-04-22T17:11:18Z	2015-04-22T17:07:51Z	39193169	3919316900	39193169	100	1799		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744439/SRR1744439.1	SRX832380		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810668	simple	9606	Homo sapiens	GSM1579173							no					GEO	SRA226716		public	6A516ECB7B349124CBD017D308EF3732	CFEA4F6D562922F108801351A8B950DB	3277003	H3122_vitro_vehicle_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810668	GSM1579173	H3122	lung adenocarcinoma cell line	vehicle	cells in vitro	lung adenocarcinoma
SAMN03277004	SRR1744430	2015-04-22T17:07:16Z	2015-04-22T17:04:44Z	40376956	4037695600	40376956	100	1835		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744430/SRR1744430.1	SRX832371		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810658	simple	9606	Homo sapiens	GSM1579164							no					GEO	SRA226716		public	8906481E13A05C79C73F83ADB64A7B18	3D30AB4C4FA488753090D1E2CD3FFAE0	3277004	Colo800_vitro_vehicle_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810658	GSM1579164	Colo800	melanoma cell line	vehicle	cells in vitro	melanoma
SAMN03277005	SRR1744441	2015-04-22T17:07:16Z	2015-04-22T17:04:48Z	40806212	4080621200	40806212	100	1884		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744441/SRR1744441.1	SRX832382		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810670	simple	9606	Homo sapiens	GSM1579175							no					GEO	SRA226716		public	0FA220562A964F0FD3472E7D9378EFD3	1D06B67AD2C956908A2284D8B12ACA9D	3277005	H3122_vitro_crizotinib_48h_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810670	GSM1579175	H3122	lung adenocarcinoma cell line	crizotinib_48h_300nM	cells in vitro	lung adenocarcinoma
SAMN03277006	SRR1744450	2015-04-22T17:06:15Z	2015-04-22T17:03:01Z	34376384	5156457600	34376384	150	3249		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744450/SRR1744450.1	SRX832389		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810678	simple	9606	Homo sapiens	GSM1579184							no					GEO	SRA226716		public	2C2027EA1014ADC499284463A631A6A9	508D3E8BA02E2663A41E7A345BD60958	3277006	A375R_RPL10a_vivo__Ronly_vem10d_rep3	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810678	GSM1579184	A375R	melanoma cell line	vemurafenib_10 doses_75mg/kg	xenograft tumours	melanoma
SAMN03277007	SRR1744424	2015-04-22T17:24:12Z	2015-04-22T17:20:43Z	74097960	7409796000	74097960	100	4637		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744424/SRR1744424.1	SRX832365		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810659	simple	9606	Homo sapiens	GSM1579158							no					GEO	SRA226716		public	AC72B61F4D18820C8580A6632D8703CE	C8D2A7FC637FA1222FD539FEBB476CC7	3277007	A375_vivo_vehicle_rep3	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810659	GSM1579158	A375	melanoma cell line	vehicle	xenograft tumours	melanoma
SAMN03277008	SRR1744421	2015-04-22T17:03:14Z	2015-04-22T17:00:54Z	31021049	3102104900	31021049	100	1992		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744421/SRR1744421.1	SRX832362		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810650	simple	9606	Homo sapiens	GSM1579155							no					GEO	SRA226716		public	CD5A922A282689F1AE4C8E829FEDCEC1	1AEA352F13600C09750D6917E977EAAC	3277008	A375_vitro_vem_48h_rep3	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810650	GSM1579155	A375	melanoma cell line	vemurafenib_48h_0.1µM	cells in vitro	melanoma
SAMN03277009	SRR1744429	2015-04-22T17:20:14Z	2015-04-22T17:14:03Z	85872016	8587201600	85872016	100	5293		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744429/SRR1744429.1	SRX832370		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810657	simple	9606	Homo sapiens	GSM1579163							no					GEO	SRA226716		public	BAC24356C368C8AEF2CB3DBE4C3E5306	FC3468C8A51555FE0BF83351C0C7BB34	3277009	A375_vivo_vem_rep4	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810657	GSM1579163	A375	melanoma cell line	vemurafenib_10 doses_75mg/kg	xenograft tumours	melanoma
SAMN03277010	SRR1744440	2015-04-22T17:08:13Z	2015-04-22T17:05:04Z	40222934	4022293400	40222934	100	1865		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744440/SRR1744440.1	SRX832381		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810669	simple	9606	Homo sapiens	GSM1579174							no					GEO	SRA226716		public	882AAB3B74C264A8C1256D0FBCE5894E	7D4ACEEF983CE3D553C9EF82BF2F6BFD	3277010	H3122_vitro_crizotinib_48h_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810669	GSM1579174	H3122	lung adenocarcinoma cell line	crizotinib_48h_300nM	cells in vitro	lung adenocarcinoma
SAMN03277011	SRR1744447	2015-04-22T17:12:15Z	2015-04-22T17:06:00Z	46689764	7003464600	46689764	150	4403		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744447/SRR1744447.1	SRX832386		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810675	simple	9606	Homo sapiens	GSM1579181							no					GEO	SRA226716		public	C7925F426B23759FD4B214115B0E6E53	2240901BD9AC19154FFB08BA4952AC7F	3277011	A375R_RPL10a_vivo__SR_vehicle_rep3	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810675	GSM1579181	A375R	melanoma cell line	vehicle	xenograft tumours	melanoma
SAMN03277012	SRR1744449	2015-04-22T17:09:15Z	2015-04-22T17:05:00Z	43514690	6527203500	43514690	150	4138		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744449/SRR1744449.1	SRX832388		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810676	simple	9606	Homo sapiens	GSM1579183							no					GEO	SRA226716		public	D3523DEC6375C7C8C22BED406D0FE862	35DFBA5D88C7C506AD8631D358E8AC97	3277012	A375R_RPL10a_vivo__Ronly_vem10d_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810676	GSM1579183	A375R	melanoma cell line	vemurafenib_10 doses_75mg/kg	xenograft tumours	melanoma
SAMN03277013	SRR1744420	2015-04-22T17:07:16Z	2015-04-22T17:04:15Z	32073094	3207309400	32073094	100	2069		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744420/SRR1744420.1	SRX832361		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810649	simple	9606	Homo sapiens	GSM1579154							no					GEO	SRA226716		public	A399B0A27B7D60A3F58494DA04CB65B2	2B5D8CA99027E5B0ADA71806C8D79310	3277013	A375_vitro_vem_48h_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810649	GSM1579154	A375	melanoma cell line	vemurafenib_48h_0.1µM	cells in vitro	melanoma
SAMN03277014	SRR1744426	2015-04-22T17:14:14Z	2015-04-22T17:10:16Z	70129493	7012949300	70129493	100	4245		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744426/SRR1744426.1	SRX832367		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810654	simple	9606	Homo sapiens	GSM1579160							no					GEO	SRA226716		public	38DDF1DFE6D703923C1CC17BB7B8205C	D71BF8260750BA4FFCFDBA400FA63574	3277014	A375_vivo_vem_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810654	GSM1579160	A375	melanoma cell line	vemurafenib_10 doses_75mg/kg	xenograft tumours	melanoma
SAMN03277015	SRR1744431	2015-04-22T17:08:13Z	2015-04-22T17:05:15Z	39632535	3963253500	39632535	100	1821		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744431/SRR1744431.1	SRX832372		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810660	simple	9606	Homo sapiens	GSM1579165							no					GEO	SRA226716		public	B006C4605CEBAEBBBD94ADE460E574D3	A86B9180776E3F2DAADDFB22B22EC53B	3277015	Colo800_vitro_vehicle_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810660	GSM1579165	Colo800	melanoma cell line	vehicle	cells in vitro	melanoma
SAMN03277016	SRR1744434	2015-04-22T17:09:15Z	2015-04-22T17:06:53Z	40619561	4061956100	40619561	100	1842		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744434/SRR1744434.1	SRX832375		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810663	simple	9606	Homo sapiens	GSM1579168							no					GEO	SRA226716		public	9068030B5B47350E1E7B72610D83E83A	D3FEB96C3513A1EF02BDD9FE1A746C5E	3277016	UACC62_vitro_vehicle_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810663	GSM1579168	UACC62	melanoma cell line	vehicle	cells in vitro	melanoma
SAMN03277017	SRR1744448	2015-04-22T17:13:15Z	2015-04-22T17:08:39Z	54704520	8205678000	54704520	150	5169		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744448/SRR1744448.1	SRX832387		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810673	simple	9606	Homo sapiens	GSM1579182							no					GEO	SRA226716		public	8CD8112D447D52DFA7EA41FDFD3CA2C3	6A45EDC5A8B78B9B45B0DF7CDE2301FD	3277017	A375R_RPL10a_vivo__Ronly_vem10d_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810673	GSM1579182	A375R	melanoma cell line	vemurafenib_10 doses_75mg/kg	xenograft tumours	melanoma
SAMN03277018	SRR1744435	2015-04-22T17:11:18Z	2015-04-22T17:08:32Z	36135275	3613527500	36135275	100	1635		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744435/SRR1744435.1	SRX832376		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810664	simple	9606	Homo sapiens	GSM1579169							no					GEO	SRA226716		public	07C44BEFAB4BD184E80046260A3E2A4F	EC0A51F5CC28C56FF3B8572E5D2CDD62	3277018	UACC62_vitro_vehicle_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810664	GSM1579169	UACC62	melanoma cell line	vehicle	cells in vitro	melanoma
SAMN03277019	SRR1744443	2015-04-22T17:14:14Z	2015-04-22T17:09:49Z	56612190	8491828500	56612190	150	5372		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744443/SRR1744443.1	SRX832352		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810640	simple	9606	Homo sapiens	GSM1579177							no					GEO	SRA226716		public	0110A139EC1D0721276EB4B8D96B5855	D832AA972D5CD521C779AFFDC5C45F61	3277019	A375R_RPL10a_vivo__Ronly_vehicle_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810640	GSM1579177	A375R	melanoma cell line	vehicle	xenograft tumours	melanoma
SAMN03277020	SRR1744442	2015-04-22T17:11:18Z	2015-04-22T17:06:56Z	42831879	6424781850	42831879	150	4036		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744442/SRR1744442.1	SRX832383		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810671	simple	9606	Homo sapiens	GSM1579176							no					GEO	SRA226716		public	5BD35100013206896F263263422234FE	AED1CD07B91AE44BD94EF43A27153DB1	3277020	A375R_RPL10a_vivo__Ronly_vehicle_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810671	GSM1579176	A375R	melanoma cell line	vehicle	xenograft tumours	melanoma
SAMN03277021	SRR1744451	2015-04-22T17:15:12Z	2015-04-22T17:10:06Z	56333275	8449991250	56333275	150	5337		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744451/SRR1744451.1	SRX832390		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810677	simple	9606	Homo sapiens	GSM1579185							no					GEO	SRA226716		public	6B792FE77DEDEE4CDA4DF53D910F535E	C6B07FB93772914A32D3080C46C0876A	3277021	A375R_RPL10a_vivo__SR_vem10d_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810677	GSM1579185	A375R	melanoma cell line	vemurafenib_10 doses_75mg/kg	xenograft tumours	melanoma
SAMN03277022	SRR1744444	2015-04-22T17:11:18Z	2015-04-22T17:07:39Z	39438573	5915785950	39438573	150	3717		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744444/SRR1744444.1	SRX832353		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810641	simple	9606	Homo sapiens	GSM1579178							no					GEO	SRA226716		public	412D0396F11A61DEA1C7516ADDF448D9	D4B86FEF1AB6A649727BDF0BB19BB793	3277022	A375R_RPL10a_vivo__Ronly_vehicle_rep3	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810641	GSM1579178	A375R	melanoma cell line	vehicle	xenograft tumours	melanoma
