accession	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	concentration	isolate	replicate	sex	time	tissue	treatment
SAMN10505016	10505016	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_3d	SRA: SRS4096781	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	72h	lung; metastatic site lympnode	dox
SAMN10505017	10505017	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_1a	SRA: SRS4096820	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	1	male	6h	lung; metastatic site lympnode	BRM011
SAMN10505018	10505018	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_1b	SRA: SRS4096819	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	1	male	16h	lung; metastatic site lympnode	BRM011
SAMN10505019	10505019	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_2a	SRA: SRS4096821	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	2	male	6h	lung; metastatic site lympnode	BRM011
SAMN10505020	10505020	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_2b	SRA: SRS4096818	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	2	male	16h	lung; metastatic site lympnode	BRM011
SAMN10505021	10505021	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_3a	SRA: SRS4096822	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	3	male	6h	lung; metastatic site lympnode	BRM011
SAMN10505022	10505022	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_3b	SRA: SRS4096823	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	3	male	16h	lung; metastatic site lympnode	BRM011
SAMN10505023	10505023	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_1a	SRA: SRS4096797	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	1	male	6h	lung; metastatic site lympnode	BRM011
SAMN10505024	10505024	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_1b	SRA: SRS4096798	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	1	male	16h	lung; metastatic site lympnode	BRM011
SAMN10505025	10505025	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_2a	SRA: SRS4096833	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	2	male	6h	lung; metastatic site lympnode	BRM011
SAMN10505026	10505026	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_2b	SRA: SRS4096826	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	2	male	16h	lung; metastatic site lympnode	BRM011
SAMN10505027	10505027	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_3a	SRA: SRS4096795	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	3	male	6h	lung; metastatic site lympnode	BRM011
SAMN10505028	10505028	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_3b	SRA: SRS4096796	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	3	male	16h	lung; metastatic site lympnode	BRM011
SAMN10505029	10505029	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_1a	SRA: SRS4096805	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	48h	lung; metastatic site lympnode	NTC
SAMN10505030	10505030	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_1b	SRA: SRS4096829	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	72h	lung; metastatic site lympnode	NTC
SAMN10505031	10505031	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_2a	SRA: SRS4096778	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	48h	lung; metastatic site lympnode	NTC
SAMN10505032	10505032	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_2b	SRA: SRS4096785	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	72h	lung; metastatic site lympnode	NTC
SAMN10505033	10505033	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_3a	SRA: SRS4096810	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	48h	lung; metastatic site lympnode	NTC
SAMN10505034	10505034	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_3b	SRA: SRS4096793	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	72h	lung; metastatic site lympnode	NTC
SAMN10505035	10505035	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_1a	SRA: SRS4096782	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	48h	lung; metastatic site lympnode	sh2025+dox
SAMN10505036	10505036	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_1b	SRA: SRS4096783	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	72h	lung; metastatic site lympnode	sh2025+dox
SAMN10505037	10505037	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_2a	SRA: SRS4096831	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	48h	lung; metastatic site lympnode	sh2025+dox
SAMN10505038	10505038	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_2b	SRA: SRS4096828	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	72h	lung; metastatic site lympnode	sh2025+dox
SAMN10505039	10505039	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_3a	SRA: SRS4096780	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	48h	lung; metastatic site lympnode	sh2025+dox
SAMN10505040	10505040	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_3b	SRA: SRS4096827	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	72h	lung; metastatic site lympnode	sh2025+dox
SAMN10505041	10505041	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_1a	SRA: SRS4096836	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	48h	lung; metastatic site lympnode	sh5537+dox
SAMN10505042	10505042	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_1b	SRA: SRS4096832	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	72h	lung; metastatic site lympnode	sh5537+dox
SAMN10505043	10505043	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_2a	SRA: SRS4096830	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	48h	lung; metastatic site lympnode	sh5537+dox
SAMN10505044	10505044	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_2b	SRA: SRS4096834	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	72h	lung; metastatic site lympnode	sh5537+dox
SAMN10505045	10505045	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_3a	SRA: SRS4096777	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	48h	lung; metastatic site lympnode	sh5537+dox
SAMN10505046	10505046	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_3b	SRA: SRS4096835	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	72h	lung; metastatic site lympnode	sh5537+dox
